UID,LAMB,SIRE,DAM
55PE00225,55114499,53113789,49112845
55PE00226,55114500,51113446,50113124
55PE00227,55114501,51113446,50113124
55PE00228,55114502,53113975,50113085
55PE00229,55114503,53113975,50113085
55PE00230,55114504,51113446,50113279
55PE00231,55114505,51113302,51113434
55PE00232,55114506,53113931,49112832
55PE00233,55114507,53113931,49112832
55PE00234,55114508,53113837,53113860
55PE00235,55114509,52113643,52113644
55PE00236,55114510,53113931,50113102
55PE00237,55114511,52113643,53113843
55PE00238,55114512,53113856,50113224
55PE00239,55114513,53113837,51113314
55PE00240,55114514,51113302,51113607
55PE00241,55114515,53113837,51113305
55PE00242,55114516,53113856,53113863
55PE00243,55114517,47910107,49112969
55PE00244,55114518,47910107,49112969
55PE00245,55114519,47910107,49112933
55PE00246,55114520,47910107,49112933
55PE00247,55114521,52113643,49112987
55PE00248,55114522,52113643,49112987
55PE00249,55114523,52113643,51113515
55PE00250,55114524,52113643,51113515
55PE00251,55114525,53113865,53113969
55PE00252,55114526,53113856,51113574
55PE00253,55114527,51113446,52113694
55PE00254,55114528,53113837,52113722
55PE00255,55114529,53113868,52113745
55PE00256,55114530,47910107,49112859
55PE00257,55114531,52113643,50113079
55PE00258,55114532,52113643,50113079
55PE00259,55114533,52113643,48112726
55PE00260,55114534,52113643,48112726
55PE00261,55114535,51113302,50113202
55PE00262,55114536,51113302,50113202
55PE00263,55114537,53113975,53113885
55PE00264,55114538,53113865,53114037
55PE00265,55114539,47910107,49112946
55PE00266,55114540,53113856,51113417
55PE00267,55114541,53113856,51113417
55PE00268,55114542,53113856,50113200
55PE00269,55114543,53113975,53114005
55PE00270,55114544,53113837,53113963
55PE00271,55114545,53113856,50113184
55PE00272,55114546,51113302,48112585
55PE00273,55114547,51113302,48112585
55PE00274,55114548,52113685,53113901
55PE00275,55114549,53113975,53113893
55PE00276,55114550,52113685,51113428
55PE00277,55114551,47910107,49112942
55PE00278,55114552,47910107,49112942
55PE00279,55114553,53113975,51113411
55PE00280,55114554,53113789,52113741
55PE00281,55114555,53113837,49112773
55PE00282,55114556,53113856,51113346
55PE00283,55114557,53113886,48112677
55PE00284,55114558,53113975,53113806
55PE00285,55114559,51113302,53114048
55PE00286,55114560,51113446,50113081
55PE00287,55114561,51113446,50113081
55PE00288,55114562,53113865,51113452
55PE00289,55114563,53113989,51113541
55PE00290,55114564,47910107,50113253
55PE00291,55114565,47910107,50113253
55PE00292,55114566,51113446,51113544
55PE00293,55114567,53113865,48112648
55PE00294,55114568,53113837,52113636
55PE00295,55114569,53113931,53114045
55PE00296,55114570,53113868,48112546
55PE00297,55114571,53113837,51113581
55PE00298,55114572,52113643,50113204
55PE00299,55114573,51113446,50113178
55PE00300,55114574,52113643,48112551
55PE00301,55114575,52113643,48112551
55PE00302,55114576,52113643,51113309
55PE00303,55114577,51113302,50113103
55PE00304,55114578,51113446,53113953
55PE00305,55114579,53113856,49113002
55PE00306,55114580,51113446,48112640
55PE00307,55114581,51113302,51113303
55PE00308,55114582,51113302,51113303
55PE00309,55114583,53113975,48112560
55PE00310,55114584,53113975,48112560
55PE00311,55114585,52113643,51113425
55PE00312,55114586,52113643,51113425
55PE00313,55114587,52113685,53113879
55PE00314,55114588,53113975,52113696
55PE00315,55114589,52113643,52113657
55PE00316,55114590,51113446,53114036
55PE00317,55114591,53113856,51113560
55PE00318,55114592,53113856,50113137
55PE00319,55114593,53113856,50113137
55PE00320,55114594,53113975,49112968
55PE00321,55114595,53113975,49112968
55PE00322,55114596,51113302,53113887
55PE00323,55114597,52113685,53113816
55PE00324,55114598,53113865,47112417
55PE00325,55114599,53113865,47112417
55PE00326,55114600,51113302,48112651
55PE00327,55114601,52113685,51113337
55PE00328,55114602,52113685,51113337
55PE00329,55114603,53113886,50113084
55PE00330,55114604,52113685,53113964
55PE00331,55114605,53113837,53113828
55PE00332,55114606,53113856,53113855
55PE00333,55142248,52140781,53141060
55PE00334,55142249,52140546,51131967
55PE00335,55142250,52140412,50131181
55PE00336,55142251,53141414,52140767
55PE00337,55142252,53177166,47139017
55PE00338,55142253,53177166,47139017
55PE00339,55142254,53140908,52140588
55PE00340,55142255,52140396,50130907
55PE00341,55142256,52140396,50130907
55PE00342,55142257,53141240,50131445
55PE00343,55142258,53000000,48139753
55PE00344,55142259,52140781,52140553
55PE00345,55142260,53141414,50130792
55PE00346,55142261,53141414,50130792
55PE00347,55142262,53141505,51131801
55PE00348,55142263,53141505,51131523
55PE00349,55142264,52140511,53140981
55PE00350,55142265,53141231,53141277
55PE00351,55142266,53140939,51131540
55PE00352,55142267,53140939,51131540
55PE00353,55142268,52140396,53141193
55PE00354,55142269,53141505,50130781
55PE00355,55142270,51131604,53141411
55PE00356,55142271,53177166,51131857
55PE00357,55142272,53177166,51131857
55PE00358,55142273,53141008,49130231
55PE00359,55142274,53141008,49130231
55PE00360,55142275,52140511,52140707
55PE00361,55142276,52140511,52140707
55PE00362,55142277,53141209,51131871
55PE00363,55142278,53141209,51131871
55PE00364,55142279,53177166,51131549
55PE00365,55142280,53177166,51131549
55PE00366,55142281,53141505,53140881
55PE00367,55142282,52910117,52140526
55PE00368,55142283,52140549,48139590
55PE00369,55142284,53141348,53141345
55PE00370,55142285,53141037,51131742
55PE00371,55142286,51131604,53141261
55PE00372,55142287,53141088,52140835
55PE00373,55142288,53141088,52140835
55PE00374,55142289,53141037,48139524
55PE00375,55142290,53141348,52140473
55PE00376,55142291,52140693,53140938
55PE00377,55142292,53141348,52140772
55PE00378,55142293,52140546,52140697
55PE00379,55142294,53140939,50131408
55PE00380,55142295,52140546,53140995
55PE00381,55142296,53140935,49130155
55PE00382,55142297,53140939,53141416
55PE00383,55142298,53141008,51131766
55PE00384,55142299,53141167,53141158
55PE00385,55142300,53141037,48139433
55PE00386,55142301,53141037,48139433
55PE00387,55142302,51910116,49130302
55PE00388,55142303,51910116,49130302
55PE00389,55142304,52140528,48139354
55PE00390,55142305,52140528,48139354
55PE00391,55142306,53141348,50130901
55PE00392,55142307,53141348,50130901
55PE00393,55142308,53141240,51140233
55PE00394,55142309,53141240,51140233
55PE00395,55142310,51131604,52140664
55PE00396,55142311,53141008,48139642
55PE00397,55142312,53141008,48139642
55PE00398,55142313,51140069,52140734
55PE00399,55142314,51140069,52140734
55PE00400,55142315,53141209,48139252
55PE00401,55142316,51131604,49130475
55PE00402,55142317,53141240,51131522
55PE00403,55142318,52140396,52140665
55PE00404,55142319,52140412,50131150
55PE00405,55142320,53140939,52140765
55PE00406,55142321,53140939,52140765
55PE00407,55142322,52140412,53141149
55PE00408,55142323,53141505,51131971
55PE00409,55142324,53141505,51131971
55PE00410,55142325,51910116,53140972
55PE00411,55142326,52140528,52140570
55PE00412,55142327,53141008,51131872
55PE00413,55142328,53141505,48139813
55PE00414,55142329,52140528,50131275
55PE00415,55142330,52140528,50131275
55PE00416,55142331,52140412,53141417
55PE00417,55142332,52140549,53141330
55PE00418,55142333,53141348,53141282
55PE00419,55142334,53140939,51131512
55PE00420,55142335,51131604,52140498
55PE00421,55142336,52140511,53140952
55PE00422,55142337,52140511,52140552
55PE00423,55142338,52140549,49139952
55PE00424,55142339,52140549,49139952
55PE00425,55142340,53141240,48139752
55PE00426,55142341,53141240,48139752
55PE00427,55142342,53141505,51131559
55PE00428,55142343,53177166,51140037
55PE00429,55142344,52140546,51131532
55PE00430,55142345,53141008,53140982
55PE00431,55142346,51910116,48139800
55PE00432,55142347,51131604,47138994
55PE00433,55142348,51131604,47138994
55PE00434,55142349,52140412,49139970
55PE00435,55142350,52140412,49139970
55PE00436,55142351,52140693,51140200
55PE00437,55142352,52140693,51140200
55PE00438,55142353,53141276,49130399
55PE00439,55142354,53141276,49130399
55PE00440,55142355,53141037,53141046
55PE00441,55142356,53140908,53140897
55PE00442,55142357,51131604,53140884
55PE00443,55142358,53140908,46138278
55PE00444,55142359,53140908,46138278
55PE00445,55142360,53141414,49130642
55PE00446,55142361,53141414,49130642
55PE00447,55142362,52140412,52140606
55PE00448,55142363,52140693,49130119
55PE00449,55142364,52113685,48139604
55PE00450,55142365,53140908,52140513
55PE00451,55142366,51910116,53141310
55PE00452,55142367,53141240,53141419
55PE00453,55142368,52140781,48139712
55PE00454,55142369,52140781,48139712
55PE00455,55142370,53141045,51131536
55PE00456,55142371,53141045,51131536
55PE00457,55142372,53141037,49130443
55PE00458,55142373,53141037,49130443
55PE00459,55142374,51140069,47138632
55PE00460,55142375,51140069,47138632
55PE00461,55142376,53141240,53141377
55PE00462,55142377,53140939,51140244
55PE00463,55142378,52910117,49130520
55PE00464,55142379,52140511,48139885
55PE00465,55142380,52140546,53141389
55PE00466,55142381,52140549,53141437
55PE00467,55142382,52140528,50130854
55PE00468,55142383,51131604,51131998
55PE00469,55142384,52140528,50130859
55PE00470,55142385,52140528,50130859
55PE00471,55142386,52140546,53141203
55PE00472,55142387,51140069,50131329
55PE00473,55142388,53141276,52140580
55PE00474,55142389,52910117,53140919
55PE00475,55142390,52910117,49139993
55PE00476,55142391,53177166,51131491
55PE00477,55142392,53177166,51131491
55PE00478,55142393,53177166,47139141
55PE00479,55142394,52140546,53141027
55PE00480,55142395,52140781,51131628
55PE00481,55142396,53140939,49130118
55PE00482,55142397,52140549,52140749
55PE00483,55142398,52140549,53141214
55PE00484,55142399,53177166,48139529
55PE00485,55142400,53177166,48139529
55PE00486,55142401,52140549,49130064
55PE00487,55142402,52140549,49130064
55PE00488,55142403,53141209,49130055
55PE00489,55142404,52140396,51131974
55PE00490,55142405,52140396,51131974
55PE00491,55142406,53141037,51131995
55PE00492,55142407,52140511,53141406
55PE00493,55142408,51140069,53140978
55PE00494,55142409,53177166,48139316
55PE00495,55142410,51131604,53141054
55PE00496,55142411,52140412,53140906
55PE00497,55142412,52140781,48139647
55PE00498,55142413,52910117,52140589
55PE00499,55142414,52113685,51140341
55PE00500,55142415,52140412,53141105
55PE00501,55142416,52140511,49130696
55PE00502,55142417,53141008,48139411
55PE00503,55142418,53141008,48139411
55PE00504,55142419,51910116,47138890
55PE00505,55142420,51910116,47138890
55PE00506,55142421,52140412,48139902
55PE00507,55142422,52140412,48139902
55PE00508,55142423,52140511,50131324
55PE00509,55142424,52140511,50131324
55PE00510,55142425,52140412,51140070
55PE00511,55142426,52140412,51140070
55PE00512,55142427,52113685,52140569
55PE00513,55142428,53141209,48139648
55PE00514,55142429,53141209,48139648
55PE00515,55142430,52140396,51131495
55PE00516,55142431,52140396,51131495
55PE00517,55142432,53141037,53141284
55PE00518,55142433,52140549,50131265
55PE00519,55142434,53140935,48139423
55PE00520,55142435,53140935,48139423
55PE00521,55142436,51131604,52140668
55PE00522,55142437,52140412,49130341
55PE00523,55142438,52140412,49130341
55PE00524,55142439,53141505,53140943
55PE00525,55142440,52140511,51140016
55PE00526,55142441,53141323,52140501
55PE00527,55142442,52140412,49130074
55PE00528,55142443,51140069,53141034
55PE00529,55142444,52140693,50131136
55PE00530,55142445,52140693,50131136
55PE00531,55142446,53141323,49130291
55PE00532,55142447,53141323,49130291
55PE00533,55142448,52140528,52140726
55PE00534,55142449,52140528,52140726
55PE00535,55142450,52140412,51140095
55PE00536,55142451,53141209,51131720
55PE00537,55142452,53141209,51131720
55PE00538,55142453,53141414,49130431
55PE00539,55142454,53141414,49130431
55PE00540,55142455,52140528,49139943
55PE00541,55142456,52140528,49139943
55PE00542,55142457,53141414,52140616
55PE00543,55142458,53140939,53141061
55PE00544,55142459,53140935,51131616
55PE00545,55142460,52140781,52140738
55PE00546,55142461,51131604,50130885
55PE00547,55142462,52140549,50130753
55PE00548,55142463,53140908,52140652
55PE00549,55142464,52910117,48139651
55PE00550,55142465,52113685,51140218
55PE00551,55142466,52140412,48139508
55PE00552,55142467,53141037,47138717
55PE00553,55142468,53141167,49130710
55PE00554,55142469,53141167,49130710
55PE00555,55142470,52140549,53141246
55PE00556,55142471,53141276,51131578
55PE00557,55142472,52140549,49130195
55PE00558,55142473,52140549,49130195
55PE00559,55142474,53141240,51140098
55PE00560,55142475,52140546,51140073
55PE00561,55142476,53141037,50130761
55PE00562,55142477,52140546,49130051
55PE00563,55142478,52140546,49130051
55PE00564,55142479,53141505,53141227
55PE00565,55142480,53177166,52140775
55PE00566,55142481,53177166,52140775
55PE00567,55142482,52910117,49130557
55PE00568,55142483,52910117,49130557
55PE00569,55142485,51131604,50130932
55PE00570,55142486,51131604,50130932
55PE00571,55142487,53140935,49130106
55PE00572,55142488,53140935,49130106
55PE00573,55142489,53141414,51131802
55PE00574,55142490,53141414,51131802
55PE00575,55142491,52140693,52140729
55PE00576,55142492,52140693,52140729
55PE00577,55142493,52140412,50131210
55PE00578,55142494,51131604,50131315
55PE00579,55142495,53141414,53140879
55PE00580,55142496,52910117,50131051
55PE00581,55142497,52910117,50131051
55PE00582,55142498,51140069,49130273
55PE00583,55142499,51140069,50131078
55PE00584,55142500,51140069,50131078
55PE00585,55142501,53140935,53141444
55PE00586,55142502,52140412,52140555
55PE00587,55142503,51910116,48139764
55PE00588,55142504,52140549,51131716
55PE00589,55142505,53141414,50131274
55PE00590,55142506,53141414,50131274
55PE00591,55142507,53141167,51140180
55PE00592,55142508,52140546,53141462
55PE00593,55142509,53141348,49130007
55PE00594,55142510,51131604,53141324
55PE00595,55142511,52140528,48139359
55PE00596,55142512,52140528,48139359
55PE00597,55142513,53140939,52140634
55PE00598,55142514,51140069,48139620
55PE00599,55142515,52140546,53141204
55PE00600,55142516,52140549,49130039
55PE00601,55142517,52140549,49130039
55PE00602,55142518,53141008,51140207
55PE00603,55142519,53141008,51140207
55PE00604,55142520,53141414,50131050
55PE00605,55142521,53140974,48139290
55PE00606,55142522,53140974,48139290
55PE00607,55142523,53141037,52140682
55PE00608,55142524,53141037,52140682
55PE00609,55142525,53140939,51140339
55PE00610,55142526,53140939,51140339
55PE00611,55142527,51910116,50131392
55PE00612,55142528,52140528,51131693
55PE00613,55142529,53141323,52140773
55PE00614,55142530,53140935,53141425
55PE00615,55142531,51910116,52140753
55PE00616,55142532,51910116,50130822
55PE00617,55142533,53141166,50131266
55PE00618,55142534,53141166,50131266
55PE00619,55142535,52140396,51131557
55PE00620,55142536,52140396,51131557
55PE00621,55142537,52910117,51131595
55PE00622,55142538,52140528,48139371
55PE00623,55142539,52140528,48139371
55PE00624,55142540,51131604,49130711
55PE00625,55142541,51131604,49130711
55PE00626,55142542,52140549,51131478
55PE00627,55142543,52140549,51131478
55PE00628,55142544,53141008,49139947
55PE00629,55142545,53141008,49139947
55PE00630,55142546,53141505,47139156
55PE00631,55142547,53141505,47139156
55PE00632,55142548,53141414,51131574
55PE00633,55142549,53141323,53140992
55PE00634,55142550,52910117,53140984
