UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00284,1950130765,1949130561,1948139520,1950130765,07,0561,9520
EEPE00285,1950130766,1947139015,1948139694,1950130766,07,9015,9694
EEPE00286,1950130767,1946138165,1944136802,1950130767,07,8165,6802
EEPE00287,1950130768,1949130561,1948139265,1950130768,07,0561,9265
EEPE00288,1950130769,1948139263,1947138632,1950130769,07,9263,8632
EEPE00289,1950130770,1948139263,1947138632,1950130770,07,9263,8632
EEPE00290,1950130771,1948139262,1946138098,1950130771,07,9262,8098
EEPE00291,1950130772,1948139262,1946138098,1950130772,07,9262,8098
EEPE00292,1950130773,         0,1944136718,1950130773,00,   0,6718
EEPE00293,1950130774,1948139389,1944136357,1950130774,07,9389,6357
EEPE00294,1950130775,1946138414,1945137661,1950130775,07,8414,7661
EEPE00295,1950130776,1947138560,1948139446,1950130776,07,8560,9446
EEPE00296,1950130777,1947138560,1948139202,1950130777,07,8560,9202
EEPE00297,1950130778,1948139263,1946138176,1950130778,07,9263,8176
EEPE00298,1950130779,1947138889,1947138884,1950130779,07,8889,8884
EEPE00299,1950130780,1948139644,1948139648,1950130780,07,9644,9648
EEPE00300,1950130781,1948139819,1946138270,1950130781,07,9819,8270
EEPE00301,1950130782,1947910109,1944136234,1950130782,07,0109,6234
EEPE00302,1950130783,1949130271,1946138047,1950130783,07,0271,8047
EEPE00303,1950130784,1947175430,1944136293,1950130784,07,5430,6293
EEPE00304,1950130785,1947175430,1944136293,1950130785,07,5430,6293
EEPE00305,1950130786,1947175430,1946137910,1950130786,07,5430,7910
EEPE00306,1950130787,1947910109,1948139313,1950130787,07,0109,9313
EEPE00307,1950130788,1946138116,1948139386,1950130788,07,8116,9386
EEPE00308,1950130789,1948139270,1945137583,1950130789,07,9270,7583
EEPE00309,1950130790,1948139270,1945137583,1950130790,07,9270,7583
EEPE00310,1950130791,1948139819,1948139642,1950130791,07,9819,9642
EEPE00311,1950130792,1947175430,1947138546,1950130792,07,5430,8546
EEPE00312,1950130793,1947138697,1947139008,1950130793,07,8697,9008
EEPE00313,1950130794,1948139263,1943135678,1950130794,07,9263,5678
EEPE00314,1950130795,1948139262,1945137193,1950130795,07,9262,7193
EEPE00315,1950130796,1948139262,1945137193,1950130796,07,9262,7193
EEPE00316,1950130797,1948112740,1945137151,1950130797,07,2740,7151
EEPE00317,1950130798,1948112740,1945137151,1950130798,07,2740,7151
EEPE00318,1950130799,1948139757,1944136677,1950130799,07,9757,6677
EEPE00319,1950130800,1948139757,1944136677,1950130800,07,9757,6677
EEPE00320,1950130801,1947175430,1947138943,1950130801,07,5430,8943
EEPE00321,1950130802,1947138560,1945137126,1950130802,07,8560,7126
EEPE00322,1950130803,1947139115,1948139912,1950130803,07,9115,9912
EEPE00323,1950130804,1948112594,1945137674,1950130804,07,2594,7674
EEPE00324,1950130805,1948139757,1948139224,1950130805,07,9757,9224
EEPE00325,1950130806,1948112740,1942135287,1950130806,07,2740,5287
EEPE00326,1950130807,         0,1948139715,1950130807,00,   0,9715
EEPE00327,1950130808,         0,1946138106,1950130808,00,   0,8106
EEPE00328,1950130809,1948139539,1944136366,1950130809,07,9539,6366
EEPE00329,1950130810,1948139539,1944136366,1950130810,07,9539,6366
EEPE00330,1950130811,1949130271,1946137859,1950130811,07,0271,7859
EEPE00331,1950130812,1948139693,1947138570,1950130812,07,9693,8570
