UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00090,07,05,H3014,64,K3346,04,A8283,33,2007053014,2005643346,2001048283
07PE00091,07,05,H3015,64,K3346,04,A8283,33,2007053015,2005643346,2001048283
07PE00092,07,05,H3016,05,H0773,04,A8413,30,2007053016,2004050773,2001048413
07PE00093,07,05,H3017,05,H0773,05,H1473,30,2007053017,2004050773,2005051473
07PE00094,07,05,H3018,05,H0773,05,H1473,30,2007053018,2004050773,2005051473
07PE00095,07,05,H3019,05,H0471,05,H1178,30,2007053019,2003050471,2004051178
07PE00096,07,05,H3020,05,H0471,05,H1178,30,2007053020,2003050471,2004051178
07PE00097,07,05,H3021,05,H0471,05,H1178,30,2007053021,2003050471,2004051178
07PE00098,07,05,H3022,05,H0471,05,H1178,30,2007053022,2003050471,2004051178
07PE00099,07,05,H3023,05,H1611,05,H2278,30,2007053023,2005051611,2006052278
07PE00100,07,05,H3024,05,H1611,05,H2278,30,2007053024,2005051611,2006052278
07PE00101,07,05,H3025,05,H0471,04,A8767,30,2007053025,2003050471,2001048767
07PE00102,07,05,H3026,05,H1797,05,H1134,30,2007053026,2005051797,2004051134
07PE00103,07,05,H3027,05,H1797,05,H1134,30,2007053027,2005051797,2004051134
07PE00104,07,05,H3028,05,H0773,05,H2162,30,2007053028,2004050773,2005052162
07PE00105,07,05,H3029,05,H0773,05,H2162,30,2007053029,2004050773,2005052162
07PE00106,07,05,H3030,05,H1852,05,H1515,30,2007053030,2005051852,2005051515
07PE00107,07,05,H3031,05,H1852,05,H1515,30,2007053031,2005051852,2005051515
07PE00108,07,05,H3032,05,H1611,05,H2508,30,2007053032,2005051611,2006052508
07PE00109,07,05,H3033,05,H1611,05,H2508,30,2007053033,2005051611,2006052508
07PE00110,07,05,H3034,05,H2022,05,H2882,30,2007053034,2005052022,2006052882
07PE00111,07,05,H3035,05,H2022,05,H2882,30,2007053035,2005052022,2006052882
07PE00112,07,05,H3036,05,H1914,05,H1795,30,2007053036,2005051914,2005051795
07PE00113,07,05,H3037,05,H1914,05,H1795,30,2007053037,2005051914,2005051795
07PE00114,07,05,H3038,05,H0773,05,H1006,30,2007053038,2004050773,2004051006
07PE00115,07,05,H3039,05,H0773,05,H1006,30,2007053039,2004050773,2004051006
07PE00116,07,05,H3040,05,H0596,05,H2855,30,2007053040,2003050596,2006052855
07PE00117,07,05,H3041,05,H0596,05,H2855,30,2007053041,2003050596,2006052855
07PE00118,07,05,H3042,05,H1159,05,H1610,30,2007053042,2004051159,2005051610
07PE00119,07,05,H3043,05,H1159,05,H1610,30,2007053043,2004051159,2005051610
07PE00120,07,05,H3044,64,K3500,05,P0336,33,2007053044,2005643500,2002050336
07PE00121,07,05,H3045,05,H0596,05,H2298,30,2007053045,2003050596,2006052298
07PE00122,07,05,H3046,05,H0596,05,H2298,30,2007053046,2003050596,2006052298
07PE00123,07,05,H3047,05,H0596,05,H2298,30,2007053047,2003050596,2006052298
07PE00124,07,05,H3048,05,H1797,05,H1561,30,2007053048,2005051797,2005051561
07PE00125,07,05,H3049,05,H1797,05,H1561,30,2007053049,2005051797,2005051561
07PE00126,07,05,H3050,05,H1852,05,H1651,30,2007053050,2005051852,2005051651
07PE00127,07,05,H3051,05,H1852,05,H1651,30,2007053051,2005051852,2005051651
07PE00128,07,05,H3052,05,H1823,04,A8219,30,2007053052,2005051823,2001048219
07PE00129,07,05,H3053,05,H1823,04,A8219,30,2007053053,2005051823,2001048219
07PE00130,07,05,H3054,05,H1823,04,A8219,30,2007053054,2005051823,2001048219
07PE00131,07,05,H3055,05,H1311,05,H2189,30,2007053055,2004051311,2005052189
07PE00132,07,05,H3056,05,H1311,05,H2189,30,2007053056,2004051311,2005052189
07PE00133,07,05,H3057,05,H0471,05,H1810,30,2007053057,2003050471,2005051810
07PE00134,07,05,H3058,05,H1063,05,H2892,30,2007053058,2004051063,2006052892
07PE00135,07,05,H3059,05,H1063,05,H2892,30,2007053059,2004051063,2006052892
07PE00136,07,05,H3060,05,H1063,05,H2892,30,2007053060,2004051063,2006052892
07PE00137,07,05,H3061,05,H1823,05,H1253,30,2007053061,2005051823,2004051253
07PE00138,07,05,H3062,05,H1823,05,H1253,30,2007053062,2005051823,2004051253
07PE00139,07,05,H3063,05,H1311,05,H0713,30,2007053063,2004051311,2003050713
07PE00140,07,05,H3064,05,H0596,05,H2309,30,2007053064,2003050596,2006052309
07PE00141,07,05,H3065,05,H0596,05,H2309,30,2007053065,2003050596,2006052309
07PE00142,07,05,H3066,05,H1797,05,H1990,30,2007053066,2005051797,2005051990
07PE00143,07,05,H3067,05,H1797,05,H1990,30,2007053067,2005051797,2005051990
07PE00144,07,05,H3068,05,H0773,05,P0076,30,2007053068,2004050773,2002050076
07PE00145,07,05,H3069,05,H0773,05,P0076,30,2007053069,2004050773,2002050076
07PE00146,07,05,H3070,05,H0773,05,P0076,30,2007053070,2004050773,2002050076
07PE00147,07,05,H3071,64,K3073,05,H0439,33,2007053071,2004643073,2003050439
07PE00148,07,05,H3072,64,K3073,05,H0439,33,2007053072,2004643073,2003050439
07PE00149,07,05,H3073,64,K3073,05,H0439,33,2007053073,2004643073,2003050439
07PE00150,07,05,H3074,05,H1797,05,H0896,30,2007053074,2005051797,2004050896
07PE00151,07,05,H3075,05,H1797,05,H0896,30,2007053075,2005051797,2004050896
07PE00152,07,05,H3076,05,H1797,05,H0896,30,2007053076,2005051797,2004050896
07PE00153,07,05,H3077,64,K3071,05,H0671,33,2007053077,2004643071,2003050671
07PE00154,07,05,H3078,64,K3071,05,H0671,33,2007053078,2004643071,2003050671
07PE00155,07,05,H3079,64,K3071,05,H0671,33,2007053079,2004643071,2003050671
07PE00156,07,05,H3080,05,H1611,05,H2211,30,2007053080,2005051611,2006052211
07PE00157,07,05,H3081,05,H1914,05,H1562,30,2007053081,2005051914,2005051562
07PE00158,07,05,H3082,05,H1914,05,H1562,30,2007053082,2005051914,2005051562
07PE00159,07,05,H3083,05,H1914,05,H1562,30,2007053083,2005051914,2005051562
07PE00160,07,05,H3084,64,K3132,04,A9432,33,2007053084,2004643132,2002049432
07PE00161,07,05,H3085,05,H1914,05,H2150,30,2007053085,2005051914,2005052150
07PE00162,07,05,H3086,05,H1914,05,H2150,30,2007053086,2005051914,2005052150
07PE00163,07,05,H3087,05,H0773,05,H1333,30,2007053087,2004050773,2004051333
07PE00164,07,05,H3088,05,H0773,05,H1333,30,2007053088,2004050773,2004051333
07PE00165,07,05,H3089,05,H1611,05,H2349,30,2007053089,2005051611,2006052349
07PE00166,07,05,H3090,05,H1611,05,H2349,30,2007053090,2005051611,2006052349
07PE00167,07,05,H3091,64,K3071,04,A9134,33,2007053091,2004643071,2002049134
07PE00168,07,05,H3092,64,K3071,04,A9134,33,2007053092,2004643071,2002049134
07PE00169,07,05,H3093,05,H0596,05,H2590,30,2007053093,2003050596,2006052590
07PE00170,07,05,H3094,05,H0773,05,H0853,30,2007053094,2004050773,2004050853
07PE00171,07,05,H3095,05,H0773,05,H0853,30,2007053095,2004050773,2004050853
07PE00172,07,05,H3096,05,H1311,05,H0871,30,2007053096,2004051311,2004050871
07PE00173,07,05,H3097,05,H1311,05,H0871,30,2007053097,2004051311,2004050871
07PE00174,07,05,H3098,05,H1797,04,A9410,30,2007053098,2005051797,2002049410
07PE00175,07,05,H3099,05,H1797,04,A9410,30,2007053099,2005051797,2002049410
07PE00176,07,05,H3100,05,H1797,04,A9410,30,2007053100,2005051797,2002049410
07PE00177,07,05,H3101,05,H1797,04,A9410,30,2007053101,2005051797,2002049410
07PE00178,07,05,H3102,05,H1063,05,H2838,30,2007053102,2004051063,2006052838
07PE00179,07,05,H3103,05,H1159,05,H2163,30,2007053103,2004051159,2005052163
07PE00180,07,05,H3104,05,H1159,05,H2163,30,2007053104,2004051159,2005052163
07PE00181,07,05,H3105,05,H1159,05,H2163,30,2007053105,2004051159,2005052163
