ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2025843195,25LA02713,25,X0028,84,A,69,Z0000,83,3.0,,SC,97,2,,Y,,040225,92,5,2,3.0,4,3,0,4,16.2,5,2,X3195,84,A,00,,,,,,.,.,1,1,..,OR,Y,1,,1,1,1,1,,,,2025-04-02,,46,127,H,,
2025458727,25LA02714,25,T7835,45,,46,T7956,45,4.0,,02,02,2,0,N,,040225,92,6,1,3.0,4,2,0,2,11.3,1,1,T8727,45,,02,,,,,,WARTS,1ST,6,3,..,,Y,1,,1,1,2,1,,,,2025-04-02,,42,134,1,,
D25LA02715,25LA02715,25,T7835,45,,46,T7956,45,4.0,,02,02,2,0,N,,040225,92,6,1,3.0,4,1,0,2,4.0,1,1,.,,,,0,92,27,,,.,2ND.MUMMY,6,3,..,,Y,2,,0,0,0,0,,,,2025-04-02,,,,,,
2025705341,25LA02716,25,L2696,70,A,58,L3531,70,5.0,,PC,PC,2,0,N,,040225,92,5,1,3.5,3,2,0,2,14.3,5,1,L5341,70,A,PC,,,,,,.,.,1,1,..,,Y,1,,1,1,1,1,,,,2025-04-02,,58,134,1,,
2025126195,25LA02717,25,S2083,12,,16,S3960,12,6.0,,07,07,1,0,N,,040225,92,8,1,4.0,3,2,0,2,12.2,1,1,S6195,12,,07,,,,,,.,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,32,127,2,,
2025126196,25LA02718,25,S2083,12,,16,S3960,12,6.0,,07,07,1,0,N,,040225,92,8,1,4.0,3,3,L,2,13.0,2,1,S6196,12,,07,,,,,,.,SPOT.RNECK,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,47,134,2,,
2025705342,25LA02719,25,L4294,70,A,e5,L0000,70,1.0,,PC,PC,4,0,Y,,040225,92,8,1,2.5,3,2,0,2,6.9,5,2,L5342,70,A,PC,,,,,,.,.,1,1,..,OR,Y,1,,1,1,2,1,,,,2025-04-02,,26,127,H,,
2025705343,25LA02720,25,L4294,70,A,e5,L0000,70,1.0,,PC,PC,4,0,Y,,040225,92,8,1,2.5,3,3,0,2,7.1,5,1,L5343,70,A,PC,6,129,01,,,.,Found dead,1,1,..,OR,Y,2,,0,0,0,1,,,,2025-04-02,,19,127,W,,
2025843196,25LA02721,25,X0584,84,A,69,Z0000,83,2.0,,00,97,2,,Y,,040225,92,5,1,1.5,3,2,0,2,12.1,5,1,X3196,84,A,00,,,,,,.,.,1,1,..,,Y,1,,1,1,1,1,,,,2025-04-02,,41,134,1,,
2025705344,25LA02722,25,L3843,70,A,65,L4006,70,2.0,,PC,PC,2,,N,,040225,92,7,1,2.5,3,2,0,2,11.9,5,1,L5344,70,A,PC,,,,,,4TTS,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,45,134,1,,
D25LA02723,25LA02723,25,L3843,70,A,65,L4006,70,2.0,,PC,PC,2,,N,,040225,92,7,1,2.5,3,2,0,2,13.0,5,1,.,,,,1,92,44,,,.,BCKWRDS,5,3,..,,Y,2,,0,0,0,0,,,,2025-04-02,,,,,,
2025126197,25LA02724,25,S2997,12,,15,S3360,12,5.0,,07,07,1,,N,,040225,92,5,1,3.0,3,2,0,2,12.0,.,1,S6197,12,,07,,,,,,.,BENT.TAIL,1,1,..,RED,Y,1,,1,1,1,1,,,,2025-04-02,,47,134,1,,
2025843197,25LA02725,25,Z8743,83,A,39,X0831,84,4.0,,97,97,2,,N,,040225,92,8,1,2.0,1,2,0,2,14.7,6,1,X3197,84,A,97,,,,,,.,.,1,1,..,RPR,Y,1,,1,1,2,1,,,,2025-04-02,,42,128,H,,
2025843198,25LA02726,25,Z8743,83,A,39,X0831,84,4.0,,97,97,2,,N,,040225,92,8,1,2.0,1,2,0,2,12.6,6,1,X3198,84,A,97,,,,,,.,.,1,1,..,RPR,Y,2,,0,0,0,1,,,,2025-04-02,,35,128,H,,
2025843199,25LA02727,25,X0121,84,A,44,Z9993,83,3.0,,97,97,2,0,N,,040225,92,9,1,3.0,3,1,0,2,11.9,6,1,X3199,84,A,97,,,,,,.,.,1,1,..,RPR,Y,1,,1,1,3,1,,,,2025-04-02,,29,128,H,,
2025843200,25LA02728,25,X0121,84,A,44,Z9993,83,3.0,,97,97,2,0,N,,040225,92,9,1,3.0,3,2,0,2,11.8,6,1,X3200,84,A,97,,,,,,.,.,1,1,..,RPR,Y,2,,0,0,0,1,,,,2025-04-02,,20,128,W,,
2025843201,25LA02729,25,X0121,84,A,44,Z9993,83,3.0,,97,97,2,0,N,,040225,92,9,1,3.0,3,1,0,2,13.2,6,1,X3201,84,A,97,,,,,,.,.,1,1,..,RPR,Y,3,,0,0,0,1,,,,2025-04-02,,30,128,H,,
D25LA02730,25LA02730,25,K5602,64,,e5,L0000,70,1.0,,06,PC,4,,Y,,040225,92,1,1,2.0,1,1,0,2,15.0,2,1,.,,,,1,92,44,,,LAYINGDOWN,PULLD.DAYS.L8,8,1,..,,J,1,,1,1,1,0,,,,2025-04-02,,,,,,
D25LA02731,25LA02731,25,S3332,12,,14,S3301,12,4.0,,07,07,1,0,N,,033125,90,9,1,3.0,3,2,.,.,11.0,1,1,.,,,,1,90,44,,,.,ROTTEN,8,1,..,,J,3,,0,0,0,0,,,,2025-03-31,,,,,,
2025705314,25LA02732,25,L3564,70,A,67,L4174,70,3.0,,PC,PC,2,0,N,,040125,91,8,1,3.5,3,2,0,4,5.7,5,1,L5314,70,A,PC,6,98,19,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-01,,,,,,
2025705345,25LA02733,25,L3999,70,A,59,L3536,70,2.0,,PC,PC,2,,N,,040125,91,8,1,2.5,3,1,0,2,16.8,5,1,L5345,70,A,PC,,,,,,.,.,1,1,..,OR,Y,1,,1,1,2,1,,,,2025-04-01,,44,127,H,,
2025705346,25LA02734,25,L3999,70,A,59,L3536,70,2.0,,PC,PC,2,,N,,040125,91,8,1,2.5,3,2,L,2,15.2,5,1,L5346,70,A,PC,,,,,,.,.,1,1,..,OR,Y,2,,0,0,0,1,,,,2025-04-01,,31,127,H,,
2025645659,25LA02735,25,K5465,64,,4,K5543,64,3.0,,06,06,1,,N,,032725,86,9,1,2.5,3,2,0,2,8.5,1,1,K5659,64,,06,,,,,,.,.,1,1,..,,J,1,,1,1,3,1,,,,2025-03-27,,41,127,2,,
2025645660,25LA02736,25,K5465,64,,4,K5543,64,3.0,,06,06,1,,N,,032725,86,9,1,2.5,3,2,0,2,7.3,1,1,K5660,64,,06,3,89,93,,,.,.,1,1,..,,J,2,,0,0,0,1,,,,2025-03-27,,,,,,
2025645661,25LA02737,25,K5465,64,,4,K5543,64,3.0,,06,06,1,,N,,032725,86,9,1,2.5,3,3,0,2,8.0,1,1,K5661,64,,06,,,,,,.,.,1,1,..,,J,3,,0,0,0,1,,,,2025-03-27,,31,127,2,,
2025843202,25LA02738,25,X0677,84,A,69,Z0000,83,2.0,,S3,97,2,,Y,,040225,92,8,1,2.0,3,2,0,2,11.3,5,1,X3202,84,A,00,,,,,,.,.,1,1,..,OR,Y,1,,1,1,2,1,,,,2025-04-02,,35,127,H,,
2025843203,25LA02739,25,X0677,84,A,69,Z0000,83,2.0,,S3,97,2,,Y,,040225,92,8,1,2.0,3,2,0,2,11.2,5,1,X3203,84,A,00,6,101,06,,,.,Tail infx.,1,1,..,OR,Y,2,,0,0,0,1,,,,2025-04-02,,,,,,
2025705347,25LA02740,25,L4563,70,A,e4,L0000,70,1.0,,PC,PC,4,0,Y,,040225,92,5,1,2.0,3,2,0,4,13.2,5,2,L5347,70,A,PC,,,,,,.,.,1,1,..,OR,Y,1,,1,1,1,1,,,,2025-04-02,,37,127,H,,
2025843204,25LA02741,25,X0146,84,A,69,Z0000,83,3.0,,S3,97,2,0,Y,,040225,92,8,1,3.5,2,3,0,2,12.7,5,1,X3204,84,A,00,,,,,,4TTS,.,1,1,..,OR,Y,1,,1,1,2,1,,,,2025-04-02,,36,127,H,,
2025843205,25LA02742,25,X0146,84,A,69,Z0000,83,3.0,,S3,97,2,0,Y,,040225,92,8,1,3.5,2,3,0,2,13.7,5,1,X3205,84,A,00,,,,,,.,.,1,1,..,OR,Y,2,,0,0,0,1,,,,2025-04-02,,31,127,H,,
2025126198,25LA02743,25,S3032,12,,15,S3360,12,5.0,,43,07,1,0,N,,040225,92,9,1,1.5,3,1,0,2,12.1,2,1,S6198,12,,07,,,,,,.,STUCKSAC+PULL,7,1,..,,Y,1,,1,1,3,1,,,,2025-04-02,,29,127,2,,
2025126199,25LA02744,25,S3032,12,,15,S3360,12,5.0,,43,07,1,0,N,,040225,92,9,1,1.5,3,2,R,4,12.2,1,1,S6199,12,,07,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,44,134,2,,
2025126200,25LA02745,25,S3032,12,,15,S3360,12,5.0,,43,07,1,0,N,,040225,92,9,1,1.5,3,1,0,4,8.8,1,1,S6200,12,,07,6,93,67,,,.,FailToThrive,1,1,..,,Y,3,,0,0,0,1,,,,2025-04-02,,,,,,
2025126201,25LA02746,25,S2008,12,,23,S4512,12,6.0,,07,07,1,0,N,,040225,92,9,1,2.0,3,2,0,4,12.7,1,1,S6201,12,,07,,,,,,2@ONCE,3RD,4,5,..,,Y,1,,1,1,3,1,,,,2025-04-02,,53,134,1,,
D25LA02747,25LA02747,25,S2008,12,,23,S4512,12,6.0,,07,07,1,0,N,,040225,92,9,1,2.0,3,1,0,2,11.5,1,1,.,,,,1,92,44,,,.,.,7,5,..,,Y,2,,0,0,0,0,,,,2025-04-02,,,,,,
D25LA02748,25LA02748,25,S2008,12,,23,S4512,12,6.0,,07,07,1,0,N,,040225,92,9,1,2.0,3,1,0,2,7.5,1,1,.,,,,1,92,44,,,.,.,7,5,..,,Y,3,,0,0,0,0,,,,2025-04-02,,,,,,
2025843206,25LA02749,25,X0710,84,A,41,Z9801,83,2.0,,97,97,2,,N,,040225,92,8,1,3.0,2,2,0,2,11.9,6,1,X3206,84,A,97,,,,,,.,.,1,1,..,RPR,Y,1,,1,1,2,1,,,,2025-04-02,,34,128,H,,
2025843207,25LA02750,25,X0710,84,A,41,Z9801,83,2.0,,97,97,2,,N,,040225,92,8,1,3.0,2,2,0,2,16.6,6,1,X3207,84,A,97,,,,,,.,.,1,1,..,RPR,Y,2,,0,0,0,1,,,,2025-04-02,,52,128,H,,
2025705348,25LA02751,25,L3079,70,,63,L3846,70,4.0,,PC,PC,2,0,N,,040225,92,8,1,3.5,3,1,0,2,13.7,5,1,L5348,70,,PC,,,,,,.,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,44,134,2,,
2025705349,25LA02752,25,L3079,70,,63,L3846,70,4.0,,PC,PC,2,0,N,,040225,92,8,1,3.5,3,1,0,4,13.2,5,1,L5349,70,,PC,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,44,134,2,,
2025843208,25LA02753,25,M0664,51,,69,Z0000,83,3.0,,LP,97,2,0,Y,,040225,92,8,1,4.0,1,2,0,2,11.1,5,1,X3208,84,,00,,,,,,SAGGY.BAG,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,39,134,2,,
2025843209,25LA02754,25,M0664,51,,69,Z0000,83,3.0,,LP,97,2,0,Y,,040225,92,8,1,4.0,1,2,0,2,10.0,5,1,X3209,84,,00,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,32,134,2,,
2025645692,25LA02755,25,K5132,64,,3,K5510,64,8.0,,06,06,1,,N,,040225,92,5,1,3.0,2,2,0,2,14.9,1,1,K5692,64,,06,,,,,,.,.,2,3,..,,Y,1,,1,1,1,1,,,,2025-04-02,,51,134,1,,
2025843210,25LA02756,25,X0016,84,,69,Z0000,83,3.0,,LR,97,2,0,Y,,040225,92,8,1,3.0,3,2,0,2,11.2,5,1,X3210,84,,00,,,,,,.,2ND,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,39,134,2,,
2025843211,25LA02757,25,X0016,84,,69,Z0000,83,3.0,,LR,97,2,0,Y,,040225,92,8,1,3.0,3,3,0,2,18.7,5,1,X3211,84,,00,,,,,,.,1ST.BORN,8,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,53,134,2,,
2025126202,25LA02758,25,S4326,12,,22,S4285,12,3.0,,07,07,1,,N,,040225,92,8,1,3.0,3,2,0,4,11.6,1,1,S6202,12,,07,,,,,,.,1ST,6,4,..,,Y,1,,1,1,2,1,,,,2025-04-02,,39,134,2,,
2025126203,25LA02759,25,S4326,12,,22,S4285,12,3.0,,07,07,1,,N,,040225,92,8,1,3.0,3,2,0,2,12.6,1,1,S6203,12,,07,,,,,,.,2ND,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,39,134,2,,
2025705350,25LA02760,25,L4794,70,A,e5,L0000,70,1.0,,PC,PC,4,0,Y,,040225,92,5,1,4.0,3,2,0,3,10.5,5,2,L5350,70,A,PC,,,,,,4TTS,.,1,1,..,OR,Y,1,,1,1,1,1,,,,2025-04-02,,33,127,H,,
2025062762,25LA02761,25,A2073,06,,e1,A0000,06,1.0,,30,30,4,0,Y,,040225,92,8,1,2.5,2,2,0,2,7.6,1,1,A2762,06,,30,,,,,,.,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,21,134,2,,
2025062763,25LA02762,25,A2073,06,,e1,A0000,06,1.0,,30,30,4,0,Y,,040225,92,8,1,2.5,2,2,0,2,6.7,1,1,A2763,06,,30,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,23,134,W,,
2025458728,25LA02763,25,T7820,45,,46,T7956,45,4.0,,02,02,2,7,N,,040225,92,8,1,3.0,3,2,0,2,11.3,1,1,T8728,45,,02,,,,,,.,.,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,37,134,2,,
2025458729,25LA02764,25,T7820,45,,46,T7956,45,4.0,,02,02,2,7,N,,040225,92,8,1,3.0,3,2,0,2,10.5,1,1,T8729,45,,02,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,36,134,2,,
2025705351,25LA02765,25,L3877,70,A,67,L4174,70,2.0,,PC,PC,2,,N,,040225,92,8,1,2.0,4,1,0,2,10.7,5,1,L5351,70,A,PC,,,,,,.,1ST,1,1,..,,Y,1,,1,1,2,1,,,,2025-04-02,,24,134,2,,
2025705352,25LA02766,25,L3877,70,A,67,L4174,70,2.0,,PC,PC,2,,N,,040225,92,8,1,2.0,4,1,0,2,11.9,5,1,L5352,70,A,PC,,,,,,.,2ND,3,4,..,,Y,2,,0,0,0,1,,,,2025-04-02,,28,134,2,,
2025705353,25LA02767,25,L2659,70,A,61,L3760,70,5.0,,PC,PC,2,0,N,,040225,92,8,1,3.0,4,1,0,4,15.8,5,1,L5353,70,A,PC,,,,,,.,.,1,1,..,OR,Y,1,,1,1,2,1,,,,2025-04-02,,32,127,H,,
2025705354,25LA02768,25,L2659,70,A,61,L3760,70,5.0,,PC,PC,2,0,N,,040225,92,8,1,3.0,4,1,0,4,12.8,5,1,L5354,70,A,PC,,,,,,.,.,1,1,..,OR,Y,2,,0,0,0,1,,,,2025-04-02,,35,127,H,,
2025705355,25LA02769,25,L3644,70,A,53,L3309,70,3.0,,PC,PC,2,0,N,,040225,92,9,1,4.0,4,1,0,2,10.9,5,1,L5355,70,A,PC,,,,,,.,.,1,1,..,,Y,1,,1,1,3,1,,,,2025-04-02,,47,134,2,,
2025705356,25LA02770,25,L3644,70,A,53,L3309,70,3.0,,PC,PC,2,0,N,,040225,92,9,1,4.0,4,2,0,2,9.0,5,1,L5356,70,A,PC,,,,,,.,.,1,1,..,,Y,2,,0,0,0,1,,,,2025-04-02,,32,134,2,,
D25LA02771,25LA02771,25,L3644,70,A,53,L3309,70,3.0,,PC,PC,2,0,N,,040225,92,9,1,4.0,4,1,0,2,11.0,5,1,.,,,,1,92,44,,,.,.,1,1,..,,Y,3,,0,0,0,0,,,,2025-04-02,,,,,,
2025843212,25LA02772,25,X1757,84,A,e3,L0000,70,1.0,,97,PC,4,0,Y,,040225,92,5,1,3.0,3,3,0,2,15.3,5,2,X3212,84,A,00,6,117,42,,,3TTS,Neuro,3,4,..,PUR,Y,1,,1,1,1,1,,,,2025-04-02,,,,,,
2025458730,25LA02773,25,T6963,45,,46,T7956,45,7.0,,02,02,2,0,N,,040225,92,8,1,3.0,2,1,0,2,13.4,2,1,T8730,45,,02,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,,,,2025-04-02,,19,134,2,,
2025458731,25LA02774,25,T6963,45,,46,T7956,45,7.0,,02,02,2,0,N,,040225,92,8,1,3.0,2,2,0,2,10.3,1,3,T8731,45,,02,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,,,,2025-04-02,,25,134,2,,
2025705357,25LA02775,25,L4053,70,A,58,L3531,70,2.0,,PC,PC,2,,N,,040225,92,7,1,4.5,3,2,0,4,13.4,5,1,L5357,70,A,PC,,,,,,4FUNCT.TTS,.,1,1,..,OR,J,1,,1,1,2,1,,,,2025-04-02,,31,127,H,,
D25LA02776,25LA02776,25,L4053,70,A,58,L3531,70,2.0,,PC,PC,2,,N,,040225,92,7,1,4.5,3,2,0,2,6.0,5,1,.,,,,1,92,44,,,.,.,1,1,..,OR,J,2,,0,0,0,0,,,,2025-04-02,,,,,,
2025126204,25LA02777,25,S4701,12,,23,S4512,12,2.0,,07,07,1,,N,,040225,92,8,1,3.5,2,2,0,2,8.0,1,1,S6204,12,,07,,,,,,SM.BAG,.,1,1,..,,J,1,,1,1,2,1,,,,2025-04-02,,28,134,2,,
