UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
09LA03323,09,H2315,05,00,br3,X0000,82,3.0,,33,00,1,0,y,X,041709,107,9,2,3,13.6,5,1,X8169,82,,00,6,117,95,H2341,-,.,.,.,.,..,BR3,J,3,,0,0,0,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03324,09,X4567,82,00,e21,00426,00,2.0,,TR,Tx,4,0,y,.,041709,107,5,3,3,15.0,1,1,X8170,82,,MY,,,,,,MASTITIS,4T E VET FIX,8,2,..,MYO,J,1,,1,1,1,1,1,1.0,87,2009-04-17,0.0,38,140,2,67,183
09LA03325,09,T2202,45,48,T2,T0000,45,1.0,,02,02,2,0,y,.,041709,107,5,1,2,13.0,5,1,X8171,82,,02,,,,,,.,.,8,2,..,.,J,1,,1,1,1,1,1,1.0,103,2009-04-17,,23,127,H,68,181
09LA03326,09,R6541,11,18,44,20190,00,3.0,,07,RW,2,0,y,.,041709,107,8,3,2,10.5,1,1,X8172,82,,R3,,,,,,.,HAIRY,3,3,..,.,J,2,,0,0,0,1,1,1.0,74,2009-04-17,0.0,23,140,2,47,183
09LA03327,09,R6541,11,18,44,20190,00,3.0,,07,RW,2,0,y,.,041709,107,8,3,2,11.8,1,1,X8173,82,,R3,,,,,,.,1ST.SLIGHTH,.,.,.,.,J,1,,1,1,2,1,1,1.0,74,2009-04-17,0.0,25,140,2,50,183
09LA03328,09,T2153,45,48,T3,T0000,45,1.0,,02,02,2,0,y,.,041709,107,5,3,3,10.6,1,1,T2820,45,,02,,,,,,GOOD U,.,.,.,..,.,J,1,,1,1,1,1,1,1.0,56,2009-04-17,,19,140,2,36,183
09LA03329,09,H3454,05,88,34,00740,00,2.0,,30,30,2,0,y,L,041709,107,9,1,2,7.2,1,1,H5489,05,,30,,,,,,1ST.,1ST,6,3,..,.,J,1,,1,1,3,1,1,1.0,62,2009-04-17,0.0,17,140,2,37,183
09LA03330,09,H3454,05,88,34,00740,00,2.0,,30,30,2,0,y,L,041709,107,9,1,1,3.8,5,1,,,,30,1,107,44,,,.,DAB,.,.,..,.,J,2,,0,0,0,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03331,09,H3454,05,88,34,00740,00,2.0,,30,30,2,0,y,L,041709,107,9,1,2,5.5,1,1,H5490,05,,30,,0,,,,.,3RD.  WAS X8174,5,3,..,.,J,3,,0,0,0,1,1,1.0,58,2009-04-17,0.0,13,140,2,34,183
09LA03332,09,H2810,05,00,br2,X0000,82,3.0,,33,00,1,0,y,X,041709,107,5,3,2,12.3,5,1,X8175,82,,00,6,183,93,,,.,ENTRPN PP 8655,.,.,..,BR2,J,1,,1,1,1,1,0,0.0,0,2009-04-17,0.0,37,140,H,84,181
09LA03333,09,X6421,82,99,e4,X4445,82,1.0,,T3,SC,4,0,N,.,041709,107,1,3,2,13.2,1,1,,,,PC,1,107,44,H5503,+,DEAD,DAB,8,4,..,TSC,J,1,,1,1,1,1,0,0.0,0,2009-04-17,0.011,,,,,
09LA03334,09,R5420,11,18,57,R6538,11,4.0,,07,07,2,0,N,.,041709,107,8,3,2,10.0,1,1,R7941,11,,07,,0,,,,.,HAIRY,.,.,..,.,J,1,,1,1,2,1,1,1.0,48,2009-04-17,0.044,21,140,2,41,183
09LA03335,09,R5420,11,18,57,R6538,11,4.0,,07,07,2,0,N,.,041709,107,8,3,1,10.0,1,1,R7942,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,71,2009-04-17,0.044,28,140,2,46,183
09LA03336,09,H4073,05,88,e24,H2304,05,1.0,,30,30,4,0,y,.,041709,107,5,3,2,9.5,1,2,H5491,05,,30,,,,,,.,.,.,.,..,.,J,1,,1,1,1,1,1,1.0,73,2009-04-17,0.036,20,140,2,45,183
09LA03337,09,R3933,11,18,47,20676,00,7.0,,07,RW,2,0,y,.,041709,107,9,3,2,10.6,1,1,X8176,82,,R3,,,,,,.,HAIRY,.,.,..,.,J,1,,1,1,3,1,1,1.0,68,2009-04-17,0.0,22,140,2,44,183
09LA03338,09,R3933,11,18,47,20676,00,7.0,,07,RW,2,0,y,.,041709,107,9,3,2,9.4,1,1,X8177,82,,R3,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,64,2009-04-17,0.0,19,140,2,42,183
09LA03339,09,R3933,11,18,47,20676,00,7.0,,07,RW,2,0,y,.,041709,107,9,3,2,10.8,1,1,X8178,82,,R3,6,140,01,,,.,.,.,.,..,.,J,3,,0,0,0,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03340,09,X6645,82,99,e20,00027,00,1.0,,TR,Tx,4,0,y,.,041709,107,5,3,3,12.7,2,1,X8179,82,,MY,,,,,,.,.,.,.,..,MYO,J,1,,1,1,1,1,1,1.0,84,2009-04-17,0.0,32,140,2,55,183
09LA03341,09,H0987,05,82,31,07142,00,5.0,,30,30,2,0,N,.,041709,107,8,2,1,11.5,1,1,H5492,05,,30,,,,,,.,.,.,.,..,Ctl,J,1,,1,1,2,1,1,1.0,80,2009-04-17,0.0,25,140,2,49,183
09LA03342,09,H0987,05,82,31,07142,00,5.0,,30,30,2,0,N,.,041709,107,8,2,2,11.7,1,1,H5493,05,,30,,,,,,.,.,.,.,..,Ctl,J,2,,0,0,0,1,1,1.0,80,2009-04-17,0.0,26,140,2,53,183
09LA03343,09,R5390,11,18,44,20190,00,4.0,,07,RW,2,0,y,.,041709,107,9,3,3,8.2,8,1,X8180,82,,R3,,,,,,.,HAIRY,.,.,..,.,J,1,,1,1,3,1,1,1.0,58,2009-04-17,0.0,17,140,2,36,183
09LA03344,09,R5390,11,18,44,20190,00,4.0,,07,RW,2,0,y,.,041709,107,9,3,3,10.6,2,1,X8181,82,,R3,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,69,2009-04-17,0.0,22,140,2,45,183
09LA03345,09,R5390,11,18,44,20190,00,4.0,,07,RW,2,0,y,.,041709,107,9,3,2,9.3,9,1,X8182,82,,BL,,,,,,.,HAIRY,.,.,..,.,J,3,,0,0,0,1,1,1.0,63,2009-04-17,0.0,21,140,2,38,183
