ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2013701016,13LA00071,13,X7359,82,,25,X9831,82,4.0,4,C3,S3,1,,N,,031113,70,8,3,2,R,4,10.7,2,1,L1016,70,,PC,,,,,,.,<05BLK,1,1,..,OR,J,1,,1,1,2,1,1,1.0,55,2013-03-11,0.026,23,115,3,,
2013701017,13LA00072,13,X7359,82,,25,X9831,82,4.0,4,C3,S3,1,,N,,031113,70,8,3,2,R,2,11.1,2,1,L1017,70,,PC,,,,,,.,<05BRN,1,1,..,OR,J,2,,0,0,0,1,1,1.0,59,2013-03-11,0.026,27,115,3,,
2013701018,13LA00073,13,L0164,70,,18,L0239,70,3.0,3,PC,PC,1,0,N,,031113,70,8,0,1,0,4,11.0,5,1,L1018,70,,PC,6,133,10,T3437,-,TERM.C.SECTION,30BLK,C,S,..,OR,J,1,,1,1,2,1,0,,,2013-03-11,0.007,39,115,3,,
2013701019,13LA00074,13,L0164,70,,18,L0239,70,3.0,3,PC,PC,1,0,N,,031113,70,8,0,1,2,2,13.6,5,1,L1019,70,,PC,6,71,46,X6519,-,.,30BLK,C,S,..,OR,J,2,,0,0,0,1,0,0.0,0,2013-03-11,0.007,,,,,
D13LA00075,13LA00075,13,L0556,70,,e9,L0289,70,1.0,1,PC,PC,4,0,N,,031213,71,1,3,2,.,.,7.2,1,1,.,,,,1,71,44,T4686,+,LOOKS LIKE POLY,DAB,1,1,..,OR,J,1,,1,1,1,0,0,0.5,0,2013-03-12,0.011,,,,,
2013831491,13LA00076,13,X7464,82,,5,Z1454,00,4.0,4,97,97,1,,N,,031213,71,7,3,1,0,2,9.3,6,1,Z1491,83,,97,,,,,,.,.,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,103,2013-03-12,0.0,43,115,3,,
D13LA00077,13LA00077,13,X7464,82,,5,Z1454,00,4.0,4,97,97,1,,N,,031213,71,7,3,1,.,.,10.5,6,1,.,,,,1,71,44,,,.,DAB,1,1,..,B3G,J,2,,0,0,0,0,0,0.0,0,2013-03-12,0.0,,,,,
D13LA00078,13LA00078,13,H7896,05,,e20,H5936,05,1.0,1,30,30,4,0,N,,031213,71,2,1,2,.,.,4.8,1,1,.,,,,0,71,27,,,SMALL.BAG,IMM,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2013-03-12,0.028,,,,,
2013831492,13LA00079,13,X8899,82,,26,K4924,00,3.0,3,TS,06,1,0,N,,031213,71,5,3,2,2,2,14.3,5,1,Z1492,83,,C3,,,,,,.,25GR.REYEULCER,1,1,..,,J,1,,1,1,1,1,1,1.0,102,2013-03-12,0.0,54,115,1,,
2013701020,13LA00080,13,X5951,82,99,28,X8610,82,5.0,5,SC,T3,1,,N,,031213,71,8,2,1,0,2,11.5,1,1,L1020,70,,PC,6,71,14,,,DRY EWE,Frozen?,1,1,..,OR,J,1,,1,1,2,1,0,0.0,0,2013-03-12,0.007,,,,,
2013701021,13LA00081,13,X5951,82,99,28,X8610,82,5.0,5,SC,T3,1,,N,,031213,71,8,2,2,0,4,11.3,5,1,L1021,70,,PC,6,71,14,,,.,Frozen?,1,1,..,OR,J,2,,0,0,0,1,0,0.0,0,2013-03-12,0.007,,,,,
D13LA00082,13LA00082,13,L0787,70,,e10,L0476,70,1.0,1,PC,PC,4,0,N,,031213,71,0,2,.,.,.,0.0,.,.,.,,,,0,71,27,,,SMBAG.RP,NOT.FOUND,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2013-03-12,0.007,,,,,
D13LA00083,13LA00083,13,H7896,05,,e20,H5936,05,1.0,1,30,30,4,0,N,,031213,71,2,1,2,.,.,5.1,1,1,.,,,,0,71,27,,,.,IMM,8,1,..,,J,2,,0,0,0,0,0,0.0,0,2013-03-12,0.028,,,,,
2013701022,13LA00084,13,Z0095,83,,27,X7416,82,2.0,2,CS,T3,1,0,N,,031213,71,5,3,2,0,3,15.0,2,1,L1022,70,,PC,,,,,,.,<05BLK SCOURS,1,1,..,OR,J,1,,1,1,1,1,1,1.0,93,2013-03-12,0.003,39,115,3,,
2013831493,13LA00085,13,X8957,82,,22,Z1456,00,3.0,3,SC,Tx,1,0,N,,031213,71,8,2,1,0,2,8.9,5,1,Z1493,83,,T3,,,,,,.,10BL/BRN,1,1,..,,J,1,,1,1,2,1,1,1.0,92,2013-03-12,0.0,36,115,1,,
2013831494,13LA00086,13,X8957,82,,22,Z1456,00,3.0,3,SC,Tx,1,0,N,,031213,71,8,2,1,2,2,8.6,2,1,Z1494,83,,T3,6,71,67,,,LAMB COMPACTED,<05BRN.W,1,1,..,,J,2,,0,0,0,1,0,0.0,0,2013-03-12,0.0,,,,,
2013831495,13LA00087,13,X7244,82,,7,Z1458,00,4.0,4,97,97,1,,N,,031213,71,8,3,1,0,3,16.0,6,1,Z1495,83,,97,,,,,,.,NICE LAMB,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,93,2013-03-12,0.0,40,115,3,,
2013831496,13LA00088,13,X7244,82,,7,Z1458,00,4.0,4,97,97,1,,N,,031213,71,8,3,2,0,4,12.4,6,1,Z1496,83,,97,,,,,,.,.,1,1,..,B3G,J,2,,0,0,0,1,1,1.0,64,2013-03-12,0.0,33,115,3,,
2013454680,13LA00089,13,T1305,45,ID,36,T4626,45,6.0,6,02,02,1,7,N,,031213,71,5,3,2,0,2,11.0,1,1,T4680,45,,02,6,98,42,,,LAMB FEVER EUTH,SCOUR.RFABSCESS,1,1,..,SEL,J,1,,1,1,1,1,0,0.0,0,2013-03-12,0.024,,,,,
2013831497,13LA00090,13,X5711,82,99,23,Z1459,00,5.0,5,CS,Tx,1,,N,,031213,71,8,3,1,2,4,14.5,2,1,Z1497,83,,T3,,,,,,.,<10BLK,1,1,..,,J,1,,1,1,2,1,1,1.0,95,2013-03-12,0.0,45,115,1,,
