UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
03IN00205,1999090835,90835,09,90835,99,2,68,1,06,L01,009300,912763,.,,JAR,,1,.,1,,202,199,2,,,,G,53K,1,4.0,THIN,,,,0,0,0,2003
03IN00206,1999090844,90844,09,90844,99,2,88,1,30,L45,467804,262804,.,,,,1,.,2,,154,143,2,W,,,.,02P,1,4.0,,,,,0,0,0,2003
03IN00207,1999090866,90866,09,90866,99,2,00,1,92,L-0,000044,953863,1,,,0,1,BLK,2,,208,203,4,B,,,X,BLK,1,4.0,BLACK EWE,Blk,,,0,0,0,2003
03IN00208,1999090870,90870,09,90870,99,2,88,1,30,L40,468304,485704,.,,,,1,.,1,,188,178,2,C,,,.,12P,1,4.0,,,,,0,0,0,2003
03IN00209,1999090880,90880,09,90880,99,2,88,1,30,L42,452804,268204,.,,,,1,.,1,,174,177,2,,,,.,17,3,4.0,,,,,0,0,0,2003
03IN00210,1999090883,90883,09,90883,99,2,18,1,07,L34,800810,436310,.,,,,1,.,2,,157,166,2,,,,.,33R,1,4.0,THIN,,,,0,0,0,2003
03IN00211,1999090905,90905,09,90905,99,2,18,1,07,L34,800810,886410,.,,,,1,.,5,,155,176,1,,,,.,36,2,4.0,,,,,0,0,0,2003
03IN00212,1999090913,90913,09,90913,99,2,68,1,06,L06,988463,731163,.,,,,1,.,2,,182,179,2,,,,G,44,2,4.0,,,,,0,0,0,2003
03IN00213,1999090925,90925,09,90925,99,2,18,1,07,L15,790810,725600,.,,,,1,.,2,,147,150,2,,,,.,37,2,4.0,THIN,,,,0,0,0,2003
03IN00214,1999090927,90927,09,90927,99,2,18,1,07,L15,790810,605200,.,,,,6,G1B,4,,132,0,0,,10,0527,.,,.,4.0,,,,,0,0,0,2003
03IN00215,1999090952,90952,09,90952,99,2,88,1,30,L42,452804,297104,.,,,,1,.,2,,190,166,2,,,,.,18,3,4.0,,,,,0,0,0,2003
03IN00216,1999090953,90953,09,90953,99,2,88,1,30,L42,452804,297104,.,,,,1,.,2,,151,161,2,C,,,.,13P,1,4.0,"VLTS,CHK.EYE",,,,0,0,0,2003
03IN00217,1999090956,90956,09,90956,99,2,68,1,06,L01,009300,709663,.,,JAR,,1,.,1,,215,207,2,,,,G,54K,1,4.0,,,,,0,0,0,2003
03IN00218,1999090990,90990,09,90990,99,2,18,1,07,L14,845110,714400,.,,,,1,G1A,4,,149,160,2,,,,.,38,2,4.0,,,,,0,0,0,2003
03IN00219,1999091003,91003,09,91003,99,2,18,1,07,L12,875110,512700,.,,,,1,G1B,5,,159,186,1,,,,.,41,2,4.0,,,,,0,0,0,2003
03IN00220,1999091009,91009,09,91009,99,2,18,1,07,L11,879210,049405,.,,,,1,G1B,5,,158,179,1,,,,.,42,2,4.0,1TAG,,,,0,0,0,2003
03IN00221,1999091020,91020,09,91020,99,2,18,1,07,L30,687710,803510,.,,,,1,G1A,4,,154,181,4,S,,,.,43,2,4.0,,,,,0,0,0,2003
03IN00222,1999091046,91046,09,91046,99,2,68,1,06,L05,014300,902463,.,,JAR,,1,.,2,,216,187,2,,,,G,46,2,4.0,DYSTOCIA,,,,0,0,0,2003
03IN00223,1999091058,91058,09,91058,99,2,18,1,07,L13,866710,007605,.,,,,1,.,1,,167,175,2,,,,.,34R,1,4.0,,,,,0,0,0,2003
03IN00224,1999091072,91072,09,91072,99,2,18,1,07,L32,878110,712300,.,,,,1,.,1,,141,150,2,,,,.,31R,1,4.0,,,,,0,0,0,2003
03IN00225,1999091075,91075,09,91075,99,2,18,1,07,L31,784210,458310,.,,,,O,OVX,5,,155,0,0,X,,,.,O,O,4.0,"?BRED, OVX",,,,0,0,0,2003
03IN00226,1999091084,91084,09,91084,99,2,88,1,30,L41,444104,289304,.,,,,O,OVX,5,,161,0,0,X,,,.,O,O,4.0,OVX,,,,0,0,0,2003
03IN00227,1999091108,91108,09,91108,99,2,88,1,30,L42,452804,120604,.,,,,1,.,1,,171,172,2,W,,,.,02P,1,4.0,,,,,0,0,0,2003
03IN00228,1999091120,91120,09,91120,99,2,18,1,07,L11,879210,603700,.,,,,1,.,2,,169,175,2,,,,.,32R,1,4.0,,,,,0,0,0,2003
03IN00229,1999091125,91125,09,91125,99,2,88,1,30,L43,439504,479304,.,,,,1,.,2,,190,186,2,,,,.,21,3,4.0,,,,,0,0,0,2003
03IN00230,1999091137,91137,09,91137,99,2,18,1,07,L11,879210,732400,.,,,,1,.,2,,166,160,2,,,,.,33R,1,4.0,,,,,0,0,0,2003
03IN00231,1999091149,91149,09,91149,99,2,88,1,30,L41,444104,205704,.,,,,3,.,1,,157,145,11,,93,1015,.,,.,4.0,"X, BAG",,,4298,0,0,0,2003
03IN00232,1999091174,91174,09,91174,99,2,88,1,30,L42,452804,356404,.,,,,1,.,2,,151,156,4,C,,,.,14P,1,4.0,,,,,0,0,0,2003
03IN00233,1999091188,91188,09,91188,99,2,18,1,07,L16,677210,048005,.,,,,1,G1B,4,,171,193,1,,,,.,44,2,4.0,BRN.EARS,,,,0,0,0,2003
03IN00234,1999091219,91219,09,91219,99,2,88,1,30,L44,367804,276904,.,,,,1,.,1,,186,192,2,W,,,.,03P,1,4.0,,,,,0,0,0,2003
03IN00235,1999091251,91251,09,91251,99,2,68,1,06,L02,013100,591563,.,,JAR,,1,.,1,,217,195,2,,,,G,54K,1,4.0,TALL,,,,0,0,0,2003
03IN00236,1999091265,91265,09,91265,99,2,18,1,07,L15,790810,015905,.,,,,1,G1A,4,,152,155,2,,,,.,45,2,4.0,DYSTOCIA,,,,0,0,0,2003
03IN00237,1999091271,91271,09,91271,99,2,00,1,92,L-0,000044,930563,1,,,0,1,BLK,1,,151,169,2,B,,,X,BLK,1,4.0,"R.EYE,FILM",Blk,,,0,0,0,2003
03IN00238,1999091276,91276,09,91276,99,2,18,1,07,L14,845110,606500,.,,,,3,.,H,,180,191,4,,93,1022,.,,.,4.0,"RUPTURE,THIN",,,4385,0,0,0,2003
03IN00239,1999091281,91281,09,91281,99,2,68,1,06,L02,013100,830663,.,,JAR,,6,.,1,,204,160,2,,50,0909,G,,.,4.0,"CLA, OPP, +-",,,,0,0,0,2003
03IN00240,1999091362,91362,09,91362,99,2,18,1,07,L35,815210,792110,.,,,,1,G1A,4,,153,181,2,S,,,.,46,2,4.0,SW.BAG,,,,0,0,0,2003
03IN00241,1999091379,91379,09,91379,99,2,18,1,07,L15,790810,607100,.,,,,1,G1B,4,,159,163,5,,,,.,47,2,4.0,,,,,0,0,0,2003
03IN00242,1994041738,A1738,04,A1738,94,2,73,2,30,  6,961403,287603,.,,,,O,OVX,*,,0,0,0,X,95,0429,.,O,O,8.5,TAG CUT '2002,,,,0,0,0,2003
03IN00243,1995041918,A1918,04,A1918,95,2,81,1,30, 03,003804,775403,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,.,8.0,DYSTOCIA'97,U,,864,0,0,0,2003
03IN00244,1995042248,A2248,04,A2248,95,2,ch,1,30,  0,686803,784003,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,.,8.0,BRITCHY,U,,861,0,0,0,2003
03IN00245,1995042479,A2479,04,A2479,95,2,ch,1,00,J09,424444,112904,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,.,8.0,"URI,COUGH",U,,865,0,0,0,2003
