UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03010,2009054840,H4840,05,H4840,09,2,,1,30,e17,H2270,05,H3871,05,,,,1,,1,,81,120,2,,,,,58,2,1.0,,,,0,1,,0.067,,2010
10IN03011,2009055071,H5071,05,H5071,09,2,,1,30,61,H3144,05,H3404,05,,,,1,,H,,97,86,12,,93,1019,,,,1.0,,,,9792,1,,0.067,,2010
10IN03012,2009055265,H5265,05,H5265,09,2,,1,30,53,H3424,05,H1478,05,,,,1,,D,,117,170,1,,,,,68,2,1.0,,,,0,1,,0.054,,2010
10IN03013,2009055229,H5229,05,H5229,09,2,,1,30,50,H2789,05,H2201,05,,,,1,,H,,107,101,2,,,,,67,2,1.0,,,,0,1,,0.038,,2010
10IN03014,2009055484,H5484,05,H5484,09,2,,1,30,49,H2171,05,H2897,05,,,,1,,1,,106,129,2,,,,,55,2,1.0,,,,0,1,,0.044,,2010
10IN03015,2009055220,H5220,05,H5220,09,2,,1,30,49,H2171,05,H3143,05,,,,1,,2,,88,122,2,,,,,73,2,1.0,,,,0,1,,0.046,,2010
10IN03016,2009055076,H5076,05,H5076,09,2,,1,30,53,H3424,05,H2790,05,,,,3,,2,,109,134,2,,93,1007,,,,1.0,,,,9633,1,,0.036,,2010
10IN03017,2009054925,H4925,05,H4925,09,2,,1,30,49,H2171,05,H0888,05,,,,1,,1,,116,138,2,,,,,64,2,1.0,,,,0,1,,0.053,,2010
10IN03018,2009054655,H4655,05,H4655,09,2,,1,30,49,H2171,05,H0564,05,,,,1,,1,,99,141,2,,,,,73,2,1.0,,,,0,1,,0.05,,2010
10IN03019,2009055541,H5541,05,H5541,09,2,,1,30,e23,H2490,05,H4068,05,,,,3,,2,,90,118,2,,93,1007,,,,1.0,,,,9491,1,,0.117,,2010
10IN03020,2009055114,H5114,05,H5114,09,2,,1,30,51,H3215,05,A9062,04,,,,1,,1,,90,131,2,,,,,69,2,1.0,,,,0,1,,0.047,,2010
10IN03021,2009055207,H5207,05,H5207,09,2,,1,30,50,H2789,05,H3242,05,,,,1,,2,,103,132,2,,,,,65,2,1.0,,,,0,1,,0.035,,2010
10IN03022,2009055343,H5343,05,H5343,09,2,,1,30,e23,H2490,05,H4261,05,,,,1,,2,,131,172,2,,,,,56,2,1.0,,,,0,1,,0.066,,2010
10IN03023,2009055160,H5160,05,H5160,09,2,,1,30,54,H3693,05,H3466,05,,,,1,,1,,96,132,2,,,,,64,2,1.0,,,,0,1,,0.051,,2010
10IN03024,2009054847,H4847,05,H4847,09,2,,1,30,49,H2171,05,H2890,05,,,,1,,D,,120,166,1,,,,,69,2,1.0,,,,0,1,,0.047,,2010
10IN03025,2009054660,H4660,05,H4660,09,2,,1,30,51,H3215,05,H0876,05,,,,1,,2,,106,137,2,,,,,55,2,1.0,,,,0,1,,0.05,,2010
10IN03026,2009054968,H4968,05,H4968,09,2,,1,30,49,H2171,05,H3188,05,,,,1,,D,,108,158,1,,,,,58,2,1.0,,,,0,1,,0.0,,2010
10IN03027,2009054750,H4750,05,H4750,09,2,,1,30,52,H3271,05,H1903,05,,,,1,,1,,111,147,2,,,,,56,2,1.0,,,,0,1,,0.064,,2010
10IN03028,2009055241,H5241,05,H5241,09,2,,1,30,61,H3144,05,H3056,05,,,,3,,1,,98,139,2,,93,1019,,,,1.0,,,,9974,1,,0.068,,2010
10IN03029,2009055399,H5399,05,H5399,09,2,,1,30,54,H3693,05,H2403,05,,,,1,,2,,108,146,2,,,,,68,2,1.0,,,,0,1,,0.07,,2010
10IN03030,2009055092,H5092,05,H5092,09,2,,1,30,50,H2789,05,H3123,05,,,,1,,D,,91,143,1,,,,,52,2,1.0,,,,0,1,,0.036,,2010
10IN03031,2009055272,H5272,05,H5272,09,2,,1,30,49,H2171,05,H2397,05,,,,1,,1,,96,128,2,,,,,73,2,1.0,,,,0,1,,0.043,,2010
10IN03032,2009054785,H4785,05,H4785,09,2,,1,30,62,H3669,05,H3528,05,,,,1,,D,,104,157,1,,,,,56,2,1.0,,,,0,1,,0.052,,2010
10IN03033,2009055408,H5408,05,H5408,09,2,,1,30,50,H2789,05,H3676,05,,,,1,,2,,115,151,2,,,,,53,2,1.0,,,,0,1,,0.048,,2010
