UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
12IN00042,2006052354,H2354,05,H2354,06,2,88,1,30,04,H1112,05,H1303,05,0,,,1,.,2,.,162,194,2,,,,.,59,2,6.0,,Poly,,0,1,,0.052,,2012
12IN00043,2006052355,H2355,05,H2355,06,2,88,1,30,05,H1063,05,H1223,05,0,,,6,PTH,H,.,147,0,0,,13,0728,.,,,6.0,Wolf kill,Poly,,0,1,,0.064,,2012
12IN00044,2006052360,H2360,05,H2360,06,2,00,1,33,1,K0000,64,A8790,04,7,,,1,RN,H,.,159,159,4,,93,1024,X,,,6.0,,CxP,Albmn,11455,1,,0.0,,2012
12IN00045,2006052364,H2364,05,H2364,06,2,00,1,33,1,K0000,64,A8294,04,7,,,1,RN,H,.,183,222,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00046,2006052371,H2371,05,H2371,06,2,88,1,30,03,H0471,05,91125,09,0,,,1,.,H,.,145,178,2,,,,.,59,2,6.0,,Poly,Albmn,0,1,,0.063,,2012
12IN00047,2006052399,H2399,05,H2399,06,2,88,1,30,e34,H0994,05,H1847,05,7,,,1,WSW,H,.,202,207,2,,,,L,57,2,6.0,,Life,Albmn,0,1,,0.064,,2012
12IN00048,2006052401,H2401,05,H2401,06,2,88,1,30,e32,H0596,05,H1399,05,7,,,3,PTH,H,.,165,171,4,,93,1024,L,,,6.0,HAIRY,Life,,11434,1,,0.053,,2012
12IN00049,2006052429,H2429,05,H2429,06,2,00,1,33,1,K0000,64,A7509,04,7,,,1,RN,3,.,169,158,2,,,,X,BRT,5,6.0,SCOURS TX,CxP,Albmn,0,1,,0.0,,2012
12IN00050,2006052439,H2439,05,H2439,06,2,88,1,30,03,H0471,05,H1241,05,0,,,1,.,H,.,172,174,2,,,,.,BRT,5,6.0,,Poly,,0,1,,0.064,,2012
12IN00051,2006052460,H2460,05,H2460,06,2,00,1,33,1,K0000,64,H0591,05,7,,,1,RN,H,.,206,190,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00052,2006052508,H2508,05,H2508,06,2,88,1,30,04,H1112,05,P0149,05,0,,,6,.,2,.,0,0,0,,66,0410,.,,,6.0,NasalAdenocar,Poly,,0,1,,0.053,,2012
12IN00053,2006052522,H2522,05,H2522,06,2,88,1,30,e34,H0994,05,H1608,05,7,,,1,WSW,2,.,143,151,10,,93,1024,L,,,6.0,SCOURS TX,Life,,11389,1,,0.051,,2012
