UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLR,ALTID,INBRL,YRREC
06IN00029,2003303057, 3057,30, 3057,03,2,00,2,80,FL-,000081,868404,7,,,,2, 45,H,,201,194,2,,92,0921,F,,,2.5,,SxP,,7187,5,,0.0,2006
06IN00030,2003303058, 3058,30, 3058,03,2,00,2,33,FL-,000064,875104,7,,,,1,RN,1,,187,199,2,,,,F,15,1,2.5,,CxP,,0,1,,0.0,2006
06IN00031,2003303060, 3060,30, 3060,03,2,00,2,33,FL-,000064,560604,7,,,,1,RN,1,,223,211,2,,,,F,14,1,2.5,,CxP,,0,1,,0.0,2006
06IN00032,2003303064, 3064,30, 3064,03,2,00,2,80,FL-,000081,436804,7,,,,2, 48,3,,137,156,2,,92,0921,F,,,2.5,,SxP,,7214,5,,0.0,2006
06IN00033,2003303066, 3066,30, 3066,03,2,00,2,33,FL-,000064,737704,7,,,,1,RN,1,,154,167,3,,,,F,19,1,2.5,,CxP,,0,1,,0.0,2006
06IN00034,2003303078, 3078,30, 3078,03,2,00,2,80,FL-,000081,291204,7,,,,2, 46,3,,192,192,2,,92,0921,F,,,2.5,,SxP,,7202,5,,0.0,2006
06IN00035,2003303083, 3083,30, 3083,03,2,00,2,33,FL-,000064,288404,7,,,,1,RN,2,,174,186,6,,,,F,13,1,2.5,,CxP,,0,1,,0.0,2006
06IN00036,2003303085, 3085,30, 3085,03,2,00,2,33,FL-,000064,532004,7,,,,1,RN,1,,198,202,2,,,,F,12,1,2.5,,CxP,,0,1,,0.0,2006
06IN00037,2003303088, 3088,30, 3088,03,2,00,2,33,FL-,000064,367904,7,,,,B,RN,5,,213,227,1,,93,0919,F,,,2.5,PRODUCTION,CxP,,6808,1,,0.0,2006
06IN00038,2003303090, 3090,30, 3090,03,2,00,2,80,FL-,000081,879004,7,,,,2, 48,3,,167,174,1,,92,0921,F,,,2.5,,SxP,,7220,5,,0.0,2006
06IN00039,2003303101, 3101,30, 3101,03,2,00,2,33,FL-,000064,759104,7,,,,1,RN,2,,188,182,4,,,,F,17,1,2.5,,CxP,,0,1,,0.0,2006
06IN00040,2003303114, 3114,30, 3114,03,2,00,2,80,FL-,000081,693104,7,,,,B,RN,3,,199,189,1,,93,0919,F,,,2.5,R.EYE TX.,SxP,,6758,5,,0.0,2006
06IN00041,2003303160, 3160,30, 3160,03,2,00,2,33,FL-,000064,395204,7,,,,1,RN,5,,192,195,1,,,,F,11,1,2.5,LATEtoMILK,CxP,,0,1,,0.0,2006
06IN00050,1998008084, 8084,00, 8084,98,2,18,1,07,L-1,000010,741400,0,,,,3,.,2,,155,167,2,,,,.,A-I,,8.0,"LTS, BLK.EAR",Ramb,,6619,1,,0.0,2006
06IN00051,1998008091, 8091,00, 8091,98,2,18,1,07,L-1,000010,728300,2,,,,3,.,1,,136,166,4,,,,.,A-I,,8.0,VLTS PROBLEMS,Ramb,,6709,1,,0.0,2006
06IN00052,1998008286, 8286,00, 8286,98,2,68,1,06,L-5,895863,768863,0,,,,3,.,2,,181,188,2,,93,1205,G,A-I,,8.0,URI TX. AGE 8,Colu,,6605,1,,0.088,2006
06IN00053,1998008441, 8441,00, 8441,98,2,18,1,43,L11,752910,101000,0,,,,6,.,*,,0,0,0,,50,0411,.,,,8.0,"THIN,SLOW, X",Ramb,,0,1,,0.022,2006
06IN00054,1998008539, 8539,00, 8539,98,2,18,1,07,L13,735910,701810,2,,,,2, 36,2,,168,170,2,,92,0921,.,,,8.0,1TAG,Ramb,,7125,1,,0.035,2006
06IN00055,1998008601, 8601,00, 8601,98,2,18,1,07,L18,714610,514200,2,,,,3,.,5,,189,205,5,,93,1103,.,R-L,,8.0,"KETOTIC,DOWN",Ramb,,6809,1,,0.0,2006
06IN00056,1998008641, 8641,00, 8641,98,2,18,1,07,L21,678110,953000,2,,,,2, 36,2,,141,154,4,,92,0921,.,,,8.0,pg 4/24 156#,Ramb,,7123,1,,0.0,2006
06IN00057,1998008665, 8665,00, 8665,98,2,18,1,07,L12,674810,695810,2,,,,3,.,*,,0,0,0,,93,0508,.,,,8.0,MASTITIS 3/21,Ramb,,2092,1,,0.033,2006
06IN00058,1998008695, 8695,00, 8695,98,2,18,1,07,L14,677210,500500,0,,,,3,.,2,,201,203,4,,93,1103,.,R-L,,8.0,LOW BAG,Ramb,,6590,1,,0.026,2006
06IN00059,1998008757, 8757,00, 8757,98,2,68,1,06,L-3,874463,750363,0,,,,2, 29,1,,176,178,4,,92,0921,G,,,8.0,OK(THIN&SLOW),Colu,,7099,1,,0.032,2006
06IN00060,1998008764, 8764,00, 8764,98,2,18,1,43,L11,752910,952700,0,,,,2, 35,2,,187,181,2,,92,0921,.,,,8.0,,Ramb,,7118,1,,0.027,2006
06IN00061,1998008858, 8858,00, 8858,98,2,18,1,07,L21,678110,550400,0,,,,2, 35,2,,191,189,2,,92,0921,.,,,8.0,"DYSTOC,breech",Ramb,,7119,1,,0.0,2006
06IN00062,2000000022,00022,00,00022,00,2,00,1,92,L-0,000044,008009,1,,,0,1,BLK,2,,172,174,2,B,,,X,46,1,6.0,BLACK EWE,Blk,,0,9,,0.0,2006
06IN00063,2000000035,00035,00,00035,00,2,00,1,92,L-0,000044,006509,1,,,0,1,BLK,2,,210,193,2,B,,,X,47,1,6.0,BLACK EWE,Blk,,0,9,,0.0,2006
06IN00064,2000000040,00040,00,00040,00,2,00,1,92,L-0,000044,012709,1,,,0,1,BLK,2,,185,175,2,B,,,X,46,1,6.0,R.MILK.BLOODY,Blk,,0,9,,0.0,2006
06IN00065,2000000097,00097,00,00097,00,2,68,1,06,L-4,033564,091309,0,,,,1,Mat,2,,205,191,2,,,,G,41,1,6.0,DYSTOCIA ok,Colu,,0,1,,0.051,2006
06IN00066,2000000102,00102,00,00102,00,2,88,1,30,L-5,484904,002209,0,,,,3,.,5,,183,158,12,E,76,1101,M,I-F,,6.0,,Else,,6820,1,,0.042,2006
06IN00067,2000000116,00116,00,00116,00,2,18,1,07,L-3,934810,107209,2,,,,O,OVX,5,,186,189,1,X,,,.,Ovx,1,6.0,OVX,Ovx,,0,1,,0.02,2006
06IN00068,2000000148,00148,00,00148,00,2,18,1,07,L-3,934810,038609,0,,,,1,.,1,,153,177,2,,,,.,31,1,6.0,,Ramb,,0,1,,0.0,2006
06IN00069,2000000179,00179,00,00179,00,2,18,1,07,L-2,960010,033509,0,,,,3,.,1,,228,221,10,,93,1103,.,R-L,,6.0,FIBERY BAG X,Ramb,,6705,1,,0.0,2006
06IN00070,2000000197,00197,00,00197,00,2,18,1,07,L-2,960010,022009,0,,,,1,.,1,,164,185,2,,,,.,29,1,6.0,DYSTOCIA,Ramb,,0,1,,0.0,2006
06IN00071,2000000483,00483,00,00483,00,2,18,1,07,L11,926410,614900,2,,,,O,OVX,5,,167,169,1,X,,,.,Ovx,1,6.0,"F2, OVX",Ovx,,0,1,,0.0,2006
06IN00072,2000000534,00534,00,00534,00,2,68,1,06,L03,0143,706463,0,,JAR,,3,.,2,,180,186,3,,93,1103,G,I-F,,6.0,BIG CULL BAG,Colu,,6594,1,,0.0,2006
06IN00073,2000000545,00545,00,00545,00,2,18,1,07,L13,980110,016105,2,,,,1,.,1,,190,199,2,,,,.,26,1,6.0,NICE,Ramb,,0,1,,0.0,2006
06IN00074,2000000571,00571,00,00571,00,2,18,1,43,L31,952610,810610,2,,,,O,OVX,5,,193,188,1,X,,,.,Ovx,1,6.0,OVX,Ovx,,0,1,,0.033,2006
06IN00075,2000000589,00589,00,00589,00,2,68,1,06,L03,0143,828063,0,,JAR,,1,Ter,5,,207,213,1,,,,G,02,1,6.0,DYSTOCIA,Colu,,0,1,,0.0,2006
06IN00076,2000000647,00647,00,00647,00,2,68,1,06,L03,0143,013164,0,,JAR,,1,Mat,1,,195,206,2,,,,G,45,1,6.0,DEPRESSED,Colu,,0,1,,0.0,2006
06IN00077,2000000657,00657,00,00657,00,2,88,1,30,L46,551504,836200,0,,,,1,.,2,,141,171,2,C,,,C,01,2,6.0,LTS,Ctrl,,0,1,,0.067,2006
06IN00078,2000000670,00670,00,00670,00,2,68,1,06,L04,988463,709663,0,,,,1,Mat,2,,200,197,4,,,,G,42,1,6.0,,Colu,,0,1,,0.043,2006
06IN00079,2000000677,00677,00,00677,00,2,18,1,07,L33,945110,640610,0,,,,1,.,1,,164,197,5,,,,.,32,1,6.0,LUMP IN BAG,Ramb,,0,1,,0.042,2006
06IN00080,2000000678,00678,00,00678,00,2,18,1,07,L33,945110,640610,2,,,,O,OVX,5,,180,192,1,X,,,.,Ovx,1,6.0,"F2, OVX",Ovx,,0,1,,0.042,2006
06IN00081,2000000707,00707,00,00707,00,2,18,1,07,L31,952610,207610,0,,,,3,.,1,,146,175,11,,93,1205,.,A-I,,6.0,,Ramb,,6695,1,,0.0,2006
06IN00082,2000000728,00728,00,00728,00,2,18,1,43,L31,952610,853500,0,,,,1,.,1,,193,189,4,,,,.,17,1,6.0,SW.BAG,Ramb,,0,1,,0.03,2006
06IN00083,2000000737,00737,00,00737,00,2,41,1,02,412,658544,655644,0,,,,1,.,2,,194,196,2,,,,M,59,2,6.0,#2 BORN LATE,Lww,,0,1,,0.071,2006
06IN00084,2000000795,00795,00,00795,00,2,18,1,43,L32,904910,846810,2,,,,3,.,1,,182,208,2,,93,1103,.,R-L,,6.0,MLTS! CULL!,Ramb,,6737,1,,0.025,2006
06IN00085,2000000816,00816,00,00816,00,2,18,1,43,L34,785310,701810,2,,,,1,.,1,,180,187,2,,,,.,29,1,6.0,LTS,Ramb,,0,1,,0.061,2006
06IN00086,2000000872,00872,00,00872,00,2,18,1,07,L13,980110,734000,0,,,,3,.,1,,221,220,11,,93,1103,.,R-L,,6.0,,Ramb,,6707,1,,0.0,2006
06IN00087,2000000876,00876,00,00876,00,2,18,1,07,L13,980110,722400,2,,,,O,OVX,5,,189,187,1,X,,,.,Ovx,1,6.0,OVX,Ovx,,0,1,,0.0,2006
06IN00088,2000000904,00904,00,00904,00,2,18,1,07,L35,866710,646010,0,,,,1,.,1,,168,184,2,,,,.,22,1,6.0,NICE,Ramb,TK,0,1,,0.033,2006
06IN00089,2000000976,00976,00,00976,00,2,18,1,07,L35,866710,778910,0,,,,1,.,1,,173,192,2,,,,., 3,1,6.0,,Ramb,,0,1,,0.027,2006
06IN00090,2000000979,00979,00,00979,00,2,18,1,07,L12,805010,403100,0,,,,3,.,*,,0,0,0,,93,0508,.,,,6.0,THIN KETOTIC,Ramb,,2079,1,,0.0,2006
06IN00091,2000001015,01015,00,01015,00,2,18,1,07,L11,926410,017505,0,,,,1,.,1,,165,194,2,,,,.,05,1,6.0,IN W/ RED 41,Ramb,,0,3,,0.0,2006
06IN00092,2000001056,01056,00,01056,00,2,18,1,07,L12,805010,883500,2,,,,O,OVX,*,,0,0,0,X,01,0411,.,Ovx,1,6.0,"OVX, SMALL",Ovx,,0,1,,0.031,2006
06IN00093,2000001103,01103,00,01103,00,2,18,1,07,L35,866710,717010,2,,,,1,.,1,,159,188,2,,,,.,03,1,6.0,SW.BAG,Ramb,,0,1,,0.02,2006
06IN00094,2000001131,01131,00,01131,00,2,68,1,06,L05,011664,027664,0,,,,1,Ter,1,,197,196,2,,,,G,01,1,6.0,,Colu,,0,1,,0.049,2006
06IN00095,2000001161,01161,00,01161,00,2,18,1,07,L34,785310,868000,2,,,,1,.,1,,182,190,2,,,,.,19,1,6.0,MISSING?,Ramb,,0,1,,0.026,2006
06IN00096,2000001178,01178,00,01178,00,2,88,1,30,L46,551504,382404,2,,,,O,OVX,5,,191,199,1,X,,,.,Ovx,1,6.0,"OVX, SMALL",Ovx,,0,1,,0.04,2006
06IN00097,2000001242,01242,00,01242,00,2,68,1,06,L03,0143,694463,0,,JAR,,1,Ter,1,,167,152,2,,,,G,04,1,6.0,VLTS,Colu,,0,1,,0.0,2006
06IN00098,2000001257,01257,00,01257,00,2,68,1,06,L05,011664,787763,2,,,,O,OVX,5,,198,196,1,X,,,.,Ovx,1,6.0,OVX,Ovx,,0,1,,0.038,2006
06IN00099,2000001287,01287,00,01287,00,2,18,1,07,L34,785310,460510,2,,,,O,OVX,5,,198,201,1,X,,,.,Ovx,1,6.0,OVX,Ovx,,0,1,,0.0,2006
06IN00100,2000001328,01328,00,01328,00,2,88,1,30,L44,492004,036504,0,,,,1,.,2,,179,181,2,W,,,W,07,2,6.0,LATEtoMILK,Flwt,,0,1,,0.04,2006
06IN00101,2000001372,01372,00,01372,00,2,68,1,06,L04,988463,990963,0,,,,3,.,2,,204,207,12,,93,1103,G,R-L,,6.0,LUMPY BAG X,Colu,,6592,1,,0.04,2006
06IN00102,2000001379,01379,00,01379,00,2,18,1,07,L31,952610,777510,2,,,,3,.,H,,159,166,2,,93,1205,.,A-I,,6.0,ABS.LR.FOOT,Ramb,,6771,1,,0.018,2006
06IN00103,2000001417,01417,00,01417,00,2,41,1,02,412,658544,668944,2,,,,O,OVX,5,,185,188,1,X,,,.,Ovx,1,6.0,"OVX, SMALL",Ovx,,0,1,,0.083,2006
06IN00104,2000001422,01422,00,01422,00,2,18,1,07,L13,980110,748500,0,,,,1,.,1,,168,201,2,,,,.,33,1,6.0,BIG SW.BAG,Ramb,,0,1,,0.0,2006
06IN00105,2000001430,01430,00,01430,00,2,18,1,07,L34,785310,877300,0,,,,1,.,1,,169,184,2,,,,.,01,1,6.0,,Ramb,,0,1,,0.015,2006
06IN00106,2000001470,01470,00,01470,00,2,18,1,07,L36,800810,792110,0,,,,1,.,1,,129,177,2,S,,,., 2,1,6.0,THIN,Ramb,,0,1,,0.019,2006
06IN00107,2000001486,01486,00,01486,00,2,41,1,02,413,674844,662044,2,,,,O,OVX,5,,193,185,1,X,,,.,Ovx,1,6.0,"F2,CLR, OVX",Ovx,,0,1,,0.084,2006
06IN00108,2000001499,01499,00,01499,00,2,18,1,07,L14,784210,056205,2,,,,O,OVX,5,,187,186,1,X,,,.,Ovx,1,6.0,"OVX, SMALL",Ovx,,0,1,,0.0,2006
06IN00109,2004003002,03002,00,03002,04,1,m3,1,m3,,203170,103223,r,,,,1,,M,,247,263,0,,,,, 1,,2.0,? R.TESTE,Term,,0,5,NE23-403002,0.0,2006
06IN00110,2004003003,03003,00,03003,04,1,m3,1,m3,,303220,103537,r,,,,1,,M,,215,228,0,,,,, 2,,2.0,NE23-403003,Term,,0,5,NE23-403003,0.0,2006
06IN00111,2005003006,03006,00,03006,05,2,m3,1,m3,,303122,303252,r,,,,1,,C,,160,146,2,,,,, 1,1,1.0,NE23-503006,marc,,0,5,NE23-503006,0.0,2006
06IN00112,2005003012,03012,00,03012,05,2,m3,1,m3,,303234,903625,r,,,,B,,C,,122,139,2,,93,0919,,,,1.0,UT.PROLAPSE,marc,,6794,5,NE23-503012,0.0,2006
06IN00113,2005003021,03021,00,03021,05,2,m3,1,m3,,303183,003647,r,,,,1,,C,,153,150,2,,,,, 2,1,1.0,NE23-503021,marc,,0,5,NE23-503021,0.0,2006
06IN00114,2004003023,03023,00,03023,04,1,m3,1,m3,,203278,103276,r,,,,1,,M,,209,214,0,,93,1009,,alt,,2.0,NE23-403023,Term,,0,5,NE23-403023,0.0,2006
06IN00115,2005003031,03031,00,03031,05,2,m3,1,m3,,303021,203302,r,,,,6,,C,,136,0,0,,05,0718,,,,1.0,"DEAD,MASTITIS",marc,,0,5,NE23-503031,0.0,2006
06IN00116,2005003034,03034,00,03034,05,2,m3,1,m3,,303289,003275,r,,,,1,,C,,174,163,2,,,,, 3,1,1.0,NE23-503034,marc,,0,5,NE23-503034,0.0,2006
06IN00117,2005003036,03036,00,03036,05,2,m3,1,m3,,303122,903479,r,,,,1,,C,,137,125,2,,,,, 4,1,1.0,NE23-503036,marc,,0,5,NE23-503036,0.0,2006
06IN00118,2005003045,03045,00,03045,05,2,m3,1,m3,,303234,703421,r,,,,1,,C,,158,169,2,,,,, 5,1,1.0,NE23-503045,marc,,0,5,NE23-503045,0.0,2006
06IN00119,2005003056,03056,00,03056,05,2,m3,1,m3,,303234,003414,r,,,,B,,C,,149,154,2,,93,0919,,,,1.0,UT.PROLAPSE,marc,,6793,5,NE23-503056,0.0,2006
06IN00120,2005003068,03068,00,03068,05,2,m3,1,m3,,203278,103190,r,,,,1,,C,,151,157,2,,,,, 6,1,1.0,NE23-503068,marc,,0,5,NE23-503068,0.0,2006
06IN00121,2005003071,03071,00,03071,05,2,m3,1,m3,,303274,103108,r,,,,1,,C,,136,132,2,,,,, 7,1,1.0,NE23-503071,marc,,0,5,NE23-503071,0.0,2006
06IN00122,2005003072,03072,00,03072,05,2,m3,1,m3,,303289,003766,r,,,,1,,C,,151,138,2,,,,, 8,1,1.0,NE23-503072,marc,,0,5,NE23-503072,0.0,2006
06IN00123,2005003078,03078,00,03078,05,2,m3,1,m3,,303274,103300,r,,,,1,,C,,136,152,1,,,,, 1,1,1.0,SUCK1SIDE,marc,,0,5,NE23-503078,0.0,2006
06IN00124,2005003082,03082,00,03082,05,2,m3,1,m3,,303122,303279,r,,,,1,,5,,160,166,1,,,,, 3,1,1.0,NE23-503082,marc,,0,5,NE23-503082,0.0,2006
06IN00125,2005003084,03084,00,03084,05,2,m3,1,m3,,303274,003331,r,,,,1,,5,,145,156,1,,,,, 2,1,1.0,NE23-503084,marc,,0,5,NE23-503084,0.0,2006
06IN00126,2005003096,03096,00,03096,05,2,m3,1,m3,,303289,003777,r,,,,1,,C,,131,128,2,,,,, 5,1,1.0,VAGINITIS,marc,,0,5,NE23-503096,0.0,2006
06IN00127,2005003098,03098,00,03098,05,2,m3,1,m3,,203310,903447,r,,,,1,,C,,134,139,2,,,,, 4,1,1.0,NE23-503098,marc,,0,5,NE23-503098,0.0,2006
06IN00128,2005003100,03100,00,03100,05,2,m3,1,m3,,203278,103030,r,,,,1,,C,,140,140,2,,,,, 6,1,1.0,VAGINITIS,marc,,0,5,NE23-503100,0.0,2006
06IN00129,2005003101,03101,00,03101,05,2,m3,1,m3,,203278,103030,r,,,,1,,C,,136,140,1,,,,, 7,1,1.0,NE23-503101,marc,,0,5,NE23-503101,0.0,2006
06IN00130,2004003102,03102,00,03102,04,1,m3,1,m3,,303163,203230,r,,,,1,,M,,205,222,0,,,,, 3,,2.0,NE23-403102,Term,,0,5,NE23-403102,0.0,2006
06IN00131,2005003104,03104,00,03104,05,2,m3,1,m3,,303289,103040,r,,,,1,,5,,163,166,2,,,,, 8,1,1.0,NE23-503104,marc,,0,5,NE23-503104,0.0,2006
06IN00132,2005003107,03107,00,03107,05,2,m3,1,m3,,303021,903701,r,,,,1,,C,,154,165,2,,,,, 1,1,1.0,NE23-503107,marc,,0,5,NE23-503107,0.0,2006
06IN00133,2005003116,03116,00,03116,05,2,m3,1,m3,,203310,903520,r,,,,1,,C,,129,143,1,,,,, 2,1,1.0,NE23-503116,marc,,0,5,NE23-503116,0.0,2006
06IN00134,2005003118,03118,00,03118,05,2,m3,1,m3,,303288,703071,r,,,,1,,5,,185,186,1,,,,, 4,1,1.0,NE23-503118,marc,,0,5,NE23-503118,0.0,2006
06IN00135,2005003123,03123,00,03123,05,2,m3,1,m3,,303274,903540,r,,,,1,,C,,142,136,2,,,,, 3,1,1.0,NE23-503123,marc,,0,5,NE23-503123,0.0,2006
06IN00136,2004003127,03127,00,03127,04,1,m3,1,m3,,303183,103422,r,,,,1,,C,,202,203,0,,,,, 4,,2.0,NE23-403127,Term,,0,5,NE23-403127,0.0,2006
06IN00137,2005003127,03127,00,03127,05,2,m3,1,m3,,303183,303242,r,,,,1,,C,,143,155,2,,,,, 5,1,1.0,NE23-503127,marc,,0,5,NE23-503127,0.0,2006
06IN00138,2004003131,03131,00,03131,04,1,m3,1,m3,,203310,103171,r,,,,1,,M,,221,235,0,,,,, 5,,2.0,NE23-403131,Term,,0,5,NE23-403131,0.0,2006
06IN00139,2005003133,03133,00,03133,05,2,m3,1,m3,,303274,703075,r,,,,1,,C,,156,155,1,,,,, 6,1,1.0,NE23-503133,marc,,0,5,NE23-503133,0.0,2006
06IN00140,2004003136,03136,00,03136,04,1,m3,1,m3,,303158,203273,r,,,,1,,M,,214,218,0,,,,, 6,,2.0,NE23-403136,Term,,0,5,NE23-403136,0.0,2006
06IN00141,2005003138,03138,00,03138,05,2,m3,1,m3,,303288,903545,r,,,,1,,C,,143,139,2,,,,, 7,1,1.0,NE23-503138,marc,,0,5,NE23-503138,0.0,2006
06IN00142,2005003145,03145,00,03145,05,2,m3,1,m3,,303183,103293,r,,,,3,,C,,129,138,2,,93,1103,,R-L,,1.0,UT.PROLAPSE,marc,,6858,5,NE23-503145,0.0,2006
06IN00143,2004003147,03147,00,03147,04,1,m3,1,m3,,203179,103109,r,,,,1,,M,,239,245,0,,,,,alt,,2.0,LF LEG OFF,Term,,0,5,NE23-403147,0.0,2006
06IN00144,2005003151,03151,00,03151,05,2,m3,1,m3,,203310,003563,r,,,,1,,C,,173,200,1,,,,, 1,1,1.0,NE23-503151,marc,,0,5,NE23-503151,0.0,2006
06IN00145,2004003160,03160,00,03160,04,1,m3,1,m3,,303274,203108,r,,,,1,,M,,204,235,0,,,,, 7,,2.0,NE23-403160,Term,,0,5,NE23-403160,0.0,2006
06IN00146,2005003172,03172,00,03172,05,2,m3,1,m3,,303234,903656,r,,,,1,,C,,138,146,2,,,,, 8,1,1.0,NE23-503172,marc,,0,5,NE23-503172,0.0,2006
06IN00147,2005003178,03178,00,03178,05,2,m3,1,m3,,303183,703403,r,,,,1,,5,,145,148,1,,,,, 2,1,1.0,NE23-503178,marc,,0,5,NE23-503178,0.0,2006
06IN00148,2005003180,03180,00,03180,05,2,m3,1,m3,,303288,003438,r,,,,1,,C,,149,142,2,,,,, 4,1,1.0,NE23-503180,marc,,0,5,NE23-503180,0.0,2006
06IN00149,2005003191,03191,00,03191,05,2,m3,1,m3,,303122,003460,r,,,,1,,C,,153,150,2,,,,, 3,1,1.0,NE23-503191,marc,,0,5,NE23-503191,0.0,2006
06IN00150,2005003193,03193,00,03193,05,2,m3,1,m3,,303288,903760,r,,,,1,,C,,137,141,1,,,,, 5,1,1.0,NE23-503193,marc,,0,5,NE23-503193,0.0,2006
06IN00151,2005003194,03194,00,03194,05,2,m3,1,m3,,303288,903760,r,,,,1,,C,,155,168,1,,,,, 6,1,1.0,NE23-503194,marc,,0,5,NE23-503194,0.0,2006
06IN00152,2005003202,03202,00,03202,05,2,m3,1,m3,,203278,003130,r,,,,1,,C,,144,158,1,,,,, 7,1,1.0,NE23-503202,marc,,0,5,NE23-503202,0.0,2006
06IN00153,2004003203,03203,00,03203,04,1,m3,1,m3,,303208,203300,r,,,,1,,M,,209,235,0,,,,, 8,,2.0,NE23-403203,Term,,0,5,NE23-403203,0.0,2006
06IN00154,2005003205,03205,00,03205,05,2,m3,1,m3,,303288,903384,r,,,,1,,5,,145,150,1,,,,, 8,1,1.0,NE23-503205,marc,,0,5,NE23-503205,0.0,2006
06IN00155,2005003207,03207,00,03207,05,2,m3,1,m3,,303183,703405,r,,,,1,,C,,169,170,2,,,,, 1,1,1.0,NE23-503207,marc,,0,5,NE23-503207,0.0,2006
06IN00156,2005003209,03209,00,03209,05,2,m3,1,m3,,303289,003621,r,,,,3,,C,,106,137,2,,93,1103,,R-L,,1.0,UT.PROLAPSE,marc,,6845,5,NE23-503209,0.0,2006
06IN00157,2005003210,03210,00,03210,05,2,m3,1,m3,,303289,003621,r,,,,1,,C,,144,138,2,,,,, 2,1,1.0,NE23-503210,marc,,0,5,NE23-503210,0.0,2006
06IN00158,2005003220,03220,00,03220,05,2,m3,1,m3,,303021,003512,r,,,,3,,C,,163,171,12,,93,1103,,R-L,,1.0,NE23-503220,marc,,6755,5,NE23-503220,0.0,2006
06IN00159,2005003221,03221,00,03221,05,2,m3,1,m3,,303021,003512,r,,,,1,,C,,148,153,2,,,,, 3,1,1.0,NE23-503221,marc,,0,5,NE23-503221,0.0,2006
06IN00160,2005003234,03234,00,03234,05,2,m3,1,m3,,303234,903168,r,,,,1,,C,,150,163,2,,,,, 4,1,1.0,NE23-503234,marc,,0,5,NE23-503234,0.0,2006
06IN00161,2005003235,03235,00,03235,05,2,m3,1,m3,,303234,903168,r,,,,1,,C,,125,128,2,,,,, 6,1,1.0,NE23-503235,marc,,0,5,NE23-503235,0.0,2006
06IN00162,2005003250,03250,00,03250,05,2,m3,1,m3,,303183,103391,r,,,,1,,C,,137,131,2,,,,, 5,1,1.0,NE23-503250,marc,,0,5,NE23-503250,0.0,2006
06IN00163,2005003275,03275,00,03275,05,2,m3,1,m3,,303234,003499,r,,,,1,,C,,149,172,1,,,,, 7,1,1.0,NE23-503275,marc,,0,5,NE23-503275,0.0,2006
