UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
04IN02880,2003820703,X0703,82,X0703,03,2,00,1,01,-5-,744944,944010,0,,,,N,.,2,,129,142,2,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02881,2003820704,X0704,82,X0704,03,2,00,1,01,-5-,000044,944010,0,,,,N,.,1,,131,153,2,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02882,2003820714,X0714,82,X0714,03,2,00,1,33,51N,000064,862304,7,,,,1,.,T,,151,160,2,,,,N,971,1,1.0,"RP, DYSTOCIA",CxP,,0,2004
04IN02883,2003820722,X0722,82,X0722,03,2,00,1,80,52N,000081,367504,7,,,,1,.,T,,141,145,2,,,,N,55K,1,1.0,,SxP,,0,2004
04IN02884,2003820723,X0723,82,X0723,03,2,00,1,80,52N,000081,367504,7,,,,1,.,T,,143,136,2,,,,N,56K,1,1.0,,SxP,,0,2004
04IN02885,2003820744,X0744,82,X0744,03,2,00,1,02,-4-,000044,670844,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxT,,1192,2004
04IN02886,2003820745,X0745,82,X0745,03,2,00,1,02,-5-,734144,740844,7,,,,6,.,*,,0,0,0,,12,0319,X,.,.,1.0,DOG KILL,JxT,,1207,2004
04IN02887,2003820748,X0748,82,X0748,03,2,00,1,31,-4-,755304,828010,0,,,,1,.,2,,156,164,2,,,,X,34R,2,1.0,,JxR,,0,2004
04IN02888,2003820750,X0750,82,X0750,03,2,00,1,32,-5-,744944,838604,7,,,,2, 54,5,,116,146,1,,92,0923,X,.,.,1.0,,JxP,,5347,2004
04IN02889,2003820755,X0755,82,X0755,03,2,00,1,01,-5-,734144,013711,0,,,,1,.,1,,106,117,2,,,,X,ZZZ,1,1.0,NICE,JxR,,0,2004
04IN02890,2003820756,X0756,82,X0756,03,2,00,1,33,51N,000064,485104,7,,,,1,.,5,,132,166,1,,,,N,971,1,1.0,HAIRY,CxP,,0,2004
04IN02891,2003820758,X0758,82,X0758,03,2,00,1,32,-4-,755304,753044,7,,,,2, 52,5,,150,174,1,,92,0923,X,.,.,1.0,HAIRY,JxT,,5338,2004
04IN02892,2003820760,X0760,82,X0760,03,2,00,1,32,-5-,786644,007109,7,,,,2, 53,5,,130,163,1,,92,0923,X,.,.,1.0,4TEATS,JxP,,5343,2004
04IN02893,2003820762,X0762,82,X0762,03,2,00,1,01,-5-,786644,963410,0,,,,1,.,2,,116,118,2,,,,X,ZZZ,1,1.0,HAIRY,JxR,,0,2004
04IN02894,2003820763,X0763,82,X0763,03,2,00,1,01,-5-,744944,280611,0,,,,1,.,2,,143,139,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02895,2003820764,X0764,82,X0764,03,2,00,1,01,-5-,744944,256211,0,,,,1,.,2,,154,156,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02896,2003820773,X0773,82,X0773,03,2,00,1,01,-5-,786644,017711,0,,,,1,.,2,,143,143,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02897,2003820785,X0785,82,X0785,03,1,97,1,97,973,715381,791281,0,,Syr,,3,.,Y,,200,0,0,,93,0907,.,.,.,1.0,X L. EPI,Bf,,1421,2004
04IN02898,2003818576,Z8576,81,Z8576,03,2,00,1,32,-2-,730544,059709,7,,,,2, 54,5,,135,156,1,,92,0923,X,.,.,1.0,,JxP,,5348,2004
04IN02899,2003818578,Z8578,81,Z8578,03,2,00,1,32,-2-,820344,059709,7,,,,2, 52,5,,156,179,1,,92,0923,X,.,.,1.0,,JxP,,5336,2004
04IN02900,2003818579,Z8579,81,Z8579,03,2,00,1,80,52N,000081,459604,7,,,,1,.,T,,135,141,2,,,,N,57K,1,1.0,,SxP,,0,2004
04IN02901,2003818580,Z8580,81,Z8580,03,2,00,1,80,52N,000081,459604,7,,,,1,.,5,,196,195,1,,,,N,58K,1,1.0,ENTR,SxP,,0,2004
