UID,ID10,WEANING_DATE,WNWT,HORN,FACE,WNAGE,LEGACY_JSON,MIGRATION_NOTE
50WN00011,1950113053,1950-08-15,70,7,,131,"{""ADG"": ""453"", ""BELLY"": ""06"", ""C"": ""08"", ""C4445"": ""05"", ""C5758"": ""11"", ""C5960"": ""26"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""120"", ""L"": ""035"", ""LINBR"": ""24"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""07"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00012,1950113054,1950-08-15,77,7,,131,"{""ADG"": ""515"", ""BELLY"": ""06"", ""C"": ""08"", ""C4445"": ""05"", ""C5758"": ""11"", ""C5960"": ""22"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""15"", ""HAIR"": ""1"", ""IDX"": ""105"", ""L"": ""021"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""08"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""1""}",
50WN00013,1950113055,1950-08-15,101,7,,131,"{""ADG"": ""672"", ""BELLY"": ""06"", ""C"": ""04"", ""C4445"": ""09"", ""C5758"": ""11"", ""C5960"": ""18"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""13"", ""HAIR"": ""2"", ""IDX"": ""140"", ""L"": ""034"", ""LINBR"": ""27"", ""N"": ""04"", ""SIDE"": ""2"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00014,1950113056,1950-08-15,68,4,,131,"{""ADG"": ""450"", ""BELLY"": ""10"", ""C"": ""07"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""13"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""12"", ""HAIR"": ""2"", ""IDX"": ""120"", ""L"": ""029"", ""LINBR"": ""21"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""1""}",
50WN00015,1950113058,1950-08-15,52,7,,131,"{""ADG"": ""331"", ""BELLY"": ""06"", ""C"": ""09"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""26"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""105"", ""L"": ""031"", ""LINBR"": ""33"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""09"", ""TBR50"": ""2"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00016,1950113059,1950-08-15,84,4,,131,"{""ADG"": ""559"", ""BELLY"": ""05"", ""C"": ""05"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""30"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""114"", ""L"": ""032"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""1"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00017,1950113060,1950-08-15,59,3,,131,"{""ADG"": ""379"", ""BELLY"": ""06"", ""C"": ""07"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""21"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""124"", ""L"": ""031"", ""LINBR"": ""32"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00018,1950113061,1950-08-15,90,5,,131,"{""ADG"": ""588"", ""BELLY"": ""08"", ""C"": ""08"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""14"", ""CADAM_25"": ""5"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""126"", ""L"": ""029"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""04"", ""TBR50"": ""2"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00019,1950113062,1950-08-15,64,1,,131,"{""ADG"": ""414"", ""BELLY"": ""06"", ""C"": ""09"", ""C4445"": ""06"", ""C5758"": ""11"", ""C5960"": ""28"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""124"", ""L"": ""028"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""07"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""131"", ""WNAGE_60"": ""71"", ""WOOL"": ""2""}",
50WN00020,1950113063,1950-08-15,89,7,,130,"{""ADG"": ""600"", ""BELLY"": ""05"", ""C"": ""06"", ""C4445"": ""07"", ""C5758"": ""12"", ""C5960"": ""20"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""15"", ""HAIR"": ""1"", ""IDX"": ""118"", ""L"": ""033"", ""LINBR"": ""00"", ""N"": ""03"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""2""}",
50WN00021,1950113064,1950-08-15,69,7,,130,"{""ADG"": ""466"", ""BELLY"": ""05"", ""C"": ""06"", ""C4445"": ""10"", ""C5758"": ""12"", ""C5960"": ""04"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""13"", ""HAIR"": ""2"", ""IDX"": ""118"", ""L"": ""033"", ""LINBR"": ""28"", ""N"": ""03"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""4"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""2""}",
50WN00022,1950113065,1950-08-15,86,7,,130,"{""ADG"": ""565"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""08"", ""C5758"": ""12"", ""C5960"": ""29"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""13"", ""HAIR"": ""2"", ""IDX"": ""127"", ""L"": ""032"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""2""}",
50WN00023,1950113066,1950-08-15,74,7,,130,"{""ADG"": ""495"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""09"", ""C5758"": ""12"", ""C5960"": ""17"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""15"", ""HAIR"": ""2"", ""IDX"": ""113"", ""L"": ""028"", ""LINBR"": ""28"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""07"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""2""}",
50WN00024,1950113067,1950-08-15,58,3,,130,"{""ADG"": ""345"", ""BELLY"": ""06"", ""C"": ""10"", ""C4445"": ""08"", ""C5758"": ""12"", ""C5960"": ""11"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""15"", ""HAIR"": ""2"", ""IDX"": ""101"", ""L"": ""031"", ""LINBR"": ""15"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""3""}",
50WN00025,1950113068,1950-08-15,71,7,,130,"{""ABN"": ""2"", ""ADG"": ""480"", ""BELLY"": ""05"", ""C"": ""08"", ""C4445"": ""08"", ""C5758"": ""12"", ""C5960"": ""17"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""3"", ""IDX"": ""120"", ""L"": ""033"", ""LINBR"": ""26"", ""N"": ""03"", ""SIDE"": ""3"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""130"", ""WNAGE_60"": ""70"", ""WOOL"": ""2""}",
50WN00026,1950113069,1950-08-15,79,7,,129,"{""ADG"": ""532"", ""BELLY"": ""05"", ""C"": ""07"", ""C4445"": ""06"", ""C5758"": ""13"", ""C5960"": ""25"", ""CADAM_25"": ""3"", ""CTBR"": ""1"", ""F"": ""15"", ""HAIR"": ""1"", ""IDX"": ""119"", ""L"": ""032"", ""LINBR"": ""30"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00027,1950113070,1950-08-15,74,3,,129,"{""ADG"": ""498"", ""BELLY"": ""10"", ""C"": ""06"", ""C4445"": ""07"", ""C5758"": ""13"", ""C5960"": ""24"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""13"", ""HAIR"": ""1"", ""IDX"": ""122"", ""L"": ""034"", ""LINBR"": ""27"", ""N"": ""03"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00028,1950113072,1950-08-15,75,7,,129,"{""ADG"": ""518"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""05"", ""C5758"": ""13"", ""CADAM_25"": ""4"", ""CTBR"": ""3"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""136"", ""L"": ""026"", ""LINBR"": ""25"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""3"", ""TBRE"": ""3"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00029,1950113073,1950-08-15,94,5,,129,"{""ADG"": ""647"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""05"", ""C5758"": ""13"", ""C5960"": ""28"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""12"", ""HAIR"": ""2"", ""IDX"": ""137"", ""L"": ""024"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00030,1950113074,1950-08-15,79,4,,129,"{""ADG"": ""522"", ""BELLY"": ""06"", ""C"": ""05"", ""C4445"": ""07"", ""C5758"": ""13"", ""C5960"": ""14"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""08"", ""HAIR"": ""2"", ""IDX"": ""142"", ""L"": ""035"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""1"", ""T"": ""03"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00031,1950113076,1950-08-15,47,7,,129,"{""ADG"": ""327"", ""BELLY"": ""09"", ""C"": ""11"", ""C4445"": ""08"", ""C5758"": ""13"", ""C5960"": ""23"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""100"", ""L"": ""024"", ""LINBR"": ""30"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""09"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00032,1950113077,1950-08-15,90,7,,129,"{""ADG"": ""602"", ""BELLY"": ""07"", ""C"": ""09"", ""C4445"": ""07"", ""C5758"": ""13"", ""C5960"": ""16"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""137"", ""L"": ""034"", ""LINBR"": ""15"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""THIGH"": ""2"", ""THSCO"": ""2"", ""TM"": ""1"", ""WNAGE"": ""129"", ""WNAGE_60"": ""69"", ""WOOL"": ""2""}",
50WN00033,1950113078,1950-08-15,90,5,,128,"{""ADG"": ""620"", ""BELLY"": ""06"", ""C"": ""06"", ""C4445"": ""08"", ""C5758"": ""14"", ""C5960"": ""29"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""1"", ""IDX"": ""125"", ""L"": ""034"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""128"", ""WNAGE_60"": ""68"", ""WOOL"": ""2""}",
50WN00034,1950113079,1950-08-15,68,4,,128,"{""ABN"": ""2"", ""ADG"": ""453"", ""BELLY"": ""06"", ""C"": ""10"", ""C4445"": ""08"", ""C5758"": ""14"", ""C5960"": ""20"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""10"", ""HAIR"": ""3"", ""IDX"": ""139"", ""L"": ""033"", ""LINBR"": ""25"", ""N"": ""04"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""128"", ""WNAGE_60"": ""68"", ""WOOL"": ""3""}",
50WN00035,1950113080,1950-08-15,74,1,,127,"{""ADG"": ""515"", ""BELLY"": ""06"", ""C"": ""06"", ""C4445"": ""04"", ""C5758"": ""15"", ""C5960"": ""18"", ""CADAM_25"": ""5"", ""CTBR"": ""3"", ""F"": ""13"", ""HAIR"": ""2"", ""IDX"": ""116"", ""L"": ""034"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""3"", ""TBRE"": ""3"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00036,1950113081,1950-08-15,66,3,,127,"{""ADG"": ""454"", ""BELLY"": ""07"", ""C"": ""07"", ""C4445"": ""06"", ""C5758"": ""15"", ""C5960"": ""18"", ""CADAM_25"": ""5"", ""CTBR"": ""3"", ""F"": ""15"", ""HAIR"": ""1"", ""IDX"": ""103"", ""L"": ""037"", ""LINBR"": ""00"", ""N"": ""03"", ""SIDE"": ""3"", ""T"": ""06"", ""TBR50"": ""4"", ""TBRE"": ""3"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00037,1950113083,1950-08-15,58,3,,127,"{""ADG"": ""392"", ""BELLY"": ""07"", ""C"": ""09"", ""C4445"": ""05"", ""C5758"": ""15"", ""C5960"": ""20"", ""CADAM_25"": ""4"", ""CTBR"": ""3"", ""CULLFOR"": ""40"", ""F"": ""13"", ""HAIR"": ""3"", ""IDX"": ""112"", ""L"": ""031"", ""LINBR"": ""17"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""07"", ""TBR50"": ""3"", ""TBRE"": ""3"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00038,1950113084,1950-08-15,67,3,,127,"{""ABN"": ""1"", ""ADG"": ""455"", ""BELLY"": ""05"", ""C"": ""05"", ""C4445"": ""05"", ""C5758"": ""15"", ""C5960"": ""12"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""08"", ""HAIR"": ""3"", ""IDX"": ""142"", ""L"": ""040"", ""LINBR"": ""26"", ""N"": ""03"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""3""}",
50WN00039,1950113085,1950-08-15,60,3,,127,"{""ADG"": ""403"", ""BELLY"": ""08"", ""C"": ""09"", ""C4445"": ""08"", ""C5758"": ""15"", ""C5960"": ""15"", ""CADAM_25"": ""4"", ""CTBR"": ""2"", ""F"": ""10"", ""HAIR"": ""2"", ""IDX"": ""137"", ""L"": ""028"", ""LINBR"": ""27"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""07"", ""TBR50"": ""5"", ""TBRE"": ""5"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00040,1950113086,1950-08-15,63,7,,127,"{""ADG"": ""424"", ""BELLY"": ""06"", ""C"": ""08"", ""C4445"": ""05"", ""C5758"": ""15"", ""C5960"": ""15"", ""CADAM_25"": ""4"", ""CTBR"": ""2"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""114"", ""L"": ""028"", ""LINBR"": ""27"", ""N"": ""04"", ""T"": ""07"", ""TBR50"": ""5"", ""TBRE"": ""5"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00041,1950113087,1950-08-15,69,7,,127,"{""ADG"": ""468"", ""BELLY"": ""06"", ""C"": ""07"", ""C4445"": ""06"", ""C5758"": ""15"", ""C5960"": ""06"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""CULLFOR"": ""10"", ""F"": ""14"", ""HAIR"": ""2"", ""IDX"": ""120"", ""L"": ""036"", ""LINBR"": ""29"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""05"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""4"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""3""}",
50WN00042,1950113088,1950-08-15,73,7,,127,"{""ADG"": ""487"", ""BELLY"": ""06"", ""C"": ""08"", ""C4445"": ""08"", ""C5758"": ""15"", ""C5960"": ""23"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""14"", ""HAIR"": ""3"", ""IDX"": ""108"", ""L"": ""032"", ""LINBR"": ""26"", ""N"": ""06"", ""T"": ""07"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00043,1950113089,1950-08-15,79,3,,127,"{""ABN"": ""2"", ""ADG"": ""526"", ""BELLY"": ""06"", ""C"": ""05"", ""C4445"": ""06"", ""C5758"": ""15"", ""C5960"": ""13"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""15"", ""HAIR"": ""3"", ""IDX"": ""113"", ""L"": ""034"", ""LINBR"": ""20"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""04"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""3""}",
50WN00044,1950113090,1950-08-15,60,3,,127,"{""ABN"": ""2"", ""ADG"": ""402"", ""BELLY"": ""05"", ""C"": ""09"", ""C4445"": ""06"", ""C5758"": ""15"", ""C5960"": ""17"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""15"", ""HAIR"": ""3"", ""IDX"": ""103"", ""L"": ""035"", ""LINBR"": ""23"", ""N"": ""04"", ""T"": ""07"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00045,1950113091,1950-08-15,84,7,,127,"{""ADG"": ""575"", ""BELLY"": ""05"", ""C"": ""06"", ""C4445"": ""04"", ""C5758"": ""15"", ""C5960"": ""09"", ""CADAM_25"": ""4"", ""CTBR"": ""1"", ""F"": ""12"", ""HAIR"": ""3"", ""IDX"": ""133"", ""L"": ""032"", ""LINBR"": ""16"", ""N"": ""03"", ""SIDE"": ""2"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
50WN00046,1950113092,1950-08-15,70,1,,127,"{""ADG"": ""465"", ""BELLY"": ""06"", ""C"": ""09"", ""C4445"": ""08"", ""C5758"": ""15"", ""C5960"": ""20"", ""CADAM_25"": ""2"", ""CTBR"": ""1"", ""F"": ""12"", ""HAIR"": ""2"", ""IDX"": ""125"", ""L"": ""033"", ""LINBR"": ""00"", ""N"": ""03"", ""T"": ""06"", ""TBR50"": ""1"", ""TBRE"": ""1"", ""TM"": ""1"", ""WNAGE"": ""127"", ""WNAGE_60"": ""67"", ""WOOL"": ""2""}",
