UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,DB1,C19,Y5A,C21,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,C4243,FONO,FOPU,TRT2,DB2,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,YR
77LA00068,1977-04-07,1,P5861,01,,71, 22,P1531,01,30,0,,1,,50,,1,30,,1,97,9,,0,3,,,,,,,1,P4370,01,0,63,71,,1,,0,0,82,10,,,2,77
77LA00069,1977-04-07,2,P5862,01,,71, 22,P1531,01,30,0,,1,,50,,1,30,,1,97,9,,0,3,,,,,,,1,P4370,01,0,61,71,,1,,0,0,65,10,,,3,77
77LA00070,1977-04-04,2,P5760,01,1,70, 21,P1541,01,30,0,,1,,50,,1,30,,1,94,8,,0,3,,,,,,,1,P4761,01,1,65,70,,1,,1,2,100,10,,,1,77
77LA00071,1977-04-04,2,P5761,01,,70, 21,P1541,01,30,0,,1,,50,,1,30,,1,94,8,,0,3,,,,,,,1,P4761,01,0,55,70,,1,,0,0,54,10,,,2,77
77LA00072,1977-03-30,3,P5635,01,1,71, 26,P1545,01,30,0,,,,50,,1,30,,1,89,7,,116,3,,6,,,&,,1,P4760,01,1,0,71,,1,,1,2,67,0,,,1,77
77LA00073,1977-03-30,3,,01,,71, 26,P1545,01,30,0,,,,50,,1,30,,1,89,7,,0,3,,1,,,,,1,P4760,01,0,0,71,,0,,0,0,54,0,,,2,77
77LA00074,1977-04-03,2,P5743,01,1,71, 26,P1558,01,30,0,,1,,50,,1,30,,1,93,8,,0,3,,,,,,,1,P4760,01,1,63,71,,1,,1,2,84,10,,,1,77
77LA00075,1977-04-03,2,P5744,01,,71, 26,P1558,01,30,0,,1,,50,,1,30,,1,93,8,,0,3,,,,,,,1,P4760,01,0,68,71,,1,,0,0,80,10,,,2,77
77LA00076,1977-03-28,1,P5577,01,1,71, 22,P1562,01,30,0,,1,,50,,1,30,,1,87,9,,0,4,,,,,,,1,P4370,01,1,64,71,,1,,1,3,85,10,,,1,77
77LA00077,1977-03-28,2,P5578,01,,71, 22,P1562,01,30,0,,1,,50,,1,30,,1,87,9,,0,4,,,,873690,-,,1,P4370,01,0,58,71,,1,,0,0,92,5,,,2,77
77LA00078,1977-03-28,2,P5579,01,,71, 22,P1562,01,30,0,,1,,50,,1,30,,1,87,9,,0,4,,,,,,,1,P4370,01,0,65,71,,1,,0,0,80,10,,,3,77
77LA00079,1977-04-06,1,P5840,01,1,70, 21,P1700,01,30,0,,1,,50,,1,30,,1,96,8,,0,4,,,,,,,1,P4761,01,1,62,70,,1,,1,2,107,10,,,1,77
