UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
86LA02756,1986-04-11,1,T7683,43,,40,403,T5822,43,4,,30,,1,02,,1,101,8,,105,3,,3,02,,&,T6533,43,0,0,40,2,1,93,0,0,6.3,0,45,,2,86
86LA02757,1986-04-21,2,T8042,43,1,41,413,T5823,43,4,12,30,1,1,02,,1,111,8,,0,3,,,02,,,T7388,43,1,86,41,6,1,,1,2,12.8,10,,4,1,86
86LA02758,1986-04-21,1,T8043,43,,41,413,T5823,43,4,12,30,,1,02,,1,111,8,,118,3,,3,02,,&,T7388,43,0,0,41,6,1,93,0,0,13.7,0,21,4,2,86
86LA02759,1986-04-21,1,T8004,43,1,40,401,T5833,43,1,16,30,1,1,02,,1,111,5,,0,2,,,02,,,T6668,43,1,80,40,2,1,,1,1,11.4,10,,1,1,86
86LA02760,1986-04-29,1,T8280,43,1,41,414,T5837,43,1,,30,,1,02,,1,119,8,,125,2,04,3,02,,&,T7239,43,1,0,41,6,1,93,1,2,10.4,0,,,1,86
86LA02761,1986-04-29,2,T8281,43,,41,414,T5837,43,1,,30,1,1,02,,3,119,8,,0,2,47,,02,,&,T7239,43,0,67,41,6,1,,0,0,10.0,5,,,2,86
86LA02762,1986-04-25,1,T8186,43,1,42,822,T5841,43,3,,30,1,1,02,,1,115,8,,0,2,,,02,,,T6394,43,1,63,42,3,1,,1,2,8.1,10,,,1,86
86LA02763,1986-04-25,2,T8187,43,,42,822,T5841,43,3,,30,,1,02,,1,115,8,,148,2,,6,02,,&,T6394,43,0,0,42,3,1,48,0,0,8.3,0,,,2,86
86LA02764,1986-05-03,1,T8378,43,1,43,434,T5842,43,2,,30,1,1,02,,1,123,5,1,0,4,,,02,,,01499,UC,1,86,43,6,1,,1,1,12.3,10,,1,1,86
86LA02765,1986-04-27,3,X2846,80,1,44,001,T5844,43,1,,30,1,1,52,,1,117,5,,0,2,,,02,,,M2421,95,1,78,42,8,1,,1,1,11.1,10,,,1,86
