UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00036,60,,,10,1,69,458,1817,10,1,,,5,,,07,,,64,-,,0,,,,,,,,0,0,4,0,3667,1,14,,69,4,,,0.0,,,,,1,1,0,0,0,0,1960-03-04
60LA00037,60,2,2350,10,1,69,448,1821,10,1,,5,5,,1,07,,1,87,8,,0,3,,,,,,,0,0,4,0,3220,1,14,80,69,4,,,9.0,,,,&,1,1,1,2,1,10,1960-03-27
60LA00038,60,2,2351,10,1,69,448,1821,10,1,,5,5,,1,07,,1,87,8,,0,3,,,,,,,0,0,4,0,3220,1,14,67,69,4,,1,9.8,,,,&,2,1,1,2,1,10,1960-03-27
60LA00039,60,2,2400,10,1,69,428,1827,10,1,,1,5,,1,07,,1,97,5,,230,4,,,,,,,0,0,1,0,0119,9,91,,69,4,,,11.8,,7,,&,1,1,1,1,1,0,1960-04-06
60LA00040,60,2,2412,10,1,69,298,1828,10,1,,1,5,,1,07,,1,100,5,,230,3,,,,,,,0,0,4,0,4218,1,14,,69,4,,,11.4,,7,,&,1,1,1,1,1,0,1960-04-09
60LA00041,60,1,2374,10,1,69,348,1829,10,1,,3,5,08,1,07,,2,93,8,,0,4,,,,,,,0,0,1,0,5102,1,11,98,69,4,,1,11.6,,,,&,1,1,1,2,1,10,1960-04-02
60LA00042,60,1,2375,10,1,69,348,1829,10,1,,,5,,1,07,,1,93,8,,96,4,,,,,,,0,0,1,0,5102,1,11,,69,4,,,9.2,,2,,&,2,1,1,2,1,0,1960-04-02
60LA00043,60,2,2438,10,1,69,328,1844,10,1,,5,5,,1,07,,1,103,8,,0,3,,,,,,,0,0,1,0,5058,1,11,72,69,4,,2,10.0,,,,&,1,1,1,2,1,10,1960-04-12
60LA00044,60,1,2439,10,1,69,328,1844,10,1,,5,5,,1,07,,1,103,8,,0,3,,,,,,,0,0,1,0,5058,1,11,70,69,4,,2,11.8,,,,&,2,1,1,2,1,10,1960-04-12
60LA00045,60,2,2457,10,1,69,518,1857,10,1,,5,5,08,1,07,,1,106,8,,0,4,,,,,,,0,0,4,0,4420,1,14,74,69,4,,2,9.2,2,,16,&,1,1,1,2,1,10,1960-04-15
60LA00046,60,2,2458,10,1,69,518,1857,10,1,,5,5,,1,07,,1,106,8,,0,4,,,,,,,0,0,4,0,4420,1,14,63,69,4,,2,9.2,2,,16,&,2,1,1,2,1,10,1960-04-15
60LA00047,60,1,2420,10,1,69,468,1867,10,1,,5,5,,1,07,,1,101,8,,0,4,,,,,,,0,0,4,0,1575,1,14,84,69,4,,2,12.4,,,,&,1,1,1,2,1,10,1960-04-10
60LA00048,60,1,2421,10,1,69,468,1867,10,1,,5,5,,1,07,,1,101,8,,0,4,,,,,,,0,0,4,0,1575,1,14,103,69,4,,2,12.6,,,,&,2,1,1,2,1,10,1960-04-10
60LA00049,60,2,2368,10,1,69,478,1868,10,1,,5,5,,1,07,,1,93,8,,0,4,,,,,,,0,0,4,0,2461,1,14,75,69,4,,1,11.0,,,,&,1,1,1,2,1,10,1960-04-02
60LA00050,60,1,2369,10,1,69,478,1868,10,1,,5,5,,1,07,,1,93,8,,0,4,,,,,,,0,0,4,0,2461,1,14,78,69,4,,1,11.8,,,,&,2,1,1,2,1,10,1960-04-02
60LA00051,60,2,2354,10,1,69,498,1869,10,1,,1,5,,1,07,,1,88,5,,0,4,,,,,,,0,0,4,0,4188,1,14,69,69,4,,1,8.4,,,,&,1,1,1,1,1,10,1960-03-28
60LA00052,60,2,2459,10,1,69,448,1887,10,1,,1,5,,1,07,,1,108,5,,0,2,,,,,,,0,0,4,0,3220,1,14,86,69,4,,2,11.0,,,,&,1,1,1,1,1,10,1960-04-17
60LA00053,60,1,2409,10,1,69,458,1898,10,1,,5,4,,1,07,,3,99,8,,0,4,,,,,,,0,0,4,0,3667,1,14,74,69,4,,1,9.4,,,,&,1,1,1,2,1,10,1960-04-08
60LA00054,60,2,2410,10,1,69,458,1898,10,1,,5,4,,1,07,,1,99,8,,0,4,,,,,,,0,0,4,0,3667,1,14,64,69,4,,1,9.8,,,,&,2,1,1,2,1,10,1960-04-08
60LA00055,60,2,2411,10,1,69,508,1914,10,1,,1,4,,1,07,,1,99,5,,0,3,,,,,,,0,0,4,0,1705,1,14,53,69,4,,1,6.0,,,,&,1,1,1,1,1,10,1960-04-08
60LA00056,60,2,2357,10,1,69,398,1915,10,1,,1,4,,1,07,,1,89,5,,0,4,,,,,,,0,0,4,0,1714,1,14,91,69,4,,1,12.6,,,,&,1,1,1,1,1,10,1960-03-29
60LA00057,60,2,2444,10,1,69,358,1919,10,1,,5,4,,1,07,,1,104,8,,0,4,,,,,,,0,0,4,0,4588,1,14,69,69,4,,2,11.6,,,,&,1,1,1,2,1,10,1960-04-13
