UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA01450,1981-04-13,1,S3859,19,,11,111,S0389,19,07,,1,,40,,1,07,,1,103,8,,0,2,,,,,,,S2957,19,0,71,11,6,1,,0,0,108,10,,,2,81
81LA01451,1981-04-06,1,S3638,19,1,11,113,S0390,19,07,,1,,40,,1,07,,1,96,8,,0,3,,,,,,,S3008,19,1,52,11,6,1,,1,2,108,10,,,1,81
81LA01452,1981-04-06,1,S3639,19,,11,113,S0390,19,07,,1,,40,,1,07,,1,96,8,,0,3,,,,,,,S3008,19,0,55,11,6,1,,0,0,099,10,,,2,81
81LA01453,1981-04-05,2,S3628,19,1,10,103,S0393,19,07,,1,,40,,1,07,,1,95,8,,0,3,,,,,,,S2482,19,1,53,10,2,1,,1,2,100,10,,,1,81
81LA01454,1981-04-05,2,S3629,19,,10,103,S0393,19,07,,1,,40,,1,07,,1,95,8,,0,3,,,,,,,S2482,19,0,63,10,2,1,,0,0,096,10,,,2,81
81LA01455,1981-04-12,1,S3819,19,1,13,131,S0399,19,07,,1,,40,,1,07,,1,102,5,,0,3,,,,,,,S2663,19,1,74,13,6,1,,1,1,132,10,,,1,81
81LA01456,1981-04-04,1,S3565,19,1,10,104,S0407,19,07,,1,,40,,1,07,,1,94,8,,0,3,,,,,,,S2148,19,1,67,10,2,1,,1,2,088,10,,,1,81
81LA01457,1981-04-04,1,S3566,19,,10,104,S0407,19,07,,1,,40,,1,07,,1,94,8,,0,3,,,,,,,S2148,19,0,61,10,2,1,,0,0,100,10,,,2,81
81LA01458,1981-04-14,1,S3877,19,1,13,132,S0418,19,07,,,,40,,1,07,,1,104,8,,183,3,,6,,,,,S2983,19,1,0,13,6,1,15,1,2,125,0,,,1,81
81LA01459,1981-04-14,2,S3878,19,,13,132,S0418,19,07,,1,,40,,1,07,,1,104,8,,0,3,,,,,,,S2983,19,0,75,13,6,1,,0,0,102,10,,,2,81
81LA01460,1981-03-29,2,X6775,79,1,,,S0420,19,07,,1,,40,,5,10,,1,88,5,,0,3,,,,,,,00000,97,1,76,07,9,1,,1,1,125,10,,,1,81
81LA01461,1981-03-15,,,19,1,11,114,S0426,19,07,,,,40,,,07,,,74,0,,0,0,,0,,,,,S2922,19,1,0,11,6,0,,1,1,,0,,,1,81
