UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA01680,00,S4713,10,13,33,S9451,10,6.0,42,43,,,1,0,n,F,0411,102,8,4,2,11.0,1,1,R1814,11,13,43,,0,,,,"SW.BAG,FLTS",4TEATS,,,.,Y,1,0840,,1,1,2,1,1,1.0,84,1,55,181,1,2000-04-11,Y,0.02
00LA01681,00,S4754,10,13,34,S7853,10,6.0,07,43,,,1,0,n,F,0410,101,8,4,1,12.9,1,1,R1780,11,13,07,,0,,,,SW.BAG,,,,.,J,1,1725,,1,1,2,1,1,1.0,88,1,66,181,1,2000-04-10,Y,0.082
00LA01682,00,S4754,10,13,34,S7853,10,6.0,07,43,,,1,0,n,F,0410,101,8,4,2,11.6,1,1,R1781,11,13,07,,0,,,,,"BLK.DOT,L.RIB",,,.,J,2,1725,,0,0,0,1,1,1.0,77,1,60,181,1,2000-04-10,Y,0.082
00LA01683,00,S5566,10,00,52,K9738,63,5.0,05,05,CC,CC,1,0,n,H,0411,102,8,4,1,12.7,1,1,K1356,64,00,05,,0,,,,LTS,4TEATS,,,.,Y,1,0840,,1,1,2,1,1,1.0,90,1,70,181,1,2000-04-11,Y,0.006
00LA01684,00,S5566,10,00,52,K9738,63,5.0,05,05,CC,CC,1,0,n,H,0411,102,8,4,2,11.7,1,1,K1357,64,00,05,,0,,,,,,,,.,Y,2,0840,,0,0,0,1,1,1.0,78,1,64,181,1,2000-04-11,Y,0.006
00LA01685,00,S5825,10,13,34,S7853,10,5.0,07,43,,,1,0,n,F,0411,102,8,3,1,11.5,1,1,R1824,11,13,07,,0,,,,,,,,.,Y,2,1300,,0,0,0,1,1,1.0,89,1,63,181,1,2000-04-11,Y,0.024
00LA01686,00,S5825,10,13,34,S7853,10,5.0,07,43,,,1,0,n,F,0411,102,8,3,2,11.1,1,1,R1823,11,13,07,,0,,,,,HAIRY,,,.,Y,1,1300,,1,1,2,1,1,1.0,81,1,62,181,1,2000-04-11,Y,0.024
00LA01687,00,S5827,10,13,31,S9526,10,5.0,07,43,,,1,0,n,F,0411,102,5,3,2,13.0,1,1,R1795,11,13,07,,0,,,,,,,,.,J,1,0145,,1,1,1,1,1,1.0,96,1,68,181,1,2000-04-11,Y,0.078
00LA01688,00,S5883,10,13,31,S9526,10,5.0,07,43,,,1,0,y,F,0411,102,8,1,3,10.1,1,1,R1801,11,13,07,3,103,93,,8,,,,,.,J,2,0355,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.026
00LA01689,00,S5883,10,13,31,S9526,10,5.0,07,43,,,1,0,y,F,0411,102,8,1,3,12.4,1,1,R1800,11,13,07,,0,,,,X FIBERBAG,,,,.,J,1,0355,,1,1,2,1,1,1.0,90,1,70,181,1,2000-04-11,Y,0.026
00LA01690,00,S6412,10,13,33,S9451,10,5.0,42,43,,,1,0,n,F,0411,102,5,4,1,13.3,1,1,R1802,11,13,43,,0,,,,,,,,.,J,1,0415,,1,1,1,1,1,1.0,102,1,76,181,1,2000-04-11,Y,0.072
00LA01691,00,S6657,10,12,90,S9756,10,4.0,07,07,,,1,0,n,C,0411,102,8,3,2,10.7,1,1,R1811,11,12,07,,0,,,,SW.BAG,,,,.,Y,1,0840,,1,1,2,1,1,1.0,68,1,54,181,1,2000-04-11,Y,0.052
00LA01692,00,S6657,10,12,90,S9756,10,4.0,07,07,,,1,0,n,C,0411,102,8,3,2,8.7,3,1,R1812,11,12,07,,0,,,,,BRN.BACK X,,,.,Y,2,0840,,0,0,0,1,1,1.0,72,1,53,181,1,2000-04-11,Y,0.052
00LA01693,00,S6269,10,12,81,S9361,10,5.0,42,07,,,1,0,n,C,0410,101,8,4,1,11.3,1,1,R1773,11,12,43,,0,,,,,,,,.,J,2,1500,,0,0,0,1,1,1.0,93,1,64,181,1,2000-04-10,Y,0.027
00LA01694,00,S6269,10,12,81,S9361,10,5.0,42,07,,,1,0,n,C,0410,101,8,4,1,12.1,1,1,R1772,11,12,43,,0,,,,,,,,.,J,1,1500,,1,1,2,1,1,1.0,64,1,49,181,1,2000-04-10,Y,0.027
00LA01695,00,S6879,10,13,34,S7853,10,4.0,42,43,,,1,0,n,F,0410,101,8,3,1,11.0,1,1,R1785,11,13,43,,0,,,,,,,,.,J,2,1955,,0,0,0,1,1,1.0,95,1,70,181,1,2000-04-10,Y,0.02
00LA01696,00,S6879,10,13,34,S7853,10,4.0,42,43,,,1,0,n,F,0410,101,8,3,1,11.3,1,1,R1784,11,13,43,,0,,,,,4TEATS,,,.,J,1,1955,,1,1,2,1,1,1.0,75,1,54,181,1,2000-04-10,Y,0.02
00LA01697,00,S8161,10,13,32,S9049,10,3.0,42,43,,,1,0,n,F,0411,102,8,3,1,12.0,1,1,R1799,11,13,43,,0,,,,,4TEATS,,,.,J,2,0345,,0,0,0,1,1,1.0,82,1,55,181,1,2000-04-11,Y,0.05
