UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
03LA00037,03,A7526,04,88,-2-,T8203,44,3.0,3,30,02,1,0,y,X,0329,88,7,3,3,7.3,1,1,Z8574,81,00,32,1,88,44,,,DYSTOCIA,H2OBELLY,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-29,0.001
03LA00038,03,K1569,64,68,-2-,T7305,44,2.0,2,06,02,1,7,y,X,0330,89,8,4,2,9.4,1,1,Z8581,81,00,03,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,81,1,63.0,177,1,2003-03-30,0.0
03LA00039,03,K1569,64,68,-2-,00000,00,2.0,2,06,00,1,7,y,X,0330,89,8,4,2,9.9,1,1,Z8582,81,00,00,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,87,1,71.0,177,1,2003-03-30,0.0
03LA00040,03,K2149,64,68,e.5,K1689,64,1.0,1,06,06,4,7,n,G,0330,89,1,1,1,9.8,1,1,,,68,06,1,89,44,,,,,,,.,J,1,....,,1,1,1,0,0,0.0,0,0,0.0,0,*,2003-03-30,0.029
03LA00041,03,90057,09,00,BLK,T0000,44,4.0,4,00,02,1,1,y,X,0331,90,8,4,2,10.5,9,1,Z8623,81,00,00,,,,,,,BLACK EWE,,,BLK,J,2,....,,,,0,1,1,1.0,73,1,61.0,177,1,2003-03-31,0.0
03LA00042,03,90057,09,00,BLK,T0000,44,4.0,4,00,02,1,1,y,X,0331,90,8,4,2,9.3,1,1,Z8622,81,00,00,,,,,,,,,,BLK,J,1,....,,1,1,2,1,1,1.0,79,1,60.5,177,1,2003-03-31,0.0
03LA00043,03,90833,09,88,-2-,T7305,44,4.0,4,30,02,1,0,y,X,0330,89,8,3,3,7.9,1,1,Z8605,81,00,32,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,83,1,67.0,177,1,2003-03-30,0.001
03LA00044,03,90833,09,88,-2-,T7305,44,4.0,4,30,02,1,0,y,X,0330,89,8,3,2,6.4,1,1,Z8604,81,00,32,6,115,19,,,,,,,.,J,1,....,,1,1,2,1,0,0.0,0,0,0.0,0,1,2003-03-30,0.001
03LA00045,03,A4867,04,73,52N,Z0000,81,5.5,5,30,97,1,0,y,N,0330,89,9,4,2,10.6,5,1,Z8592,81,00,80,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,65,1,65.0,191,3,2003-03-30,0.0
03LA00046,03,A4867,04,73,52N,Z0000,81,5.5,5,30,97,1,0,y,N,0330,89,9,4,2,10.9,5,1,Z8591,81,00,80,,,,,,,ENTR,,,.,J,1,....,,1,1,3,1,1,1.0,82,1,79.0,191,3,2003-03-30,0.0
03LA00047,03,A4867,04,73,52N,Z0000,81,5.5,5,30,97,1,0,y,N,0330,89,9,4,2,9.2,5,1,,,00,80,1,89,44,,,,,,,.,J,3,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-30,0.0
03LA00048,03,A5757,04,73,-2-,T7305,44,4.5,4,30,02,1,0,y,X,0330,89,5,4,3,14.0,1,1,Z8603,81,00,32,,,,,,,NICE,,,.,J,1,....,,1,1,1,1,1,1.0,108,1,92.5,177,1,2003-03-30,0.001
03LA00049,03,A6335,04,88,-3-,A7659,04,4.0,4,30,30,1,0,y,X,0330,89,3,2,2,5.2,1,1,Z8588,81,00,30,3,90,93,,8,,,,,.,J,3,....,,,,0,1,0,0.0,0,0,0.0,0,1,2003-03-30,0.035
03LA00050,03,A6335,04,88,-3-,A8075,04,4.0,4,30,30,1,0,y,X,0330,89,3,2,2,9.0,1,1,Z8586,81,00,30,,,,,,R.P.,,,,.,J,1,....,,1,1,4,1,1,1.0,77,1,67.0,177,1,2003-03-30,0.035
03LA00051,03,A6335,04,88,-3-,A7659,04,4.0,4,30,30,1,0,y,X,0330,89,3,2,2,7.4,1,1,Z8587,81,00,30,3,90,93,,8,,,,,.,J,2,....,,,,0,1,0,0.0,0,0,0.0,0,1,2003-03-30,0.035
03LA00052,03,A6335,04,88,-3-,A7659,04,4.0,4,30,30,1,0,y,X,0330,89,3,2,2,7.2,1,1,Z8589,81,00,30,6,95,54,R0739,-,,,,,.,J,4,....,,,,0,1,0,0.0,0,0,0.0,0,W,2003-03-30,0.035
03LA00053,03,A8416,04,84,-1-,T8164,44,2.0,2,30,02,1,0,y,X,0331,90,5,3,2,8.8,1,1,Z8609,81,00,32,,,,,,,,,,.,J,1,....,,1,1,1,1,1,1.0,73,1,60.0,177,1,2003-03-31,0.0
03LA00054,03,A8631,04,81,52N,Z0000,81,2.0,2,30,97,1,0,y,N,0330,89,5,3,3,12.8,5,1,Z8584,81,00,80,,,,,,,,,,.,J,1,....,,1,1,1,1,1,1.0,97,1,92.0,191,3,2003-03-30,0.0
