UID,YR,SEX,LAMB,LB1,DATE,SIRE,BRWT,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
51LA00456,51,1,1903,2,411,2594,10.6,1,0309,2,,5,2,1,3,1,82,214,1,,0,,,,,,,13,,,,,13,,45,7,12,,74,21,,101,11,1,1,1,1,10,1951-04-11,49,48,07
51LA00457,51,2,6888,3,525,0000,8.0,,0316,2,0,5,2,1,4,1,00,530,1,,0,,,,,,,13,,,,,17,,53,0,14,2,54,07,,145,17,1,1,1,1,10,1951-05-25,49,49,07
51LA00458,51,,,,525,0323,0.0,2,0316,2,20,,2,,,,53,530,1,,0,,,,,,,13,,-,,,14,,53,1,14,1,,,,145,13,1,0,0,0,0,1951-05-25,49,49,07
51LA00459,51,,,,520,1268,0.0,2,0317,2,0,,2,,,,43,431,1,,0,,,,,,,13,,,7,,14,,43,1,24,,,,,140,13,0,0,0,0,0,1951-05-20,49,50,07
51LA00460,51,2,0146,2,417,0054,9.0,2,0320,2,,5,2,1,4,1,82,494,1,6,0,,,,,,,13,,,,,14,,25,7,23,,,49,,107,13,1,1,1,1,0,1951-04-17,49,49,07
51LA00461,51,,,,524,0000,0.0,,0330,2,0,1,2,,1,,00,441,1,1,0,,,,,,,13,,,,,14,,44,0,08,2,,07,,144,17,1,1,1,0,0,1951-05-24,49,49,07
51LA00462,51,,,,524,0686,0.0,2,0330,2,25,,2,,,,44,441,1,,0,,,,,,,13,,-,,,14,,44,1,08,1,,,,144,13,1,0,0,0,0,1951-05-24,49,49,07
51LA00463,51,1,1747,2,408,0686,11.0,2,0333,2,18,5,2,1,4,1,44,441,1,,0,,,,,,,13,,,,,13,,44,1,03,,71,,,98,13,1,1,1,1,10,1951-04-08,49,49,07
51LA00464,51,2,1493,2,402,0323,6.4,2,0336,2,17,5,2,1,4,1,53,530,1,,0,,,,,,,13,,,,,13,,53,1,13,,61,,,92,13,1,1,1,1,10,1951-04-02,49,49,07
51LA00465,51,2,0326,2,428,1268,8.8,2,0341,2,,5,2,1,4,1,82,435,1,,0,,,,,,,13,,,,,14,,50,7,04,,61,43,,118,13,1,1,1,1,10,1951-04-28,49,50,07
