UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01403,L5218,03,80,P-2,,,10,1.0,30,L,,0402,8,1,2,5.8,1,1,L6589,03,,0,,,,,,1,L4292,03,30,80,92,,1,1,1,2,1,1,10,71,1,50,177,1,,,0,1991-04-02,91,0.075
91LA01404,L5218,03,80,P-2,,,10,1.0,30,L,,0402,8,1,3,5.7,1,1,L6590,03,3,95,93,,,,,2,L4292,03,30,80,92,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-02,91,0.075
91LA01405,L5225,03,83,P-7,,,10,1.0,30,L,,0413,8,1,2,5.1,1,1,L7212,03,6,104,01,,WEAKLAMB,,,1,L3541,03,30,83,103,&,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-13,91,0.089
91LA01406,L5225,03,83,P-7,,,10,1.0,30,L,,0413,8,1,1,6.9,1,1,L7213,03,,0,,,WEAKLAMB,,,2,L3541,03,30,83,103,,0,0,0,0,1,1,10,76,1,48,177,1,,,0,1991-04-13,91,0.089
91LA01407,L5228,03,81,P-4,,,10,1.0,30,L,,0410,5,1,3,8.0,1,1,L6946,03,7,179,97,464563,,,,1,L3737,03,30,81,100,-,1,1,1,1,1,0,0,0,0,0,0,,,,0,1991-04-10,91,0.063
91LA01408,L5230,03,81,P-4,,,10,1.0,30,L,,0330,7,2,3,8.5,1,1,L6520,03,,0,,,,,,1,L3737,03,30,81,89,,1,1,1,2,1,1,10,81,1,66,177,1,,,0,1991-03-30,91,0.074
91LA01409,L5230,03,81,P-4,,,10,1.0,30,L,,0330,7,2,2,6.0,1,1,,,1,89,46,,SAC,,,2,L3737,03,30,81,89,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-03-30,91,0.074
91LA01410,L5241,03,82,P-6,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L4136,03,30,82,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01411,L5243,03,83,P-7,,,10,1.0,30,L,,0328,5,1,3,7.6,1,4,L6495,03,,0,,,,,,1,L3541,03,30,83,87,,1,1,1,1,1,1,10,68,1,47,177,1,,,0,1991-03-28,91,0.075
91LA01412,L5245,03,80,P-2,,,10,1.0,30,L,,0414,5,1,2,6.9,1,1,L7368,03,,0,,,,,,1,L4292,03,30,80,104,,1,1,1,1,1,1,10,84,1,44,177,1,,,0,1991-04-14,91,0.05
91LA01413,L5246,03,81,P-4,,,10,1.0,30,L,,0404,5,1,3,6.7,1,1,L6649,03,,0,,,,,,1,L3737,03,30,81,94,,1,1,1,1,1,1,10,80,1,57,177,1,,,0,1991-04-04,91,0.057
91LA01414,L5259,03,83,P-8,,,10,1.0,30,L,,0403,5,2,2,7.0,1,1,L6611,03,,0,,,,,,1,L3613,03,30,83,93,,1,1,1,1,1,1,10,70,1,46,177,1,,,0,1991-04-03,91,0.071
91LA01415,L5263,03,81,P-4,,,10,1.0,30,L,,0402,8,2,2,6.0,1,1,L6582,03,,0,,,,,,1,L3737,03,30,81,92,,1,1,1,2,1,1,10,79,1,55,177,1,,,0,1991-04-02,91,0.067
91LA01416,L5263,03,81,P-4,,,10,1.0,30,L,,0402,8,2,3,7.1,1,1,L6583,03,3,127,93,,HAIRY,,,2,L3737,03,30,81,92,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-02,91,0.067
91LA01417,L5264,03,81,P-3,,,10,1.0,30,L,,0410,5,3,1,11.2,1,1,L6994,03,,0,,,,,,1,L3587,03,30,81,100,,1,1,1,1,1,1,10,90,1,60,177,1,,,0,1991-04-10,91,0.059
91LA01418,L5266,03,80,P-1,,,10,1.0,30,L,,0415,8,2,2,6.5,1,1,L7449,03,,0,,,HAIRY,,,1,L3624,03,30,80,105,,1,1,1,2,1,1,10,71,1,40,178,2,,,0,1991-04-15,91,0.045
91LA01419,L5266,03,80,P-1,,,10,1.0,30,L,,0415,8,2,2,6.4,1,1,L7450,03,,0,,,,,,2,L3624,03,30,80,105,,0,0,0,0,1,1,10,67,1,33,178,2,,,0,1991-04-15,91,0.045
