UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00773,58,1,,,47,470,1967,14,2,45,1,4,,1,07,,7,98,7,,0,3,,,26,,,,,4,14,0603,2,14,,47,1,,,8.8,-,1,,20,2,1,1,2,0,0,1958-04-08
58LA00774,58,2,4448,2,26,260,1970,13,2,20,1,7,,3,07,,1,104,5,,0,3,,,14,,,,,4,14,2638,2,14,78,26,1,2,,9.2,,,,,1,1,1,1,1,10,1958-04-14
58LA00775,58,2,4063,2,39,391,1974,13,2,13,1,7,,1,07,,1,91,8,,0,3,,,00,,,,,4,14,0396,2,14,71,39,1,1,,10.2,,,,,1,1,1,2,1,10,1958-04-01
58LA00776,58,2,4064,2,39,391,1974,13,2,13,1,7,,1,07,,1,91,8,,0,3,,,00,,,,,4,14,0396,2,14,69,39,1,1,,10.4,,,,,2,1,1,2,1,10,1958-04-01
58LA00777,58,2,4408,2,39,390,1975,13,2,16,1,7,,1,07,,1,103,7,,0,4,,,00,,,,,4,14,1714,2,14,86,39,1,2,,9.0,,,,,1,1,1,2,1,10,1958-04-13
58LA00778,58,2,,,39,390,1975,13,2,16,1,7,,1,07,,1,103,7,,0,4,,,00,,,,,4,14,1714,2,14,,39,1,,,9.6,,1,,,2,1,1,2,0,0,1958-04-13
58LA00779,58,1,4565,2,47,471,1983,14,2,21,1,4,,1,07,,1,110,5,,0,3,,,24,,,,4,4,14,2461,2,14,79,47,1,,,12.0,,,,,1,1,1,1,1,10,1958-04-20
58LA00780,58,2,,,44,440,1989,14,2,24,1,4,,1,07,,1,86,1,,0,3,,,18,4039,14,+,,4,14,3220,2,14,,44,1,,,7.6,,1,,,1,1,1,1,0,0,1958-03-27
58LA00781,58,,,,40,400,1993,14,2,30,1,4,,,07,,,109,-,,0,,,,25,,,,1,4,14,3087,2,14,,40,1,1,,0.0,,,,,1,1,0,0,0,0,1958-04-19
58LA00782,58,2,4525,2,49,490,1995,13,2,21,1,7,,1,07,,1,107,8,,0,2, -,,14,,,,,4,14,3125,2,14,60,49,1,8,,7.6,,,,,1,1,1,2,1,10,1958-04-17
