UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
59LA00054,59,1,2330,0,69,518,1762,10,0,,1,5,,1,07,,3,107,5,,0,4,,,,,,,,0,10,2374,2,14,92,69,4,,,12.8,,,,&,1,1,1,1,1,10,1959-04-17
59LA00055,59,,,0,69,508,1769,10,0,,1,5,,,07,,,88,,1,0,,,6,,,,,,0,10,1705,2,14,,69,4,,,0.0,,,,,1,0,0,0,0,0,1959-03-29
59LA00056,59,1,2251,0,69,198,1778,10,0,,1,5,,1,07,,1,95,5,,0,4,,,,,,,,0,10,4179,1,11,84,69,4,,,12.6,,,,&,1,1,1,1,1,10,1959-04-05
59LA00057,59,2,2296,0,69,218,1781,10,0,,1,5,,1,07,,1,101,5,,0,4,,,,,,,,0,10,4650,1,11,88,69,4,,,11.6,,,,&,1,1,1,1,1,10,1959-04-11
59LA00058,59,1,2298,0,69,228,1789,10,0,,1,5,,1,07,,1,102,5,,0,4,,,,,,,,0,10,3843,2,14,98,69,4,,,13.0,,,,&,1,1,1,1,1,10,1959-04-12
59LA00059,59,2,2286,0,69,478,1792,10,0,,1,6,,1,07,,1,101,8,,0,3,,,,2410,14,-,,0,10,2461,2,14,71,68,4,,,7.6,,,,&,1,1,1,2,1,10,1959-04-11
59LA00060,59,1,2287,0,69,478,1792,10,0,,1,6,,1,07,,1,101,8,,0,3,,,,,,,,0,10,2461,2,14,89,68,4,,,8.6,,,,&,2,1,1,2,1,10,1959-04-11
59LA00061,59,2,2248,0,69,550,1803,10,0,,1,4,,1,07,,1,94,5,,0,4,,,,,,,,0,10,4899,1,11,93,69,5,,,10.8,,,,&,1,1,1,1,1,10,1959-04-04
59LA00062,59,2,2269,0,69,600,1806,10,0,,1,4,,1,07,,1,98,5,,0,4,,,,,,,,0,10,4668,1,11,75,69,5,,,11.2,,,,&,1,1,1,1,1,10,1959-04-08
59LA00063,59,2,2253,0,69,650,1812,10,0,,1,4,,1,07,,1,95,8,,0,4,,,,,,,,0,10,4033,2,14,78,69,5,,,9.6,,,,&,1,1,1,2,1,10,1959-04-05
59LA00064,59,2,2254,0,69,650,1812,10,0,,1,4,,1,07,,1,95,8,,0,4,,,,,,,,0,10,4033,2,14,72,69,5,,,11.6,,,,&,2,1,1,2,1,10,1959-04-05
59LA00065,59,2,2223,0,69,700,1816,10,0,,1,4,,1,07,,1,89,8,,0,4,,,,,,,,0,10,3891,2,14,65,69,5,,,6.4,,,,&,1,1,1,2,1,10,1959-03-30
59LA00066,59,2,2224,0,69,700,1816,10,0,,1,4,,1,07,,1,89,8,,0,4,,,,,,,,0,10,3891,2,14,65,69,5,,,7.0,,,,&,2,1,1,2,1,10,1959-03-30
59LA00067,59,1,2258,0,69,580,1817,10,0,,1,4,,1,07,,1,96,8,,0,4,,,,,,,,0,10,4610,1,11,69,69,5,,,12.0,,,,&,1,1,1,2,1,10,1959-04-06
59LA00068,59,1,2259,0,69,580,1817,10,0,,1,4,,1,07,,1,96,8,,0,4,,,,,,,,0,10,4610,1,11,60,69,5,,,10.4,,,,&,2,1,1,2,1,10,1959-04-06
59LA00069,59,1,2299,0,69,590,1821,10,0,,1,4,,1,07,,1,102,5,,0,4,,,,,,,,0,10,4585,1,11,106,69,5,,,12.4,6,,87,&,1,1,1,1,1,10,1959-04-12
59LA00070,59,2,2294,0,69,660,1822,10,0,,1,4,,1,07,,1,101,8,,0,4,,,,,,,,0,10,3963,2,14,66,69,5,,,8.8,,,04,&,1,1,1,2,1,10,1959-04-11
59LA00071,59,1,2295,0,69,660,1822,10,0,,1,4,,1,07,,1,101,8,,189,4,,,,,,,,0,10,3963,2,14,,69,5,,,9.8,,6,,&,2,1,1,2,1,0,1959-04-11
59LA00072,59,2,2344,0,69,670,1827,10,0,,1,4,,1,07,,1,119,8,,0,3,,,,,,,,0,10,2928,2,14,76,69,5,,,10.8,,,,&,1,1,1,2,1,10,1959-04-29
59LA00073,59,2,2345,0,69,670,1827,10,0,,1,4,,1,07,,1,119,8,,0,3,,,,,,,,0,10,2928,2,14,75,69,5,,,10.2,,,,&,2,1,1,2,1,10,1959-04-29
59LA00074,59,1,2240,0,69,570,1828,10,0,,1,4,,1,07,,1,93,8,,0,4,,,,,,,,0,10,5017,1,11,67,69,5,,,9.2,,,,&,1,1,1,2,1,10,1959-04-03
59LA00075,59,2,2241,0,69,570,1828,10,0,,1,4,,1,07,,1,93,8,,0,4,,,,,,,,0,10,5017,1,11,61,69,5,,,7.0,,,,&,2,1,1,2,1,10,1959-04-03
59LA00076,59,2,2229,0,69,620,1829,10,0,,1,4,,1,07,,1,91,5,,0,3,,,,,,,,0,10,4687,1,11,81,69,5,,,8.8,,,,&,1,1,1,1,1,10,1959-04-01
59LA00077,59,2,,0,69,630,1835,10,0,,1,4,,3,07,,1,92,1,,0,4,,,,9651,17,+,,0,10,1857,2,14,,69,5,,,8.0,,1,,,1,1,1,1,0,0,1959-04-02
59LA00078,59,1,2276,0,69,680,1844,10,0,,1,4,,1,07,,2,98,8,,0,3,,,,1692,14,-,,0,10,3198,2,14,96,69,5,,,8.6,,,,&,1,1,1,2,1,10,1959-04-08
59LA00079,59,1,2277,0,69,680,1844,10,0,,1,4,,1,07,,1,98,8,,0,3,,,,,,,,0,10,3198,2,14,84,69,5,,,11.0,,,,&,2,1,1,2,1,10,1959-04-08
59LA00080,59,2,2340,0,69,560,1854,10,0,,1,4,,1,07,,1,116,8,,0,4,,,,,,,,0,10,5028,1,11,74,69,5,,,9.0,,,,&,1,1,1,2,1,10,1959-04-26
59LA00081,59,2,2341,0,69,560,1854,10,0,,1,4,,1,07,,1,116,8,,0,4,,,,,,,,0,10,5028,1,11,70,69,5,,,9.4,,,,&,2,1,1,2,1,10,1959-04-26
59LA00082,59,2,2252,0,69,610,1857,10,0,,1,4,08,1,07,,1,95,5,,0,4,,,,,,,,0,10,5038,1,11,88,69,5,,,10.0,,,,&,1,1,1,1,1,10,1959-04-05
59LA00083,59,2,2273,0,69,640,1867,10,0,,1,4,,1,07,,1,98,5,,0,4,,,,,,,,0,10,3136,2,14,94,69,5,,,13.6,,,,&,1,1,1,1,1,10,1959-04-08
59LA00084,59,1,2290,0,69,690,1868,10,0,,1,4,,1,07,,1,101,8,,0,4,,,,,,,,0,10,2933,2,14,85,69,5,,,10.0,,,,&,1,1,1,2,1,10,1959-04-11
59LA00085,59,1,2291,0,69,690,1868,10,0,,1,4,,1,07,,2,101,8,,0,4,,,,,,,,0,10,2933,2,14,74,69,5,,,9.6,,,,&,2,1,1,2,1,10,1959-04-11
59LA00086,59,2,2322,0,69,238,1869,10,0,,1,4,,1,07,,1,104,8,,0,3,,,,,,,,0,10,0120,1,91,74,69,4,,,8.4,,,,&,1,1,1,2,1,10,1959-04-14
59LA00087,59,2,2323,0,69,238,1869,10,0,,1,4,,1,07,,1,104,8,,0,3,,,,,,,,0,10,0120,1,91,73,69,4,,,6.8,,,,&,2,1,1,2,1,10,1959-04-14
59LA00088,59,2,2331,0,69,248,1873,10,0,,1,4,,1,07,,2,107,8,,0,3,,,,,,,,0,10,4073,1,11,74,69,4,,,6.8,,,,&,1,1,1,2,1,10,1959-04-17
59LA00089,59,1,2332,0,69,248,1873,10,0,,1,4,,1,07,,2,107,8,,0,3,,,,,,,,0,10,4073,1,11,79,69,4,,,11.6,,,,&,2,1,1,2,1,10,1959-04-17
59LA00090,59,1,2263,0,69,258,1874,10,0,,1,4,,1,07,,1,96,5,,0,4,,,,,,,,0,10,2805,2,14,86,69,4,,,13.0,,,,&,1,1,1,1,1,10,1959-04-06
59LA00091,59,1,2313,0,69,268,1887,10,0,,1,4,,1,07,,1,103,5,2,0,3,,,,,,,,0,10,3829,2,14,104,69,4,,,12.6,,,,&,1,1,1,1,1,10,1959-04-13
59LA00092,59,,,0,69,288,1888,10,0,,1,4,,,07,,,94,0,,0,3,,,,,,,,0,10,2775,2,14,,69,4,,,0.0,,0,,,1,1,1,1,0,0,1959-04-04
59LA00093,59,1,2262,0,69,550,1893,10,0,,1,3,,1,07,,1,96,5,,0,4,,,,,,,,0,10,4899,1,11,94,69,5,,,14.0,,,,&,1,1,1,1,1,10,1959-04-06
59LA00094,59,1,2325,0,69,600,1898,10,0,,1,3,,1,07,,1,105,5,,0,5,,,,,,,,0,10,4668,1,11,92,69,5,,,12.0,,,,&,1,1,1,1,1,10,1959-04-15
59LA00095,59,,,0,69,650,1902,10,0,,1,3,,,07,,,119,-,,0,,,,,,,,,0,10,4033,2,14,,69,5,,,0.0,,,,,1,1,0,0,0,0,1959-04-29
59LA00096,59,2,2337,0,69,660,1914,10,0,,1,3,,3,07,,1,110,8,,0,4,,,,,,,,0,10,3543,2,14,64,69,5,,,8.6,,,,&,1,1,1,2,1,10,1959-04-20
59LA00097,59,1,2338,0,69,660,1914,10,0,,1,3,,1,07,,1,110,8,,0,4,,,,,,,,0,10,3543,2,14,65,69,5,,,7.2,,,,&,2,1,1,2,1,10,1959-04-20
59LA00098,59,1,2314,0,69,700,1915,10,0,,1,3,,1,07,,1,103,5,,0,4,,,,,,,,0,10,3891,2,14,79,69,5,,,11.0,,,,&,1,1,1,1,1,10,1959-04-13
59LA00099,59,1,2245,0,69,580,1919,10,0,,1,3,,1,07,,1,94,5,,0,4,,,,,,,,0,10,4610,1,11,96,69,5,,,13.4,,,,&,1,1,1,1,1,10,1959-04-04
59LA00100,59,,,0,69,328,1928,10,0,,1,3,,,07,,,127,-,2,0,,,,,,,,,0,10,4657,1,11,,69,4,,,0.0,,,,,1,1,0,0,0,0,1959-05-07
59LA00101,59,2,2270,0,69,670,1931,10,0,,1,3,,1,07,,1,98,5,,0,4,,,,,,,,0,10,2928,2,14,90,69,5,,,11.8,,,,&,1,1,1,1,1,10,1959-04-08
59LA00102,59,2,2256,0,69,348,1935,10,0,,1,3,,1,07,,1,95,5,,0,3,,,,,,,,0,10,4978,1,11,77,69,4,,,10.0,,,,&,1,1,1,1,1,10,1959-04-05
59LA00103,59,2,2318,0,69,590,1942,10,0,,1,3,,1,07,,1,104,8,,0,4,,,,,,,,0,10,4585,1,11,76,69,5,,,9.8,2,,16,&,1,1,1,2,1,10,1959-04-14
59LA00104,59,1,2319,0,69,590,1942,10,0,,1,3,,1,07,,1,104,8,,0,4,,,,,,,,0,10,4585,1,11,69,69,5,,,8.4,,,,&,2,1,1,2,1,10,1959-04-14
59LA00105,59,1,2264,0,69,358,1952,10,0,,1,3,,1,07,,1,97,8,,0,4,,,,,,,,0,10,3327,2,14,68,69,4,,,9.0,,,,&,1,1,1,2,1,10,1959-04-07
59LA00106,59,2,2265,0,69,358,1952,10,0,,1,3,,1,07,,1,97,8,,0,4,,,,,,,,0,10,3327,2,14,71,69,4,,,8.8,,,,&,2,1,1,2,1,10,1959-04-07
59LA00107,59,2,2334,0,69,570,1953,10,0,,1,3,11,1,07,,1,107,5,,0,5,,,,,,,,0,10,5017,1,11,66,69,5,,,9.6,,,,&,1,1,1,1,1,10,1959-04-17
59LA00108,59,2,2257,0,69,368,1962,10,0,,1,3,,1,07,,2,95,5,,0,4,,,,,,,,0,10,2377,2,14,85,69,4,,,9.8,,,,&,1,1,1,1,1,10,1959-04-05
59LA00109,59,1,2242,0,69,620,1966,10,0,,1,3,,1,07,,2,93,5,,0,4,,,,,,,,0,10,4687,1,11,96,69,5,,,10.6,,,,&,1,1,1,1,1,10,1959-04-03
59LA00110,59,2,2284,0,69,560,1967,10,0,,1,3,,4,07,,1,100,5,,0,5,,,,,,,,0,10,5028,1,11,65,69,5,,,10.4,,,,&,1,1,1,1,1,10,1959-04-10
59LA00111,59,2,2232,0,69,610,1968,10,0,,1,3,,1,07,,1,91,5,,0,5,,,,,,,,0,10,5038,1,11,97,69,5,,,11.0,,,,&,1,1,1,1,1,10,1959-04-01
59LA00112,59,2,2235,0,69,550,1972,10,0,,1,3,,1,07,,1,92,5,,0,3,,,,,,,,0,10,4899,1,11,91,69,5,,,10.4,,,,&,1,1,1,1,1,10,1959-04-02
59LA00113,59,2,2227,0,69,600,1974,10,0,,1,3,,1,07,,1,90,5,,0,4,,,,,,,,0,10,4668,1,11,88,69,5,,,10.0,,,,&,1,1,1,1,1,10,1959-03-31
59LA00114,59,2,2320,0,69,378,1979,10,0,,1,3,,1,07,,2,104,8,,0,4,,,,,,,,0,10,2427,2,14,76,69,4,,,9.0,,,,&,1,1,1,2,1,10,1959-04-14
59LA00115,59,1,2321,0,69,378,1979,10,0,,1,3,,1,07,,2,104,8,,0,4,,,,,,,,0,10,2427,2,14,69,69,4,,,11.0,,,,&,2,1,1,2,1,10,1959-04-14
59LA00116,59,2,2228,0,69,590,1990,10,0,,1,3,,1,07,,1,91,5,,0,4,,,,,,,,0,10,4585,1,11,82,69,5,,,10.8,,,,&,1,1,1,1,1,10,1959-04-01
