UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
97LA00431,97,A3109,04,ch,j.3,A1264,04,1.0,31,31,L,2,n,c,0421,111,5,4,2,9.8,1,1,Z4255,81,ch,31,,0,,,,,NAVEL BLED,,,,Y,1,,1,1,1,1,1,1.0,68,1,47,178,4,1997-04-21,0.033
97LA00432,97,A3113,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0406,96,9,1,2,5.0,1,1,A4026,04,88,30,,0,,,,,,,,,Y,1,,1,1,3,1,1,1.0,52,1,36,178,2,1997-04-06,0.056
97LA00433,97,A3113,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0406,96,9,1,3,5.3,1,1,A4027,04,88,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,58,1,41,178,2,1997-04-06,0.056
97LA00434,97,A3113,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0406,96,9,1,2,7.0,1,1,,,88,30,1,0,,,,,,,,,Y,3,,0,0,0,0,0,0.0,0,,0,0,,1997-04-06,0.056
97LA00435,97,A3116,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0412,102,8,2,2,9.3,1,1,A4067,04,88,30,3,103,93,,8,,,,,,J,1,,1,1,2,1,0,0.0,0,,0,0,,1997-04-12,0.064
97LA00436,97,A3116,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0412,102,8,2,2,9.1,1,1,A4068,04,88,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,73,1,51,177,1,1997-04-12,0.064
97LA00437,97,A3127,04,ch,j.4,A1297,04,1.0,31,31,L,2,n,h,0406,96,5,2,2,10.8,1,1,Z3945,81,ch,31,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,78,1,61,178,4,1997-04-06,0.012
97LA00438,97,A3145,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0405,95,8,2,2,7.2,1,1,A4018,04,88,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,58,1,44,178,2,1997-04-05,0.073
97LA00439,97,A3145,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0405,95,8,2,3,8.8,1,1,A4019,04,88,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,57,1,56,178,2,1997-04-05,0.073
97LA00440,97,A3153,04,ch,j.9,T4353,44,1.0,31,01,L,2,n,h,0412,102,5,2,2,11.9,1,1,Z4006,81,ch,00,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,84,1,64,178,4,1997-04-12,0.005
97LA00441,97,A3159,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0406,96,5,1,3,7.5,1,1,A4024,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,66,1,47,178,2,1997-04-06,0.061
