ID10,DAYDIS,YR
D201406051,70,14
D201443441,70,14
D201418391,71,14
D201418392,71,14
D201480051,71,14
D201480052,71,14
D201451821,71,14
D201481551,71,14
D201481552,71,14
D201481553,71,14
D201479581,73,14
D201479582,73,14
D201449511,74,14
D201467552,74,14
D201443091,74,14
D201411171,75,14
D201498351,76,14
D201451321,78,14
D201451322,78,14
D201474482,78,14
D201410101,78,14
D201410102,78,14
D201443171,79,14
D201430531,82,14
D201487182,82,14
D201417741,85,14
D201483392,86,14
D201404761,86,14
D201468072,88,14
D201404611,91,14
D201441911,92,14
D201441912,92,14
D201468861,92,14
D201497091,93,14
D201497092,93,14
D201451262,96,14
D201495781,49,14
D201495782,49,14
D201516001,60,15
D201591201,61,15
D201599971,61,15
D201516251,61,15
D201516252,61,15
D201597531,62,15
D201584911,62,15
D201584912,62,15
D201515421,62,15
D201504881,62,15
D201500481,63,15
D201586421,64,15
D201586422,64,15
D201517921,65,15
D201509931,65,15
D201509932,65,15
D201576031,66,15
D201516711,66,15
D201517011,68,15
D201517012,68,15
D201516131,68,15
D201503601,68,15
D201503602,68,15
D201503603,68,15
D201500241,70,15
D201564323,72,15
D201555331,72,15
D201596741,73,15
D201596742,73,15
D201557601,73,15
D201584613,73,15
D201500631,74,15
D201554251,75,15
D201555761,78,15
D201555201,80,15
D201555202,80,15
D201557791,80,15
D201572533,82,15
D201513971,82,15
D201554491,82,15
D201516043,83,15
D201534994,86,15
D201515202,87,15
D201553193,89,15
D201542643,91,15
D201537891,76,15
D201686561,53,16
D201688091,58,16
D201688092,58,16
D201696401,66,16
D201696402,66,16
D201691731,67,16
D201691732,67,16
D201692291,68,16
D201692292,68,16
D201692351,68,16
D201690941,69,16
D201690942,69,16
D201688721,69,16
D201688021,56,16
D201691581,71,16
D201691582,71,16
D201691583,71,16
D201604001,71,16
D201679351,71,16
D201679352,71,16
D201679353,71,16
D201624302,73,16
D201698591,77,16
D201605571,77,16
D201662261,78,16
D201669171,78,16
D201654843,78,16
D201628732,78,16
D201656571,78,16
D201656572,78,16
D201691901,78,16
D201691902,78,16
D201656933,78,16
D201643281,80,16
D201627621,81,16
D201604101,81,16
D201658621,81,16
D201660481,81,16
D201660482,81,16
D201617061,81,16
D201691051,81,16
D201605961,82,16
D201605962,82,16
D201628571,82,16
D201662391,83,16
D201654671,83,16
D201654672,83,16
D201627761,83,16
D201627762,83,16
D201656802,84,16
D201691671,84,16
D201686202,84,16
D201695782,84,16
D201687702,83,16
D201653541,84,16
D201662431,85,16
D201688113,86,16
D201616701,86,16
D201616702,86,16
D201689901,86,16
D201606151,87,16
D201688292,87,16
D201691491,87,16
D201696131,88,16
D201605271,90,16
D201698463,90,16
D201606851,90,16
D201606852,90,16
D201659291,91,16
D201692301,91,16
D201692302,91,16
D201602861,92,16
D201700053,87,17
D201700931,95,17
D201701053,91,17
D201701541,77,17
D201701731,81,17
D201703251,66,17
D201705721,74,17
D201709061,77,17
D201709062,77,17
D201709251,71,17
D201709821,75,17
D201710061,80,17
D201710931,75,17
D201714481,81,17
D201718021,70,17
D201718451,82,17
D201724151,81,17
D201724152,81,17
D201729071,58,17
D201729333,76,17
D201729372,69,17
D201732771,57,17
D201732772,57,17
D201733402,69,17
D201733861,39,17
D201734251,86,17
D201737971,64,17
D201738011,75,17
D201738781,81,17
D201739291,64,17
D201739921,39,17
D201740593,85,17
D201740931,39,17
D201741171,70,17
D201741231,72,17
D201746003,92,17
D201747482,88,17
D201749201,91,17
D201749202,91,17
D201751121,82,17
D201755701,85,17
D201755702,85,17
D201756511,79,17
D201756512,79,17
D201758431,81,17
D201758432,81,17
D201758433,81,17
D201758434,81,17
D201758992,87,17
D201760164,90,17
D201764671,85,17
D201764672,85,17
D201764691,94,17
D201764981,82,17
D201765031,84,17
D201765032,84,17
D201785082,78,17
D201787201,65,17
D201787202,65,17
D201787203,65,17
D201788281,77,17
D201788282,77,17
D201788381,83,17
D201788631,78,17
D201788632,78,17
D201790072,70,17
D201790742,75,17
D201790743,75,17
D201792291,64,17
D201792292,64,17
D201792293,64,17
D201793001,46,17
D201793101,81,17
D201793411,70,17
D201793412,70,17
D201793561,77,17
D201793562,77,17
D201794051,80,17
D201794231,79,17
D201794232,79,17
D201794322,93,17
D201794721,81,17
D201795252,91,17
D201795743,77,17
D201796861,81,17
D201796862,81,17
D201798093,86,17
D201832342,63,18
D201896011,68,18
D201896012,68,18
D201898161,68,18
D201898162,68,18
D201845991,68,18
D201897281,68,18
D201897282,68,18
D201842871,69,18
D201866421,69,18
D201814601,69,18
D201898781,70,18
D201811771,70,18
D201811772,70,18
D201895281,70,18
D201863971,71,18
D201894882,71,18
D201836161,71,18
D201836162,71,18
D201896341,71,18
D201847011,71,18
D201850101,71,18
D201897092,71,18
D201897093,71,18
