AAID,ID10,ETAG,YRREC,PEN,RGRP,LOT,BAND,TRT,BPEN,BGRP,STUDY,STUDYTRT
AA102005051626,2005051626,H1626,2010,26P,7,.,1,L,66,2,Life,
AA102005051627,2005051627,H1627,2010,26P,7,.,2,L,52,2,Life,Albmn
AA102005051633,2005051633,H1633,2010,23P,0,Ctl,2,.,66,2,Poly,
AA102005051648,2005051648,H1648,2010,04P,7,.,D,L,,,Life,
AA102005051665,2005051665,H1665,2010,01P,7,.,1,L,73,2,Life,
AA102005051668,2005051668,H1668,2010,15P,7,.,5,L,,,Life,
AA102005051683,2005051683,H1683,2010,06P,0,.,1,.,53,2,Poly,Albmn
AA102005051684,2005051684,H1684,2010,06P,7,.,2,L,64,2,Life,
AA102005051696,2005051696,H1696,2010,05P,7,.,2,L,,,Life,
AA102005051724,2005051724,H1724,2010,01P,7,.,1,L,67,2,Life,
AA102005051725,2005051725,H1725,2010,15P,0,Ctl,1,.,53,2,Poly,
AA102005051727,2005051727,H1727,2010,06P,0,.,2,.,56,2,Poly,
AA102005051732,2005051732,H1732,2010,23P,7,.,2,L,,,Life,
AA102005051733,2005051733,H1733,2010,23P,7,.,1,L,69,2,Life,
AA102005051747,2005051747,H1747,2010,26P,0,Ctl,1,.,64,2,Poly,
AA102005051761,2005051761,H1761,2010,15P,7,.,1,L,65,2,Life,
AA102005051762,2005051762,H1762,2010,05P,7,.,1,L,,,Life,
AA102005051778,2005051778,H1778,2010,03P,7,.,1,L,,,Life,
AA102005051787,2005051787,H1787,2010,01P,7,.,1,L,68,2,Life,
AA102005051795,2005051795,H1795,2010,22P,7,.,D,L,,,Life,
AA102005051806,2005051806,H1806,2010,25P,0,Ctl,1,.,69,2,Poly,
AA102005051809,2005051809,H1809,2010,24P,7,.,2,L,65,2,Life,
AA102005051810,2005051810,H1810,2010,01P,7,.,1,L,54,2,Life,
AA102005051822,2005051822,H1822,2010,24P,7,.,2,L,67,2,Life,Albmn
AA102005051839,2005051839,H1839,2010,04P,0,Flw,1,.,69,2,Poly,
AA102005051847,2005051847,H1847,2010,01P,7,.,D,L,,,Life,
AA102005051855,2005051855,H1855,2010,02P,7,.,1,L,64,2,Life,
AA102005051857,2005051857,H1857,2010,04P,0,Flw,2,.,64,2,Poly,
AA102005051862,2005051862,H1862,2010,25P,7,.,2,L,64,2,Life,
AA102005051869,2005051869,H1869,2010,21P,7,.,D,L,68,2,Life,
AA102005051897,2005051897,H1897,2010,06P,7,.,H,L,57,2,Life,
AA102005051898,2005051898,H1898,2010,06P,7,.,2,L,68,2,Life,
AA102005051903,2005051903,H1903,2010,07P,7,.,1,L,69,2,Life,
AA102005051922,2005051922,H1922,2010,06P,7,OVX,D,L,Ovx,O,Life,
AA102005051943,2005051943,H1943,2010,12P,7,.,1,L,73,2,Life,
AA102005051956,2005051956,H1956,2010,01P,7,.,2,L,69,2,Life,Albmn
AA102005051957,2005051957,H1957,2010,01P,7,.,1,L,52,2,Life,
AA102005051970,2005051970,H1970,2010,04P,7,.,2,L,58,2,Life,
AA102005051990,2005051990,H1990,2010,25P,7,.,1,L,,,Life,
AA102005051991,2005051991,H1991,2010,25P,7,.,H,L,65,2,Life,
AA102005052018,2005052018,H2018,2010,02P,7,.,1,L,55,2,Life,
AA102005052045,2005052045,H2045,2010,07P,7,.,1,L,64,2,Life,
AA102005052058,2005052058,H2058,2010,07P,0,.,D,.,,,Poly,
AA102005052093,2005052093,H2093,2010,06P,7,OVX,D,L,Ovx,O,Life,
AA102005052097,2005052097,H2097,2010,25P,0,Ctl,1,.,73,2,Poly,
AA102005052119,2005052119,H2119,2010,13P,0,Ctl,D,.,,,Poly,
AA102005052132,2005052132,H2132,2010,21P,7,.,1,L,66,2,Life,Albmn
AA102005052150,2005052150,H2150,2010,25P,7,.,2,L,58,2,Life,
AA102005052151,2005052151,H2151,2010,25P,7,.,2,L,52,2,Life,Albmn
AA102005052152,2005052152,H2152,2010,23P,7,.,1,L,64,2,Life,
AA102005052158,2005052158,H2158,2010,24P,7,OVX,D,L,Ovx,O,Life,
AA102005052189,2005052189,H2189,2010,07P,0,OVX,D,.,Ovx,O,Poly,
AA102006052192,2006052192,H2192,2010,e34,7,WSW,1,L,56,2,Life,
AA102006052194,2006052194,H2194,2010,e31,7,WSW,1,L,67,2,Life,
AA102006052199,2006052199,H2199,2010,01,0,PTH,1,.,,,Poly,
AA102006052201,2006052201,H2201,2010,03,0,PTH,2,.,,,Poly,
AA102006052210,2006052210,H2210,2010,e34,7,PTH,2,L,64,2,Life,
AA102006052217,2006052217,H2217,2010,e31,7,WSW,1,L,55,2,Life,
AA102006052219,2006052219,H2219,2010,05,0,PTH,2,.,,,Poly,
AA102006052230,2006052230,H2230,2010,05,0,.,1,.,,,Poly,
AA102006052245,2006052245,H2245,2010,01,0,.,2,.,67,2,Poly,
AA102006052258,2006052258,H2258,2010,e34,7,WSW,2,L,57,2,Life,
AA102006052267,2006052267,H2267,2010,05,0,PTH,2,.,68,2,Poly,
AA102006052278,2006052278,H2278,2010,e34,7,WSW,1,L,67,2,Life,
AA102006052286,2006052286,H2286,2010,01,7,RN,H,X,74,2,CxP,
AA102006052300,2006052300,H2300,2010,e33,7,WSW,H,L,64,2,Life,
AA102006052309,2006052309,H2309,2010,e34,7,PTH,2,L,53,2,Life,
AA102006052312,2006052312,H2312,2010,02,7,RN,H,X,74,2,CxP,Albmn
AA102006052315,2006052315,H2315,2010,02,7,OVX,D,X,,,CxP,Albmn
AA102006052324,2006052324,H2324,2010,02,0,.,1,.,69,2,Poly,
AA102006052341,2006052341,H2341,2010,01,7,OVX,D,X,,,CxP,Albmn
AA102006052349,2006052349,H2349,2010,e33,7,WSW,D,L,,,Life,
AA102006052354,2006052354,H2354,2010,04,0,.,2,.,73,2,Poly,
AA102006052355,2006052355,H2355,2010,05,0,PTH,2,.,57,2,Poly,
AA102006052359,2006052359,H2359,2010,01,7,RN,D,X,74,2,CxP,Albmn
AA102006052360,2006052360,H2360,2010,01,7,RN,H,X,74,2,CxP,Albmn
AA102006052364,2006052364,H2364,2010,01,7,RN,D,X,74,2,CxP,Albmn
AA102006052371,2006052371,H2371,2010,03,0,.,1,.,57,2,Poly,Albmn
AA102006052379,2006052379,H2379,2010,e31,7,WSW,2,L,73,2,Life,
AA102006052380,2006052380,H2380,2010,e34,7,WSW,D,L,66,2,Life,
AA102006052397,2006052397,H2397,2010,e34,0,PTH,2,.,73,2,Poly,
AA102006052399,2006052399,H2399,2010,e34,7,WSW,2,L,54,2,Life,Albmn
AA102006052401,2006052401,H2401,2010,e32,7,PTH,2,L,55,2,Life,
AA102006052404,2006052404,H2404,2010,04,0,PTH,2,.,58,2,Poly,
AA102006052429,2006052429,H2429,2010,01,7,RN,H,X,74,2,CxP,Albmn
AA102006052439,2006052439,H2439,2010,03,0,.,2,.,64,2,Poly,
AA102006052450,2006052450,H2450,2010,03,0,PTH,2,.,,,Poly,
AA102006052454,2006052454,H2454,2010,02,0,PTH,2,.,52,2,Poly,
AA102006052460,2006052460,H2460,2010,01,7,RN,H,X,74,2,CxP,Albmn
AA102006052462,2006052462,H2462,2010,e32,7,PTH,2,L,64,2,Life,
AA102006052508,2006052508,H2508,2010,04,0,.,H,.,55,2,Poly,
AA102006052522,2006052522,H2522,2010,e34,7,WSW,2,L,65,2,Life,
AA102006052539,2006052539,H2539,2010,04,7,OVX,D,X,,,CxP,Albmn
AA102006052541,2006052541,H2541,2010,02,7,RN,H,X,74,2,CxP,
AA102006052543,2006052543,H2543,2010,04,7,RN,H,X,74,2,CxP,
AA102006052559,2006052559,H2559,2010,e32,7,WSW,1,L,52,2,Life,
AA102006052582,2006052582,H2582,2010,02,7,RN,T,X,,,CxP,Albmn
AA102006052587,2006052587,H2587,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052589,2006052589,H2589,2010,01,0,PTH,,.,,,Poly,
AA102006052623,2006052623,H2623,2010,02,7,RN,H,X,74,2,CxP,Albmn
AA102006052625,2006052625,H2625,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052634,2006052634,H2634,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052638,2006052638,H2638,2010,03,0,PTH,2,.,,,Poly,
AA102006052650,2006052650,H2650,2010,02,0,.,1,.,65,2,Poly,
AA102006052653,2006052653,H2653,2010,01,7,RN,H,X,74,2,CxP,Albmn
AA102006052664,2006052664,H2664,2010,03,0,.,2,.,,,Poly,Albmn
AA102006052682,2006052682,H2682,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052683,2006052683,H2683,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052687,2006052687,H2687,2010,02,0,PTH,2,.,67,2,Poly,
AA102006052695,2006052695,H2695,2010,e32,7,WSW,H,L,53,2,Life,
AA102006052699,2006052699,H2699,2010,02,0,PTH,2,.,58,2,Poly,
AA102006052700,2006052700,H2700,2010,04,0,.,,.,,,Poly,
AA102006052704,2006052704,H2704,2010,e34,7,PTH,2,L,56,2,Life,
AA102006052719,2006052719,H2719,2010,03,7,OVX,D,X,,,CxP,Albmn
AA102006052722,2006052722,H2722,2010,04,7,OVX,D,X,,,CxP,Albmn
AA102006052726,2006052726,H2726,2010,03,7,OVX,D,X,,,CxP,Albmn
AA102006052730,2006052730,H2730,2010,01,0,.,2,.,68,2,Poly,Albmn
AA102006052758,2006052758,H2758,2010,01,0,.,1,.,66,2,Poly,
AA102006052785,2006052785,H2785,2010,02,0,PTH,2,.,66,2,Poly,
AA102006052787,2006052787,H2787,2010,e32,7,PTH,2,L,68,2,Life,
AA102006052790,2006052790,H2790,2010,04,0,PTH,2,.,65,2,Poly,
AA102006052798,2006052798,H2798,2010,05,0,PTH,2,.,58,2,Poly,
AA102006052805,2006052805,H2805,2010,04,7,RN,H,X,74,2,CxP,Albmn
AA102006052810,2006052810,H2810,2010,04,7,RN,H,X,74,2,CxP,Albmn
AA102006052824,2006052824,H2824,2010,02,0,.,1,.,52,2,Poly,
AA102006052825,2006052825,H2825,2010,01,7,RN,H,X,74,2,CxP,Albmn
AA102006052827,2006052827,H2827,2010,03,7,RN,H,X,74,2,CxP,Albmn
AA102006052828,2006052828,H2828,2010,e32,7,WSW,1,L,54,2,Life,
AA102006052838,2006052838,H2838,2010,e32,7,PTH,2,L,69,2,Life,
AA102006052853,2006052853,H2853,2010,01,0,PTH,2,.,69,2,Poly,
AA102006052855,2006052855,H2855,2010,01,0,.,2,.,57,2,Poly,
AA102006052867,2006052867,H2867,2010,e32,7,WSW,2,L,52,2,Life,
AA102006052873,2006052873,H2873,2010,01,0,PTH,2,.,73,2,Poly,
AA102006052882,2006052882,H2882,2010,05,0,.,2,.,73,2,Poly,
AA102006052890,2006052890,H2890,2010,e31,7,PTH,2,L,73,2,Life,
AA102006052892,2006052892,H2892,2010,e32,7,PTH,2,L,65,2,Life,
AA102006052895,2006052895,H2895,2010,e33,7,WSW,1,L,65,2,Life,
AA102006052897,2006052897,H2897,2010,e34,7,PTH,2,L,,,Life,
AA102006052906,2006052906,H2906,2010,e31,7,WSW,2,L,,,Life,
AA102006052909,2006052909,H2909,2010,e33,0,.,1,.,,,Poly,
AA102007052932,2007052932,H2932,2010,e34,7,.,2,L,56,2,Life,
AA102007052934,2007052934,H2934,2010,43,7,RN,H,X,74,2,CxP,
AA102007052952,2007052952,H2952,2010,43,7,RN,H,X,74,2,CxP,Albmn
AA102007052965,2007052965,H2965,2010,e32,7,.,1,L,,,Life,
AA102007052972,2007052972,H2972,2010,e32,7,PTH,2,L,,,Life,
AA102007052973,2007052973,H2973,2010,e33,7,.,2,L,54,2,Life,Albmn
AA102007052985,2007052985,H2985,2010,44,7,RN,D,X,74,2,CxP,
AA102007052987,2007052987,H2987,2010,42,7,RN,H,X,74,2,CxP,
AA102007052997,2007052997,H2997,2010,e32,7,.,1,L,67,2,Life,
AA102007052998,2007052998,H2998,2010,42,7,RN,H,X,74,2,CxP,Albmn
AA102007053001,2007053001,H3001,2010,09,7,.,D,L,73,2,Life,Albmn
AA102007053002,2007053002,H3002,2010,09,7,.,2,L,58,2,Life,
AA102007053022,2007053022,H3022,2010,01,7,.,H,L,65,2,Life,
AA102007053023,2007053023,H3023,2010,e32,7,.,1,L,,,Life,
AA102007053026,2007053026,H3026,2010,06,7,.,1,L,73,2,Life,
AA102007053027,2007053027,H3027,2010,06,7,.,1,L,,,Life,
AA102007053031,2007053031,H3031,2010,05,7,.,1,L,55,2,Life,
AA102007053033,2007053033,H3033,2010,e32,7,PTH,2,L,55,2,Life,
AA102007053038,2007053038,H3038,2010,02,7,PTH,2,L,67,2,Life,
AA102007053042,2007053042,H3042,2010,03,7,.,D,L,54,2,Life,
AA102007053044,2007053044,H3044,2010,45,7,RN,H,X,74,2,CxP,Albmn
AA102007053051,2007053051,H3051,2010,05,7,.,2,L,53,2,Life,
AA102007053055,2007053055,H3055,2010,08,7,.,D,L,67,2,Life,
AA102007053056,2007053056,H3056,2010,08,7,.,2,L,54,2,Life,
AA102007053070,2007053070,H3070,2010,02,7,.,1,L,68,2,Life,
AA102007053072,2007053072,H3072,2010,42,7,RN,D,X,74,2,CxP,Albmn
AA102007053078,2007053078,H3078,2010,41,7,RN,D,X,,,CxP,
AA102007053080,2007053080,H3080,2010,e32,7,PTH,2,L,66,2,Life,
AA102007053081,2007053081,H3081,2010,09,7,.,2,L,55,2,Life,
AA102007053084,2007053084,H3084,2010,43,7,RN,D,X,,,CxP,
AA102007053085,2007053085,H3085,2010,09,7,.,1,L,64,2,Life,
AA102007053087,2007053087,H3087,2010,02,7,.,1,L,56,2,Life,
AA102007053095,2007053095,H3095,2010,02,7,PTH,2,L,,,Life,
AA102007053096,2007053096,H3096,2010,08,7,.,1,L,,,Life,Albmn
AA102007053104,2007053104,H3104,2010,03,7,.,2,L,58,2,Life,
AA102007053110,2007053110,H3110,2010,05,7,.,H,L,,,Life,
AA102007053114,2007053114,H3114,2010,03,7,.,1,L,67,2,Life,
AA102007053115,2007053115,H3115,2010,e31,7,.,2,L,,,Life,
AA102007053116,2007053116,H3116,2010,e34,7,.,2,L,,,Life,
AA102007053118,2007053118,H3118,2010,03,7,.,H,L,,,Life,
AA102007053122,2007053122,H3122,2010,02,7,.,H,L,69,2,Life,
AA102007053123,2007053123,H3123,2010,02,7,.,1,L,64,2,Life,
AA102007053133,2007053133,H3133,2010,09,7,.,H,L,65,2,Life,
AA102007053137,2007053137,H3137,2010,03,7,PTH,2,L,56,2,Life,
AA102007053143,2007053143,H3143,2010,01,7,.,1,L,73,2,Life,
AA102007053146,2007053146,H3146,2010,03,7,.,2,L,66,2,Life,
AA102007053152,2007053152,H3152,2010,06,7,.,2,L,73,2,Life,Albmn
AA102007053153,2007053153,H3153,2010,06,7,.,1,L,55,2,Life,
AA102007053160,2007053160,H3160,2010,05,7,.,1,L,58,2,Life,
AA102007053171,2007053171,H3171,2010,08,7,.,D,L,66,2,Life,
AA102007053174,2007053174,H3174,2010,08,7,.,1,L,73,2,Life,
AA102007053175,2007053175,H3175,2010,08,7,.,1,L,55,2,Life,
AA102007053179,2007053179,H3179,2010,05,7,.,D,L,,,Life,Albmn
AA102007053184,2007053184,H3184,2010,04,7,.,2,L,67,2,Life,
AA102007053188,2007053188,H3188,2010,01,7,PTH,2,L,,,Life,
AA102007053194,2007053194,H3194,2010,01,7,.,1,L,68,2,Life,
AA102007053195,2007053195,H3195,2010,03,7,.,D,L,,,Life,
AA102007053201,2007053201,H3201,2010,03,7,.,H,L,,,Life,
AA102007053208,2007053208,H3208,2010,e34,7,.,1,L,,,Life,
AA102007053210,2007053210,H3210,2010,e31,7,.,2,L,68,2,Life,
AA102007053211,2007053211,H3211,2010,04,7,.,1,L,,,Life,
AA102007053216,2007053216,H3216,2010,e33,7,.,1,L,73,2,Life,
AA102007053224,2007053224,H3224,2010,05,7,.,1,L,66,2,Life,
AA102007053225,2007053225,H3225,2010,08,7,.,2,L,52,2,Life,
AA102007053233,2007053233,H3233,2010,e31,7,.,1,L,,,Life,
AA102007053242,2007053242,H3242,2010,01,7,PTH,2,L,,,Life,
AA102007053249,2007053249,H3249,2010,06,7,.,1,L,,,Life,
AA102007053253,2007053253,H3253,2010,05,7,.,2,L,57,2,Life,
AA102007053257,2007053257,H3257,2010,05,0,.,M,.,,,Poly,
AA102007053260,2007053260,H3260,2010,08,7,.,1,L,,,Life,
AA102007053264,2007053264,H3264,2010,08,7,.,D,L,,,Life,
AA102007053266,2007053266,H3266,2010,03,7,.,1,L,69,2,Life,
AA102007053283,2007053283,H3283,2010,01,7,.,1,L,53,2,Life,
AA102007053284,2007053284,H3284,2010,06,7,.,1,L,58,2,Life,
AA102007053313,2007053313,H3313,2010,06,7,PTH,2,L,53,2,Life,
AA102007053328,2007053328,H3328,2010,06,7,.,1,L,73,2,Life,
AA102007053329,2007053329,H3329,2010,06,7,PTH,2,L,,,Life,
AA102007053331,2007053331,H3331,2010,06,7,.,2,L,73,2,Life,
AA102007053339,2007053339,H3339,2010,06,7,.,1,L,,,Life,Albmn
AA102007053340,2007053340,H3340,2010,06,7,.,2,L,54,2,Life,
AA102007053343,2007053343,H3343,2010,02,7,PTH,2,L,,,Life,
AA102007053345,2007053345,H3345,2010,03,7,.,1,L,64,2,Life,
AA102007053348,2007053348,H3348,2010,09,7,PTH,2,L,56,2,Life,
AA102007053350,2007053350,H3350,2010,09,7,.,1,L,68,2,Life,
AA102007053359,2007053359,H3359,2010,06,7,PTH,2,L,56,2,Life,
AA102007053366,2007053366,H3366,2010,02,7,.,2,L,,,Life,
AA102007053370,2007053370,H3370,2010,04,7,PTH,2,L,66,2,Life,
AA102007053374,2007053374,H3374,2010,01,7,PTH,2,L,,,Life,
AA102007053387,2007053387,H3387,2010,09,7,.,H,L,66,2,Life,
AA102007053389,2007053389,H3389,2010,09,7,.,2,L,73,2,Life,
AA102007053390,2007053390,H3390,2010,09,7,.,D,L,,,Life,
AA102007053391,2007053391,H3391,2010,05,7,.,2,L,,,Life,
AA102007053395,2007053395,H3395,2010,03,7,PTH,2,L,65,2,Life,
AA102007053404,2007053404,H3404,2010,06,7,.,2,L,73,2,Life,
AA102007053405,2007053405,H3405,2010,06,7,PTH,2,L,54,2,Life,
AA102007053407,2007053407,H3407,2010,08,7,.,2,L,73,2,Life,
AA102007053415,2007053415,H3415,2010,e31,7,.,1,L,,,Life,Albmn
AA102007053416,2007053416,H3416,2010,e31,7,.,2,L,,,Life,
AA102007053418,2007053418,H3418,2010,04,7,PTH,2,L,,,Life,
AA102007053420,2007053420,H3420,2010,08,7,.,2,L,73,2,Life,
AA102007053425,2007053425,H3425,2010,01,7,.,1,L,69,2,Life,Albmn
AA102007053436,2007053436,H3436,2010,08,7,.,2,L,66,2,Life,
AA102007053437,2007053437,H3437,2010,05,7,.,H,L,64,2,Life,
AA102007053440,2007053440,H3440,2010,04,7,.,1,L,66,2,Life,
AA102007053449,2007053449,H3449,2010,02,7,.,2,L,,,Life,
AA102007053454,2007053454,H3454,2010,01,7,.,1,L,73,2,Life,
AA102007053456,2007053456,H3456,2010,02,7,.,1,L,65,2,Life,
AA102007053458,2007053458,H3458,2010,06,7,PTH,2,L,52,2,Life,
AA102007053466,2007053466,H3466,2010,e33,7,.,1,L,55,2,Life,
AA102007053467,2007053467,H3467,2010,02,7,.,2,L,55,2,Life,
AA102007053469,2007053469,H3469,2010,e33,7,.,2,L,,,Life,
AA102007053479,2007053479,H3479,2010,e31,7,.,2,L,,,Life,
AA102007053483,2007053483,H3483,2010,09,7,.,2,L,56,2,Life,
AA102007053490,2007053490,H3490,2010,05,7,.,2,L,56,2,Life,
AA102007053491,2007053491,H3491,2010,05,7,PTH,2,L,54,2,Life,
