id10,breed,etag,sex,first_seen_row
2015005256,00,K5256,2,19PE01606
2015005243,00,K5243,2,19PE01608
2015005267,00,K5267,2,19PE01610
2015005255,00,K5255,2,19PE01612
2015005250,00,K5250,2,19PE01615
2016004096,00,Z4096,2,19PE02182
2016004123,00,Z4123,2,19PE02319
2015005245,00,K5245,2,20PE01477
2018000030,00,Y0030,2,21PE01326
2018000018,00,Y0018,2,21PE01329
2019000020,00,Y0020,2,21PE01330
2017000010,00,Y0010,2,21PE01331
2017000031,00,Y0031,2,21PE01332
2018000027,00,Y0027,2,21PE01334
2017000007,00,Y0007,2,21PE01335
2019000021,00,Y0021,2,21PE01337
2018000008,00,Y0008,2,21PE01338
2019000019,00,Y0019,2,21PE01340
2018000039,00,Y0039,2,21PE01342
2018000009,00,Y0009,2,21PE01344
2017000017,00,Y0017,2,21PE01345
2017000023,00,Y0023,2,21PE01348
2019000003,00,Y0003,2,21PE01350
2018000038,00,Y0038,2,21PE01351
2018000034,00,Y0034,2,21PE01354
2017000026,00,Y0026,2,21PE01355
2018000013,00,Y0013,2,21PE01356
2017000036,00,Y0036,2,21PE01358
2017000032,00,Y0032,2,21PE01360
2019000011,00,Y0011,2,21PE01362
2017000033,00,Y0033,2,21PE01363
2018000001,00,Y0001,2,21PE01365
2018000014,00,Y0014,2,21PE01367
2018000022,00,Y0022,2,21PE01370
2017000012,00,Y0012,2,21PE01372
2018000028,00,Y0028,2,21PE01374
2017000029,00,Y0029,2,21PE01377
2019000037,00,Y0037,2,21PE01379
2017000004,00,Y0004,2,21PE01383
2019000002,00,Y0002,2,21PE01385
2019000024,00,Y0024,2,21PE01388
2018000006,00,Y0006,2,21PE01390
2019000005,00,Y0005,2,21PE01392
2018000025,00,Y0025,2,21PE01393
2017000035,00,Y0035,2,21PE01394
2019000016,00,Y0016,2,21PE01395
2019000148,00,Y0148,2,22PE01285
2018000126,00,Y0126,2,22PE01289
2019000129,00,Y0129,2,22PE01290
2019000136,00,Y0136,2,22PE01293
2020000135,00,Y0135,2,22PE01299
2020000143,00,Y0143,2,22PE01300
2019000118,00,Y0118,2,22PE01303
2020000130,00,Y0130,2,22PE01307
2018000153,00,Y0153,2,22PE01308
2020000144,00,Y0144,2,22PE01316
2019000115,00,Y0115,2,22PE01327
2019000141,00,Y0141,2,22PE01329
2019000127,00,Y0127,2,22PE01331
2019000119,00,Y0119,2,22PE01338
2018000114,00,Y0114,2,22PE01340
2020000151,00,Y0151,2,22PE01343
2020000128,00,Y0128,2,22PE01345
2020000124,00,Y0124,2,22PE01347
2020000123,00,Y0123,2,22PE01353
2020000116,00,Y0116,2,22PE01355
2019000140,00,Y0140,2,22PE01360
2020000131,00,Y0131,2,22PE01362
2017000015,00,Y0015,2,22PE01367
2019000142,00,Y0142,2,22PE01369
2020000121,00,Y0121,2,22PE01377
2019000146,00,Y0146,2,22PE01379
2018000117,00,Y0117,2,22PE01388
2020000147,00,Y0147,2,22PE01389
2020000145,00,Y0145,2,22PE01394
2019000120,00,Y0120,2,22PE01401
