id10,brd,sex
US82104367,10,1
US82103331,10,1
US45102558,10,1
US82105094,10,1
US82105781,10,1
US82100940,10,1
US82102460,10,1
US82101175,10,1
US82102360,10,1
US82107691,10,1
US82105737,10,1
US45102563,10,1
US82102785,10,1
US82107970,10,1
US82102312,10,1
US82106635,10,1
US82104945,10,1
US45102428,10,1
US82106672,10,1
US82102541,10,1
US45102521,10,1
US45102364,10,1
US82101121,10,1
US82103685,10,1
US45102472,10,1
US82102987,10,1
US82105499,10,1
US45102514,10,1
US82103101,10,1
US82105466,10,1
US82103057,10,1
US82107571,10,1
US64104983,10,1
US82105377,10,1
US82106421,10,1
US82101836,10,1
US82107893,10,1
US82106486,10,1
US82103699,10,1
US82108024,10,1
US82100904,10,1
US82104797,10,1
US45102530,10,1
US45102683,10,1
US82106322,10,1
US82107828,10,1
US82104946,10,1
US82101181,10,1
US64107570,10,1
US82103670,10,1
US82104830,10,1
US82102625,10,1
US82102991,10,1
US82105447,10,1
US82105275,10,1
US82103630,10,1
US82103228,10,1
US82105233,10,1
US82101754,10,1
US82102543,10,1
US82102286,10,1
US82100992,10,1
US82103454,10,1
US82105065,10,1
US82104828,10,1
US82104397,10,1
US82100806,10,1
US82103118,10,1
US82105084,10,1
US82105420,10,1
US82100821,10,1
US82100945,10,1
US82104185,10,1
US82103201,10,1
US82105155,10,1
US82101691,10,1
US82106926,10,1
US82103728,10,1
US82101746,10,1
US64107955,10,1
US82101037,10,1
US82102934,10,1
US82102810,10,1
USwn10nkno,10,1
US82100915,10,1
2010453380,45,1
US45112509,11,1
US82119163,11,1
2009055144,05,1
2010056478,05,1
2010700151,70,1
US05115907,11,1
2009452632,45,1
US64113595,11,1
US45112841,11,1
2010453401,45,1
US82129236,12,1
2010453077,45,1
2010644711,64,1
2011829831,82,1
US45112802,11,1
US45112572,11,1
2009827419,82,1
US82118650,11,1
US45112715,11,1
US64115703,11,1
US82119157,11,1
US82129274,12,1
2010055779,05,1
2011830098,83,1
US45113170,11,1
US05113083,11,1
US05112923,11,1
US45112489,11,1
2009827709,82,1
2010056452,05,1
2010056281,05,1
2009452718,45,1
2009117690,11,1
US82119261,11,1
2010828834,82,1
US64119061,11,1
US64115798,11,1
US05116003,11,1
US82118983,11,1
2009827321,82,1
US82116067,11,1
US05116027,11,1
US05116435,11,1
2008826749,82,1
2010828865,82,1
2010118166,11,1
US45114528,11,1
US36113682,11,1
US82118938,11,1
2009827352,82,1
2009117507,11,1
US82119210,11,1
2009055434,05,1
US82119116,11,1
2009055285,05,1
US82112971,11,1
US64119032,11,1
US64119067,11,1
2010829339,82,1
2010055750,05,1
US82113151,11,1
US82118948,11,1
2009054871,05,1
US82113094,11,1
US82118944,11,1
US82110512,11,1
US82127921,12,1
US82113213,11,1
US82115652,11,1
US82112888,11,1
2009055183,05,1
US82119192,11,1
US82126198,12,1
2010700165,70,1
US82113121,11,1
US82125958,12,1
US82119297,11,1
US64119303,11,1
US82115914,11,1
2009827303,82,1
US82119214,11,1
US82113034,11,1
2012001459,00,1
US57115731,11,1
US45112738,11,1
US45112713,11,1
US82119416,11,1
2009827287,82,1
US82113201,11,1
US05115684,11,1
US82115759,11,1
US05115991,11,1
US45113021,11,1
US82112980,11,1
2009700022,70,1
US82119460,11,1
US82116164,11,1
US82118521,11,1
2009055154,05,1
US82112855,11,1
US64119213,11,1
2009644523,64,1
2011056969,05,1
US82118740,11,1
US82119382,11,1
US82119243,11,1
US82119284,11,1
US64119016,11,1
US70110143,11,1
US82126116,12,1
US82113099,11,1
US82113064,11,1
2009827605,82,1
US82128056,12,1
2009827702,82,1
US82119327,11,1
US82119491,11,1
US11117454,11,1
US82119312,11,1
US05115384,11,1
US64119575,11,1
US82113029,11,1
US64119278,11,1
US82119034,11,1
US05115912,11,1
US82113168,11,1
US45112815,11,1
US82116209,11,1
2010118451,11,1
US82119461,11,1
2011001449,00,1
US70110168,11,1
US82116002,11,1
US82119283,11,1
US45112403,11,1
US82115984,11,1
US82115893,11,1
US64129193,12,1
US82129598,12,1
2008000551,00,1
US64114331,11,1
2010700129,70,1
US11118454,11,1
US45112549,11,1
US82116154,11,1
US64116244,11,1
US11117498,11,1
US64118925,11,1
2009008642,00,1
US64116509,11,1
US82113313,11,1
2009006533,00,1
US82119267,11,1
US64119372,11,1
US82119004,11,1
US82128309,12,1
US82113248,11,1
2009644434,64,1
US82119103,11,1
US82113316,11,1
US82115970,11,1
US82119564,11,1
2007644044,64,1
2009006530,00,1
US82118911,11,1
US64115001,11,1
US82119019,11,1
US83136262,13,1
US64115725,11,1
2010453433,45,1
US82118962,11,1
2009008644,00,1
US82112873,11,1
US82118159,11,1
US82116094,11,1
US82119102,11,1
US82119031,11,1
US82116272,11,1
US82113314,11,1
US82115994,11,1
US82118023,11,1
US82115411,11,1
US82113361,11,1
US11116620,11,1
US82119480,11,1
US05116135,11,1
US82116437,11,1
US82110660,11,1
2010118532,11,1
US82115748,11,1
US05115802,11,1
US82115769,11,1
US82113065,11,1
US05116517,11,1
US82115926,11,1
US82113194,11,1
US82116369,11,1
US82115956,11,1
US64115900,11,1
US82116384,11,1
US64117618,11,1
US82115812,11,1
2009827237,82,1
US45112773,11,1
US82113378,11,1
US82115767,11,1
US82112970,11,1
US82113144,11,1
US82115836,11,1
