PREDICTEDID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT,CUT_NML,DAM,CAUSE,DAYDIS,DISP,INBRL,LAMB,LINE,SEX,SIRE,STM,TB,US,YR
2011454041,11LA01873,91,1,45,2,Y,Y,T2803,93,100,3,0.028,T4041,,3,T2281,2,8,,11
2011454042,11LA01874,91,1,45,1,Y,Y,T2570,,,,0.035,T4042,,2,T1661,2,8,,11
2011454043,11LA01875,91,1,45,2,Y,Y,T2570,,,,0.035,T4043,,2,T1661,2,8,,11
2011118665,11LA01876,91,1,11,1,Y,Y,R7986,,,,0.021,R8665,,3,R7710,7,8,,11
2011118666,11LA01877,91,1,11,2,Y,Y,R7986,,,,0.021,R8666,,2,R7710,7,8,,11
2011056644,11LA01878,91,1,05,1,Y,Y,H3530,,,,0.000,H6644,,2,H6528,30,8,,11
2011056645,11LA01879,91,1,05,2,Y,Y,H3530,,,,0.000,H6645,,3,H6528,30,8,,11
2011454044,11LA01880,91,1,45,1,Y,Y,T2690,,,,0.045,T4044,,3,T2648,2,8,,11
2011454045,11LA01881,91,1,45,2,Y,Y,T2690,19,95,6,0.045,T4045,,2,T2648,2,8,,11
2011056671,11LA01882,91,1,05,1,Y,Y,H4448,,,,0.028,H6671,,2,H5110,30,5,,11
2011830315,11LA01883,91,5,83,1,Y,Y,X0660,,,,0.000,Z0315,,3,X0000,0,7,US82110660,11
D201106602,11LA01884,91,5,,2,Y,Y,X0660,44,91,1,0.000,,,2,X0000,,7,US82110660,11
2011500122,11LA01885,91,2,50,1,Y,Y,R7977,,,,0.000,Y0122,,3,K0000,0,8,US64117977,11
2011500123,11LA01886,91,1,50,2,Y,Y,R7977,,,,0.000,Y0123,,2,K0000,0,8,US64117977,11
2011118667,11LA01887,91,1,11,1,N,N,R5497,,,,0.000,R8667,,2,R8646,7,8,,11
2011118668,11LA01888,91,1,11,2,N,N,R5497,23,116,6,0.000,R8668,,2,R8646,7,8,,11
2011700496,11LA01889,91,5,70,1,N,N,L0061,,,,0.009,L0496,,2,L0018,PC,8,,11
2011700497,11LA01890,91,5,70,2,N,N,L0061,10,135,6,0.009,L0497,,1,L0018,PC,8,,11
2011118669,11LA01891,91,1,11,1,N,N,R6560,,,,0.042,R8669,,1,R7912,7,8,,11
2011118670,11LA01892,91,1,11,2,N,N,R6560,,,,0.042,R8670,,2,R7912,7,8,,11
2011454046,11LA01893,91,1,45,1,Y,Y,T2577,46,92,6,0.026,T4046,,1,T2566,2,7,,11
D201125772,11LA01894,91,1,,2,Y,Y,T2577,44,91,1,0.026,,,1,T2566,,7,,11
2011056672,11LA01895,91,1,05,1,N,N,H3405,,,,0.000,H6672,,2,H6530,30,8,,11
2011056673,11LA01896,91,1,05,2,N,N,H3405,23,95,6,0.000,H6673,,1,H6530,30,8,,11
2011056674,11LA01897,91,1,05,1,N,N,H0987,,,,0.046,H6674,,1,H4723,30,8,,11
2011056675,11LA01898,91,1,05,2,N,N,H0987,,,,0.046,H6675,,1,H4723,30,8,,11
2011830316,11LA01899,91,1,83,1,Y,Y,H3328,,,,0.000,Z0316,,2,K0000,33,8,US64113328,11
2011830317,11LA01900,91,1,83,2,Y,Y,H3328,,,,0.000,Z0317,,2,K0000,33,8,US64113328,11
D201180861,11LA01901,91,1,,1,Y,Y,R8086,27,91,0,0.070,,,2,R7353,,0,,11
2011454047,11LA01902,91,1,45,1,N,N,T2212,23,108,6,0.032,T4047,,1,T2482,2,5,,11
2011500124,11LA01903,91,1,50,1,Y,Y,H5748,,,,0.000,Y0124,,3,X0000,0,5,US82115748,11
2011454048,11LA01904,91,1,45,1,Y,Y,T2460,,,,0.034,T4048,,2,T2451,2,8,,11
2011454049,11LA01905,91,1,45,2,Y,Y,T2460,14,98,6,0.034,T4049,,2,T2451,2,8,,11
2011118671,11LA01906,91,1,11,1,Y,Y,R7473,,,,0.038,R8671,,3,R7912,7,8,,11
2011118672,11LA01907,91,1,11,2,Y,Y,R7473,,,,0.038,R8672,,2,R7912,7,8,,11
2011830319,11LA01908,91,5,83,1,N,N,K3292,,,,0.000,Z0319,,2,X7364,SC,7,,11
D201132922,11LA01909,91,5,,2,N,N,K3292,44,91,1,0.000,,,2,X7364,,7,,11
2011830320,11LA01910,91,1,83,1,Y,Y,H2379,,,,0.000,Z0320,,3,K0000,33,8,US64112379,11
2011830321,11LA01911,91,1,83,2,Y,Y,H2379,,,,0.000,Z0321,,2,K0000,33,8,US64112379,11
2011500125,11LA01912,91,5,50,1,Y,Y,X8195,,,,0.000,Y0125,,3,X0000,0,8,US82118195,11
2011454050,11LA01913,91,1,45,1,Y,Y,T2375,,,,0.037,T4050,,2,T2482,2,8,,11
2011454051,11LA01914,91,1,45,2,Y,Y,T2375,93,100,3,0.037,T4051,,3,T2482,2,8,,11
D201158021,11LA01915,91,1,,1,Y,Y,H5802,27,91,0,0.051,,,1,H5183,,2,,11
D201158022,11LA01916,91,1,,2,Y,Y,H5802,27,91,0,0.051,,,1,H5183,,2,,11
2011830322,11LA01917,91,1,83,1,Y,Y,H1943,23,94,6,0.000,Z0322,,2,K0000,33,9,US64111943,11
D201119432,11LA01918,91,1,,2,Y,Y,H1943,44,91,1,0.000,,,1,K0000,,9,US64111943,11
2011056670,11LA01919,91,1,05,3,Y,Y,H1943,1,92,6,0.000,H6670,,1,K0000,33,9,US64111943,11
2011700498,11LA01920,91,5,70,1,N,N,X6110,,,,0.007,L0498,,2,X7416,PC,8,,11
2011700499,11LA01921,91,5,70,2,N,N,X6110,97,198,7,0.007,L0499,,2,X7416,PC,8,,11
2011500126,11LA01922,91,5,50,1,Y,Y,X7622,,,,0.000,Y0126,,2,X0000,0,8,US82117622,11
2011500127,11LA01923,91,5,50,2,Y,Y,X7622,19,94,6,0.000,Y0127,,3,X0000,0,8,US82117622,11
2011700500,11LA01924,91,5,70,1,N,N,X7509,97,198,7,0.006,L0500,,1,X7402,PC,8,,11
2011700501,11LA01925,91,5,70,2,N,N,X7509,,,,0.006,L0501,,1,X7402,PC,8,,11
