id10,sex,breed,etag,first_seen_row
2005051943,2,05,H1943,10PE00544
2006052909,2,05,H2909,10PE00547
2008054142,2,05,H4142,10PE00550
2006052324,2,05,H2324,10PE00552
2007053415,2,05,H3415,10PE00554
2007053514,2,05,H3514,10PE00557
2004051123,2,05,H1123,10PE00559
2008054529,2,05,H4529,10PE00560
2005051626,2,05,H1626,10PE00561
2005052152,2,05,H2152,10PE00563
2004051253,2,05,H1253,10PE00565
2007053425,2,05,H3425,10PE00567
2009055519,2,05,H5519,10PE00569
2005051787,2,05,H1787,10PE00571
2009054788,2,05,H4788,10PE00572
2007053283,2,05,H3283,10PE00574
2005051579,2,05,H1579,10PE00577
2009055074,2,05,H5074,10PE00580
2006052890,2,05,H2890,10PE00581
2007053249,2,05,H3249,10PE00584
2004050892,2,05,H0892,10PE00586
2006052589,2,05,H2589,10PE00589
2006052828,2,05,H2828,10PE00591
2008054029,2,05,H4029,10PE00593
2008054318,2,05,H4318,10PE00595
2005051810,2,05,H1810,10PE00597
2007053070,2,05,H3070,10PE00600
2007053620,2,05,H3620,10PE00603
2009055361,2,05,H5361,10PE00605
2008054277,2,05,H4277,10PE00607
2006052230,2,05,H2230,10PE00609
2008054448,2,05,H4448,10PE00610
2006052650,2,05,H2650,10PE00612
2008054111,2,05,H4111,10PE00613
2007053208,2,05,H3208,10PE00615
2007052965,2,05,H2965,10PE00616
2009055103,2,05,H5103,10PE00619
2007053080,2,05,H3080,10PE00621
2005051578,2,05,H1578,10PE00624
2007053530,2,05,H3530,10PE00627
2003050432,2,05,H0432,10PE00630
2004050960,2,05,H0960,10PE00632
2008054158,2,05,H4158,10PE00634
2005052045,2,05,H2045,10PE00637
2006052454,2,05,H2454,10PE00638
2007053085,2,05,H3085,10PE00642
2007053143,2,05,H3143,10PE00644
2009055232,2,05,H5232,10PE00646
2003050640,2,05,H0640,10PE00647
2004051193,2,05,H1193,10PE00649
2007053649,2,05,H3649,10PE00652
2005051990,2,05,H1990,10PE00654
2008054330,2,05,H4330,10PE00656
2005051520,2,05,H1520,10PE00659
2008054433,2,05,H4433,10PE00663
2009055213,2,05,H5213,10PE00666
2008054061,2,05,H4061,10PE00667
2007053096,2,05,H3096,10PE00668
2005051761,2,05,H1761,10PE00669
2008054110,2,05,H4110,10PE00670
2007053440,2,05,H3440,10PE00672
2004051121,2,05,H1121,10PE00675
2008053953,2,05,H3953,10PE00677
2008054003,2,05,H4003,10PE00679
2007053160,2,05,H3160,10PE00681
2009055193,2,05,H5193,10PE00683
2007053512,2,05,H3512,10PE00686
2009055445,2,05,H5445,10PE00688
2007053194,2,05,H3194,10PE00689
2009054888,2,05,H4888,10PE00691
2008054333,2,05,H4333,10PE00693
2007053038,2,05,H3038,10PE00695
2005051683,2,05,H1683,10PE00697
2008054187,2,05,H4187,10PE00700
2009055551,2,05,H5551,10PE00702
2007053211,2,05,H3211,10PE00703
2007053552,2,05,H3552,10PE00705
2005051957,2,05,H1957,10PE00707
2002049034,2,04,A9034,10PE00709
2004050988,2,05,H0988,10PE00711
2005051585,2,05,H1585,10PE00714
2007053569,2,05,H3569,10PE00716
2007053260,2,05,H3260,10PE00718
2009055116,2,05,H5116,10PE00720
2007053673,2,05,H3673,10PE00721
2007053727,2,05,H3727,10PE00724
2007053329,2,05,H3329,10PE00726
2008054522,2,05,H4522,10PE00728
2007053026,2,05,H3026,10PE00730
2009055476,2,05,H5476,10PE00733
2006052192,2,05,H2192,10PE00734
2006052194,2,05,H2194,10PE00736
2007053350,2,05,H3350,10PE00738
2008053954,2,05,H3954,10PE00740
2005051517,2,05,H1517,10PE00741
2003050653,2,05,H0653,10PE00744
2005051570,2,05,H1570,10PE00747
2007053002,2,05,H3002,10PE00749
2005052151,2,05,H2151,10PE00752
2007053348,2,05,H3348,10PE00755
2004051006,2,05,H1006,10PE00758
2009055076,2,05,H5076,10PE00761
2009055207,2,05,H5207,10PE00763
2008054261,2,05,H4261,10PE00764
2008054043,2,05,H4043,10PE00766
2008053946,2,05,H3946,10PE00769
2008053905,2,05,H3905,10PE00772
2005051684,2,05,H1684,10PE00775
2009055343,2,05,H5343,10PE00778
2008053772,2,05,H3772,10PE00779
2008054302,2,05,H4302,10PE00782
2007053188,2,05,H3188,10PE00785
2008054441,2,05,H4441,10PE00787
2005051956,2,05,H1956,10PE00789
2009055396,2,05,H5396,10PE00791
2008054317,2,05,H4317,10PE00793
2007053467,2,05,H3467,10PE00795
2007053449,2,05,H3449,10PE00797
2003050702,2,05,H0702,10PE00799
2005051591,2,05,H1591,10PE00800
2008054477,2,05,H4477,10PE00802
2007053152,2,05,H3152,10PE00805
2007053370,2,05,H3370,10PE00808
2004050876,2,05,H0876,10PE00809
2008054561,2,05,H4561,10PE00811
2005051525,2,05,H1525,10PE00812
2004050871,2,05,H0871,10PE00814
2004051338,2,05,H1338,10PE00815
2008054125,2,05,H4125,10PE00817
2006052882,2,05,H2882,10PE00819
2008054470,2,05,H4470,10PE00822
2008053871,2,05,H3871,10PE00824
2007053104,2,05,H3104,10PE00826
2007053340,2,05,H3340,10PE00828
2006052399,2,05,H2399,10PE00831
2006052309,2,05,H2309,10PE00833
2009054676,2,05,H4676,10PE00835
2007053571,2,05,H3571,10PE00837
2004051307,2,05,H1307,10PE00840
2007053436,2,05,H3436,10PE00844
2007053253,2,05,H3253,10PE00847
2008054366,2,05,H4366,10PE00849
2006052210,2,05,H2210,10PE00851
2008054492,2,05,H4492,10PE00854
2008054520,2,05,H4520,10PE00855
2007053546,2,05,H3546,10PE00858
2008054391,2,05,H4391,10PE00859
2007053366,2,05,H3366,10PE00860
2007053374,2,05,H3374,10PE00862
2005051970,2,05,H1970,10PE00863
2008054363,2,05,H4363,10PE00865
2006052354,2,05,H2354,10PE00867
2007053534,2,05,H3534,10PE00870
2005051561,2,05,H1561,10PE00873
2007053694,2,05,H3694,10PE00876
2008054135,2,05,H4135,10PE00879
2007053407,2,05,H3407,10PE00881
2007053708,2,05,H3708,10PE00884
2008054068,2,05,H4068,10PE00886
2004050762,2,05,H0762,10PE00888
2006052245,2,05,H2245,10PE00890
2007053704,2,05,H3704,10PE00891
2008054098,2,05,H4098,10PE00893
2006052867,2,05,H2867,10PE00896
2008054481,2,05,H4481,10PE00898
2008054347,2,05,H4347,10PE00900
2005051778,2,05,H1778,10PE00902
2008053731,2,05,H3731,10PE00905
2007053689,2,05,H3689,10PE00908
2007053359,2,05,H3359,10PE00911
2009055220,2,05,H5220,10PE00914
2007053416,2,05,H3416,10PE00917
2008054367,2,05,H4367,10PE00918
2007053681,2,05,H3681,10PE00921
2004051303,2,05,H1303,10PE00923
2005051762,2,05,H1762,10PE00925
2006052824,2,05,H2824,10PE00927
2003050601,2,05,H0601,10PE00930
2004051341,2,05,H1341,10PE00932
