ID10,DAMID
2011500112,2009118023
2011500113,2009828091
2011500114,2009055411
2011500115,2009055411
2011500116,2010829480
2011500117,2009827881
2011500118,2009827881
2011500119,2010056437
2011500120,2009055080
2011500121,2009055080
2011500122,2009117977
2011500123,2009117977
2011500124,2010055748
2011500125,2009828195
2011500126,2009827622
2011500127,2009827622
2011500128,2010055769
2011500129,2009828195
2011500130,2010055926
2011500131,2010056369
2011500132,2010056369
2011500133,2010055956
2011500134,2010055900
2011500135,2010056384
2011500136,2009117618
2011500137,2009117618
2011500138,2009828116
2011500139,2009828116
2011500140,2010055812
2011500141,2009117836
2011500142,2009828063
2011500143,2009828063
2011500144,2010055767
2011500145,2010055836
2011500146,2009828127
2011500147,2009827941
2011500148,2009827941
2011500149,2010829407
2011500150,2010829407
2011500151,2010829062
2011500152,2010829062
2011500153,2009055186
2011500154,2009055186
2011500155,2009117588
2011500156,2009827918
2011500157,2009827918
2011500158,2009054805
2011500159,2009054805
2011500160,2009117510
2011500161,2009054767
2011500162,2009054767
2011500163,2009055336
2011500164,2009055336
2011500165,2009054823
2011500166,2009054823
2011500167,2009054823
2011500168,2010056119
2011500169,2010056119
2011500170,2009117519
2011500171,2010828970
2011500172,2010828970
2011500173,2009828076
2011500174,2009828076
2011500175,2009055262
2011500176,2009055262
2011500177,2010829218
2011500178,2009055089
2011500179,2009055089
2011500180,2009055089
2011500181,2010829481
2011500182,2009117850
2011500183,2009828049
2011500184,2009828049
2011500185,2010055886
2011500186,2010055622
2011500187,2010829217
2011500188,2010829036
2011500189,2010829052
2011500190,2010829521
2011500191,2010056480
2011500192,2010056480
2011500193,2010829472
2011500194,2010829168
2011500195,2009117812
2011500196,2009117812
2011500197,2009827983
2011500198,2009827983
2011500199,2009827682
2011500200,2009827682
2011500201,2009055356
2011500202,2009055489
2011500203,2009055489
2011500204,2010829515
2011500205,2009055306
2011500206,2010829231
2011500207,2010828946
2011500208,2010828946
2011500209,2009827711
2011500210,2009827711
2011500211,2009055448
2011500212,2009055448
2011500213,2010829509
2011500214,2009827805
2011500215,2009827805
2011500216,2010055711
2011500217,2010056146
2011500218,2009055493
2011500219,2009055493
2011500220,2010829381
2011500221,2009055188
2011500222,2009055188
2011500223,2009055188
2011500224,2009117558
2011500225,2009117558
2011500226,2009827942
2011500227,2010056167
2011500228,2009828110
2011500229,2009828110
2011500230,2009055019
2011500231,2009055019
2011500232,2009054627
2011500233,2009054627
2011500234,2010118381
2011500235,2009055027
2011500236,2009055027
2011500237,2009055027
2011500238,2010056177
2011500239,2009117700
2011500240,2009117700
2011500241,2010055825
2011500242,2009117691
2011500243,2009117691
2011500244,2010056382
2011500245,2010056382
2011500246,2010829566
2011500247,2009828007
2011500248,2009828007
2011500249,2009827801
2011500250,2009827801
2011500251,2009054775
2011500252,2009828191
2011500253,2009828191
2011500254,2010056381
2011500255,2009054765
2011500256,2009054765
2011500257,2010829211
2011500258,2010829332
2011500259,2009055222
2011500260,2009055222
2011500261,2009117620
2011500262,2009054626
2011500263,2009054626
2011500264,2009827859
2011500265,2009827859
2011500266,2010829046
2011500267,2010829046
2011500268,2009828177
2011500269,2009055047
2011500270,2009055047
2011500271,2009827944
2011500272,2009827944
2011500273,2010055744
2011500274,2009827985
2011500275,2009827985
2011500276,2010056010
2011500277,2010056010
2011500278,2009055042
2011500279,2009055042
2011500280,2009054711
2011500281,2009054711
2011500282,2010056388
2011500283,2009054993
2011500284,2010055771
2011500285,2010055771
2011500286,2010055835
2011500287,2010055835
2011500288,2010056389
2011500289,2010056389
2011500290,2009828204
2011500291,2009828204
2011500292,2009055010
2011500293,2009055010
2011500294,2009117905
2011500295,2009054947
2011500296,2009054947
2011500297,2009055344
2011500298,2009055344
2011500299,2009827791
