ID10,DISP,YR
D201796862,0,17
D201798093,0,17
D201832342,0,18
D201896011,0,18
D201896012,0,18
D201898161,0,18
D201898162,0,18
D201845991,0,18
D201897281,0,18
D201897282,0,18
D201842871,0,18
D201866421,0,18
D201814601,0,18
D201898781,0,18
D201811771,0,18
D201811772,0,18
D201895281,0,18
D201863971,0,18
D201894882,0,18
D201836161,0,18
D201836162,0,18
D201896341,0,18
D201847011,0,18
D201850101,0,18
D201897092,0,18
D201897093,0,18
D201864951,0,18
D201864952,0,18
D201894312,0,18
D201896051,0,18
D201898142,0,18
D201896611,0,18
D201896612,0,18
D201851421,0,18
D201851422,0,18
D201897861,0,18
D201897862,0,18
D201899352,0,18
D201865941,0,18
D201898991,0,18
D201898992,0,18
D201818891,0,18
D201818821,0,18
D201818822,0,18
D201842131,0,18
D201842132,0,18
D201813421,0,18
D201839652,0,18
D201801052,0,18
D201801055,0,18
D201837562,0,18
D201816301,0,18
D201816302,0,18
D201844042,0,18
D201808351,0,18
D201805842,0,18
D201813641,0,18
D201800973,0,18
D201842481,0,18
D201898483,0,18
D201854352,0,18
D201892303,0,18
D201865182,0,18
D201970171,0,19
D201969421,0,19
D201955851,0,19
D201920661,0,19
D201971261,0,19
D201971262,0,19
D201971263,0,19
D201966671,0,19
D201966341,0,19
D201966342,0,19
D201946761,0,19
D201989141,0,19
D201989142,0,19
D201989143,0,19
D201989144,0,19
D201944341,0,19
D201990723,0,19
D201999111,0,19
D201999112,0,19
D201999113,0,19
D201999114,0,19
D201908311,0,19
D201908312,0,19
D201947362,0,19
D201992921,0,19
D201903271,0,19
D201903272,0,19
D201998933,0,19
D201917621,0,19
D201916571,0,19
D201993393,0,19
D201999812,0,19
D201997151,0,19
D201997152,0,19
D201997153,0,19
D201997892,0,19
D201921391,0,19
D201921392,0,19
D201955811,0,19
D201997092,0,19
D201997093,0,19
D201903101,0,19
D201991934,0,19
D201997252,0,19
D201993003,0,19
D201992932,0,19
D201992933,0,19
D201946351,0,19
D201946722,0,19
D201957371,0,19
D201957372,0,19
D201912322,0,19
D201903222,0,19
D201965061,0,19
D201997283,0,19
D201986971,0,19
D201963401,0,19
D201910472,0,19
D201910473,0,19
D201966313,0,19
D201969542,0,19
D201902733,0,19
D201990421,0,19
D201900231,0,19
D201900232,0,19
D201901371,0,19
D201915532,0,19
D201905842,0,19
D201900023,0,19
D201913412,0,19
D201948491,0,19
D20199172G,-,19
D202006401,0,20
D202004631,0,20
D202004632,0,20
D202070492,0,20
D202006841,0,20
D202006842,0,20
D202000612,0,20
D202072771,0,20
D202072772,0,20
D202089272,0,20
D202089273,0,20
D202019831,0,20
D202052791,0,20
D202085454,0,20
D202020671,0,20
D202012341,0,20
D202089552,0,20
D202052652,0,20
D202006361,0,20
D202010013,0,20
D202057562,0,20
D202012612,0,20
D202012232,0,20
D202014642,0,20
D202064982,0,20
D202001871,0,20
D202073381,0,20
D202097592,0,20
D202019282,0,20
D202062572,0,20
D202004022,0,20
D202097062,0,20
D202002172,0,20
D202070882,0,20
D202031533,0,20
D202020661,0,20
D202020662,0,20
D202062392,0,20
D202065382,0,20
D202010732,0,20
D202023222,0,20
D202043512,0,20
D202072951,0,20
D202115221,0,21
D202123121,0,21
D202164491,0,21
D202121311,0,21
D202127061,0,21
D202127062,0,21
D202112061,0,21
D202105271,0,21
D202133401,0,21
D202103851,0,21
D202103852,0,21
D202196771,0,21
D202196772,0,21
D202196773,0,21
D202122701,0,21
D202122702,0,21
D202104322,0,21
D202104323,0,21
D202125341,0,21
D202123841,0,21
D202123842,0,21
D202132281,0,21
D202132282,0,21
D202104353,0,21
D202119891,0,21
D202119892,0,21
D202172511,0,21
D202172512,0,21
D202128311,0,21
D202125151,0,21
D202141532,0,21
D202175911,0,21
D202168021,0,21
D202168022,0,21
D202183711,0,21
D202183712,0,21
D202107053,0,21
D202176061,0,21
D202131561,0,21
D202131562,0,21
D202100812,0,21
D202100321,0,21
D202123742,0,21
D202141283,0,21
D202127492,0,21
D202110233,0,21
D202167642,0,21
D202175291,0,21
D202100632,0,21
D202125442,0,21
D202110053,0,21
D202110054,0,21
D202127542,0,21
D202122821,0,21
D202126043,0,21
D202183422,0,21
D202109303,0,21
D20210007G,-,21
D20216800G,-,21
D20210027G,-,21
D20210163G,-,21
D20210036G,-,21
D20211139G,-,21
D20210034G,-,21
D20210314G,-,21
D20210026G,-,21
D20210411G,-,21
D20210009G,-,21
D20210232G,-,21
D20210033G,-,21
D20216029G,-,21
D20217725G,-,21
D20210194G,-,21
D20210012G,-,21
D20210159G,-,21
D20210028G,-,21
D20210720G,-,21
D20210149G,-,21
D20210005G,-,21
D202286431,0,22
D202237231,0,22
D202210431,0,22
D202201521,0,22
D202225741,0,22
D202211341,0,22
D202290211,0,22
D202287501,0,22
D202287081,0,22
D202228221,0,22
D202288991,0,22
D202216091,0,22
D202209041,0,22
D202206543,0,22
D202200591,0,22
D202212181,0,22
D202285672,0,22
D202285673,0,22
D202228581,0,22
D202299943,0,22
D202299944,0,22
D202229021,0,22
D202204354,0,22
D202293173,0,22
D202236471,0,22
D202289273,0,22
D202230062,0,22
D202200631,0,22
D202223972,0,22
D202229491,0,22
D202214052,0,22
D202226531,0,22
D202201262,0,22
D202201263,0,22
D202227931,0,22
D202228141,0,22
D202228142,0,22
D202287251,0,22
D202200632,0,22
D202200991,0,22
D202209972,0,22
D202203542,0,22
D202294653,0,22
D202221731,0,22
D202205453,0,22
D202227791,0,22
D202204994,0,22
D202276442,0,22
D202222593,0,22
D202222594,0,22
D202229821,0,22
D202230821,0,22
D202272963,0,22
D202202943,0,22
D202219612,0,22
D202201101,0,22
D202296141,0,22
D202209843,0,22
D202207713,0,22
D202276472,0,22
D202232152,0,22
D202220263,0,22
D202211752,0,22
D202200252,0,22
D202290073,0,22
D202266313,0,22
D202204362,0,22
D202285462,0,22
D202215622,0,22
D202270213,0,22
D202212613,0,22
D202218802,0,22
D202229782,0,22
D202228102,0,22
D202263553,0,22
D202214043,0,22
D202225223,0,22
D202277051,0,22
D202293934,0,22
D202200981,0,22
D202302861,0,23
D202315031,0,23
D202323181,0,23
D202302671,0,23
D202399001,0,23
D202398021,0,23
D202301821,0,23
D202301451,0,23
D202301452,0,23
D202330041,0,23
D202337131,0,23
D202335221,0,23
D202335222,0,23
D202307061,0,23
D202307062,0,23
D202316491,0,23
D202380341,0,23
D202380342,0,23
D202302711,0,23
D202302712,0,23
D202316151,0,23
D202317361,0,23
D202335381,0,23
D202317451,0,23
D202317452,0,23
D202317453,0,23
D202315351,0,23
D202315352,0,23
