UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM,ID10,SIREID10,DAMID10
50LA00028,50,1,3269,1,424,8.2,0107,,1298,1,0,8,7,1,4,1,32,320,2,,0,,,,,,,11,,,,,11,,32,1,30,,82,,,114,91,1,1,2,1,10,1950-04-24,43,47,07,1950113269,1947910107,1943111298
50LA00029,50,2,3247,1,421,7.8,2296,1,1333,1,14,8,7,1,1,2,19,190,1,2,0,,,,,,,11,,,,,11,,19,1,00,,0,,,111,11,1,1,2,1,0,1950-04-21,43,47,07,1950113247,1947112296,1943111333
50LA00030,50,1,3248,1,421,9.8,2296,1,1333,1,14,8,7,1,1,2,19,190,2,2,0,,,,,,,11,,,,,11,,19,1,00,,0,,,111,11,1,1,2,1,0,1950-04-21,43,47,07,1950113248,1947112296,1943111333
50LA00031,50,,,,331,0.0,2531,1,1349,1,24,0,7,,0,,20,200,1,0,0,,,,,,,11,,,,,11,,20,1,14,,0,,,90,11,1,1,1,0,0,1950-03-31,43,48,07,D195013491,1948112531,1943111349
50LA00032,50,1,3155,1,415,11.6,2740,1,1373,1,17,5,7,1,4,1,21,211,1,,0,,,,,,,11,,,,,11,,21,1,11,,59,,,105,11,1,1,1,1,10,1950-04-15,43,48,07,1950113155,1948112740,1943111373
50LA00033,50,2,3254,1,422,9.0,2740,1,1409,1,41,5,6,1,4,1,21,211,1,,0,,,,,,,11,,,,,11,,21,1,27,,46,,,112,11,1,1,1,1,10,1950-04-22,44,48,07,1950113254,1948112740,1944111409
50LA00034,50,2,3094,1,411,7.6,0106,,1418,1,0,8,6,1,3,1,24,240,1,,0,,,,,,,11,,,,,11,,24,1,28,,69,,,101,91,1,1,2,1,10,1950-04-11,44,47,07,1950113094,1947910106,1944111418
50LA00035,50,1,3095,1,411,7.4,0106,,1418,1,0,8,6,1,3,3,24,240,2,6,0,,,,,,,11,,,,,11,,24,1,28,,0,,,101,91,1,1,2,1,0,1950-04-11,44,47,07,1950113095,1947910106,1944111418
50LA00036,50,2,3175,1,416,9.2,2232,1,1431,1,24,8,6,1,2,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,24,,75,,,106,11,1,1,2,1,10,1950-04-16,44,47,07,1950113175,1947112232,1944111431
50LA00037,50,2,3176,1,416,8.4,2232,1,1431,1,24,8,6,2,2,1,27,270,2,2,0,,,,,,,11,,,,,11,,27,1,24,,0,,,106,11,1,1,2,1,0,1950-04-16,44,47,07,1950113176,1947112232,1944111431
50LA00038,50,2,3074,1,408,11.6,0110,,1459,1,0,5,6,1,3,3,34,340,1,,0,,,,,,,11,,,,,11,,34,1,14,,79,,,98,91,1,1,1,1,10,1950-04-08,44,48,07,1950113074,1948910110,1944111459
50LA00039,50,1,3082,1,410,10.4,2531,1,1472,1,17,8,6,1,1,1,20,200,1,2,0,,92,,,,,11,,,,,11,04,20,1,20,,0,,,100,11,1,1,2,1,0,1950-04-10,44,48,07,1950113082,1948112531,1944111472
50LA00040,50,2,3083,1,410,8.2,2531,1,1472,1,17,8,6,1,1,1,20,200,2,,0,,,,,,,11,,,,,11,,20,1,20,,58,,,100,11,1,1,2,1,10,1950-04-10,44,48,07,1950113083,1948112531,1944111472
50LA00041,50,1,3088,1,410,11.2,2531,1,1484,1,26,5,6,1,2,1,20,200,1,,0,,,,,,,11,,,,,11,,20,1,23,,73,,,100,11,1,1,1,1,10,1950-04-10,44,48,07,1950113088,1948112531,1944111484
50LA00042,50,1,3276,1,425,14.4,2531,1,1486,1,20,5,6,1,4,1,20,200,1,,0,,,,,,,11,,,,,11,,20,1,18,,95,,,115,11,1,1,1,1,10,1950-04-25,44,48,07,1950113276,1948112531,1944111486
50LA00043,50,1,3117,1,413,12.4,0106,,1490,1,0,8,6,1,4,1,24,240,1,,0,,,,,,,11,,,,,11,,24,1,27,,80,,,103,91,1,1,2,1,10,1950-04-13,44,47,07,1950113117,1947910106,1944111490
50LA00044,50,1,3118,1,413,12.4,0106,,1490,1,0,8,6,1,4,1,24,240,2,6,0,,,,,,,11,,,,,11,,24,1,27,,0,,,103,91,1,1,2,1,0,1950-04-13,44,47,07,1950113118,1947910106,1944111490
