UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00024,90837,09,99,1,00,07,L33,L,3,2,5.5,Y,140,85,103,0.728,154,154,69,0.26,2.5,3.2,62,6.0,7.4,0.0,19.67,3.58,18.2,70,1,,3-,1.83,100.6,S8098,10,S4300,10,179,193,0.298,1.0,,3,LIM,89,95,,S1,A,0.0,,,,,,,,,,,0,,5,9,7,2000
00RA00025,90838,09,99,1,00,07,L33,L,3,2,5.5,Y,140,84,103,0.718,151,151,69,0.253,2.6,3.3,62,6.6,8.2,0.0,18.72,3.63,19.4,80,1,,4,1.83,100.6,S8098,10,S4300,10,172,193,0.279,1.0,FIX BIG TAG**,3,LIM,91,101,,S2,AA,0.0,,,,,,,,,,,0,,5,9,7,2000
00RA00026,90882,09,99,1,00,07,L34,L,2,2,5.5,Y,141,83,102,0.716,171,171,69,0.332,2.4,3.1,62,6.0,7.5,0.0,18.57,3.58,19.3,80,2,,3+,1.72,97.8,S8008,10,S4363,10,200,193,0.371,1.0,MIDX:90,3,LIM,90,95,,S2,AA,0.0,,,,,,,,,,,0,,5,8,7,2000
00RA00027,90920,09,99,1,68,06,L03,L,1,1,5.0,Y,142,101,101,0.901,176,176,69,0.283,3.0,3.9,60,9.8,12.3,0.0,24.43,5.02,20.6,60,1,,3,1.55,119.1,K9689,63,K7040,63,198,193,0.308,1.0,,1,LIM,99,114,-,S1,A,0.0,,,,CR,60,3,,0,E,,0,,5,7,7,2000
00RA00028,90996,09,99,1,00,07,L31,L,1,1,3.0,Y,143,94,100,0.84,144,144,69,0.189,2.7,3.5,62,6.0,7.5,0.0,20.59,4.22,20.5,70,4,,3+,1.69,89.0,S7842,10,S7317,10,175,193,0.257,1.0,H4,3,LIM,83,97,,SP,B,0.0,,,,,,,,,,,0,,3,4,3,2000
00RA00029,91080,09,99,1,00,07,L31,L,2,2,5.0,Y,145,84,98,0.755,156,156,69,0.272,2.7,3.5,62,6.6,8.3,0.0,21.45,3.9,18.2,64,7,,4-,1.4,69.8,S7842,10,S5332,10,181,193,0.308,1.0,H7,3,LIM,77,101,,S1,A,0.0,,,,,,,,,,,0,,5,7,6,2000
00RA00030,91091,09,99,1,88,30,L45,L,4,3,7.0,Y,145,84,98,0.755,139,139,69,0.208,2.9,3.8,60,5.2,6.6,0.0475,25.34,5.02,19.8,58,2,,3+,2.22,107.8,A4678,04,L8461,03,163,193,0.251,1.0,H2 DUD,3,LIM,88,104,-,D4,DUD,0.0,LIB,,,,,,,,,,0,,7,15,11,2000
00RA00031,91093,09,99,1,88,30,L45,L,4,3,7.0,Y,145,74,98,0.653,125,125,69,0.192,2.2,2.9,60,4.0,5.1,0.0408,21.25,4.29,20.2,64,2,,3+,2.22,107.8,A4678,04,L8461,03,143,193,0.219,1.0,DUD,3,LIM,79,88,-,D4,DUD,0.0,LIB,,,,,,,,,,0,,7,15,11,2000
00RA00032,91173,09,99,1,88,30,L43,L,2,1,2.5,Y,146,86,97,0.784,138,138,69,0.196,2.3,3.0,60,4.2,5.3,0.0384,21.54,5.51,25.6,62,2,,3,2.24,103.8,A4395,04,A3702,04,168,193,0.26,1.0,,3,LIM,80,90,,S1,A,0.0,,,,,,,,,,,0,,2,4,2,2000
00RA00033,91176,09,99,1,68,06,L02,L,1,1,4.0,Y,146,90,97,0.825,138,138,69,0.181,2.6,3.4,60,6.6,8.4,0.0,25.67,5.17,20.1,58,1,,4,1.39,67.0,J0131,00,K7849,63,165,193,0.238,1.0,F3-,3,LIM,82,90,,SP,B,0.0,,,,,,,,,,,0,,3,4,2,2000
00RA00034,91200,09,99,1,00,07,L30,L,1,1,5.5,Y,146,99,97,0.918,176,176,69,0.291,2.6,3.4,62,8.4,10.6,0.0,19.44,3.81,19.6,70,1,,3,1.39,79.9,S6877,10,S4384,10,204,193,0.333,1.0,DUD >works,2,LIM,88,115,-,D4w,DUD,0.0,DUDw,,,,,,,,,NO,12,_____,4,5,5,2000
00RA00035,91212,09,99,1,68,06,L01,L,1,1,7.0,Y,146,93,97,0.856,176,176,69,0.313,2.6,3.4,60,7.2,9.1,0.0,22.3,4.33,19.4,62,2,,3+,1.63,107.2,J0093,00,K6394,63,204,193,0.352,1.0,DUD,2,LIM,107,96,-,D4,DUD,0.0,DUD,,,,,,,,,NO,7,_____,6,11,8,2000
00RA00036,91217,09,99,1,88,30,L45,L,2,1,7.0,Y,146,92,97,0.845,159,159,69,0.253,2.1,2.8,62,4.2,5.3,0.0333,21.66,4.19,19.3,64,1,,3+,2.03,128.1,A4678,04,L9121,03,176,193,0.267,1.0,,3,LIM,90,88,,S1,A,0.0,,,,,,,,,,,0,,7,13,10,2000
00RA00037,91218,09,99,1,88,30,L44,L,3,3,3.5,Y,146,73,97,0.649,136,136,69,0.238,2.1,2.8,62,4.0,5.1,0.0375,20.41,4.48,22.0,70,2,,2-,2.28,113.1,A3678,04,A2769,04,160,193,0.276,1.0,H2,3,LIM,83,88,,D4,DUD,0.0,,,,,,,,,,,0,,3,7,6,2000
00RA00038,91236,09,99,1,00,07,L31,L,1,1,2.0,Y,147,90,96,0.833,151,151,69,0.23,2.7,3.6,62,6.4,8.1,0.0,19.02,4.41,23.2,70,5,,3+,1.69,95.4,S7842,10,S8370,10,168,193,0.248,1.0,H5,3,LIM,88,103,,S3,AA,0.0,,,,,,,,,,,0,,2,2,2,2000
00RA00039,91243,09,99,1,68,06,L02,L,1,1,2.0,Y,147,96,96,0.896,178,178,69,0.309,2.4,3.2,58,9.4,12.0,0.0,26.27,5.67,21.6,58,1,,3,1.44,83.7,J0131,00,K9291,63,215,193,0.378,1.0,DUD,1,LIM,114,105,-,D3,DUD,0.0,,,,CR,45,3,,0,S,,0,,1,1,1,2000
00RA00040,91269,09,99,1,00,07,L35,L,2,2,5.5,Y,147,85,96,0.781,136,136,69,0.192,2.1,2.8,60,4.6,5.9,0.0,20.94,4.11,19.6,64,2,,3+,1.72,94.8,S8152,10,S4379,10,166,193,0.257,1.0,,3,LIM,80,81,,S0,B,0.0,,,,,,,,,,,0,,5,8,7,2000
00RA00041,91317,09,99,1,00,07,L30,L,1,1,2.0,Y,148,87,95,0.811,143,143,69,0.211,2.2,2.9,62,5.6,7.1,0.0,17.71,4.18,23.6,70,1,,3-,1.69,94.5,S6877,10,S8309,10,169,193,0.26,1.0,,3,LIM,83,92,,D1,B,0.0,,,,,,,,,,,0,,2,2,2,2000
00RA00042,91338,09,99,1,68,06,L03,L,2,2,7.0,Y,149,77,94,0.713,131,131,69,0.204,2.8,3.7,60,5.4,6.9,0.0,21.13,3.87,18.3,64,1,,3+,1.72,102.3,K9689,63,K5986,63,166,193,0.283,1.0,,3,LIM,87,89,,S2,AA,0.0,,,,,,,,,,,0,,7,12,9,2000
00RA00043,91339,09,99,1,68,06,L03,L,2,2,7.0,Y,149,76,94,0.702,159,159,69,0.313,2.5,3.3,60,6.0,7.7,0.0,22.2,4.11,18.5,62,1,,3+,1.72,102.3,K9689,63,K5986,63,200,193,0.394,1.0,,2,LIM,110,88,-,S2,AA,0.0,116,,,,,,,,,,7,C5414,7,12,9,2000
00RA00044,91372,09,99,1,68,06,L06,L,2,2,4.0,Y,150,81,93,0.763,170,170,69,0.336,2.4,3.2,62,5.4,6.9,0.0,21.48,4.37,20.3,64,1,,3+,1.77,122.1,K9884,63,K8009,63,197,193,0.368,1.0,,3,LIM,107,85,,S2,AA,0.0,,,,,,,,,,,0,,4,7,7,2000
00RA00045,91380,09,99,1,00,07,L32,L,1,1,3.0,Y,150,85,93,0.806,110,110,69,0.094,2.2,2.9,62,5.0,6.4,0.0,21.73,4.34,20.0,64,1,,4+,1.84,104.4,S8781,10,S6694,10,133,193,0.152,1.0,RUNT,3,LIM,82,84,,SP,B,0.0,,,,,,,,,,,0,,3,5,4,2000
