UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDAR,ALTID,INBRL
21RA00012,2019060677,A0677,A0677,06,19,1,,30,33,,,3,2,4.0,,86,87,111,0.683,185,158,42,0.189,2.9,,,10.0,,,24.7,5.6,22.7,60,2,,3+,,,H9684,05,H9167,05,,,224,187,0.386,2.0,"1""horns",3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,12,8.0,2021,93,0818,3017,,0.024
21RA00013,2019060678,A0678,A0678,06,19,1,,30,35,,,3,2,5.0,,87,79,109,0.622,213,166,42,0.23,2.9,,,10.0,,,24.8,5.1,20.7,60,1,,3+,,,H9845,05,H8668,05,,,244,187,0.463,2.0,Tom->Bitter,1,,,,,,AA,RR,,,,,36,,,,,,,,,,,,,,,,5,12,8.5,2021,,,0,,0.036
21RA00014,2019060681,A0681,A0681,06,19,1,,30,34,,,2,2,3.0,,87,77,110,0.574,,185,,0.286,3.1,,,0.0,,,23.6,5.2,21.8,60,1,,3-,,,H9784,05,H9306,05,,,,,,2.0,Fighting,6,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,6.0,2021,54,0131,0,,0.038
21RA00015,2019060699,A0699,A0699,06,19,1,,30,36,,,3,2,5.0,,89,79,107,0.636,237,193,42,0.3,3.0,,,12.0,,,26.9,5.1,18.9,56,1,,3-,,,H9866,05,H8664,05,,,270,187,0.537,2.0,X>Tom>X,3,,,,,,AA,RR,,,,,,,,Trip,,,,,,,,,,,,,5,12,8.0,2021,93,0818,3101,,0.031
21RA00016,2020060737,A0737,A0737,06,20,1,,30,27,,,2,1,2.0,,71,83,124,0.608,164,164,42,0.224,2.8,,,7.0,,,27.4,6.1,22.1,56,1,,3+,,,H9784,05,A0061,06,,,197,187,0.319,1.0,HAIRY,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,4,2.5,2021,,,0,,0.041
21RA00017,2020060752,A0752,A0752,06,20,1,,30,26,,,3,1,3.0,,72,79,123,0.553,173,173,42,0.26,2.7,,,7.0,,,26.6,5.2,19.7,56,3,,3+,,,H9684,05,H9779,05,,,211,187,0.37,1.0,HeavyScurRS,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,7,3.5,2021,93,0818,2960,,0.031
21RA00018,2020060760,A0760,A0760,06,20,1,,30,22,,.,3,1,5.0,,73,100,122,0.743,188,188,42,0.242,2.8,,,6.0,,,21.9,4.4,20.0,64,2,,2-,,,A0273,06,H9240,05,,,215,187,0.322,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,10,7.5,2021,92,0825,3046,,0.03
21RA00019,2020060772,A0772,A0772,06,20,1,,30,20,,,2,2,3.0,,73,85,122,0.596,151,151,42,0.182,2.8,,,7.0,,,26.5,6.7,25.3,56,3,,3+,,,A0013,06,H9900,05,,,191,187,0.297,1.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,4,4.0,2021,93,0818,2952,,0.032
21RA00020,2020060773,A0773,A0773,06,20,1,,30,25,,,2,2,2.0,,73,75,122,0.528,164,164,42,0.245,3.2,,,8.0,,,26.4,4.8,18.3,56,2,,3,,,H9421,05,A0089,06,,,197,187,0.342,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,2.0,2021,92,0825,3044,,0.033
21RA00021,2020060786,A0786,A0786,06,20,1,,30,22,,,2,2,4.0,,74,83,121,0.602,166,166,42,0.228,3.4,,,8.0,,,25.0,6.2,24.8,58,1,,3+,,,A0273,06,H9436,05,,,202,187,0.333,1.0,.,3,,,,,,AA,RR,,,,,37,,,,,,,,,,,,,,,,3,6,6.0,2021,93,1210,15755,,0.033
21RA00022,2020060791,A0791,A0791,06,20,1,,30,28,,,3,2,6.0,,74,84,121,0.607,173,173,42,0.245,2.0,,,5.0,,,24.9,4.2,16.7,60,2,,2-,,,M0031,51,H8468,05,,,205,187,0.339,1.0,SmScurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,15,13.0,2021,93,0818,2999,,0.032
21RA00023,2020060792,A0792,A0792,06,20,1,,30,28,,,3,2,6.0,,74,85,121,0.62,183,183,42,0.269,2.6,,,7.0,,,24.8,4.1,16.7,60,1,,3+,,,M0031,51,H8468,05,,,212,187,0.356,1.0,Nice,1,,,,,,AA,RR,,,,,38,,,,,,,,,,,,,,,,6,15,13.0,2021,,,0,,0.032
21RA00024,2020060803,A0803,A0803,06,20,1,,30,27,,.,3,2,5.0,,75,78,120,0.58,183,183,42,0.288,3.8,,,7.0,,,26.6,5.4,20.3,56,1,,2+,,,H9784,05,H9055,05,,,218,187,0.392,1.0,RNut~Larger,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,14,8.0,2021,,,0,,0.033
21RA00025,2020060810,A0810,A0810,06,20,1,,30,23,,,3,2,3.0,,75,85,120,0.605,188,188,42,0.282,2.6,,,7.0,,,26.6,4.8,17.9,56,2,,3,,,A0714,00,H9833,05,,,204,187,0.333,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,7,6.0,2021,92,0825,3036,,0.0
21RA00026,2020060818,A0818,A0818,06,20,1,,30,21,,,3,2,7.0,,76,81,119,0.571,,0,42,-0.221,3.2,,,7.0,,,25.3,5.0,19.6,58,1,,2-,,,A0209,06,H8005,05,,,,,,1.0,.,6,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,7,16,11.0,2021,03,0419,0,,0.036
21RA00027,2020060821,A0821,A0821,06,20,1,,30,27,,,2,1,2.0,,76,103,119,0.764,198,198,42,0.26,2.8,,,8.0,,,26.7,5.9,22.2,56,2,,2+,,,H9784,05,A0287,06,,,232,187,0.361,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,1,2,1.0,2021,92,0825,3045,,0.044
21RA00028,2020060826,A0826,A0826,06,20,1,,30,24,,,2,2,4.0,,77,83,118,0.606,173,173,42,0.245,2.6,,,6.0,,,28.9,5.7,19.6,54,2,,2,,,A0715,00,H9548,05,,,229,187,0.409,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,6,6.0,2021,92,0825,3041,,0.0
21RA00029,2020060838,A0838,A0838,06,20,1,,30,27,,,2,2,2.0,,77,78,118,0.556,174,174,42,0.262,3.9,,,6.0,,,27.1,5.4,20.0,56,2,,2,,,H9784,05,A0199,06,,,213,187,0.378,1.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,1,2,2.0,2021,93,0818,3025,,0.044
21RA00030,2020060843,A0843,A0843,06,20,1,,30,21,,,2,1,2.0,,77,96,118,0.72,180,180,42,0.229,2.7,,,4.0,,,24.9,4.6,18.6,60,2,,2-,,,A0209,06,A0023,06,,,219,187,0.345,1.0,.,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,4,2.5,2021,92,0825,3048,,0.031
21RA00031,2020060851,A0851,A0851,06,20,1,,30,27,,,3,2,5.0,,77,87,118,0.634,191,191,42,0.283,3.3,,,8.0,,,26.1,5.3,20.2,58,1,,3,,,H9784,05,H9229,05,,,223,187,0.381,1.0,.,1,,,,,,AA,RR,,,,,39,,,,,,,,,,,,,,,,5,13,7.0,2021,,,0,,0.033
21RA00032,2020060853,A0853,A0853,06,20,1,,30,27,,,3,2,5.0,,77,70,118,0.502,185,185,42,0.313,2.4,,,5.0,,,24.9,4.9,19.7,60,1,,3-,,,H9784,05,H9229,05,,,216,187,0.409,1.0,.,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,13,7.0,2021,92,0825,3040,,0.033
21RA00033,2020060859,A0859,A0859,06,20,1,,30,26,,,3,2,2.0,,78,79,117,0.593,156,156,42,0.209,2.9,,,5.0,,,25.2,5.8,23.2,58,2,,2,,,H9684,05,A0203,06,,,208,187,0.361,1.0,Scurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,5,3.5,2021,92,0825,3039,,0.031
21RA00034,2020060896,A0896,A0896,06,20,1,,30,26,,,3,1,2.0,,79,85,116,0.65,152,152,42,0.182,3.5,,,8.0,,,25.7,4.8,18.6,58,1,,3,,,H9684,05,M0098,51,,,193,187,0.303,1.0,PINK,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,2.5,2021,93,0818,2936,,0.032
21RA00035,2020060901,A0901,A0901,06,20,1,,BL,26,,,3,2,5.0,,79,74,116,0.541,141,141,43,0.182,,,,7.0,,,,,,,1,,3+,,,H9684,05,H8958,05,,,176,187,0.286,1.0,.,1,,,,,,AA,RR,,,,,BL,,,,,,,,,,,,,,,,4,7,5.5,2021,,,0,,0.023
21RA00036,2020060947,A0947,A0947,06,20,1,,30,20,,,2,2,2.0,,80,76,115,0.562,169,169,42,0.251,3.2,,,7.0,,,26.7,5.2,19.5,56,1,,2-,,,A0013,06,A0332,06,,,217,187,0.395,1.0,.,1,,,,,,AA,QR,,,,,40,,,,,,,,,,,,,,,,2,4,2.0,2021,,,0,,0.03
21RA00037,2020060967,A0967,A0967,06,20,1,,30,24,,,3,2,4.0,,81,74,114,0.555,167,167,42,0.251,2.8,,,7.0,,,25.6,5.1,19.9,58,3,,3+,,,A0715,00,H9501,05,,,202,187,0.359,1.0,HeavyScurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,5.5,2021,93,0818,2946,,0.0
21RA00038,2020060980,A0980,A0980,06,20,1,,30,26,,,3,1,3.0,,82,75,113,0.588,143,143,42,0.183,3.1,,,7.0,,,23.5,4.4,18.7,60,1,,2,,,H9684,05,H9634,05,,,175,187,0.28,1.0,ReplacedA0786,1,,,,,,AA,QR,,,,,37,,,,,,,,,,,,,,,,3,5,3.5,2021,,,0,,0.03
21RA00039,2020060985,A0985,A0985,06,20,1,,30,20,,,3,2,2.0,,82,85,113,0.666,179,179,42,0.253,2.8,,,6.0,,,25.7,4.9,19.0,58,2,,3+,,,A0013,06,A0110,06,,,231,187,0.409,1.0,2ND.2@ONCE,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,5,4.0,2021,92,0825,3037,,0.032
21RA00040,2020060989,A0989,A0989,06,20,1,,30,25,,,3,2,4.0,,82,80,113,0.614,182,182,42,0.274,3.8,,,5.0,,,22.9,4.4,19.1,62,1,,3-,,,H9421,05,H9439,05,,,208,187,0.359,1.0,Scurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,7,6.5,2021,92,0825,3038,,0.033
21RA00041,2020060990,A0990,A0990,06,20,1,,30,25,,,3,2,4.0,,82,75,113,0.577,174,174,42,0.266,3.9,,,7.0,,,24.4,5.3,21.6,60,4,,2+,,,H9421,05,H9439,05,,,211,187,0.381,1.0,Scurs,3,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,4,7,6.5,2021,93,0818,3029,,0.033
21RA00042,2020060993,A0993,A0993,06,20,1,,30,23,,,2,1,4.0,,82,96,113,0.732,187,187,42,0.245,3.0,,,7.0,,,27.1,5.2,19.0,56,3,,2-,,,A0714,00,H9448,05,,,223,187,0.356,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,4.0,2021,92,0825,3047,,0.0
21RA00043,2020061000,A1000,A1000,06,20,1,,30,28,,,2,2,3.0,,83,76,112,0.569,158,158,42,0.22,3.2,,,5.0,,,26.5,5.2,19.8,56,2,,2-,,,M0031,51,H9653,05,,,204,187,0.359,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,5.0,2021,92,0825,3043,,0.042
21RA00044,2020061003,A1003,A1003,06,20,1,,30,27,,,2,2,4.0,,83,84,112,0.639,166,166,42,0.22,3.0,,,6.0,,,26.9,5.8,21.7,56,2,,2-,,,H9784,05,H9419,05,,,213,187,0.361,1.0,SlOver,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,7,7.0,2021,93,0818,2978,,0.032
21RA00045,2020061004,A1004,A1004,06,20,1,,30,27,,,2,2,4.0,,83,89,112,0.68,182,182,42,0.249,3.5,,,6.0,,,30.1,7.6,25.2,50,2,,2-,,,H9784,05,H9419,05,,,223,187,0.375,1.0,Scurs,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,7,7.0,2021,,,0,,0.032
21RA00046,2020061016,A1016,A1016,06,20,1,,30,20,,,2,2,3.0,,84,75,111,0.559,173,173,42,0.262,3.0,,,6.0,,,25.7,4.8,18.6,58,1,,2,,,A0013,06,H9612,05,,,209,187,0.375,1.0,.,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,3.0,2021,,,0,,0.031
21RA00047,2020061024,A1024,A1024,06,20,1,,30,27,,,2,2,5.0,,84,83,111,0.632,202,202,42,0.318,2.6,,,5.0,,,26.1,5.4,20.6,58,2,,2+,,,H9784,05,H9230,05,,,240,187,0.44,1.0,Scurs,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,5.0,2021,92,0825,3042,,0.033
21RA00048,2020061025,A1025,A1025,06,20,1,,30,27,,,2,2,5.0,,84,87,111,0.694,174,174,42,0.233,2.9,,,6.0,,,25.1,4.7,18.6,58,1,,2+,,,H9784,05,H9230,05,,,229,187,0.398,1.0,PINK,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,5.0,2021,,,0,,0.033
21RA00049,2020061026,A1026,A1026,06,20,1,,30,25,,,2,2,2.0,,85,89,110,0.722,190,190,42,0.269,2.4,,,7.0,,,26.8,5.5,20.5,56,1,,3+,,,H9421,05,A0164,06,,,237,187,0.415,1.0,.,1,,,,,,AA,QR,,,,,41,,,,,,,,,,,,,,,,2,3,3.0,2021,,,0,,0.034
21RA00050,2020061029,A1029,A1029,06,20,1,,30,23,,,2,1,5.0,,85,84,110,0.665,157,157,42,0.195,2.6,,,6.0,,,24.4,4.2,17.0,60,2,,2-,,,A0714,00,H9232,05,,,199,187,0.322,1.0,HeavyScurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,10,8.0,2021,92,0825,3049,,0.0
21RA00051,2020061039,A1039,A1039,06,20,1,,30,23,,,2,2,4.0,,85,80,110,0.609,160,160,42,0.213,3.1,,,6.0,,,27.3,7.0,25.8,56,2,,2+,,,A0714,00,H9549,05,,,193,187,0.317,1.0,Scurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,8,6.0,2021,93,0818,2950,,0.0
21RA00052,2020061046,A1046,A1046,06,20,1,,30,24,,,2,2,2.0,,87,86,108,0.68,191,191,42,0.279,2.7,,,6.0,,,27.8,5.5,19.9,56,2,,2-,,,A0715,00,A0106,06,,,215,187,0.361,1.0,Scurs,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,2,3,2.5,2021,,,0,,0.0
21RA00053,2019645268,K5268,K5268,64,19,1,,06,16,,,1,1,2.0,,72,110,124,0.775,230,190,42,0.22,2.8,,,9.0,,,24.3,4.9,20.1,60,4,,3-,,,K5242,00,K5139,64,,,266,187,0.438,2.0,X Total Dud,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,3,3.0,2021,93,0818,2934,,0.0
21RA00054,2019645269,K5269,K5269,64,19,1,,06,16,,,1,1,2.0,,74,108,123,0.751,232,186,42,0.214,3.3,,,11.0,,,24.7,4.2,17.0,60,3,,3+,,,K5242,00,K5150,64,,,278,187,0.479,2.0,FxRH,6,,,,,,AA,RR,,,,,4CuS,,,PCX,,,,,,,,,,,,,3,4,4.0,2021,66,1119,0,,0.0
21RA00055,2019645299,K5299,K5299,64,19,1,,06,15,,,2,2,4.0,,80,100,118,0.73,215,123,42,0.062,2.9,,,11.0,,,24.1,4.5,18.7,60,2,,3,,,K5155,64,K5261,00,,,261,187,0.455,2.0,Scurs,1,,,,,,AA,QR,,,,,,,,PCX,,,,,,,,,,,,,2,4,3.5,2021,,,0,,0.0
21RA00056,2019645314,K5314,K5314,64,19,1,,06,15,,,1,1,4.0,,86,92,112,0.643,240,184,42,0.245,2.9,,,11.0,,,22.2,3.2,14.4,62,1,,4+,,,K5155,64,K5259,00,,,,,,2.0,"Lame, thin",3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,2,2.0,2021,93,0614,2906,,0.0
21RA00057,2019645319,K5319,K5319,64,19,1,,06,15,,,2,1,4.0,,88,101,109,0.8,234,185,42,0.222,2.8,,,11.0,,,22.1,4.1,18.6,62,3,,3,,,K5155,64,K5263,00,,,278,187,0.499,2.0,Scurs,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,3.0,2021,92,0825,3089,,0.0
21RA00058,2019645320,K5320,K5320,64,19,1,,06,15,,,2,2,4.0,,89,95,109,0.735,178,152,42,0.151,1.9,,,10.0,,,20.9,3.8,18.1,64,1,,3+,,,K5155,64,K5265,00,,,,,,2.0,"Resp,EyePrblm",6,,,,,,AARH,QR,,,,,,,,,,,,,,,,,,,,,2,4,2.0,2021,66,0429,0,,0.0
21RA00059,2019645321,K5321,K5321,64,19,1,,06,15,,,2,2,4.0,,89,80,109,0.595,250,188,42,0.286,2.4,,,12.0,,,23.4,4.5,19.4,62,1,,2,,,K5155,64,K5265,00,,,286,187,0.582,2.0,.,6,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,4,2.0,2021,10,1128,0,,0.0
21RA00060,2019645323,K5323,K5323,64,19,1,,06,15,,,2,2,4.0,,89,94,109,0.74,,151,,0.151,2.3,,,0.0,,,25.9,4.4,17.0,58,2,,3-,,,K5155,64,K5256,00,,,,,,2.0,Scurs,6,,,,,,AARH,QR,,,,,,,,,,,,,,,,,,,,,2,3,3.0,2021,03,0112,0,,0.0
21RA00061,2020645334,K5334,K5334,64,20,1,,06,19,,,2,1,2.0,,72,91,123,0.639,187,187,42,0.265,2.6,,,9.0,,,23.3,4.1,17.7,62,2,,4,,,K5242,00,K5230,64,,,211,187,0.336,1.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,3,1.5,2021,93,0818,3024,,0.0
21RA00062,2020645336,K5336,K5336,64,20,1,,06,19,,,2,2,2.0,,72,86,123,0.593,189,189,42,0.285,2.5,,,7.0,,,24.4,4.7,19.1,60,1,,3,,,K5242,00,K5194,64,,,224,187,0.387,1.0,1ST,1,,,,,,AA,RR,,,,,1,,,,,,,,,,,,,,,,1,2,2.0,2021,,,0,,0.0
21RA00063,2020645339,K5339,K5339,64,20,1,,06,19,,,2,2,2.0,,73,78,122,0.547,161,161,42,0.229,2.7,,,8.0,,,27.0,5.7,21.3,56,2,,3,,,K5242,00,K5209,64,,,206,187,0.359,1.0,"1""horns",3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,1,2,2.0,2021,93,0818,2940,,0.0
21RA00064,2020645341,K5341,K5341,64,20,1,,06,19,,,2,1,2.0,,74,84,121,0.607,173,173,42,0.245,2.5,,,7.0,,,23.5,4.5,19.2,60,4,,4+,,,K5242,00,K5235,64,,,197,187,0.317,1.0,"3""hornRS",3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,1,2,1.0,2021,93,0818,3034,,0.0
21RA00065,2020645350,K5350,K5350,64,20,1,,06,19,,,2,1,2.0,,76,92,119,0.68,189,189,42,0.265,2.6,,,6.0,,,24.8,4.3,17.3,60,2,,3+,,,K5242,00,K5211,64,,,230,187,0.387,1.0,Scurs,3,,,,,,AV,QR,,,,,,,,,,,,,,,,,,,,,1,2,1.5,2021,93,0818,3011,,0.0
21RA00066,2020645356,K5356,K5356,64,20,1,,06,18,,,2,2,5.0,,77,97,119,0.681,205,205,42,0.295,2.7,,,6.0,,,22.7,3.5,15.4,62,1,,3+,,,K5155,64,K5263,00,,,230,187,0.374,1.0,Nice,1,,,,,,AA,QR,,,,,2,,,,,,,,,,,,,,,,2,4,3.0,2021,,,0,,0.0
21RA00067,2020645360,K5360,K5360,64,20,1,,06,18,,,2,2,6.0,,78,78,118,0.552,194,194,42,0.316,2.9,,,8.0,,,24.1,4.7,19.6,60,2,,3,,,K5155,64,K5249,00,,,228,187,0.421,1.0,Scurs,3,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,2,5,3.0,2021,93,0818,2951,,0.0
21RA00068,2020645363,K5363,K5363,64,20,1,,06,19,,,2,2,3.0,,79,77,116,0.529,182,182,42,0.285,2.7,,,6.0,,,23.5,4.8,20.5,60,3,,4,,,K5242,00,K5150,64,,,215,187,0.387,1.0,Scurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,4,4.0,2021,93,0818,2942,,0.0
21RA00069,2020645364,K5364,K5364,64,20,1,,06,19,,,2,2,3.0,,79,79,116,0.572,178,178,42,0.268,2.4,,,8.0,,,24.4,5.3,21.6,60,2,,3-,,,K5242,00,K5150,64,,,209,187,0.364,1.0,Scurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,4,4.0,2021,93,0818,2994,,0.0
21RA00070,2020645365,K5365,K5365,64,20,1,,06,19,,,1,1,2.0,,79,98,116,0.708,193,193,42,0.257,2.7,,,8.0,,,25.1,5.4,21.6,58,3,,4-,,,K5242,00,K5236,64,,,221,187,0.345,1.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,1,1,1.0,2021,93,0818,2922,,0.0
21RA00071,2020645393,K5393,K5393,64,20,1,,06,18,,,1,1,5.0,,89,109,107,0.848,193,193,42,0.222,2.9,,,8.0,,,22.7,3.7,16.1,62,1,,3,,,K5155,64,K5259,00,,,232,187,0.346,1.0,LooseScurs,3,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,2,2,2.0,2021,93,0818,2924,,0.0
21RA00072,2020645396,K5396,K5396,64,20,1,,06,19,,,1,1,2.0,,89,102,106,0.816,197,197,42,0.251,2.9,,,9.0,,,25.3,5.1,20.0,58,2,,3,,,K5242,00,K5205,64,,,231,187,0.361,1.0,LooseScurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2021,93,0818,2954,,0.0
