UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00436,T3942,44,93,1,41,02,414,M,1,1,3.0,2,126,97,91,0.856,226,181,80,0.295,3.3,60,11.9,48.8,5.8,24.62,60,1,1,3+,1.54,100.3,T2306,44,7.88,12.25,T1060,44,15.55,16.73,261,191,0.321,2.0,UTAH HEART,2,LBW,11.72,14.49,111,104,W,D4,DUD,,UTE,,,,,,,NO,N,,,1995
95RA00437,T3946,44,93,1,42,02,802,C,1,1,3.0,2,126,68,91,0.637,156,131,80,0.221,3.0,60,10.1,63.6,6.4,25.22,58,2,1,3,1.53,89.3,T1899,44,10.73,7.64,T1966,44,7.17,8.71,180,191,0.212,2.0,,3,CTL,8.95,8.17,97,106,W,S2,AA,,,,,,,,,,,,,1995
95RA00438,T3957,44,93,1,41,02,412,M,3,2,5.0,2,127,68,90,0.638,155,120,80,0.182,3.3,62,10.4,52.2,5.4,24.65,60,1,1,3+,1.57,98.0,T2174,44,13.67,16.94,T0584,44,19.97,17.06,182,191,0.218,2.0,CHUBBY,3,LBW,16.82,17.0,115,100,W,S2,AA,,,,,,,,,,,,,1995
95RA00439,T3959,44,93,1,42,02,842,C,1,1,4.0,2,127,85,90,0.771,172,138,80,0.186,2.9,60,9.5,55.0,5.2,25.12,58,2,1,2,1.26,64.8,T2309,44,-1.47,-3.53,T1571,44,-3.1,-5.03,200,191,0.206,2.0,M_IDX,3,CTL,-2.29,-4.28,79,94,W,S1,A,,,,,,,,,,,,,1995
95RA00440,T3964,44,93,1,42,02,862,C,1,1,4.0,2,128,82,89,0.755,182,135,80,0.186,2.8,62,9.3,48.1,4.5,22.09,62,1,1,2+,1.23,63.1,T2348,44,-3.25,-5.69,T0965,44,-1.1,-3.87,205,191,0.229,2.0,,3,CTL,-2.17,-4.78,86,90,W,S1,A,,,,,,,,,,,,,1995
95RA00441,T4006,44,93,1,41,02,411,M,3,2,6.0,1,130,59,85,0.544,199,148,80,0.31,3.8,58,18.1,53.2,9.6,25.0,58,1,1,3+,1.66,116.8,T1905,44,16.54,21.13,T9413,43,13.65,15.92,223,191,0.33,2.0,bred 19/45 EL,2,LBW,15.09,18.52,137,140,W,S1,A,,164,,,,,,,YES,R,60315,,1995
95RA00442,T4049,44,93,1,42,02,802,C,2,2,5.0,1,134,56,81,0.552,161,115,80,0.206,2.8,60,11.0,50.3,5.5,26.24,58,1,1,2,1.54,82.8,T1899,44,10.73,7.64,T0838,44,-1.77,-1.28,184,191,0.222,2.0,,3,CTL,4.48,3.18,93,95,W,S2,AA,,,,,,,,,,,,,1995
95RA00443,T4055,44,93,1,42,02,822,C,1,1,4.0,1,134,66,81,0.647,163,128,80,0.216,3.3,64,10.1,59.3,6.0,23.62,60,3,1,2,1.42,78.8,T2030,44,-0.49,-3.4,T0437,44,2.01,0.36,183,191,0.24,2.0,BIGTESTES,3,CTL,0.76,-1.52,94,106,W,S1,A,,,,,,,,,,,,,1995
95RA00444,T4072,44,93,1,41,02,412,M,2,2,3.0,2,136,62,81,0.625,169,127,80,0.228,3.2,60,11.2,55.1,6.2,23.77,60,2,1,2,1.69,117.1,T2174,44,13.67,16.94,T1053,44,19.87,21.59,192,191,0.282,2.0,,2,LBW,16.77,19.27,122,107,W,SP,B,,170,,,,,,,YES,N,,,1995
95RA00445,T4079,44,93,1,42,02,852,C,1,1,3.0,2,137,64,80,0.644,158,120,80,0.196,3.3,60,10.1,55.2,5.6,25.77,58,2,1,3+,1.28,90.9,T2385,44,0.38,-0.63,T2206,44,6.07,6.19,190,191,0.212,2.0,,2,CTL,3.23,2.78,103,101,W,S1,A,,172,,,,,,,YES,N,,,1995
95RA00446,T4091,44,93,1,41,02,414,M,2,1,5.0,2,138,78,79,0.81,207,158,80,0.281,3.2,62,9.0,46.6,4.2,23.87,60,2,1,2,1.47,93.2,T2306,44,7.88,12.25,T0543,44,21.1,20.48,230,191,0.315,2.0,,2,LBW,14.49,16.37,98,89,W,S2,AA,,171,,,,,,,YES,N,,,1995
95RA00447,T4145,44,94,1,41,02,CLO,M,2,2,3.0,Q,97,125,130,0.818,146,146,79,0.075,3.5,58,7.5,68.0,5.1,23.25,62,1,1,2-,1.41,113.2,T2678,44,0.0,3.16,T1836,44,11.03,15.42,176,191,0.155,1.0,CLONE @HQ,1,CLO,11.03,9.29,121,140,W,D4,DUD,,,C,70,4,90,0,E,,,,,1995
95RA00448,T4146,44,94,1,41,02,CLO,M,2,2,3.0,Q,97,110,130,0.717,134,134,79,0.086,3.1,58,8.2,69.4,5.7,23.39,62,2,1,3+,1.41,113.2,T2678,44,0.0,3.16,T1836,44,11.03,15.42,172,191,0.188,1.0,CLONE @HQ,1,CLO,11.03,9.29,125,144,W,SP,B,,,C,60,3,90,0,E,,,,,1995
95RA00449,T4165,44,94,1,42,02,852,C,1,1,3.0,1,106,94,115,0.7,112,112,79,0.063,2.4,60,4.5,57.6,2.6,19.69,70,2,1,4,1.16,78.9,T2698,44,0.0,-3.12,T2444,44,9.14,8.25,143,191,0.146,1.0,,3,CTL,9.14,2.57,85,91,W,S1,A,,,,,,,,,,,,,1995
95RA00450,T4167,44,94,1,ch,32,-0,h,3,2,3.0,2,106,75,116,0.59,128,128,79,0.186,0.0,62,4.9,,,0.0,,,1,,1.78,123.3,L6868,03,0.0,10.31,T2071,44,13.09,17.08,156,191,0.243,1.0,,L,,13.09,13.7,,,,S2,AA,,UTE,,,,,,,,,,,1995
95RA00451,T4168,44,94,1,ch,32,-0,h,3,2,3.0,2,106,76,116,0.588,135,135,79,0.207,0.0,62,4.2,,,0.0,,,1,,1.78,123.3,L6868,03,0.0,10.31,T2071,44,13.09,17.08,160,191,0.251,1.0,,L,,13.09,13.7,,,,S5,AAA,,,,,,,,,,,,,1995
95RA00452,T4172,44,94,1,41,02,411,M,2,2,6.0,1,107,74,114,0.544,135,135,79,0.213,2.7,60,5.5,62.3,3.4,20.16,70,2,1,2,1.66,103.7,T2556,44,0.0,20.44,T9692,43,9.69,9.02,175,191,0.301,1.0,,2,LBW,9.69,14.73,110,106,W,S2,AA,,167,,,,,,,YES,N,,,1995
95RA00453,T4179,44,94,1,42,02,882,C,2,2,2.0,1,107,77,114,0.561,132,132,79,0.192,2.2,62,4.6,52.1,2.4,17.81,80,1,1,4+,1.45,88.1,T2891,44,0.0,-1.22,T2973,44,0.95,0.2,164,191,0.26,1.0,,1,CTL,0.95,-0.51,91,87,W,S4,AAA,100.0,872,C,70,4,95,0,E,,,,,1995
