UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00504,T4719,44,95,1,42,02,832,C,2,2,3.0,Y,101,83,120,0.606,137,137,74,0.183,3.0,62,5.8,,,20.28,3.89,70,2,1,2,1.37,100.5,T4098,44,1.76,1.76,T3404,44,3.96,3.96,164,191,0.242,1.0,SEMEN=Q40%ABN,1,CTL,2.86,2.86,97,97,,S3,AA,0.0,X,W,50,2,40,0,Q,,,,,,0,1996
96RA00505,T4700,44,95,1,41,02,411,M,2,2,5.0,Y,100,102,119,0.756,166,166,74,0.215,3.1,60,8.6,,,23.56,4.67,60,2,1,2-,1.59,101.0,T3957,44,17.0,17.0,T1488,44,26.75,26.75,189,191,0.258,1.0,,1,LBW,21.87,21.87,113,117,,S4,AAA,0.0,411,M,60,3,10,0,E,,,,,,0,1996
96RA00506,T4704,44,95,1,41,02,413,M,2,2,5.0,Y,100,88,119,0.641,147,147,74,0.199,2.8,60,5.6,,,19.96,3.75,70,2,1,2+,1.59,115.0,T3916,44,20.71,20.71,T0969,44,30.88,30.88,172,191,0.249,1.0,LOW LIB,1,LBW,25.8,25.8,110,94,,S0,B,0.0,LISA,C,60,3,25,0,S,,,,,,0,1996
96RA00507,T4706,44,95,1,42,02,882,C,1,1,2.0,Y,101,79,118,0.581,132,132,74,0.178,2.8,60,7.6,,,24.67,4.88,60,1,1,4+,1.33,83.7,T4079,44,2.78,2.78,T4108,44,-0.43,-0.43,150,191,0.211,1.0,,1,CTL,1.18,1.18,90,105,,S2,AA,0.0,LISA,C,55,3,25,0,S,,,,,,0,1996
96RA00508,T4709,44,95,1,41,02,413,M,2,1,3.0,Y,101,100,120,0.738,154,154,74,0.183,2.8,60,7.0,,,20.43,3.83,70,2,1,2-,1.74,106.1,T3916,44,20.71,20.71,T2618,44,26.55,26.55,183,191,0.248,1.0,4TEATS,1,LBW,23.63,23.63,104,104,,S2,AA,0.0,LISA,M,60,3,25,0,S,,,,,,0,1996
96RA00509,T4740,44,95,1,41,02,414,M,2,1,6.0,Y,102,100,119,0.745,143,143,74,0.146,3.0,62,6.8,,,20.65,4.36,64,2,1,3,1.62,104.0,T4091,44,16.37,16.37,T0334,44,20.22,20.22,181,191,0.242,1.0,X EPI L & R,3,LBW,18.29,18.29,102,104,,,,0.0,,,,,,,,,,,,,0,1996
96RA00510,T4746,44,95,1,41,02,414,M,1,1,4.0,Y,102,113,119,0.809,164,164,74,0.173,3.1,60,8.2,,,23.56,5.21,60,2,1,2+,1.27,96.4,T4091,44,16.37,16.37,T2289,44,18.46,18.46,193,191,0.239,1.0,RF DIGIT ABS,2,LBW,17.41,17.41,99,114,,S2,AA,0.0,172,,,,,,,yes,N,,,,0,1996
96RA00511,T4748,44,95,1,42,02,842,C,2,2,3.0,Y,102,76,119,0.56,118,118,74,0.142,2.7,62,5.4,,,19.39,3.89,70,2,1,3,1.37,69.9,T3898,44,1.39,1.39,T2999,44,8.18,8.18,148,191,0.215,1.0,,1,CTL,4.78,4.78,88,92,,S3,AA,0.0,842,C,70,3,25,0,E,,,,,,0,1996
96RA00512,T4750,44,95,1,41,02,414,M,1,1,5.0,Y,103,106,118,0.771,168,168,74,0.21,3.0,60,7.6,,,19.75,4.08,70,1,1,2-,1.49,76.8,T4091,44,16.37,16.37,T1024,44,17.63,17.63,195,191,0.266,1.0,"DUD,LR FOOT?",2,LBW,17.0,17.0,95,112,,D4,DUD,0.0,LIB,,,,,,,NO,N,,,,0,1996
96RA00513,T4753,44,95,1,42,02,862,C,1,1,2.0,Y,103,84,118,0.602,131,131,74,0.159,2.8,60,7.8,,,22.85,5.39,62,2,1,2,1.33,86.8,T3959,44,-4.28,-4.28,T4099,44,1.94,1.94,158,191,0.221,1.0,,1,CTL,-1.17,-1.17,92,109,,S2,AA,0.0,862,C,50,3,25,0,S,,,,,,0,1996
