UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
18RA00055,2016120998,S0998,S0998,12,16,1,,07,47,,,2,2,2.0,,87,88,113,0.676,219,190,45,0.278,2.3,,,10.0,,,23.5,4.3,18.1,60,4,1,3,,,S0730,00,S0205,12,,,259,191,0.48,2.0,4+ Horns,3,,,,,,AA,QQ,,,,,,,,UWyo,,,,,,,,,,,,,3,6,5.0,2018,93,0905,14462,,0.0
18RA00056,2016121010,S1010,S1010,12,16,1,,07,42,,,3,2,4.0,,88,85,112,0.662,217,177,45,0.25,2.4,,,13.2,,,25.9,4.4,17.0,58,2,1,4+,,,R9841,11,R9254,11,,,266,191,0.508,2.0,Scurs,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,11,8.0,2018,,,0,,0.026
18RA00057,2016121013,S1013,S1013,12,16,1,,42,40,,,2,2,5.0,,88,84,112,0.647,217,172,45,0.239,2.6,,,12.2,,,20.1,3.7,18.3,70,2,1,3-,,,S0741,00,R9033,11,,,241,191,0.441,2.0,Scurs,1,,,,,,AA,QR,,,,,64,,,,,,,,,,,,,,,,6,14,11.0,2018,,,0,,0.0
18RA00058,2016121049,S1049,S1049,12,16,1,,07,52,,,1,1,3.0,,90,106,110,0.829,227,199,45,0.251,3.0,,,11.4,,,21.0,3.1,14.9,64,1,1,4,,,S0742,00,R9795,11,,,267,191,0.452,2.0,1ST,3,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,4,6,5.0,2018,93,0905,14574,,0.0
18RA00059,2016121056,S1056,S1056,12,16,1,,07,52,,,2,2,3.0,,91,73,109,0.561,180,147,45,0.199,2.8,,,12.6,,,23.8,4.1,17.1,60,2,1,4+,,,S0742,00,R9758,11,,,241,191,0.472,2.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,7,6.0,2018,93,0905,14570,,0.0
18RA00060,2016121069,S1069,S1069,12,16,1,,07,42,,,2,2,2.0,,91,98,109,0.776,265,193,45,0.256,2.4,,,12.2,,,20.6,3.5,16.7,64,2,1,3-,,,R9841,11,S0249,12,,,285,191,0.525,2.0,"1""HnsPolyLike",1,,,,,,AA,QR,,,,,49,,,,,,,,,,,,,,,,2,3,3.0,2018,,,0,,0.085
18RA00061,2015001124,S1124,S1124,00,15,1,,41,,,,,,0.0,,0,0,0,0.0,188,0,45,0.0,3.9,,,16.0,,,20.0,2.9,14.4,70,2,1,3-,,,,,,,,,230,191,0.414,3.0,Jewell,1,,,,,,AA,QR,,,,,57,,,,,,,,,,,,,,,,0,0,0.0,2018,,,0,58465,0.0
18RA00062,2015001125,S1125,S1125,00,15,1,,41,,,,,,0.0,,0,0,0,0.0,196,0,45,0.0,3.3,,,15.8,,,22.0,3.2,14.5,64,3,1,3-,,,,,,,,,220,191,0.396,3.0,"L.Eye.Cld, SC",1,,,,,,AA,QQ,,,,,58,,,,,,,,,,,,,,,,0,0,0.0,2018,,,0,58470,0.0
18RA00063,2015001126,S1126,S1126,00,15,1,,42,,,,,,0.0,,0,0,0,0.0,212,0,45,0.0,3.9,,,15.0,,,18.9,2.7,14.4,80,2,1,3+,,,,,,,,,255,191,0.459,3.0,HelleRNutSwel,1,,,,,,AA,QR,,,,,59,,,,,,,,,,,,,,,,0,0,0.0,2018,,,0,58446,0.0
18RA00064,2016001497,S1497,S1497,00,16,1,,07,,,,,,,,,,,,184,,45,,,,,10.8,,,21.3,4.8,22.6,64,1,1,3-,,,,,,,,,211,191,0.379,2.0,Lehfeldt,1,,,,,,AA,RR,,,,,60,,,,,,,,,,,,,,,,,,,2018,,,0,MT0393/6739,0.0
18RA00065,2016001498,S1498,S1498,00,16,1,,41,,,,,,,,,,,,188,,45,,,,,16.4,,,20.7,4.0,19.2,64,1,1,3,,,,,,,,,220,191,0.396,2.0,Rafter 7,1,,,,,,AA,QR,,,,,61,,,,,,,,,,,,,,,,,,,2018,,,0,3531/61069,0.0
18RA00066,2016001499,S1499,S1499,00,16,1,,07,,,,,,,,,,,,216,,45,,,,,10.8,,,19.3,3.5,18.0,70,3,1,3,,,,,,,,,246,191,0.442,2.0,Helle,1,,,,,,AA,QR,,,,,62,,,,,,,,,,,,,,,,,,,2018,,,0,MT018241817,0.0
18RA00067,2014001500,S1500,S1500,00,14,1,,41,,,,,,,,,,,,208,,45,,,,,18.6,,,22.5,3.6,16.2,62,7,1,3-,,,,,,,,,250,191,0.45,4.0,Rafter 7,1,,,,,,,QR,,,,,63,,,,,,,,,,,,,,,,,,,2018,,,0,NVR71169,0.0
18RA00068,2016001501,S1501,S1501,00,16,1,,41,,,,,,,,,,,,187,,45,,,,,14.2,,,19.3,4.0,20.5,70,7,1,3,,,,,,,,,211,191,0.379,2.0,FxNeckFightng,6,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,,,,2018,42,1004,0,3530/65419,0.0
18RA00069,2015456093,T6093,T6093,45,15,1,,02,35,,,1,1,3.0,,90,88,104,0.715,235,120,45,0.086,2.8,,,13.4,,,23.6,3.8,16.1,60,1,1,3-,,,T4950,45,T4545,45,,,274,191,0.514,3.0,HAIRY,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,6,6.0,2018,,,0,,0.041
18RA00070,2014006297,T6297,T6297,00,14,1,,02,,,,,,0.0,,0,0,0,0.0,232,0,45,0.0,3.1,,,13.2,,,,,,,1,1,3,,,,,,,,,270,191,0.486,4.0,,1,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2018,,,0,4139MT3341508,0.0
18RA00071,2014006299,T6299,T6299,00,14,1,,02,,,,,,0.0,,0,0,0,0.0,277,0,45,0.0,3.1,,,14.4,,,,,,,1,1,3,,,,,,,,,298,191,0.536,4.0,Blind,6,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2018,66,0807,0,8689/3293MT,0.0
18RA00072,2014006300,T6300,T6300,00,14,1,,02,,,,,,0.0,,0,0,0,0.0,248,0,45,0.0,3.3,,,10.8,,,,,,,2,1,3,,,,,,,,,294,191,0.529,4.0,Scurs,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2018,93,0905,14542,4280/MTAH4845,0.0
18RA00073,2016456313,T6313,T6313,45,16,1,,02,57,,,2,2,6.0,,81,86,119,0.61,229,189,45,0.285,2.5,,,13.2,,,20.2,3.9,19.1,70,2,1,3,,,T6298,00,T3255,45,,,261,191,0.492,2.0,Scurs,1,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,7,12,12.0,2018,,,0,,0.0
18RA00074,2016456324,T6324,T6324,45,16,1,,02,60,,,1,1,7.0,,82,107,118,0.781,209,200,45,0.257,2.7,,,10.6,,,20.0,2.9,14.4,70,1,1,4+,,,T6301,00,T2602,45,,,248,191,0.396,2.0,Nice,3,,,,,,AA,RR,,,,,,,,UWyo,,,,,,,,,,,,,6,11,7.0,2018,93,0905,14576,,0.0
18RA00075,2016456334,T6334,T6334,45,16,1,,02,63,,,1,1,4.0,,83,102,118,0.721,206,194,45,0.254,2.8,,,11.2,,,23.9,4.0,16.8,60,2,1,4,,,T5424,45,T4362,45,,,255,191,0.431,2.0,n,2,,,,,,AA,QR,,,,,,,,UWyo,,,,,,,,,,,,,4,6,5.0,2018,92,0829,14620,,0.061
18RA00076,2016456342,T6342,T6342,45,16,1,,02,57,,,2,2,3.0,,83,97,118,0.712,241,209,45,0.309,2.3,,,13.4,,,20.3,3.8,18.6,70,1,1,3,,,T6298,00,T4928,45,,,286,191,0.532,2.0,"1ST, Nice Ram",1,,,,,,AA,RR,,,,,39,,,,,,,,,,,,,,,,4,8,5.0,2018,,,0,,0.0
18RA00077,2016456346,T6346,T6346,45,16,1,,02,61,,,2,2,4.0,,84,81,117,0.591,209,176,45,0.262,2.3,,,10.6,,,20.2,3.0,15.1,70,1,1,3+,,,T6302,00,T4491,45,,,252,191,0.482,2.0,1ST,3,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,4,7,7.0,2018,93,0905,14583,,0.0
18RA00078,2016456349,T6349,T6349,45,16,1,,02,58,,,3,1,2.0,,84,87,117,0.667,206,166,45,0.218,2.6,,,10.8,,,18.4,3.1,17.0,80,2,1,3,,,T6299,00,T5645,45,,,257,191,0.479,2.0,3RD,3,,,,,,AA,RR,,,,,,,,UWyo,,,,,,,,,,,,,2,4,1.5,2018,93,0905,14586,,0.0
18RA00079,2016456367,T6367,T6367,45,16,1,,02,57,,,2,2,5.0,,85,95,116,0.703,215,176,45,0.223,2.6,,,11.4,,,21.2,4.2,20.0,64,2,1,3,,,T6298,00,T4012,45,,,255,191,0.451,2.0,Scurs,1,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,12,9.0,2018,,,0,,0.0
18RA00080,2016456401,T6401,T6401,45,16,1,,02,59,,,1,1,4.0,,87,97,114,0.728,211,168,45,0.194,2.4,,,8.8,,,19.3,3.5,18.3,70,2,1,3,,,T6300,00,T4380,45,,,256,191,0.448,2.0,Scurs,1,,,,,,AA,QQ,,,,,,,,UWyo,,,,,,,,,,,,,4,7,7.0,2018,,,0,,0.0
