UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
06RA00194,105115844,R5844,R5844,11,05,1,18,07,42R,,M,3,2,6.0,Y,114,84,107,0.681,167,167,51,0.281,2.6,3.2,62,6.0,7.3,,21.3,3.4,15.8,64,2,1,3+,1.74,115.9,R4093,11,R0347,11,0,,190,194,0.314,1.0,Pee Sniffer!,3,NON,,93,93,,,,,,,,,Ramb,,,,,,,,,,,,,6,11,8,2006,93,0814,6430,,0.03
06RA00195,105115845,R5845,R5845,11,05,1,18,07,45R,,M,2,2,4.0,Y,114,90,107,0.708,174,174,51,0.285,2.2,2.7,62,6.8,8.2,,20.8,3.1,15.1,64,3,1,4+,1.72,131.1,R2746,11,R2851,11,205,,191,194,0.299,1.0,,2,NON,,99,95,N,RR,,,,,129,,Ramb,,,,,,,,,,10,0,,4,6,6,2006,92,0921,6936,,0.021
06RA00196,105115853,R5853,R5853,11,05,1,18,07,36R,,M,2,1,3.0,Y,114,97,107,0.792,167,167,51,0.237,2.7,3.3,60,7.8,9.4,,23.0,3.8,16.4,62,3,1,3,1.83,126.2,R2554,11,R3497,11,187,,193,194,0.284,1.0,,1,NON,,100,103,,,,,,,,,Ramb,,,,,,,,,,,,,3,5,4,2006,,,0,,0.03
06RA00197,105115899,R5899,R5899,11,05,1,18,07,33R,,M,1,1,3.0,Y,115,93,108,0.739,166,166,51,0.249,2.4,3.0,62,6.4,7.8,,19.5,3.2,16.5,70,2,1,2-,1.68,120.7,R2570,11,R3752,11,206,,193,194,0.298,1.0,NICE LAMB,2,NON,,94,97,N,QQ,,,,,124,,Ramb,,,,,,,,,,10,0,,3,4,4,2006,92,0921,6943,,0.033
06RA00198,105115911,R5911,R5911,11,05,1,18,07,41R,,M,1,1,3.0,Y,115,114,106,0.94,184,184,51,0.237,2.2,2.7,62,6.2,7.5,,21.7,4.6,21.0,64,1,1,3,1.68,120.9,R4171,11,R3379,11,0,,207,194,0.275,1.0,-INDEX,3,NON,,91,90,,,,,,,,,Ramb,,,,,,,,,,,,,3,4,4,2006,93,0814,6418,,0.041
06RA00199,105115927,R5927,R5927,11,05,1,18,07,34R,,M,2,2,6.0,Y,115,89,106,0.723,163,163,51,0.251,2.2,2.7,62,7.0,8.5,,20.9,4.1,19.8,64,3,1,4-,1.74,128.4,R2874,11,R0604,11,209,,199,194,0.325,1.0,,2,NON,,100,97,N,QQ,,,,,130,,Ramb,,,,,,,,,,10,0,,6,11,10,2006,92,0921,6935,,0.042
06RA00200,105115944,R5944,R5944,11,05,1,18,07,41R,,M,1,1,6.0,Y,116,104,107,0.821,181,181,51,0.263,2.5,3.1,62,7.8,9.5,,22.1,3.6,16.1,62,3,1,2+,1.84,122.7,R4171,11,R0949,11,214,,203,194,0.295,1.0,"BIG, F2+<",1,NON,,99,104,,,,,,,,,Ramb,,,,,,,,,,,,,6,12,10,2006,,,0,,0.03
06RA00201,105115968,R5968,R5968,11,05,1,18,07,37R,,M,3,2,7.0,Y,116,87,107,0.707,179,179,51,0.314,2.3,2.9,58,7.2,8.8,,24.4,4.0,16.5,60,1,1,3+,1.9,122.5,R3176,11,S9706,10,205,,200,194,0.336,1.0,,2,NON,,100,96,N,QQ,,,,,128,,Ramb,,,,,,,,,,10,0,,7,14,11,2006,92,0921,6940,,0.027
06RA00202,105115973,R5973,R5973,11,05,1,18,07,46R,,M,2,2,3.0,Y,116,90,107,0.731,166,166,51,0.259,2.7,3.4,62,6.8,8.3,,21.4,3.6,16.6,64,3,1,3,1.83,126.4,R3401,11,R3664,11,202,,185,194,0.283,1.0,H3,2,NON,,98,100,N,QQ,,,,,126,,Ramb,,,,,,,,,,10,0,,3,5,4,2006,92,0921,6932,,0.029
06RA00203,105116007,R6007,R6007,11,05,1,18,07,45R,,M,2,2,4.0,Y,117,83,106,0.67,153,153,51,0.239,2.4,3.0,62,6.2,7.6,,19.9,3.1,15.6,70,5,1,3+,1.72,122.9,R2746,11,R2524,11,192,,175,194,0.274,1.0,NICE LAMB,2,NON,,93,95,N,RR,,,,,127,,Ramb,,,,,,,,,,10,0,,4,6,6,2006,92,0921,6934,,0.017
06RA00204,105116021,R6021,R6021,11,05,1,18,07,32R,,M,2,1,6.0,Y,118,104,105,0.871,169,169,51,0.222,2.7,3.4,60,8.0,9.8,,19.9,4.3,21.4,70,3,1,2,1.74,120.5,R1667,11,90532,09,193,,194,194,0.268,1.0,,1,NON,,98,110,,,,,,,,,Ramb,,,,,,,,,,,,,6,11,9,2006,,,0,,0.027
06RA00205,105116035,R6035,R6035,11,05,1,18,07,45R,,M,1,1,2.0,Y,118,88,105,0.695,174,174,51,0.294,2.7,3.4,62,8.4,10.3,,19.6,3.4,17.6,70,3,1,4-,1.65,115.9,R2746,11,R4101,11,199,,196,194,0.321,1.0,RUGGED,1,NON,,101,114,,,S+,A+,STUD,90.0,e14,,Ramb,,,3,,,,,,,,,,2,2,2,2006,,,0,,0.023
06RA00206,105116057,R6057,R6057,11,05,1,18,07,35R,,M,3,2,4.0,Y,119,87,104,0.718,169,169,51,0.28,2.0,2.5,62,6.0,7.4,,21.9,3.8,17.5,64,1,1,3-,2.22,141.4,R3321,11,R2205,11,209,,190,194,0.307,1.0,,2,NON,,101,88,N,QQ,,,,,118,,Ramb,,,,,,,,,,10,0,,4,10,8,2006,92,0921,6939,,0.018
06RA00207,105116058,R6058,R6058,11,05,1,18,07,35R,,M,3,1,4.0,Y,119,96,104,0.805,175,175,51,0.27,2.3,2.9,62,6.0,7.4,,20.5,3.2,15.4,70,7,1,3-,2.22,141.4,R3321,11,R2205,11,197,,199,194,0.307,1.0,H7,1,NON,,102,92,,,S+,A+,STUD,97.0,36,,Ramb,,,1,,,,,,,,,,4,10,8,2006,,,0,,0.018
06RA00208,105116086,R6086,R6086,11,05,1,18,07,33R,,M,1,1,5.0,Y,121,95,102,0.76,169,169,51,0.253,2.4,3.0,60,6.0,7.4,,19.5,3.5,18.0,70,2,1,3,1.7,127.9,R2570,11,R2054,11,203,,191,194,0.286,1.0,SM.TESTES,2,NON,,96,95,N,QR,,,,,123,,Ramb,,,,,,,,,,10,0,,5,8,8,2006,92,0921,6942,,0.058
06RA00209,104450037,T0037,T0037,45,04,1,ID,02,42T,,I,2,2,5.0,M,103,99,115,0.737,242,194,51,0.318,3.2,3.3,62,13.4,14.3,,25.9,5.0,19.3,58,1,1,3-,1.72,115.6,T9073,44,T7737,44,273,,263,194,0.334,2.0,NICE LAMB,2,L41,L41,94,98,N,QQ,,,,0.0,114,52alt,Idah,,,,,,,,,, 8,0,,4,8,6,2006,92,0921,6926,,0.024
06RA00210,104450121,T0121,T0121,45,04,1,ID,02,43T,,I,2,2,3.0,M,106,92,110,0.726,247,190,51,0.326,3.1,3.2,62,12.2,13.0,,23.6,3.9,16.5,60,1,1,3-,1.82,140.9,T8296,44,T8960,44,264,,261,194,0.355,2.0,,2,KK,KK,103,94,N,QQ,S+,A+,STUD,89.0,111,65,Idah,,,,,,,,,, 8,1,74297,3,5,5,2006,92,0921,6925,,0.006
06RA00211,104450152,T0152,T0152,45,04,1,ID,02,42T,,I,2,2,6.0,M,107,85,109,0.64,215,183,51,0.326,3.6,3.8,62,15.6,16.6,,24.7,4.3,17.3,60,1,1,3+,1.88,141.9,T9073,44,T7102,44,0,,220,194,0.361,2.0,"THIN,SM.TSTS",3,L41,L41,110,110,,,S+,A+,STUD,85.0,,52,Idah,,,,,,,,,,,,,6,11,10,2006,93,0814,6398,,0.025
06RA00212,104450174,T0174,T0174,45,04,1,ID,02,41T,,I,1,1,4.0,M,107,114,109,0.895,273,220,51,0.352,3.1,3.2,62,12.4,13.2,,21.6,3.4,17.1,64,2,1,3,1.57,118.0,I9221,00,T8712,44,278,,285,194,0.398,2.0,BIG,1,MSU,MSU,96,98,,,S+,A+,STUD,64.0,e22,e41,Idah,,,3,,,,,,,,,,3,5,5,2006,,,0,,0.0
06RA00213,104450192,T0192,T0192,45,04,1,ID,02,42T,,I,1,1,6.0,M,109,105,109,0.814,260,225,51,0.401,3.8,4.0,60,17.4,18.6,,27.7,5.3,19.3,56,3,1,3,1.98,108.2,T9073,44,T7231,44,286,,293,194,0.412,2.0,"LAME,FRONT",1,L41,L41,103,117,,,S,B-,LOW?,81.0,59,64,Idah,,,2,,,,,,,,,,6,12,7,2006,,,0,,0.023
06RA00214,105450270,T0270,T0270,45,05,1,ID,02,43T,,I,2,1,4.0,Y,90,136,131,0.923,208,208,51,0.244,2.4,2.7,60,9.4,10.5,,24.7,4.3,17.5,60,1,1,3,1.82,139.0,T8296,44,T8314,44,244,,236,194,0.296,1.0,Top Index,1,KK,KK,110,110,,,S+,A+,STUD,89.0,53,,Idah,,,2,,,,,,,,,,4,7,6,2006,,,0,,0.004
06RA00215,105450289,T0289,T0289,45,05,1,ID,02,42T,,I,2,2,3.0,Y,91,95,130,0.639,181,181,51,0.292,2.6,3.0,62,7.2,8.1,,23.4,4.3,18.2,62,2,1,3-,1.82,140.0,T9473,44,T8928,44,206,,197,194,0.302,1.0,LOW LIB?,1,ISA,ISA,106,98,,,LOW,,,,e24xx,,Idah,,,3,,,,,,,,,,3,5,5,2006,,,0,,0.013
06RA00216,105450290,T0290,T0290,45,05,1,ID,02,42T,,I,2,2,3.0,Y,91,104,130,0.697,164,164,51,0.203,2.4,2.8,62,7.4,8.3,,22.2,4.1,18.6,62,1,1,3-,1.82,140.0,T9473,44,T8928,44,189,,194,194,0.266,1.0,NICE LAMB,1,ISA,ISA,104,99,,,S+,A+,STUD,69.0,e24,,Idah,,,3,,,,,,,,,,3,5,5,2006,,,0,,0.013
06RA00217,105450299,T0299,T0299,45,05,1,ID,02,42T,,I,2,2,3.0,Y,91,104,130,0.691,157,157,51,0.18,2.1,2.4,64,7.0,7.9,,22.8,3.7,16.2,62,1,1,3,1.82,132.4,T9473,44,T9259,44,0,,184,194,0.237,1.0,SM.TESTES,3,ISA,ISA,96,93,,,,,,,,,Idah,,,,,,,,,,,,,3,5,5,2006,93,0814,6432,,0.057
06RA00218,105450323,T0323,T0323,45,05,1,ID,02,43T,,I,1,1,3.0,Y,92,127,129,0.867,218,218,51,0.308,2.7,3.1,60,8.8,9.9,,22.0,3.4,15.6,64,2,1,3+,1.53,104.5,T8296,44,T8799,44,233,,242,194,0.34,1.0,,1,KK,KK,100,112,,,,,,,,,Idah,,,,,,,,,,,,,3,3,3,2006,,,0,,0.004
06RA00219,105450328,T0328,T0328,45,05,1,ID,02,43T,,I,2,2,5.0,Y,92,98,129,0.659,155,155,51,0.193,2.5,2.9,62,6.6,7.4,,22.5,4.3,18.9,62,2,1,3,1.83,132.8,T8296,44,T7719,44,200,,189,194,0.269,1.0,,2,KK,KK,99,93,N,QR,,,,,109,,Idah,,,,,,,,,, 7,0,,5,9,8,2006,92,0921,6924,,0.006
