UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
02RA00063,A7460,04,00,1,88,30,42-,.,2,2,3.5,M,106,94,115,0.724,222,182,68,0.307,0.0,0.0,58,11.4,11.4,0.0514,0.0,0.0,0.0,0,.,1,.,1.97,132.9,A4528,04,A4913,04,,0,0.348,2.0,"F3-, Top Idx",S,GXE,,,,,D4,DUD,,SCT,,-2-,,BISX,SALE,,,,,,,,,,,3,5,5,2002,,,-0.7315,-0.0499,-0.0077,
02RA00064,A7506,04,00,1,82,30,26,C,2,2,5.0,M,107,79,114,0.597,198,166,68,0.303,3.5,3.5,62,9.2,9.2,0.0465,24.7,3.7,15.0,60,2,1,2,2.03,129.5,A5202,04,A2986,04,228,259,0.31,2.0,,2,CTL,,103,106,-,S2,AA,STUD,,100.0, 83,,CTL,.,,,,,,,,,1,,5,11,9,2002,92,0919,-1.4663,-0.8125,-0.0122,
02RA00065,A7553,04,00,1,88,30,45-,.,3,2,3.0,M,108,83,113,0.654,197,162,68,0.275,0.0,0.0,54,11.4,11.4,0.0579,0.0,0.0,0.0,0,.,1,.,2.39,141.1,A5346,04,A5089,04,,0,0.238,2.0,H2,S,GXE,,,,,S2,AA,,SCT,,-4-,,HETR,MKT,,,,,,,,,,,3,8,6,2002,,,-0.1864,0.4537,-0.0047,
02RA00066,A7581,04,00,1,81,30,02,M,3,2,3.0,M,108,83,113,0.646,218,171,68,0.307,3.6,3.6,54,13.0,13.0,0.0596,31.3,4.7,15.0,48,3,1,2-,2.54,133.6,A5515,04,A5116,04,249,259,0.36,2.0,"H3,CHK",2,LWW,,109,124,-,SP,B,,,, 86,,LWW,.,,,,,,,,,0,,3,9,5,2002,92,0919,-0.2237,0.5136,-0.0049,
02RA00067,A7595,04,00,1,88,30,45-,.,2,2,5.5,M,109,98,112,0.755,174,158,68,0.209,0.0,0.0,60,6.8,6.8,0.0391,0.0,0.0,0.0,0,.,1,.,2.03,110.6,A5346,04,A2690,04,,0,0.193,2.0,,S,GXE,,,,,S1,A,,SCT,,alt,,HETR,MKT,,,,,,,,,,,5,11,8,2002,,,-1.7847,-1.2528,-0.0141,
02RA00068,A7598,04,00,1,82,30,27,C,3,3,4.0,M,109,71,112,0.554,172,138,68,0.233,3.4,3.4,56,9.4,9.4,0.0547,30.5,4.1,13.5,50,2,1,1-,1.77,109.2,A5341,04,A4172,04,,0,0.244,2.0,,3,CTL,,88,101,,S0,B,STUD,,100.0,.,,CTL,.,,,,,,,,,,,3,6,6,2002,93,0820,-1.3183,-1.4015,-0.0103,
02RA00069,A7633,04,00,1,88,30,44-,.,3,2,5.5,M,109,89,112,0.688,195,168,68,0.275,3.1,3.1,58,7.2,7.2,0.0369,27.7,4.5,16.1,56,1,1,3-,2.25,93.8,A4920,04,A2773,04,,0,0.292,2.0,Bovis Suspect,3,GXE,,82,88,,S2,AA,,,,.,,GXE,.,,,,,,,,,,,5,13,6,2002,93,0820,-1.567,-1.2345,-0.0121,
02RA00070,A7636,04,00,1,81,30,01,M,2,2,6.0,M,109,85,112,0.66,232,179,68,0.328,4.5,4.5,58,11.8,11.8,0.0509,28.0,4.8,17.2,54,1,1,3+,2.13,130.3,A5198,04,A2162,04,,0,0.363,2.0,BRITCHY,3,LWW,,111,125,,D3,DUD,,,,.,,LWW,.,,,,,,,,,,,6,13,10,2002,93,0820,0.2437,1.1651,-0.0025,
02RA00071,A7637,04,00,1,81,30,01,M,2,2,6.0,M,109,89,112,0.693,179,154,68,0.226,0.0,0.0,60,10.8,10.8,0.0603,0.0,0.0,0.0,0,.,1,.,2.13,130.3,A5198,04,A2162,04,,0,0.244,2.0,"X,THIN,SICK",3,LWW,,,,,D4,DUD,,SCT,,LIB,,HETR,SALE,,,,,,,,,,,6,13,10,2002,93,0528,0.493,1.1651,-0.0001,
02RA00072,A7638,04,00,1,82,30,30,C,3,3,4.0,M,109,76,112,0.604,204,164,68,0.307,3.2,3.2,62,9.0,9.0,0.0441,25.7,4.7,18.3,58,1,1,1-,2.02,129.7,A5528,04,A4267,04,229,259,0.333,2.0,DUD >works,2,CTL,,102,102,-,S0,B,STUD,,100.0, 85,,CTL,.,,,,,,,,,1,,4,8,7,2002,92,0919,-1.4304,-0.9313,-0.0116,
02RA00073,A7640,04,00,1,82,30,30,C,3,3,4.0,M,109,77,112,0.604,195,162,68,0.296,2.7,2.7,60,8.2,8.2,0.0421,26.2,4.6,17.4,58,3,1,1-,2.02,129.7,A5528,04,A4267,04,,0,0.292,2.0,H3,P,CTL,,99,93,,D3,DUD,,SCT,,LIB,R,HOMO,.,,,,,,,,,,,4,8,7,2002,,,-1.4776,-0.9978,-0.0119,
02RA00074,A7659,04,00,1,82,30,27,C,4,4,7.0,M,110,70,114,0.526,175,143,68,0.257,0.0,0.0,60,6.8,6.8,0.0389,0.0,0.0,0.0,0,.,1,.,2.58,152.7,A5341,04,A0761,04,,0,0.27,2.0,PINK QUAD pd1,S,CTL,,,,,S3,AA,,SCT,,-3-,,HETR,MKT,,,,,,,,,,,7,20,18,2002,,,-1.681,-1.4418,-0.013,
02RA00075,A7738,04,00,1,82,30,27,C,2,2,3.0,M,111,61,111,0.458,164,145,68,0.294,3.1,3.1,60,8.8,8.8,0.0537,24.2,4.1,16.9,60,2,1,2+,2.25,115.5,A5341,04,A5378,04,,0,0.284,2.0,,3,CTL,,94,102,,S2,AA,STUD,,100.0,.,R,CTL,.,,,,,,,,,,,3,7,5,2002,93,0820,-1.5279,-1.3913,-0.0122,
02RA00076,A7780,04,00,1,82,30,26,C,3,2,6.0,M,112,78,110,0.631,205,165,68,0.304,3.0,3.0,58,7.4,7.4,0.0361,28.4,4.5,15.7,54,2,1,2+,2.33,124.5,A5202,04,A1928,04,,0,0.293,2.0,,3,CTL,,97,88,,D3,DUD,,SCT,,.,,CTL,.,,,,,,,,,,,6,15,11,2002,93,0820,-1.4642,-1.0419,-0.0116,
02RA00077,A7786,04,00,1,82,30,23,C,2,1,3.0,M,112,73,110,0.58,201,159,68,0.301,3.6,3.6,56,9.2,9.2,0.0458,26.8,4.3,16.1,56,2,1,2-,1.97,69.0,A5082,04,A5281,04,,0,0.304,2.0,,3,CTL,,77,104,,S1,A,STUD,,100.0,.,,CTL,.,,,,,,,,,,,3,5,1,2002,93,0820,-0.9112,-0.2685,-0.0091,
02RA00078,A7805,04,00,1,82,30,20,C,4,2,6.0,M,112,72,112,0.568,183,149,68,0.271,3.3,3.3,56,8.6,8.6,0.047,29.2,4.2,14.3,54,2,1,2,3.33,159.7,A5454,04,A1331,04,209,259,0.285,2.0,NO SALE 9/19,2,CTL,,111,97,-,S1,A,,,, 82,R,CTL,.,,,,,,,,,1,,6,24,15,2002,92,1010,-0.9198,-0.7114,-0.008,
02RA00079,A7818,04,00,1,82,30,28,C,3,2,5.0,M,112,70,110,0.557,143,132,68,0.217,0.0,0.0,60,6.2,6.2,0.0434,0.0,0.0,0.0,0,.,1,.,2.14,98.8,A5406,04,A3489,04,,0,0.242,2.0,"X,L.TESTE?",3,CTL,,,,,D4,DUD,,SCT,,LIB,,ASEX,MKT,,,,,,,,,,,5,12,7,2002,93,0820,-1.3025,-1.2034,-0.0104,
02RA00080,A7852,04,00,1,81,30,02,M,2,2,5.0,M,113,86,109,0.684,205,170,68,0.294,0.0,0.0,62,9.6,9.6,0.0468,0.0,0.0,0.0,0,.,1,.,2.03,116.6,A5515,04,A3318,04,,0,0.346,2.0,,S,LWW,,,,,D4,DUD,,SCT,,LIB,,HETR,SALE,,,,,,,,,,,5,11,8,2002,,,-0.9712,-0.4277,-0.0087,
02RA00081,A7864,04,00,1,82,30,22,C,3,2,5.0,M,113,69,109,0.55,198,154,68,0.297,2.8,2.8,60,8.0,8.0,0.0404,26.8,4.8,17.9,56,1,1,1,2.25,111.7,A5569,04,A3293,04,,0,0.334,2.0,DUD @2001,3,CTL,,91,92,,D3,DUD,DUD,,,.,,LIB,SAVE,,,,,,,,,,,5,13,8,2002,93,0820,-1.2692,-0.8534,-0.0107,
02RA00082,A7880,04,00,1,81,30,04,M,4,3,4.0,M,114,64,108,0.511,193,151,68,0.304,3.3,3.3,62,7.4,7.4,0.0383,23.1,3.9,16.7,62,1,1,1-,2.56,173.3,A5472,04,A2839,04,227,259,0.31,2.0,tb4 tr3 save,2,LWW,,119,96,-,S2,AA,,,, 81,,LWW,.,,,,,,,,,1,,4,12,10,2002,92,0919,-0.8007,-0.3005,-0.0086,
02RA00083,A7882,04,00,1,81,30,04,M,4,3,4.0,M,114,73,108,0.583,220,180,68,0.374,3.0,3.0,62,7.4,7.4,0.0336,25.6,3.7,14.5,58,1,1,2,2.56,173.3,A5472,04,A2839,04,252,259,0.391,2.0,tb4 tr3 save,2,LWW,,124,91,-,SP,B,STUD,,92.0, 80,,LWW,.,,,,,,,,,1,,4,12,10,2002,92,0919,-1.0229,-0.2336,-0.0098,
02RA00084,A7896,04,00,1,88,30,44-,.,4,1,4.5,M,114,90,108,0.748,191,161,68,0.248,2.9,2.9,60,6.2,6.2,0.0325,25.0,4.1,16.3,58,1,1,2+,2.52,102.7,A4920,04,A3834,04,,0,0.263,2.0,,1,GXE,,81,84,,SP,B,,,,.,,FLWT,.,,,,,,,,,,,4,12,5,2002,,,-2.0548,-1.6671,-0.0157,
02RA00085,A7913,04,00,1,82,30,21,C,4,2,5.0,M,114,81,108,0.673,212,182,68,0.353,3.1,3.1,58,7.8,7.8,0.0368,29.1,4.5,15.4,54,1,1,1-,2.36,135.9,A5530,04,A3604,04,,0,0.343,2.0,,P,CTL,,107,91,,SP,B-,,SCT,,LIB,R,ASEX,.,,,,,,,,,,,5,14,10,2002,,,-1.6114,-0.7904,-0.0127,
02RA00086,A7958,04,00,1,81,30,01,M,4,3,5.0,M,115,65,107,0.51,195,148,68,0.29,0.0,0.0,62,6.8,6.8,0.0349,0.0,0.0,0.0,0,.,1,.,2.36,145.3,A5198,04,A3551,04,,0,0.319,2.0,tb4 tr3 save,3,LWW,,,,,S2,AA,,SCT,,LIB,,BISX,MKT,,,,,,,,,,,5,14,12,2002,93,0820,-1.0459,-0.552,-0.01,
02RA00087,A7977,04,00,1,81,30,02,M,2,2,3.0,M,115,73,107,0.591,219,177,68,0.364,0.0,0.0,60,7.6,7.6,0.0347,0.0,0.0,0.0,0,.,1,.,1.97,111.1,A5515,04,A5354,04,,0,0.382,2.0,"THIN,DEAD,OPP",S,LWW,,,,,D4,DUD,,SCT,,-1-,,BISX,MKT,,,,,,,,,,,3,5,4,2002,76,0106,-1.2376,-0.7189,-0.0102,
02RA00088,A8038,04,00,1,81,30,04,M,3,2,8.0,M,116,66,106,0.53,208,166,68,0.35,3.1,3.1,58,7.2,7.2,0.0346,26.1,4.2,16.0,58,2,1,1,2.25,167.2,A5472,04,L9102,03,,0,0.376,2.0,RCVR<,P,LWW,,120,90,,D3,DUD,,SCT,,LIB,,HOMO,.,,,,,,,,,,,8,18,16,2002,,,-1.4512,-0.8744,-0.0121,
02RA00089,A8075,04,00,1,82,30,22,C,2,1,3.0,M,117,79,105,0.663,184,152,68,0.255,0.0,0.0,60,8.0,8.0,0.0435,0.0,0.0,0.0,0,.,1,.,1.68,86.3,A5569,04,A5070,04,,0,0.284,2.0,,S,CTL,,,,,SP,B,,SCT,,-3-,,BISX,MKT,,,,,,,,,,,2,3,2,2002,,,-0.7639,-0.4592,-0.0069,
02RA00090,A8115,04,00,1,81,30,03,M,2,2,6.0,M,118,78,104,0.639,230,177,68,0.346,3.1,3.1,56,9.2,9.2,0.04,29.7,4.5,15.2,50,2,1,1,2.03,116.5,A5232,04,A2161,04,,0,0.373,2.0,PINK SEMEN,3,LWW,,100,99,,S2,AA,,,,.,,LWW,.,,,,,,,,,,,6,12,9,2002,93,0820,-1.4868,-0.6926,-0.0124,
02RA00091,A8193,04,01,1,81,30,01,M,2,2,2.0,Y,94,97,126,0.694,189,189,68,0.319,2.8,3.1,58,7.6,8.2,0.0434,26.3,4.6,17.6,58,1,1,1-,2.0,136.3,A6761,04,A6341,04,,0,0.0,1.0,,1,LWW,,109,112,,D3,,,,,Pref,,IDX,.,,,,,,,,,,,2,3,3,2002,,,-0.0352,0.3842,-0.0027,
02RA00092,A8202,04,01,1,82,30,22,C,3,1,4.0,Y,95,74,123,0.55,155,155,68,0.279,2.8,3.1,60,4.8,5.2,0.0335,22.7,4.4,19.3,62,2,1,2+,2.15,117.9,A6140,04,A4207,04,,0,0.0,1.0,,4,CTL,,93,90,,D3,,,,,XVL,,CTL,.,,,,,,,,,,,4,9,6,2002,93,0113,-0.9406,-0.4565,-0.0083,
02RA00093,A8233,04,01,1,84,30,52,N,4,2,5.0,Y,98,84,120,0.617,173,173,68,0.307,2.4,2.7,58,6.0,6.5,0.0376,24.2,3.7,15.4,60,2,1,1-,2.14,135.9,A6853,04,A3564,04,209,259,0.0,1.0,PNEU,2,INB,,104,97,-,S2,AA,,,, 63,,INBR,.,,,,,,,,,1,,5,12,11,2002,92,0919,-0.6273,0.0657,-0.006,
02RA00094,A8234,04,01,1,84,30,52,N,4,2,5.0,Y,98,86,120,0.633,154,154,68,0.234,2.0,2.2,60,5.0,5.4,0.0351,24.5,4.4,17.9,60,2,1,1-,2.14,135.9,A6853,04,A3564,04,,0,0.0,1.0,,4,INB,,94,84,,?,,,,,XVL,,INBR,.,,,,,,,,,,,5,12,11,2002,,,-0.6273,0.0657,-0.006,
02RA00095,A8248,04,01,1,81,30,03,M,1,1,2.0,Y,98,113,120,0.854,196,196,68,0.286,2.6,2.9,62,6.8,7.4,0.0378,24.2,3.7,15.2,60,2,1,1-,1.83,125.7,A6934,04,A6306,04,,0,0.0,1.0,"TB1,TRT.L.EYE",4,LWW,,99,106,,?,,,,,XVL,,LWW,.,,,,,,,,,,,2,2,2,2002,,,0.0304,0.6888,-0.0036,
02RA00096,A8249,04,01,1,82,30,25,C,1,1,4.0,Y,98,110,120,0.818,185,185,68,0.259,3.0,3.4,60,6.2,6.7,0.0362,22.8,4.1,18.1,62,2,1,1-,2.02,123.5,A6216,04,A4624,04,,0,0.0,1.0,TB 1,4,CTL,,97,104,,?,,,,,XVL,,CTL,.,,,,,,,,,,,4,8,6,2002,,,-1.036,-0.4526,-0.009,
02RA00097,A8257,04,01,1,84,30,52,N,2,1,2.0,Y,99,112,119,0.853,225,225,68,0.39,2.9,3.3,60,6.4,7.0,0.0311,25.0,4.1,16.4,58,2,1,1-,2.17,133.8,A6853,04,90333,09,262,259,0.0,1.0,WEAK@BIRTH,2,INB,,113,104,-,S2,AA,,,, 67,,INBR,.,,,,,,,,,1,,2,4,3,2002,92,0919,-0.6281,0.2847,-0.0073,
02RA00098,A8265,04,01,1,81,30,02,M,2,1,4.0,Y,99,111,119,0.85,190,190,68,0.272,2.7,3.0,58,6.8,7.4,0.0389,24.9,4.2,17.0,60,2,1,2-,2.02,128.9,A6964,04,A4263,04,221,259,0.0,1.0,,2,LWW,,100,105,-,S0,B,,,, 70,,LWW,.,,,,,,,,,1,,4,8,6,2002,92,0919,-0.4174,0.109,-0.0053,
02RA00099,A8275,04,01,1,84,30,53,N,2,2,4.5,Y,99,89,119,0.661,173,173,68,0.29,3.0,3.4,62,6.8,7.4,0.0428,24.6,4.4,17.8,60,2,1,1-,1.9,132.2,A6501,04,A3708,04,201,259,0.0,1.0,1TAG,2,INB,,104,108,-,S0,B,,,, 71,,INBR,.,,,,,,,,,1,,4,7,7,2002,92,0919,-0.3342,-0.2072,-0.003,
02RA00100,A8280,04,01,1,81,30,02,M,3,1,5.0,Y,100,92,120,0.687,170,170,68,0.271,2.9,3.3,60,6.0,6.6,0.0388,24.0,4.8,20.0,60,2,1,1-,2.25,130.3,A6964,04,A3432,04,,0,0.0,1.0,HOLDS'EM HIGH,3,LWW,,100,102,,?,,,,,.,,LWW,.,,,,,,,,,,,5,13,10,2002,93,0820,-0.8386,-0.2829,-0.008,
02RA00101,A8281,04,01,1,81,30,04,M,2,2,6.0,Y,100,90,120,0.649,179,179,68,0.309,2.4,2.7,62,6.4,7.0,0.0391,22.6,3.7,16.5,62,2,1,3+,1.93,134.6,A6970,04,A2128,04,221,259,0.0,1.0,"H2+,Lww+",2,LWW,,104,103,-,SP,B,,,, 72,,LWW,.,,,,,,,,,1,,6,11,10,2002,92,0919,0.3161,0.8394,-0.0003,
02RA00102,A8284,04,01,1,81,30,04,M,2,2,3.0,Y,100,95,118,0.699,174,174,68,0.272,2.8,3.2,60,7.4,8.1,0.0466,26.9,4.6,17.2,56,2,1,2,1.97,128.6,A6970,04,A5050,04,217,259,0.0,1.0,NICE,2,LWW,,101,111,-,S0,B,,,, 76,,LWW,.,,,,,,,,,1,,3,5,5,2002,92,0919,0.1838,0.4262,0.0004,
02RA00103,A8315,04,01,1,81,30,03,M,2,2,2.0,Y,100,89,118,0.653,194,194,68,0.362,3.3,3.7,58,8.6,9.4,0.0485,25.8,5.4,21.1,58,1,1,2+,2.17,134.9,A6934,04,A6720,04,,0,0.0,1.0,,1,LWW,,116,126,,S2,AA,STUD,,,31P,,IDX,.,,,,,,,,,,,2,4,3,2002,,,0.4362,1.1563,-0.001,
02RA00104,A8325,04,01,1,84,30,56,N,2,2,4.0,Y,100,100,120,0.707,202,202,68,0.354,2.7,3.1,60,7.0,7.6,0.0376,22.8,4.3,18.8,62,1,1,3,1.77,101.3,A6672,04,A4477,04,,0,0.0,1.0,,4,INB,,96,110,,?,,,,90.0,XVL,,INBR,.,,,,,,,,,,,3,6,5,2002,,,-0.7343,-0.4933,-0.0065,
02RA00105,A8331,04,01,1,82,30,31,C,3,1,6.0,Y,101,83,119,0.618,149,149,68,0.229,2.5,2.8,60,8.8,9.6,0.0644,24.6,4.4,18.0,60,2,1,2-,2.23,122.5,A6655,04,A2021,04,,0,0.0,1.0,H2,4,CTL,,96,123,,?,,,,,XVL,,CTL,.,,,,,,,,,,,5,14,11,2002,,,-0.1574,0.0134,-0.002,
02RA00106,A8335,04,01,1,81,30,04,M,2,2,7.0,Y,101,95,119,0.692,188,188,68,0.323,2.9,3.3,58,6.4,7.0,0.0372,24.2,3.7,15.2,60,2,1,1-,2.03,129.4,A6970,04,A0929,04,220,259,0.0,1.0,,2,LWW,,105,105,-,S0,B,,,, 64,,LWW,.,,,,,,,,,1,,7,14,12,2002,92,0919,-0.5118,-0.0516,-0.005,
02RA00107,A8337,04,01,1,82,30,29,C,2,2,2.0,Y,101,80,119,0.597,162,162,68,0.285,2.6,2.9,58,6.2,6.8,0.042,23.5,3.5,15.1,60,1,1,3+,2.17,146.0,A6925,04,A6589,04,,0,0.0,1.0,,1,CTL,,107,101,,D3,,,,,Pref,,IDX,.,,,,,,,,,,,2,4,4,2002,,,-0.7568,-0.5474,-0.0065,
02RA00108,A8348,04,01,1,84,30,55,N,2,2,2.5,Y,101,92,119,0.669,163,163,68,0.247,3.1,3.5,58,7.0,7.7,0.0472,25.4,4.5,17.9,58,2,1,2,2.17,133.8,A6641,04,A5873,04,201,259,0.0,1.0,,2,INB,,102,111,-,S2,AA,,,, 73,,INBR,.,,,,,,,,,1,,2,4,3,2002,92,0919,-0.4577,-0.152,-0.0051,
02RA00109,A8368,04,01,1,84,30,53,N,2,1,3.0,Y,101,103,119,0.789,180,180,68,0.267,2.5,2.8,60,6.4,7.0,0.0389,26.2,4.7,18.0,58,2,1,3+,2.25,114.5,A6501,04,A5217,04,,0,0.0,1.0,"SM.TSTS,B.EYE",3,INB,,92,100,,?,,,,,.,,INBR,.,,,,,,,,,,,3,7,4,2002,93,0820,-0.1373,0.139,-0.0026,
02RA00110,A8379,04,01,1,83,30,41,W,2,2,3.5,Y,101,90,119,0.661,177,177,68,0.302,2.7,3.1,60,6.2,6.8,0.0384,23.7,4.3,18.1,60,2,1,2-,2.39,150.4,A6827,04,A4918,04,,0,0.0,1.0,,1,FW,,111,102,,S2,AA,STUD,,,e11,,FLWT,.,,,,,,,,,,,3,8,7,2002,,,-1.6391,-0.9606,-0.0125,
02RA00111,A8387,04,01,1,84,30,54,N,2,2,4.5,Y,102,86,118,0.635,149,149,68,0.219,3.1,3.5,58,6.2,6.8,0.0456,23.8,4.1,17.2,60,2,1,2,2.02,130.8,A6911,04,A3729,04,,0,0.0,1.0,SHAGGY,3,INB,,97,105,,?,,,,,.,,INBR,.,,,,,,,,,,,4,8,7,2002,93,0820,-0.0032,0.179,-0.0008,
02RA00112,A8400,04,01,1,84,30,53,N,3,2,2.5,Y,102,95,118,0.719,170,170,68,0.26,2.4,2.7,58,5.8,6.4,0.0376,24.9,3.8,15.4,60,2,1,1-,2.34,155.3,A6501,04,A5936,04,,0,0.0,1.0,,6,INB,,107,95,,?,,,,,.,,INBR,.,,,,,,,,,,,2,5,5,2002,16,0602,-0.041,0.0955,-0.0009,
02RA00113,A8403,04,01,1,82,30,27,C,3,2,7.0,Y,102,97,118,0.737,180,180,68,0.288,2.3,2.6,60,5.8,6.4,0.0356,24.3,3.7,15.1,60,2,1,2+,2.49,145.9,A6220,04,A1503,04,,0,0.0,1.0,"RCVR, H2",1,CTL,,106,95,,?,?,,,,.,,IDX,.,,,,,,,,,,,7,19,14,2002,,,-0.4067,0.0263,-0.0038,
02RA00114,A8421,04,01,1,81,30,04,M,2,2,4.0,Y,103,87,117,0.644,177,177,68,0.313,2.8,3.2,60,6.2,6.8,0.0384,22.7,3.4,14.9,62,1,1,2+,2.15,130.3,A6970,04,A4510,04,204,259,0.0,1.0,,2,LWW,,104,104,-,S1,A,,,, 74,,LWW,.,,,,,,,,,1,,4,9,7,2002,92,0919,-0.2167,0.3453,-0.0043,
02RA00115,A8422,04,01,1,81,30,04,M,2,2,4.0,Y,103,84,117,0.632,147,147,68,0.219,3.2,3.7,60,6.8,7.5,0.051,24.6,4.1,16.7,60,1,1,2,2.15,130.3,A6970,04,A4510,04,195,259,0.0,1.0,,2,LWW,,98,111,-,S1,A,,,, 75,,LWW,.,,,,,,,,,1,,4,9,7,2002,92,0919,-0.2167,0.3453,-0.0043,
02RA00116,A8423,04,01,1,84,30,54,N,2,2,5.5,Y,103,86,117,0.638,162,162,68,0.264,2.8,3.2,60,6.0,6.6,0.0407,25.3,4.0,15.8,58,5,1,2,1.81,114.0,A6911,04,A2669,04,,0,0.0,1.0,"X,H5,SCURS",3,INB,,92,100,,?,,,,,.,,INBR,.,,,,,,,,,,,4,9,8,2002,93,0528,0.5125,0.8872,0.0018,
02RA00117,A8424,04,01,1,84,30,54,N,2,2,5.5,Y,103,92,117,0.674,163,163,68,0.247,2.9,3.3,58,6.4,7.1,0.0436,26.4,5.5,21.0,56,2,1,2,1.81,114.0,A6911,04,A2669,04,,0,0.0,1.0,NICE,4,INB,,92,104,,D3,,,,,XVL,,INBR,.,,,,,,,,,,,4,9,8,2002,93,0113,0.5125,0.8872,0.0018,
02RA00118,A8427,04,01,1,84,30,53,N,2,1,4.5,Y,103,94,115,0.704,179,179,68,0.293,2.7,3.1,58,7.4,8.2,0.0458,26.8,4.7,17.7,56,2,1,2-,2.02,123.1,A6501,04,A3675,04,202,259,0.0,1.0,NO SALE 9/19,2,INB,,101,111,-,S0,B,,,, 77,,INBR,.,,,,,,,,,1,,4,8,6,2002,,,-0.123,-0.0865,-0.0011,
02RA00119,A8431,04,01,1,83,30,43,W,3,2,3.0,Y,103,77,117,0.583,150,150,68,0.253,2.3,2.6,60,5.8,6.4,0.0427,23.8,3.4,14.3,60,2,1,2+,2.11,115.5,A6327,04, 8462,00,,0,0.0,1.0,,4,FW,,90,96,,?,,,,,XVL,,FLWT,.,,,,,,,,,,,3,6,4,2002,,,-1.2108,-0.8194,-0.0102,
02RA00120,A8432,04,01,1,83,30,43,W,3,2,3.0,Y,103,88,117,0.676,164,164,68,0.264,2.6,3.0,60,5.4,6.0,0.0366,22.9,3.8,16.5,62,2,1,1-,2.11,115.5,A6327,04, 8462,00,,0,0.0,1.0,,4,FW,,91,96,,?,,,,,XVL,,FLWT,.,,,,,,,,,,,3,6,4,2002,,,-1.2108,-0.8194,-0.0102,
02RA00121,A8433,04,01,1,83,30,43,W,3,2,3.0,Y,103,74,115,0.578,138,138,68,0.221,2.0,2.3,62,7.4,8.2,0.0594,21.2,3.3,15.3,64,2,1,2,2.11,115.5,A6327,04, 8462,00,,0,0.0,1.0,"PINK, -SIZE",3,FW,,89,112,,?,,,,,.,,FLWT,.,,,,,,,,,,,3,6,4,2002,93,0820,-1.2108,-0.8194,-0.0102,
02RA00122,A8457,04,01,1,84,30,53,N,2,2,5.5,Y,103,89,117,0.655,171,171,68,0.285,3.1,3.5,60,7.0,7.7,0.045,24.0,4.3,17.9,60,2,1,4+,1.81,109.8,A6501,04,A2639,04,,0,0.0,1.0,NICE,4,INB,,95,112,,?,,,,,XVL,,INBR,.,,,,,,,,,,,5,9,7,2002,,,0.3611,0.3412,0.0028,
02RA00123,A8458,04,01,1,84,30,53,N,2,2,5.5,Y,103,94,117,0.687,160,160,68,0.229,2.8,3.2,60,7.2,7.9,0.0494,22.7,3.8,16.8,62,2,1,3,1.81,109.8,A6501,04,A2639,04,,0,0.0,1.0,NICE,3,INB,,89,113,,?,,,,,.,,INBR,.,,,,,,,,,,,5,9,7,2002,93,0820,0.3611,0.3412,0.0028,
02RA00124,A8468,04,01,1,81,30,01,M,2,2,3.0,Y,104,88,114,0.696,163,163,68,0.259,2.1,2.4,60,6.2,6.9,0.0423,24.7,4.3,17.3,60,2,1,3+,2.11,134.0,A6761,04,A5617,04,198,259,0.0,1.0,,2,LWW,,98,98,-,S1,A,,,, 68,,LWW,.,,,,,,,,,1,,3,6,5,2002,92,0919,0.0163,0.4872,-0.0026,
02RA00125,A8469,04,01,1,81,30,01,M,2,2,3.0,Y,104,94,114,0.73,191,191,68,0.334,2.6,3.0,60,6.6,7.3,0.0382,22.1,4.0,18.2,62,2,1,3+,2.11,134.0,A6761,04,A5617,04,,0,0.0,1.0,LUPINE,6,LWW,,107,108,,?,,,,,.,,LWW,.,,,,,,,,,,,3,6,5,2002,04,0720,0.0163,0.4872,-0.0026,
02RA00126,A8479,04,01,1,82,30,23,C,2,2,6.0,Y,104,92,116,0.695,188,188,68,0.333,2.4,2.7,58,7.2,8.0,0.0426,24.3,3.9,16.1,60,2,1,1-,2.13,126.7,A6863,04,A2165,04,,0,0.0,1.0,4TEATS,4,CTL,,104,109,,?,,,,,XVL,,CTL,.,,,,,,,,,,,5,13,12,2002,,,-0.5661,-0.1542,-0.005,
02RA00127,A8496,04,01,1,83,30,41,W,3,2,4.5,Y,104,96,114,0.725,196,196,68,0.345,2.7,3.1,60,5.8,6.4,0.0327,23.1,4.7,20.4,62,2,1,2,2.27,143.5,A6827,04,A3867,04,,0,0.0,1.0,,1,FW,,111,100,,D3,,,,,Pref,,FLWT,.,,,,,,,,,,,4,10,8,2002,,,-1.8471,-1.3358,-0.0136,
