UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
01RA00021,A4142,04,97,1,00,71,ai0,F,3,2,2.0,M,104,85,114,0.668,223,150,67,0.222,0.0,0.0,54,9.8,9.8,0.0439,0.0,0.0,0.0,0,,1,,2.37,144.4, 0283,00,A2097,04,234,192,0.249,4.0,RAM      EFxP,1,FXP,FXP,,,N,S4,AAA,STUD,,88.0,e11,,EFxP,.,,CR,60,3,,0,S,,0,_____,2,5,4,2001,,,0.0,0.0,0.0,
01RA00022,A4203,04,97,1,00,71,ai0,F,2,2,7.0,M,105,94,113,0.704,247,185,67,0.311,0.0,0.0,54,7.2,7.2,0.0291,0.0,0.0,0.0,0,,1,,1.79,112.5, 0214,00,L7754,03,264,192,0.32,4.0,RAM      EFxP,1,FXP,FXP,,,N,S2,AA,STUD,,81.0,e12,,EFxP,.,,CL,65,3,,0,E,,0,_____,6,11,8,2001,,,0.0,0.0,0.0,
01RA00023,A5377,04,98,1,82,30,28,C,3,2,4.0,M,108,74,107,0.618,194,0,67,0.0,0.0,0.0,56,7.4,7.4,0.0381,0.0,0.0,0.0,0,,1,,2.19,137.9,A3176,04,A3294,04,204,192,0.27,3.0,TEASER RAM,V,CTL,,,,N,D4,DUD,,TZ,,DUD,,TEAZ,TEAZ,52,,,,,,,,0,_____,4,9,7,2001,,,-1.3111,-1.0151,-0.0091,
01RA00024,A5546,04,98,1,82,30,20,C,3,2,8.0,M,113,72,102,0.625,167,138,67,0.223,0.0,0.0,58,7.4,7.4,0.0443,0.0,0.0,0.0,0,,1,,2.0,141.2,A3453,04,L7769,03,185,192,0.262,3.0,VASCECTOMY,1,VAS,VAS,,,N,S2,AA,,,,VAS,VAS,VAS,.,,,,,,,,,0,_____,8,16,14,2001,,,-1.2213,-1.2027,-0.0085,
01RA00025,A6102,04,99,1,81,30,02,M,2,2,6.0,M,101,75,120,0.549,203,150,67,0.261,0.0,0.0,56,9.2,9.2,0.0453,0.0,0.0,0.0,0,.,1,.,2.0,138.7,A3079,04,L9990,03,222,192,0.288,2.0,DUD,V,LWW,,,,N,D3,DUD,,ORE,,DUD,,B 16,HOMO,7,,,,,,,,0,_____,6,11,10,2001,,,-0.233,0.3391,-0.0042,
01RA00026,A6113,04,99,1,88,30,44-,.,2,2,3.5,M,102,78,119,0.572,201,142,67,0.223,0.0,0.0,62,7.2,7.2,0.0358,0.0,0.0,0.0,0,.,1,.,2.29,151.4,A3678,04,A3782,04,211,192,0.279,2.0,"DUD, D6",V,GXE,,,,N,D4,DUD,,ORE,,DUD,Nax,B 30,HOMO,18,,,,,,,,0,_____,3,7,6,2001,,,-1.5613,-1.2229,-0.0114,
01RA00027,A6140,04,99,1,82,30,22,C,3,2,4.0,M,103,81,118,0.61,196,148,67,0.233,3.6,3.6,60,8.8,8.8,0.0449,24.72,4.08,16.5,60,2,1,1-,2.31,146.3,A3176,04,A3293,04,214,192,0.291,2.0,RCVR,3,CTL,,102,100,,S0,B,,,100.0,,,X,.,,,,,,,,,0,_____,4,10,8,2001,93,0824,-0.9772,-0.5282,-0.0083,
01RA00028,A6198,04,99,1,81,30,02,M,2,1,2.0,M,103,97,118,0.753,193,159,67,0.216,3.7,3.7,56,11.6,11.6,0.0601,28.33,5.01,17.7,54,2,1,2+,2.07,134.1,A3079,04,A4338,04,198,192,0.24,2.0,"COARSE, 54",3,LWW,,101,114,,S1,A,,,50.0,,,X,.,,,,,,,,,0,_____,2,3,3,2001,93,0824,0.8935,1.5839,0.0018,
01RA00029,A6216,04,99,1,82,30,25,C,3,2,4.0,M,104,89,119,0.676,213,164,67,0.263,3.4,3.4,60,9.2,9.2,0.0432,23.98,3.66,15.3,60,2,1,1-,1.94,117.9,A4125,04,A3384,04,237,192,0.299,2.0,,1,CTL,,90,102,N,S4,AAA,STUD,,100.0,31,,INBR,.,,CR,45,3,,0,S,,0,_____,3,7,5,2001,,,-0.9154,-0.094,-0.0084,
01RA00030,A6220,04,99,1,82,30,27,C,3,2,5.0,M,104,91,119,0.684,197,151,67,0.211,2.7,2.7,60,6.8,6.8,0.0345,22.43,4.46,19.9,62,2,1,2,1.97,126.4,A4574,04,A0768,04,219,192,0.248,2.0,RCVR,3,CTL,,85,84,,S1,A,,,92.0,,,X,.,,,,,,,,,0,_____,4,8,7,2001,93,0824,-1.0883,-0.6267,-0.0078,
01RA00031,A6223,04,99,1,82,30,22,C,2,2,8.0,M,104,87,117,0.667,212,156,67,0.24,0.0,0.0,58,10.0,10.0,0.0472,0.0,0.0,0.0,0,.,1,.,2.0,136.6,A3176,04,L7193,03,215,192,0.291,2.0,DUD,V,CTL,,,,N,D3,DUD,,ORE,,DUD,,B 14,HOMO,14,,,,,,,,0,_____,8,16,14,2001,,,-0.3229,0.1681,-0.0038,
01RA00032,A6225,04,99,1,82,30,31,C,1,1,6.0,M,104,101,117,0.759,203,158,67,0.199,0.0,0.0,58,8.4,8.4,0.0414,0.0,0.0,0.0,0,.,1,.,1.83,117.2,A4487,04,A1205,04,227,192,0.217,2.0,"DUD, D6",V,CTL,,,,N,D4,DUD,,ORE,,DUD,,B 21,HOMO,1,,,,,,,,0,_____,5,9,8,2001,,,-0.7846,-0.2793,-0.0068,
01RA00033,A6327,04,99,1,81,30,04,M,2,2,3.0,M,106,87,115,0.677,207,149,67,0.216,3.1,3.1,56,7.0,7.0,0.0338,27.11,4.37,16.1,56,1,1,1-,2.01,139.2,A4528,04,A4675,04,217,192,0.258,2.0,not DUD,3,LWW,,92,84,,S1,A,,,93.0,,,X,.,,,,,,,,,0,_____,3,5,5,2001,93,0824,-1.0082,-0.3899,-0.0086,
01RA00034,A6350,04,99,1,82,30,25,C,2,2,6.0,M,106,105,117,0.801,211,172,67,0.235,0.0,0.0,60,10.4,10.4,0.0493,0.0,0.0,0.0,0,.,1,.,2.23,144.7,A4125,04,A1439,04,196,192,0.293,2.0,"NICEctrl, DUD",V,CTL,,,,,D4,DUD,,,,DUD,,B 18,HOMO,4,,,,,,,,0,_____,6,13,10,2001,95,0812,0.2746,0.9397,-0.0012,
01RA00035,A6433,04,99,1,81,30,01,M,2,2,4.0,M,107,83,114,0.62,254,187,67,0.362,3.9,3.9,54,9.6,9.6,0.0378,29.65,4.81,16.2,50,2,1,1-,2.19,158.5,A4254,04,A3388,04,268,192,0.383,2.0,DUD >works,1,LWW,,113,104,N,D3w,DUD,,,,52alt,,INBR,.,,CL,60,3,,0,S,,0,_____,4,9,9,2001,,,-1.0009,0.3352,-0.01,
01RA00036,A6501,04,99,1,82,30,29,C,2,2,8.0,M,109,86,112,0.689,178,148,67,0.216,3.5,3.5,58,9.2,9.2,0.0517,26.96,5.28,19.6,56,2,1,2-,2.13,132.0,A4414,04,L8725,03,212,192,0.24,2.0,,1,CTL,,95,100,N,S1,A,STUD,,98.0,53,,INBR,.,,CR,60,3,,0,S,,0,_____,8,17,13,2001,,,-0.0652,0.305,-0.002,
01RA00037,A6529,04,99,1,88,30,44-,.,3,1,2.5,M,110,84,111,0.682,201,140,67,0.195,2.5,2.5,60,6.8,6.8,0.0338,24.0,0.0,0.0,60,1,1,3+,2.57,159.1,A3678,04,A4918,04,217,192,0.246,2.0,SHORT STAPLE,1,GXE,,98,81,N,S1,A,STUD,,97.0,42,Nax,FLWT,B 3,,CR,65,3,,0,E,,0,_____,2,6,5,2001,,,-2.0009,-1.5287,-0.0147,
01RA00038,A6541,04,99,1,81,30,03,M,3,2,5.0,M,110,86,111,0.685,204,172,67,0.3,4.1,4.1,58,10.0,10.0,0.049,25.86,3.94,15.2,58,2,1,2-,2.35,158.1,A4591,04,A2523,04,,,0.291,2.0,LUPINE 6/5,6,LWW,,111,110,,D3w,DUD,,,,,,.,.,,,,,,,,,0,_____,5,12,10,2001,04,0605,0.0471,0.6659,-0.0026,
01RA00039,A6563,04,99,1,81,30,03,M,2,2,3.0,M,110,78,111,0.625,198,145,67,0.233,3.6,3.6,58,9.8,9.8,0.0495,25.49,5.13,20.1,58,2,1,1-,2.29,156.7,A4591,04,A4343,04,217,192,0.252,2.0,DUD >works,1,LWW,,107,105,N,D3w,DUD,STUD,,,e64,,INBR,.,,CL,50,3,,0,S,,0,_____,3,7,7,2001,,,-0.1814,0.2386,-0.0039,
01RA00040,A6599,04,99,1,82,30,21,C,2,2,7.0,M,111,93,110,0.742,216,160,67,0.233,3.4,3.4,60,9.4,9.4,0.0435,23.08,4.68,20.3,62,2,5,3+,1.92,138.2,A2854,04,L9884,03,231,192,0.288,2.0,"JAW5, 2002",2,CTL,,99,104,N,S3,AA,STUD,,100.0,101,,KELL,BACK,,,,,,,, 2,0,_____,7,12,11,2001,,,-0.5192,-0.0476,-0.005,
01RA00041,A6641,04,99,1,88,30,43-,.,3,2,3.5,M,112,80,109,0.642,222,146,67,0.23,3.6,3.6,54,11.0,11.0,0.0495,31.41,5.97,19.0,48,2,1,1-,2.15,118.5,A4395,04,A3878,04,240,192,0.288,2.0,not DUD,1,GXE,,95,108,N,S1,A,STUD,,95.0,55,Nax,INBR,.,,CR,65,3,,0,E,,0,_____,2,6,4,2001,,,-0.116,0.7192,-0.0051,
01RA00042,A6642,04,99,1,88,30,41-,.,2,2,4.0,M,112,79,109,0.628,206,145,67,0.23,0.0,0.0,60,9.8,9.8,0.0476,0.0,0.0,0.0,0,.,1,.,1.81,120.5,A4441,04,A3565,04,232,192,0.326,2.0,SM.TSTS,1,GXE,,,,N,D1,B,STUD,,,e66,Nax,INBR,SPAR,,CL,70,3,,0,E,,0,_____,4,6,6,2001,,,-0.3881,0.1987,-0.0054,
01RA00043,A6655,04,99,1,82,30,31,C,3,2,4.0,M,112,78,111,0.613,202,144,67,0.232,3.9,3.9,58,9.8,9.8,0.0485,25.1,5.86,23.3,58,2,1,3+,2.56,140.1,A4487,04,A2846,04,217,192,0.254,2.0,"X, JAW5",2,CTL,,101,108,N,S1,A,STUD,,100.0,X,,X,X,,,,,,0,X, 2,0,_____,4,12,8,2001,93,1109,-0.3505,0.0151,-0.0041,
01RA00044,A6664,04,99,1,82,30,20,C,3,2,4.0,M,112,84,111,0.667,220,177,67,0.326,0.0,0.0,56,7.6,7.6,0.0345,0.0,0.0,0.0,0,.,1,.,2.19,136.5,A3453,04,A2877,04,227,192,0.328,2.0,"DUD, D6+",3,CTL,,,,,D4,DUD,,,0.0,,,X,SPAR,35,,,,,,,,0,_____,4,9,6,2001,93,0824,-1.3726,-0.39,-0.0109,
01RA00045,A6667,04,99,1,88,30,44-,.,2,2,3.0,M,112,87,111,0.679,206,157,67,0.246,3.1,3.1,60,8.8,8.8,0.0427,24.66,4.21,17.1,60,2,1,2-,1.85,117.5,A3678,04,A3497,04,225,192,0.272,2.0,,V,GXE,,88,96,N,D1,B,,ORE,,DUD,Nax,SPAR,HOMO,25,,,,,,,,0,_____,2,4,4,2001,,,-0.9879,-0.4434,-0.0088,
