UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00225,91,L7488,81,30,311,3,2,3,Y,106,73,113,0.535,115,135,0.149,6.6,56,43.5,6.3,2.7,21.6,64,2,1,1-,2.31,121.5,380103,125403,155,194,0.24,,3,94,W,,D3,DUD,1992
92RA00226,91,L7491,81,30,312,2,2,3,X,106,73,113,0.579,117,135,0.157,7.9,56,51.6,5.5,2.8,24.0,60,1,1,2-,2.03,123.3,385603,225603,0,,0.0,DEAD 7-4-92,X,,,,,,1992
92RA00227,91,L7502,82,30,323,2,2,2,Y,106,79,113,0.635,140,135,0.217,7.4,56,40.6,6.3,2.6,24.4,60,2,2,1-,2.15,136.2,369803,367803,170,194,0.267,,3,103,W,,S2,AA,1992
92RA00228,91,L7519,82,30,325,2,2,3,Y,106,100,113,0.763,138,135,0.135,6.8,58,39.6,7.8,3.1,21.4,64,2,1,1-,2.31,148.3,376603,130003,182,194,0.24,,1,110,W,ewelamb,S3,AA,1992
92RA00229,91,L7524,82,30,324,2,2,3,Y,106,74,113,0.557,122,135,0.171,7.4,58,34.5,9.4,3.2,21.9,64,2,1,2+,2.03,113.7,374203,251503,153,194,0.232,BADEYE.X,3,94,W,,D3,DUD,1992
92RA00230,91,L7538,83,30,334,3,2,3,Y,106,91,113,0.697,158,135,0.238,7.8,58,33.0,11.8,3.9,24.4,60,2,1,1-,2.31,102.3,422103,229503,199,194,0.317,,2,96,W,,S1,A,1992
92RA00231,91,L7545,80,30,303,2,2,3,Y,106,63,113,0.489,106,135,0.153,7.8,58,37.2,7.4,2.8,22.0,64,2,2,3-,2.03,121.1,427803,200203,140,194,0.226,,3,95,W,,S1,A,1992
92RA00232,91,L7570,80,30,303,2,2,3,Y,107,69,112,0.626,124,135,0.196,6.8,58,32.9,7.0,2.3,22.1,62,2,1,2,2.17,136.9,427803,233503,150,194,0.238,,C,99,W,blue 66,S2,AA,1992
92RA00233,91,L7572,82,30,321,3,2,3,Y,107,78,112,0.622,130,135,0.185,7.3,58,37.7,6.0,2.3,21.3,64,2,2,1,2.31,126.7,353103,187403,171,194,0.273,,2,96,W,,S1,A,1992
92RA00234,91,L7576,81,30,314,2,2,4,Y,107,72,112,0.527,122,135,0.178,8.8,56,39.6,10.4,4.1,23.6,60,2,1,3,2.09,126.1,439603,100603,152,194,0.235,,1,107,W,,D3,DUD,1992
92RA00235,91,L7578,82,30,328,3,2,5,Y,107,82,112,0.632,148,135,0.235,7.8,58,41.2,10.3,4.2,25.0,58,1,1,3-,2.25,136.6,416403,933502,189,194,0.314,,1,115,W,,D3,DUD,1992
92RA00236,91,L7587,81,30,313,3,2,3,Y,107,75,112,0.602,111,135,0.128,7.2,60,55.0,7.5,4.1,24.8,60,2,1,2-,2.31,135.2,434303,192203,149,194,0.217,AB.THROAT?,1,109,W,,S2,AA,1992
92RA00237,91,L7588,81,30,313,3,2,3,Y,107,71,112,0.572,123,135,0.185,7.8,56,42.6,6.9,2.9,22.2,62,1,1,2-,2.31,135.2,434303,192203,152,194,0.238,,2,103,W,,S4,AAA,1992
92RA00238,91,L7591,80,30,302,3,2,2,Y,107,71,112,0.569,114,135,0.153,7.9,58,36.0,8.0,2.9,20.9,64,2,2,1,2.32,117.2,425203,383103,150,194,0.232,,3,95,W,,S1,A,1992
92RA00239,91,L7596,83,30,331,3,2,5,Y,107,78,112,0.63,129,135,0.181,7.8,60,35.5,8.7,3.1,22.3,62,2,1,1,2.03,138.4,394303,845302,168,194,0.264,PINK,1,107,W,,S3,AA,1992
92RA00240,91,L7600,83,30,334,3,2,3,Y,107,83,112,0.663,138,135,0.196,8.9,56,34.4,12.4,4.3,25.8,58,2,3,2-,2.45,126.0,422103,231103,178,194,0.279,,1,110,W,blue 02,S2,AA,1992
92RA00241,91,L7623,83,30,332,2,2,3,Y,108,77,111,0.606,140,135,0.224,7.8,56,37.7,8.7,3.3,24.5,60,2,1,2,1.88,123.1,417003,230103,180,194,0.302,,3,102,W,,D3,DUD,1992
92RA00242,91,L7640,82,30,324,2,2,4,Y,108,75,111,0.601,128,135,0.189,7.8,58,52.4,7.3,3.8,21.6,64,2,1,1-,1.97,123.2,374203,072303,157,194,0.24,,2,103,W,,S1,A,1992
92RA00243,91,L7659,83,30,334,2,2,4,Y,108,86,111,0.677,152,135,0.235,9.7,58,43.2,11.6,5.0,23.3,62,1,1,2-,1.97,128.5,422103,070303,183,194,0.284,,1,117,W,,D3,DUD,1992
92RA00244,91,L7662,82,30,326,2,1,3,Y,108,79,111,0.545,139,135,0.214,7.2,60,39.2,10.0,3.9,21.9,64,2,1,2-,1.88,101.7,391803,213603,180,194,0.296,,3,95,W,,S1,A,1992
92RA00245,91,L7679,80,30,304,3,1,5,Y,109,74,110,0.504,114,135,0.142,7.1,58,27.8,10.0,2.8,24.8,60,1,1,2,1.81,103.4,382203,934302,150,194,0.223,,3,86,W,,S4,AAA,1992
92RA00246,91,L7680,82,30,327,3,2,4,Y,109,71,110,0.514,123,135,0.185,6.0,60,35.4,6.2,2.2,21.4,64,2,1,1-,2.34,117.6,406403,068703,160,194,0.261,,3,89,W,,S1,A,1992
92RA00247,91,L7683,82,30,322,2,2,2,Y,109,66,110,0.555,124,135,0.206,6.8,58,32.2,10.9,3.5,24.1,60,2,1,2-,2.15,139.4,354503,367403,169,194,0.302,,1,110,W,,D3,DUD,1992
92RA00248,91,L7689,83,30,331,2,2,2,X,109,80,110,0.618,134,135,0.192,8.8,56,49.6,9.0,4.5,24.5,60,1,1,2+,2.15,126.2,394303,340003,173,194,0.273,X.EPI,X,111,,,,,1992
92RA00249,91,L7690,83,30,331,2,2,2,Y,109,69,110,0.608,130,135,0.217,7.9,56,32.4,7.4,2.4,22.7,62,2,1,2+,2.15,126.2,394303,340003,159,194,0.264,,3,97,W,,S0,B,1992
92RA00250,91,L7693,81,30,313,2,2,2,X,109,71,110,0.578,117,135,0.164,7.4,58,37.7,10.2,3.8,24.1,60,1,1,2-,2.15,135.9,434303,348603,0,,0.0,MKT.ODD TESTE,X,,,,,,1992
92RA00251,91,L7704,82,30,321,2,2,2,Y,110,76,109,0.636,145,135,0.246,7.2,56,48.7,6.4,3.1,21.8,64,1,1,2+,1.98,125.3,353103,361203,181,194,0.308,,C,102,W,blue 71,SP,B,1992
92RA00252,91,L7706,82,30,327,2,2,3,Y,110,92,109,0.759,134,135,0.149,7.8,58,33.1,9.6,3.2,22.6,62,2,1,2,1.88,116.6,406403,149803,174,194,0.24,,C,96,W,ewelamb,S3,AA,1992
92RA00253,91,L7733,80,30,301,3,2,5,Y,110,82,109,0.715,136,135,0.192,8.2,58,32.3,8.6,2.8,23.2,62,2,1,3+,2.25,116.8,395803,934702,177,194,0.279,,2,96,W,,S1,A,1992
92RA00254,91,L7734,80,30,301,3,2,5,Y,110,85,109,0.636,134,135,0.174,5.9,60,23.9,11.0,2.6,21.6,64,2,1,2,2.25,116.8,395803,934702,172,194,0.255,,2,91,W,,S4,AAA,1992
