UID,ETAG,YR,SEA,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SHOU,SIDE,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,SEMEN,YRREC
93RA00218,L9227,92,1,80,30,P03,2,2,20,Y,115,78,104,0.668,132,132,137,0.191,7.1,7.0,2.8,60,6.8,70.6,4.8,21.6,64,,1,2,1.98,112.8,532003,5466,03,171,189,0.278,1.0,,2,,101,113,,L5466,S1,A,,101,,1993
93RA00219,L9230,92,1,82,30,P25,2,2,50,Y,115,95,104,0.771,142,142,137,0.166,7.2,7.7,2.9,58,6.8,70.2,4.8,24.0,60,,1,2-,1.84,127.9,521403,0850,03,189,189,0.281,1.0,,1,M,108,112,,L0850,SP,B,96.0,03,S,1993
93RA00220,L9273,92,1,82,30,P27,3,2,50,Y,116,93,103,0.779,146,146,137,0.187,6.0,6.4,2.4,62,6.0,64.9,3.9,23.6,60,,1,2+,2.5,135.4,544103,0877,03,198,189,0.313,1.0,,1,M,107,96,,L0877,S4,AAA,93.0,R.3,S,1993
93RA00221,L9289,92,1,81,30,P12,2,2,40,Y,116,83,108,0.673,139,139,137,0.201,7.7,7.9,3.1,58,6.8,75.4,5.1,23.7,60,,1,2,2.25,122.4,565103,2237,03,193,189,0.333,1.0,20 MOTILITY,1,M,110,119,,L2237,S2,AA,,alt,Q,1993
93RA00222,L9337,92,1,81,30,P12,3,2,60,Y,119,75,100,0.634,139,139,137,0.226,7.3,7.3,2.9,56,5.8,79.9,4.6,22.5,62,,1,2,2.35,128.5,565103,9457,02,181,189,0.316,1.0,,1,M,109,111,,Y9457,S4,AAA,96.0,02,S,1993
93RA00223,L9338,92,1,81,30,P12,3,2,60,Y,119,72,100,0.582,124,124,137,0.184,5.8,5.6,2.2,60,3.8,79.0,3.0,21.0,64,,1,2+,2.35,128.5,565103,9457,02,157,189,0.254,1.0,BAD L. EYE,3,JIM,96,85,,Y9457,,,,,S,1993
93RA00224,L9343,92,1,81,30,P13,2,2,40,Y,119,73,100,0.58,126,126,137,0.187,7.0,7.2,2.8,62,6.3,68.4,4.3,22.5,62,,1,2-,2.0,119.5,515203,2256,03,155,189,0.245,1.0,,1,JIM,100,106,,L2256,S4,AAA,,,S,1993
93RA00225,L9375,92,2,72,30,723,3,2,50,F,228,68,111,0.523,118,118,139,0.303,0.0,0.0,0.0,58,4.3,0.0,0.0,0.0,0,1,3,,1.4,85.2,L6257,1355,03,146,189,0.363,0.5,,1,FL,92,0,,L1355,D3,DUD,,,S,1993
93RA00226,L9384,92,2,72,30,722,2,2,60,F,233,82,106,0.676,132,132,139,0.303,0.0,0.0,0.0,58,5.8,0.0,0.0,0.0,0,1,1,,1.0,84.5,L5907,0205,03,169,189,0.405,0.5,,1,FL,95,0,,L0205,S3,AA,,,E,1993
93RA00227,L9388,92,2,72,30,721,2,2,60,F,234,85,105,0.716,125,125,139,0.242,0.0,0.0,0.0,58,7.0,0.0,0.0,0.0,0,1,3,,1.17,102.2,L4551,0131,03,149,189,0.298,0.5,,1,FL,98,0,,L0131,S2,AA,,alt,E,1993
93RA00228,L9401,92,2,72,30,722,2,2,30,F,235,75,104,0.615,126,126,139,0.309,0.0,0.0,0.0,60,6.1,0.0,0.0,0.0,0,2,1,,1.33,93.7,L5907,4473,03,154,189,0.367,0.5,,1,FL,98,0,,L4473,S4,AAA,,,E,1993
93RA00229,L9410,92,2,72,30,722,1,1,40,F,236,106,103,0.897,166,166,139,0.364,0.0,0.0,0.0,58,7.9,0.0,0.0,0.0,0,1,2,,0.75,82.0,L5907,3075,03,170,189,0.298,0.5,,1,FL,84,0,,L3075,S5,AAA,,,E,1993
93RA00230,L9412,92,2,72,30,721,2,2,50,F,237,67,102,0.575,104,104,139,0.224,0.0,0.0,0.0,58,6.4,0.0,0.0,0.0,0,1,1,,1.2,102.8,L4551,1455,03,129,189,0.288,0.5,,1,FL,97,0,,L1455,S1,A,,,S,1993
93RA00231,L9416,92,2,73,30,416,2,2,20,F,237,74,102,0.645,128,128,139,0.327,0.0,0.0,0.0,58,4.8,0.0,0.0,0.0,0,1,1,,2.0,123.0,L4423,5910,03,156,189,0.381,0.5,,1,FL,120,0,,L5910,SP,B,74.0,742,S,1993
93RA00232,L9422,92,2,72,30,722,2,2,30,F,239,79,100,0.699,152,152,139,0.442,0.0,0.0,0.0,60,5.3,0.0,0.0,0.0,0,1,1,,1.33,108.3,L5907,4437,03,148,189,0.321,0.5,,1,FL,104,0,,L4437,S3,AA,,,S,1993
93RA00233,L9432,92,2,72,30,724,2,2,40,F,240,69,99,0.604,116,116,139,0.285,0.0,0.0,0.0,58,5.0,0.0,0.0,0.0,0,1,1,,1.5,118.5,L6328,2957,03,137,189,0.316,0.5,,1,FL,111,0,,L2957,S1,A,,,S,1993
93RA00234,L9440,92,2,73,30,427,2,2,50,F,241,73,98,0.638,134,134,139,0.37,0.0,0.0,0.0,56,5.8,0.0,0.0,0.0,0,1,1,,1.4,87.2,L4471,1627,03,145,189,0.335,0.5,,1,FL,91,0,,L1627,S5,AAA,,,E,1993
93RA00235,L9451,92,2,72,30,721,2,2,40,F,242,70,97,0.604,135,135,139,0.394,0.0,0.0,0.0,58,5.7,0.0,0.0,0.0,0,1,1,,1.25,79.3,L4551,3201,03,135,189,0.302,0.5,,1,FL,82,0,,L3201,S5,AAA,,,S,1993
93RA00236,L9455,92,2,73,30,380,3,2,40,F,242,80,97,0.716,114,114,139,0.206,0.0,0.0,0.0,58,4.7,0.0,0.0,0.0,0,1,1,,1.25,79.3,L4423,2578,03,144,189,0.298,0.5,,1,FL,82,0,,L2578,S1,A,,,S,1993
93RA00237,L9460,92,2,73,30,380,2,2,30,F,243,66,96,0.583,109,109,139,0.261,0.0,0.0,0.0,60,6.0,0.0,0.0,0.0,0,1,1,,1.67,118.3,L4460,4591,03,119,189,0.247,0.5,,1,FL,104,0,,L4591,S3,AA,,,S,1993
93RA00238,L9477,92,2,73,30,427,1,1,40,F,243,88,96,0.8,156,156,139,0.412,0.0,0.0,0.0,58,5.3,0.0,0.0,0.0,0,1,1,,0.75,67.8,L4423,2620,03,173,189,0.395,0.5,DAM'S RECORD,1,FL,82,0,,L2620,S3,AA,,,S,1993
93RA00239,L9481,92,2,73,30,416,1,1,40,F,243,84,96,0.778,133,133,139,0.297,0.0,0.0,0.0,58,4.9,0.0,0.0,0.0,0,1,1,,1.0,94.8,L4423,2951,03,159,189,0.349,0.5,,1,FL,97,0,,L2951,S2,AA,,,S,1993
93RA00240,L9483,92,2,73,30,416,2,2,30,F,244,70,95,0.637,107,107,139,0.224,0.0,0.0,0.0,60,5.6,0.0,0.0,0.0,0,2,1,,1.33,89.3,L4471,4659,03,136,189,0.307,0.5,,1,FL,90,0,,L4659,S2,AA,,,E,1993
93RA00241,L9499,92,2,73,30,380,2,2,40,F,244,76,95,0.674,155,155,139,0.479,0.0,0.0,0.0,58,5.6,0.0,0.0,0.0,0,1,1,,1.0,61.0,L4460,2682,03,160,189,0.391,0.5,"SM.TSTS,20+WB",3,FL,77,0,,L2682,,,,,U,1993
93RA00242,L9500,92,2,73,30,380,2,2,40,F,244,73,95,0.648,163,163,139,0.545,0.0,0.0,0.0,64,5.3,0.0,0.0,0.0,0,1,1,,1.0,61.0,L4460,2682,03,172,189,0.46,0.5,LAME,3,FL,83,0,,L2682,,,,,,1993
93RA00243,L9501,92,2,73,30,416,2,2,20,F,244,59,95,0.525,138,138,139,0.479,0.0,0.0,0.0,58,5.0,0.0,0.0,0.0,0,1,2,,2.0,107.0,L4423,5949,03,140,189,0.377,0.5,,1,FL,108,0,,L5949,S4,AAA,,alt,E,1993
93RA00244,L9521,92,2,73,30,380,2,2,40,F,245,69,94,0.609,130,130,139,0.37,0.0,0.0,0.0,58,4.6,0.0,0.0,0.0,0,1,1,,1.5,123.3,L4423,2798,03,151,189,0.381,0.5,,1,FL,120,0,,L2798,D3,DUD,,,E,1993
