UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,WOOL
95PR00023,A1405,1,30,81,94,1,1.0,0,M,M,1,2-,7.0,2.8,,y
95PR00024,A1460,1,30,82,94,1,1.0,0,C,CTL,1,3,5.2,2.0,,y
95PR00025,A1467,1,30,81,94,1,1.0,0,M,M,2,2-,6.6,2.6,SCUR,y
95PR00026,A1423,1,30,81,94,1,1.0,0,M,M,1,1-,7.5,3.0,,y
95PR00027,A1485,1,30,82,94,1,1.0,0,C,CTL,1,2+,7.2,2.8,,y
95PR00028,A1477,1,30,81,94,1,1.0,0,M,M,2,3+,6.0,2.4,,y
95PR00029,A1231,1,30,81,94,1,1.0,0,M,M,2,3+,6.8,2.7,,y
95PR00030,A1235,1,30,81,94,1,1.0,0,M,M,2,3+,4.9,1.9,X BAD WOOL,n
95PR00031,A1256,1,30,82,94,1,1.0,0,C,CTL,2,1-,6.3,2.5,,y
95PR00032,A0118,1,30,82,93,1,2.0,0,C,CTL,2,3+,7.9,3.1,,y
95PR00033,A0161,1,30,82,93,1,2.0,0,C,CTL,2,3+,6.9,2.7,,y
95PR00034,A0167,1,30,82,93,1,2.0,0,C,CTL,2,1-,7.8,3.1,,y
95PR00035,A0019,1,30,82,93,1,2.0,0,C,CTL,2,1-,7.2,2.8,,y
95PR00036,A0038,1,30,80,93,1,2.0,0,M,M,2,2-,7.9,3.1,,y
95PR00037,A0043,1,30,82,93,1,2.0,0,C,CTL,2,2+,7.4,2.9,,y
95PR00038,A0054,1,30,82,93,1,2.0,0,C,CTL,2,2-,6.4,2.5,,y
95PR00039,A0057,1,30,82,93,1,2.0,0,C,CTL,2,2+,6.8,2.7,,y
95PR00040,A0099,1,30,82,93,1,2.0,0,C,CTL,2,2,6.1,2.4,,y
95PR00041,A0311,1,30,72,93,2,1.5,6,.,-FL,3,2+,6.4,2.5,,n
95PR00042,A0316,1,30,73,93,2,1.5,6,.,-FL,3,1,6.8,2.7,,n
95PR00043,A0304,1,30,73,93,2,1.5,6,.,-FL,2,1-,7.0,2.8,,n
95PR00044,A0340,1,30,73,93,2,1.5,6,.,-FL,2,2+,6.0,2.4,,n
95PR00045,A0342,1,30,73,93,2,1.5,6,.,-FL,2,3+,6.2,2.4,,n
95PR00046,A0347,1,30,73,93,2,1.5,6,.,-FL,2,2+,6.7,2.6,,n
95PR00047,A0350,1,30,73,93,2,1.5,6,.,-FL,2,3+,6.8,2.7,,n
95PR00048,A0356,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.1,2.4,,n
95PR00049,A0358,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.3,2.5,,n
95PR00050,A0359,1,30,73,93,2,1.5,6,.,-FL,2,2+,6.0,2.4,,n
95PR00051,A0360,1,30,72,93,2,1.5,6,.,-FL,1,1-,6.8,2.7,"TWIN,IDX120",n
95PR00052,A0368,1,30,73,93,2,1.5,6,.,-FL,1,2,7.0,2.8,,n
95PR00053,A0386,1,30,73,93,2,1.5,6,.,-FL,2,3+,6.3,2.5,,n
95PR00054,A0376,1,30,72,93,2,1.5,6,.,-FL,1,1,7.2,2.8,,n
95PR00055,A0415,1,30,73,93,2,1.5,6,.,-FL,2,2,6.4,2.5,,n
95PR00056,A0443,1,30,73,93,2,1.5,6,.,-FL,2,2,7.4,2.9,,n
95PR00057,A0447,1,30,73,93,2,1.5,6,.,-FL,3,1-,5.9,2.3,,n
95PR00058,A0459,1,30,73,93,2,1.5,6,.,-FL,2,3+,5.2,2.0,"4FACE,137IDX",n
95PR00059,A0421,1,30,73,93,2,1.5,6,.,-FL,1,2+,6.1,2.4,,n
95PR00060,A0484,1,30,73,93,2,1.5,6,.,-FL,2,3+,6.5,2.6,,n
95PR00061,A0485,1,30,73,93,2,1.5,6,.,-FL,3,1-,6.0,2.4,,n
95PR00062,A0487,1,30,72,93,2,1.5,6,.,-FL,2,3+,6.2,2.4,,n
95PR00063,A0478,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.2,2.4,,n
95PR00064,A0477,1,30,73,93,2,1.5,6,.,-FL,2,3+,7.8,3.1,,n
95PR00065,A0513,1,30,73,93,2,1.5,6,.,-FL,1,3+,6.3,2.5,,n
95PR00066,A0518,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.8,2.7,EYE TRT,n
95PR00067,A0517,1,30,73,93,2,1.5,6,.,-FL,2,1-,5.8,2.3,,n
95PR00068,A0505,1,30,73,93,2,1.5,6,.,-FL,1,1,5.5,2.2,CHK TESTES,n
95PR00069,A0557,1,30,73,93,2,1.5,6,.,-FL,1,1-,6.3,2.5,,n
95PR00070,A0561,1,30,73,93,2,1.5,6,.,-FL,2,2,6.6,2.6,,n
95PR00071,A0560,1,30,73,93,2,1.5,6,.,-FL,2,2-,5.3,2.1,,n
95PR00072,A0526,1,30,72,93,2,1.5,6,.,-FL,1,2-,6.4,2.5,,n
95PR00073,A0588,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.9,2.7,,n
95PR00074,A0597,1,30,73,93,2,1.5,6,.,-FL,2,1-,6.2,2.4,,n
95PR00075,A0683,1,30,82,94,1,1.0,0,C,CTL,2,2+,6.5,2.6,,y
95PR00076,A0690,1,30,82,94,1,1.0,0,C,CTL,1,2,6.7,2.6,,y
95PR00077,A0697,1,30,82,94,1,1.0,0,C,CTL,2,2+,6.2,2.4,,y
95PR00078,A0261,1,30,73,93,2,1.5,6,.,-FL,1,2,5.4,2.1,,n
95PR00079,A0267,1,30,73,93,2,1.5,6,.,-FL,2,2+,5.9,2.3,,n
95PR00080,A0285,1,30,73,93,2,1.5,6,.,-FL,1,1-,6.4,2.5,,n
95PR00081,A0288,1,30,73,93,2,1.5,6,.,-FL,2,2,6.3,2.5,,n
95PR00082,A0292,1,30,72,93,2,1.5,6,.,-FL,1,1-,5.0,2.0,,n
95PR00083,A0811,1,30,82,94,1,1.0,0,C,CTL,2,2,6.1,2.4,,y
95PR00084,A0822,1,30,81,94,1,1.0,0,M,M,2,2-,6.3,2.5,,y
95PR00085,A0899,1,30,82,94,1,1.0,0,C,CTL,2,3+,5.8,2.3,,y
95PR00086,A0877,1,30,82,94,1,1.0,0,C,CTL,2,2,5.0,2.0,,y
95PR00087,A0912,1,30,82,94,1,1.0,0,C,CTL,2,2+,5.8,2.3,,y
95PR00088,A0934,1,30,82,94,1,1.0,0,C,CTL,2,2+,6.0,2.4,4TEATS,y
95PR00089,A0944,1,30,82,94,1,1.0,0,C,CTL,2,2,7.2,2.8,,y
95PR00090,A0942,1,30,81,94,1,1.0,0,M,M,2,2-,6.5,2.6,,y
95PR00091,A0959,1,30,81,94,1,1.0,0,M,M,1,3+,7.0,2.8,NICE,y
95PR00092,A0960,1,30,81,94,1,1.0,0,M,M,1,2+,8.0,3.1,NICE,y
95PR00093,A0713,1,30,82,94,1,1.0,0,C,CTL,2,2+,7.8,3.1,,y
95PR00094,A0708,1,30,81,94,1,1.0,0,M,M,2,3+,6.9,2.7,,y
95PR00095,A0730,1,30,81,94,1,1.0,0,M,M,2,2+,5.9,2.3,,y
95PR00096,A0733,1,30,81,94,1,1.0,0,M,M,1,2-,6.8,2.7,,y
95PR00097,A0732,1,30,81,94,1,1.0,0,M,M,1,3+,5.8,2.3,,y
95PR00098,A0741,1,30,82,94,1,1.0,0,C,CTL,2,2+,6.2,2.4,,y
95PR00099,A0740,1,30,82,94,1,1.0,0,C,CTL,2,1-,7.7,3.0,,y
95PR00100,A0756,1,30,81,94,1,1.0,0,M,M,1,2,6.3,2.5,,y
95PR00101,A0759,1,30,82,94,1,1.0,0,C,CTL,2,1,5.0,2.0,X EPI,n
95PR00102,A0757,1,30,81,94,1,1.0,0,M,M,1,2-,6.5,2.6,,y
95PR00103,A0760,1,30,82,94,1,1.0,0,C,CTL,2,2,5.3,2.1,,y
95PR00104,A0764,1,30,82,94,1,1.0,0,C,CTL,2,1-,5.9,2.3,,y
95PR00105,A0762,1,30,82,94,1,1.0,0,C,CTL,3,2,5.9,2.3,,y
95PR00106,A0726,1,30,82,94,1,1.0,0,C,CTL,1,3-,6.8,2.7,,y
95PR00107,A0727,1,30,82,94,1,1.0,0,C,CTL,2,3,6.0,2.4,,y
95PR00108,K6663,1,06,62,93,1,2.0,0,C,CTL,3,3+,7.8,3.1,,y
95PR00109,K6664,1,06,62,93,1,2.0,0,C,CTL,2,3+,7.3,2.9,,y
95PR00110,K6665,1,06,62,93,1,2.0,0,M,ADG,2,2,10.5,4.1,,y
95PR00111,K6662,1,06,62,93,1,2.0,0,R,LBW,1,2,8.4,3.3,,y
95PR00112,K6671,1,06,62,93,1,2.0,0,C,CTL,1,3-,8.7,3.4,,y
95PR00113,K6673,1,06,60,93,1,2.0,0,R,LBW,2,3+,8.2,3.2,,y
95PR00114,K6811,1,06,62,93,1,2.0,0,C,CTL,1,2-,8.1,3.2,,y
95PR00115,K6832,1,06,60,93,1,2.0,0,M,ADG,2,3+,8.2,3.2,,y
95PR00116,K6851,1,06,62,93,1,2.0,0,C,CTL,1,2,9.1,3.6,,y
95PR00117,K6857,1,06,62,93,1,2.0,0,C,CTL,2,3,8.0,3.1,X BAD TOOTH,y
95PR00118,K6868,1,05,00,93,1,2.0,0,H,HMD,,,0.0,0.0,NO WOOL DATA,n
95PR00119,K6883,1,06,60,93,1,2.0,0,M,ADG,1,3+,10.0,3.9,,y
95PR00120,K6889,1,06,62,93,1,2.0,0,M,ADG,1,2,8.3,3.3,,y
95PR00121,K6947,1,06,62,93,1,2.0,0,C,CTL,1,2+,8.4,3.3,,y
95PR00122,K6951,1,06,62,93,1,2.0,0,R,LBW,2,2-,9.9,3.9,,y
95PR00123,K6920,1,06,60,93,1,2.0,0,M,ADG,1,3+,9.0,3.5,,y
95PR00124,K6927,1,06,60,93,1,2.0,0,R,LBW,1,2,10.0,3.9,,y
95PR00125,K6983,1,06,60,93,1,2.0,0,M,ADG,2,3+,10.0,3.9,,y
95PR00126,K6971,1,06,62,93,1,2.0,0,C,CTL,2,2-,10.5,4.1,,y
95PR00127,K6975,1,06,62,93,1,2.0,0,C,CTL,2,3+,7.0,2.8,,y
95PR00128,K6701,1,06,62,93,1,2.0,0,R,LBW,2,2-,7.7,3.0,,y
95PR00129,K6708,1,06,62,93,1,2.0,0,C,CTL,2,3+,7.2,2.8,,y
95PR00130,K6741,1,06,60,93,1,2.0,0,R,LBW,2,3,10.0,3.9,,y
95PR00131,K6748,1,06,62,93,1,2.0,0,C,CTL,1,3+,8.3,3.3,,y
95PR00132,K6766,1,06,62,93,1,2.0,0,R,LBW,2,2+,7.0,2.8,,y
95PR00133,K6783,1,06,62,93,1,2.0,0,C,CTL,2,2-,9.6,3.8,,y
95PR00134,K6796,1,05,00,93,1,2.0,0,H,HMD,,,0.0,0.0,NO WOOL DATA,n
95PR00135,K6799,1,06,62,93,1,2.0,0,C,CTL,3,3+,8.2,3.2,,y
95PR00136,K7115,1,06,62,94,1,1.0,0,C,CTL,1,4+,7.8,3.1,,y
95PR00137,K7106,1,06,62,94,1,1.0,0,C,CTL,1,3,7.5,3.0,,y
95PR00138,K7143,1,06,61,94,1,1.0,0,R,LBW,2,3+,7.8,3.1,,y
95PR00139,K7147,1,06,62,94,1,1.0,0,C,CTL,1,3+,7.8,3.1,,y
95PR00140,K7169,1,06,62,94,1,1.0,0,C,CTL,1,4+,6.9,2.7,,y
95PR00141,K7189,1,05,00,94,1,1.0,0,H,HMD,2,3,7.2,2.8,,y
95PR00142,K7197,1,06,60,94,1,1.0,0,M,ADG,1,3-,6.8,2.7,,y
95PR00143,K7173,1,06,62,94,1,1.0,0,C,CTL,1,3,7.2,2.8,,y
95PR00144,K7172,1,06,60,94,1,1.0,0,M,ADG,1,3+,6.8,2.7,,y
95PR00145,K7036,1,05,00,94,1,1.0,0,H,HMD,2,2+,8.9,3.5,,y
95PR00146,K7037,1,06,61,94,1,1.0,0,R,LBW,1,3+,8.3,3.3,,y
95PR00147,K7046,1,06,61,94,1,1.0,0,R,LBW,2,2-,6.3,2.5,4TEATS,y
95PR00148,K7048,1,06,60,94,1,1.0,0,M,ADG,1,3,7.8,3.1,,y
95PR00149,K7049,1,06,61,94,1,1.0,0,R,LBW,2,3-,7.8,3.1,,y
95PR00150,K7057,1,06,62,94,1,1.0,0,C,CTL,2,3+,7.7,3.0,,y
95PR00151,K7067,1,06,62,94,1,1.0,0,C,CTL,2,2,7.3,2.9,4TEATS,y
95PR00152,K7083,1,06,60,94,1,1.0,0,M,ADG,1,3-,6.6,2.6,,y
95PR00153,K7095,1,05,00,94,1,1.0,0,H,HMD,2,3+,6.2,2.4,ENTR,y
95PR00154,K7070,1,06,60,94,1,1.0,0,M,ADG,2,2,7.8,3.1,,y
95PR00155,K7073,1,06,62,94,1,1.0,0,C,CTL,1,3-,6.5,2.6,4TEATS,y
95PR00156,K7076,1,06,62,94,1,1.0,0,C,CTL,1,3+,7.1,2.8,4TEATS,y
95PR00157,K7079,1,06,62,94,1,1.0,0,C,CTL,1,4+,7.0,2.8,4TEATS,y
95PR00158,K7310,1,06,61,94,1,1.0,0,R,LBW,2,3+,7.2,2.8,,y
95PR00159,K7306,1,06,60,94,1,1.0,0,M,ADG,1,3+,6.8,2.7,4TEATS,y
95PR00160,K7346,1,06,62,94,1,1.0,0,C,CTL,1,2-,7.0,2.8,,y
95PR00161,K7364,1,06,62,94,1,1.0,0,C,CTL,1,3+,5.8,2.3,4TEATS,y
95PR00162,K7392,1,06,60,94,1,1.0,0,M,ADG,1,3+,6.1,2.4,,y
95PR00163,K7370,1,06,62,94,1,1.0,0,C,CTL,1,3+,6.8,2.7,4TEATS,y
95PR00164,K7375,1,05,00,94,1,1.0,0,H,HMD,2,3+,6.2,2.4,,y
95PR00165,K7419,1,06,62,94,1,1.0,0,C,CTL,1,3,5.8,2.3,,y
95PR00166,K7403,1,05,00,94,1,1.0,0,H,HMD,1,2-,6.4,2.5,GRAFT ON BF,y
95PR00167,K7435,1,06,61,94,1,1.0,0,R,LBW,1,3-,6.9,2.7,4TEATS,y
95PR00168,K7436,1,06,61,94,1,1.0,0,R,LBW,1,3-,7.4,2.9,,y
95PR00169,K7439,1,06,62,94,1,1.0,0,C,CTL,1,3-,7.4,2.9,,y
95PR00170,K7440,1,06,62,94,1,1.0,0,C,CTL,2,4,5.5,2.2,4TEATS,y
95PR00171,K7454,1,06,62,94,1,1.0,0,C,CTL,2,3+,5.8,2.3,4TEATS,y
95PR00172,K7455,1,06,62,94,1,1.0,0,C,CTL,1,3,6.9,2.7,4TEATS,y
95PR00173,K7468,1,06,60,94,1,1.0,0,M,ADG,1,2,6.6,2.6,4TEATS,y
95PR00174,K7421,1,06,61,94,1,1.0,0,R,LBW,1,4+,6.2,2.4,,y
95PR00175,K7426,1,06,60,94,1,1.0,0,M,ADG,1,3+,8.5,3.3,RCVR,y
95PR00176,K7481,1,06,61,94,1,1.0,0,R,LBW,2,4,7.3,2.9,,y
95PR00177,K7495,1,06,60,94,1,1.0,0,M,ADG,1,3,5.9,2.3,,y
95PR00178,K7499,1,06,62,94,1,1.0,0,C,CTL,1,3+,7.0,2.8,,y
95PR00179,K7478,1,06,60,94,1,1.0,0,M,ADG,1,3,7.8,3.1,,y
95PR00180,K7500,1,06,62,94,1,1.0,0,C,CTL,1,3-,5.5,2.2,,y
95PR00181,K7502,1,06,62,94,1,1.0,0,C,CTL,1,3,7.3,2.9,,y
95PR00182,K7530,1,06,61,94,1,1.0,0,R,LBW,2,2-,6.4,2.5,HUGE,y
95PR00183,K7534,1,06,60,94,1,1.0,0,M,ADG,1,1-,8.4,3.3,,y
95PR00184,K7543,1,06,61,94,1,1.0,0,R,LBW,1,3,7.8,3.1,,y
95PR00185,K7544,1,06,61,94,1,1.0,0,R,LBW,1,3+,6.4,2.5,,y
95PR00186,K7548,1,06,61,94,1,1.0,0,R,LBW,2,3+,6.0,2.4,,y
95PR00187,K7551,1,06,62,94,1,1.0,0,C,CTL,1,3,6.4,2.5,,y
95PR00188,K7552,1,06,62,94,1,1.0,0,C,CTL,1,3,6.1,2.4,,y
95PR00189,K7557,1,06,62,94,1,1.0,0,C,CTL,2,3+,6.0,2.4,,y
95PR00190,K7565,1,06,60,94,1,1.0,0,M,ADG,2,2-,6.9,2.7,,y
95PR00191,K7568,1,06,62,94,1,1.0,0,C,CTL,2,3-,6.4,2.5,4TEATS,y
95PR00192,K7526,1,06,62,94,1,1.0,0,C,CTL,2,3-,6.0,2.4,,y
95PR00193,K7528,1,06,62,94,1,1.0,0,C,CTL,1,2-,5.0,2.0,,y
95PR00194,K7587,1,06,60,94,1,1.0,0,M,ADG,1,3+,6.0,2.4,,y
95PR00195,K7615,1,06,61,94,1,1.0,0,R,LBW,2,3,7.8,3.1,,y
95PR00196,K7612,1,06,62,94,1,1.0,0,C,CTL,1,3+,5.5,2.2,4TEATS,y
95PR00197,K7602,1,06,62,94,1,1.0,0,C,CTL,1,2-,6.0,2.4,,y
95PR00198,K7631,1,06,61,94,1,1.0,0,R,LBW,2,3,6.2,2.4,4TEATS,y
95PR00199,K7630,1,06,61,94,1,1.0,0,R,LBW,3,3-,8.0,3.1,,y
95PR00200,K7635,1,05,00,94,1,1.0,0,H,HMD,1,3+,6.2,2.4,,y
95PR00201,K7648,1,06,62,94,1,1.0,0,C,CTL,1,3,6.8,2.7,4TEATS,y
95PR00202,K7656,1,05,00,94,1,1.0,0,H,HMD,1,3,7.2,2.8,4TEATS,y
95PR00203,K7687,1,06,60,94,1,1.0,0,M,ADG,1,3,6.4,2.5,,y
95PR00204,K7672,1,06,62,94,1,1.0,0,C,CTL,2,4+,6.3,2.5,4TEATS,y
95PR00205,K7202,1,06,60,94,1,1.0,0,M,ADG,1,3+,6.8,2.7,,y
95PR00206,K7236,1,06,60,94,1,1.0,0,M,ADG,1,3-,6.2,2.4,,y
95PR00207,K7244,1,05,00,94,1,1.0,0,H,HMD,1,3,8.8,3.5,ENTR,y
95PR00208,K7245,1,05,00,94,1,1.0,0,H,HMD,2,3+,7.2,2.8,ENTR,y
95PR00209,K7247,1,06,62,94,1,1.0,0,C,CTL,2,3+,5.4,2.1,,y
95PR00210,K7259,1,06,61,94,1,1.0,0,R,LBW,1,3,6.4,2.5,,y
95PR00211,K7266,1,06,61,94,1,1.0,0,R,LBW,1,3-,8.0,3.1,,y
95PR00212,K7229,1,06,60,94,1,1.0,0,M,ADG,1,3+,7.5,3.0,,y
95PR00213,K7293,1,06,62,94,1,1.0,0,C,CTL,2,5+,8.0,3.1,SALE95?,y
95PR00214,K7726,1,05,00,94,1,1.0,0,H,HMD,2,3+,5.9,2.3,BRN EARS,y
95PR00215,L9693,1,30,82,93,1,2.0,0,C,CTL,1,3-,7.8,3.1,,y
95PR00216,L9819,1,30,82,93,1,2.0,0,C,CTL,2,3+,8.2,3.2,,y
95PR00217,L9832,1,30,80,93,1,2.0,0,M,M,2,2-,8.3,3.3,,y
95PR00218,L9859,1,30,82,93,1,2.0,0,C,CTL,2,1-,7.2,2.8,,y
95PR00219,L9883,1,30,82,93,1,2.0,0,C,CTL,2,2,6.8,2.7,X SPINE ABS.,y
95PR00220,L9892,1,30,80,93,1,2.0,0,M,M,1,2,7.0,2.8,,y
95PR00221,L9898,1,30,80,93,1,2.0,0,M,M,2,1-,8.2,3.2,BRITCHY @95,y
95PR00222,L9899,1,30,80,93,1,2.0,0,M,M,1,3+,7.8,3.1,,y
95PR00223,L9973,1,30,80,93,1,2.0,0,M,M,2,2,6.8,2.7,,y
95PR00224,L9975,1,30,80,93,1,2.0,0,M,M,1,1-,6.6,2.6,,y
95PR00225,L9716,1,30,80,93,1,2.0,0,M,M,2,2,7.8,3.1,,y
95PR00226,L9717,1,30,82,93,1,2.0,0,C,CTL,1,2+,7.5,3.0,,y
95PR00227,L9700,1,30,82,93,1,2.0,0,C,CTL,2,2+,7.9,3.1,,y
95PR00228,L9734,1,30,82,93,1,2.0,0,C,CTL,1,2-,8.0,3.1,,y
95PR00229,L9720,1,30,82,93,1,2.0,0,C,CTL,2,3+,5.1,2.0,,y
95PR00230,L9786,1,30,82,93,1,2.0,0,C,CTL,2,1-,7.8,3.1,,y
95PR00231,S3142,1,07,18,92,1,3.0,0,C,CTL,1,3+,9.4,3.7,,y
95PR00232,S3150,1,07,18,92,1,3.0,0,C,CTL,1,3,7.2,2.8,DUD'93 NOT!,y
95PR00233,S3460,1,07,18,93,1,2.0,0,F,FW,1,3,7.2,2.8,,y
95PR00234,S3530,1,07,18,93,1,2.0,0,M,M,1,2-,8.2,3.2,,y
95PR00235,S3547,1,43,18,93,1,2.0,0,M,M,7,3+,9.0,3.5,6HORN,y
95PR00236,S3204,1,07,18,92,1,3.0,0,C,CTL,2,2-,7.0,2.8,,y
95PR00237,S3244,1,07,18,92,1,3.0,0,C,CTL,3,3+,6.8,2.7,,y
95PR00238,S3286,1,42,SW,92,1,3.0,0,C,CTL,3,2,7.9,3.1,,y
95PR00239,S4409,1,42,12,94,1,1.0,0,C,CTL,2,3,8.7,3.4,,y
95PR00240,S4434,1,07,12,94,1,1.0,0,C,CTL,2,3,6.8,2.7,NOTABUM,y
95PR00241,S4451,1,07,12,94,1,1.0,0,C,CTL,1,4-,6.5,2.6,,y
95PR00242,S4456,1,42,12,94,1,1.0,0,C,CTL,7,4+,7.5,3.0,7H,y
95PR00243,S4461,1,42,12,94,1,1.0,0,C,CTL,3,3-,6.8,2.7,,y
95PR00244,S4463,1,43,12,94,1,1.0,0,C,CTL,7,3,6.5,2.6,7H,y
95PR00245,S4467,1,07,12,94,1,1.0,0,C,CTL,1,5,7.1,2.8,,y
95PR00246,S4421,1,07,12,94,1,1.0,0,C,CTL,1,3-,5.9,2.3,KEEP,y
95PR00247,S4483,1,07,10,94,1,1.0,0,M,M,,,0.0,0.0,"4H,MSG 022195",n
95PR00248,S4484,1,42,12,94,1,1.0,0,C,CTL,2,3,7.8,3.1,,y
95PR00249,S4486,1,07,11,94,1,1.0,0,R,LBW,5,3,6.7,2.6,,y
95PR00250,S4490,1,07,12,94,1,1.0,0,C,CTL,3,3,6.3,2.5,,y
95PR00251,S4494,1,07,10,94,1,1.0,0,M,M,2,3-,5.5,2.2,4TEATS,y
95PR00252,S4470,1,42,13,94,1,1.0,0,F,FW,7,3+,6.2,2.4,7H,y
95PR00253,S4476,1,07,12,94,1,1.0,0,C,CTL,2,3,6.2,2.4,,y
95PR00254,S4502,1,42,13,94,1,1.0,0,F,FW,4,2,6.3,2.5,,y
95PR00255,S4548,1,07,11,94,1,1.0,0,R,LBW,3,3+,5.2,2.0,,y
95PR00256,S4549,1,07,11,94,1,1.0,0,R,LBW,7,4,4.8,1.9,7H,y
95PR00257,S4547,1,07,11,94,1,1.0,0,R,LBW,6,3-,5.6,2.2,,y
95PR00258,S4553,1,07,12,94,1,1.0,0,C,CTL,2,3+,5.4,2.1,4TEATS,y
95PR00259,S4565,1,42,13,94,1,1.0,0,F,FW,1,4,6.0,2.4,KEEP,y
95PR00260,S4520,1,42,12,94,1,1.0,0,C,CTL,2,2,6.4,2.5,,y
95PR00261,S4584,1,07,12,94,1,1.0,0,C,CTL,1,3+,6.1,2.4,X SM. TESTE,n
95PR00262,S4589,1,42,13,94,1,1.0,0,F,FW,2,3+,8.0,3.1,,y
95PR00263,S4596,1,42,13,94,1,1.0,0,F,FW,1,3-,6.3,2.5,,y
95PR00264,S4599,1,07,11,94,1,1.0,0,R,LBW,2,2-,7.4,2.9,,y
95PR00265,S4597,1,42,13,94,1,1.0,0,F,FW,4,5+,6.8,2.7,X EPI,n
95PR00266,S4579,1,07,12,94,1,1.0,0,C,CTL,1,3-,7.0,2.8,,y
95PR00267,S4611,1,07,12,94,1,1.0,0,C,CTL,5,3-,7.4,2.9,5H,y
95PR00268,S4604,1,42,12,94,1,1.0,0,C,CTL,2,5+,5.8,2.3,,y
95PR00269,S4606,1,42,11,94,1,1.0,0,R,LBW,3,3,7.1,2.8,,y
95PR00270,S4636,1,42,10,94,1,1.0,0,M,M,2,3-,7.0,2.8,,y
95PR00271,S4666,1,43,11,94,1,1.0,0,R,LBW,3,3,6.8,2.7,,y
95PR00272,S4689,1,07,10,94,1,1.0,0,M,M,1,2-,6.9,2.7,,y
95PR00273,S4811,1,07,13,94,1,1.0,0,F,FW,2,2-,6.4,2.5,,y
95PR00274,S4815,1,07,10,94,1,1.0,0,M,M,2,3,7.0,2.8,,y
95PR00275,S4806,1,07,13,94,1,1.0,0,F,FW,4,3-,6.1,2.4,,y
95PR00276,S4838,1,42,13,94,1,1.0,0,F,FW,1,4+,5.9,2.3,,y
95PR00277,S4837,1,42,13,94,1,1.0,0,F,FW,2,5+,7.0,2.8,4TEATS,y
95PR00278,S4855,1,43,12,94,1,1.0,0,C,CTL,1,3,6.2,2.4,,y
95PR00279,S4860,1,07,11,94,1,1.0,0,R,LBW,1,3,6.5,2.6,,y
95PR00280,S4869,1,07,13,94,1,1.0,0,F,FW,6,4,6.8,2.7,5H,y
95PR00281,S4867,1,42,13,94,1,1.0,0,F,FW,2,5,6.8,2.7,,y
95PR00282,S4829,1,07,11,94,1,1.0,0,R,LBW,3,3,7.0,2.8,,y
95PR00283,S4827,1,42,13,94,1,1.0,0,F,FW,3,4,6.9,2.7,KEEP,y
95PR00284,S4888,1,42,10,94,1,1.0,0,M,M,4,2-,6.8,2.7,4H,y
