UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00166,A7880,1,30,81,00,1,2.0,0,Y,.,1,1-,8.4,3.3,tb4 tr3 save,1,01a,LWW3,y,23.1,3.9,16.7,7.0,3.4,62
02PR00167,A7882,1,30,81,00,1,2.0,0,Y,.,1,2,7.7,3.0,tb4 tr3 save,1,01,LWW1,y,25.6,3.7,14.5,6.8,9.4,58
02PR00168,A7896,1,30,88,00,1,2.0,7,Y,.,1,2+,7.4,2.9,,1,41a,FLWT,y,25.0,4.1,16.3,7.4,9.4,58
02PR00169,A7913,1,30,82,00,1,2.0,0,Y,.,1,1-,7.8,3.1,,1,28a,FLWT,y,29.1,4.5,15.4,8.0,35.7,54
02PR00170,A7958,1,30,81,00,1,2.0,0,Y,LIB,.,.,0.0,0.0,tb4 tr3 save,3,LIB,LIB,N,,,,,0.0,0
02PR00171,A7977,1,30,81,00,1,2.0,0,Y,LIB,.,.,0.0,0.0,,3,LIB,LIB,N,,,,,0.0,0
02PR00172,A7738,1,30,82,00,1,2.0,0,Y,.,2,2+,7.8,3.1,,1,24a,FLWT,y,24.2,4.1,16.9,7.3,6.1,60
02PR00173,A7780,1,30,82,00,1,2.0,0,Y,.,2,2+,7.5,3.0,,1,23a,FLWT,y,28.4,4.5,15.7,8.1,29.9,54
02PR00174,A7786,1,30,82,00,1,2.0,0,Y,.,2,2-,9.1,3.6,,1,21,CTL,y,26.8,4.3,16.1,8.0,18.0,56
02PR00175,I0109,1,97,97,01,1,1.0,I,Y,BRN,.,.,0.0,0.0,IDZ26 - 0109,1,971,Bf,N,,,,,0.0,0
02PR00176,I0064,1,02,ID,96,1,6.0,I,M,KK,1,3,7.9,3.1,Krakow Ram,1,e.5,UI,y,27.1,4.3,16.0,7.4,19.8,56
02PR00177,I0093,1,97,97,00,1,2.0,I,Y,DAV,.,.,0.0,0.0,IDZ23 - 339,1,972,SUFF,N,,,,,0.0,0
02PR00178,I9221,1,02,ID,99,1,3.0,I,M,MSU,1,3,8.5,3.3,Montana State,1,41T,UI,y,24.4,4.0,16.4,7.8,8.4,60
02PR00179,K1100,1,05,00,00,1,2.0,0,Y,.,3,3+,9.2,3.6,,1,.,CLPG,N,,,,,0.0,0
02PR00180,K1106,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,,3,LIB,LIB,N,,,,,0.0,0
02PR00181,K1131,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,F2,3,LIB,LIB,N,,,,,0.0,0
