UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00319,R1658,1,07,11,00,1,1.0,0,Y,,4,3,7.7,3.0,,Y,1,n,x,,22.29,4.58,20.5,8.3,6.2,62
01PR00320,R1666,1,07,12,00,1,1.0,0,Y,,2,3-,7.1,2.8,,Y,1,n,x,,21.15,4.78,22.6,7.7,2.9,64
01PR00321,R1667,1,43,10,00,1,1.0,0,Y,,2,3+,7.9,3.1,,Y,1,n,x,,18.8,3.62,19.2,6.9,0.6,80
01PR00322,R1685,1,07,10,00,1,1.0,0,Y,,1,5+,7.3,2.9,FX. RIBS? ok,Y,1,n,x,,23.58,4.63,19.7,7.9,9.2,60
01PR00323,R1687,1,43,13,00,1,1.0,0,Y,,7,4,6.9,2.7,H7,Y,1,n,x,,18.95,3.93,20.8,7.2,0.7,80
01PR00324,R1210,1,43,12,00,1,1.0,0,Y,,2,3-,8.0,3.1,,Y,1,n,x,,21.95,4.49,20.5,8.4,5.6,64
01PR00325,R1214,1,43,12,00,1,1.0,0,Y,,1,5,7.4,2.9,,Y,1,n,x,,19.8,4.43,22.4,7.6,1.7,70
01PR00326,R1212,1,07,10,00,1,1.0,0,Y,,7,2-,7.0,2.8,H7,Y,1,n,x,,19.28,3.69,19.1,6.3,0.5,70
01PR00327,R1208,1,07,11,00,1,1.0,0,Y,,5,4,6.4,2.5,H5,Y,1,n,x,,22.13,3.64,16.5,6.4,2.0,62
01PR00328,R1207,1,43,12,00,1,1.0,0,Y,,3,4,7.9,3.1,F3-,Y,1,n,x,,20.38,3.69,18.1,6.7,1.0,70
01PR00329,R1231,1,07,10,00,1,1.0,0,Y,,2,5+,7.8,3.1,,Y,1,n,x,,19.61,3.92,20.0,7.1,1.0,70
01PR00330,R1230,1,07,11,00,1,1.0,0,Y,,2,3,7.5,3.0,,Y,1,n,x,,21.97,5.36,24.4,10.6,9.0,62
01PR00331,R1232,1,07,10,00,1,1.0,0,Y,,2,3,7.8,3.1,,Y,1,n,x,,21.22,4.73,22.3,8.6,4.5,64
01PR00332,R1238,1,07,10,00,1,1.0,0,Y,,1,3-,7.8,3.1,,Y,1,n,x,,22.06,4.36,19.8,8.1,5.2,62
01PR00333,R1247,1,07,11,00,1,1.0,0,Y,,4,4+,6.7,2.6,,Y,1,n,x,,22.43,4.35,19.4,7.7,5.3,62
01PR00334,R1256,1,07,10,00,1,1.0,0,Y,,4,3,6.8,2.7,H4,Y,1,n,x,,21.35,4.34,20.3,6.5,1.8,64
01PR00335,R1257,1,43,10,00,1,1.0,0,Y,,2,5,6.6,2.6,,Y,1,n,x,,20.8,4.67,22.4,8.5,3.8,64
01PR00336,R1264,1,43,13,00,1,1.0,0,Y,,6,3,8.0,3.1,H5+,Y,1,n,x,,17.59,4.91,27.9,8.9,1.4,64
01PR00337,R1265,1,43,13,00,1,1.0,0,Y,,5,5+,7.8,3.1,H4,Y,1,n,x,,18.45,4.28,23.2,8.0,0.9,70
01PR00338,R1226,1,43,13,00,1,1.0,0,Y,,4,3,8.7,3.4,H4,Y,1,n,x,,20.95,5.08,24.2,9.9,6.5,64
01PR00339,R1280,1,07,10,00,1,1.0,0,Y,,3,4+,7.2,2.8,H3,Y,1,n,x,,20.71,5.15,24.9,8.7,3.8,64
01PR00340,R1288,1,43,13,00,1,1.0,0,Y,,1,3-,7.6,3.0,,Y,1,n,x,,20.8,3.81,18.3,6.3,1.0,64
01PR00341,R1275,1,07,12,00,1,1.0,0,Y,,3,3,8.0,3.1,,Y,1,n,x,,22.24,4.36,19.6,7.8,5.0,62
01PR00342,R1278,1,07,10,00,1,1.0,0,Y,,3,4-,7.8,3.1,"F4+,TOP RAM",Y,1,n,x,,20.84,3.64,17.5,6.6,1.2,64
01PR00343,R1802,1,43,13,00,1,1.0,0,Y,,1,4-,7.0,2.8,,Y,1,n,x,,16.57,4.34,26.2,8.5,0.6,70
01PR00344,R1836,1,07,11,00,1,1.0,0,Y,,5,3+,7.2,2.8,H6,Y,1,n,x,,19.58,3.83,19.5,7.2,1.2,70
01PR00345,R1839,1,07,11,00,1,1.0,0,Y,,1,3-,6.1,2.4,,Y,1,n,x,,18.17,3.52,19.4,6.4,0.3,80
01PR00346,R1848,1,07,12,00,1,1.0,0,Y,,3,3-,5.0,2.0,,Y,1,n,x,,17.37,2.96,17.0,5.4,0.2,80
01PR00347,R1849,1,07,12,00,1,1.0,0,Y,,2,3-,6.5,2.6,,Y,1,n,x,,22.02,4.58,20.8,7.7,4.5,64
01PR00348,R1897,1,07,11,00,1,1.0,0,Y,,7,4+,6.3,2.5,H7,Y,1,n,x,,20.23,4.41,21.8,7.9,2.1,70
