UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00332,K0377,2,06,62,98,1,2.0,7,1,GXE,.,.,9.4,3.7,,Y,28.85,5.47,19.0,54
00PR00333,K0413,2,06,62,98,1,2.0,7,1,GXE,.,.,8.6,3.39,,Y,28.3,4.64,16.4,54
00PR00334,K0405,2,06,61,98,1,2.0,7,1,GXE,.,.,9.0,3.54,,Y,29.76,5.91,19.9,50
00PR00335,K0406,2,06,60,98,1,2.0,7,1,GXE,.,.,8.2,3.23,,Y,25.72,4.89,19.0,58
00PR00336,K0408,2,06,60,98,1,2.0,7,3,LIM,.,.,11.0,4.33,4TEATS,Y,27.7,5.16,18.6,56
00PR00337,K0431,2,06,60,98,1,2.0,7,1,GXE,.,.,10.4,4.09,,Y,30.57,5.42,17.7,50
00PR00338,K0433,1,06,60,98,1,2.0,7,M,GXE,1,3+,11.1,4.37,4TEATS,Y,26.62,5.16,19.4,56
00PR00339,K0434,2,06,60,98,1,2.0,7,1,GXE,.,.,9.6,3.78,4TEATS,Y,24.22,4.37,18.0,60
00PR00340,K0432,2,06,60,98,1,2.0,7,1,GXE,.,.,8.1,3.19,,Y,27.46,4.82,17.5,56
00PR00341,K0437,2,06,61,98,1,2.0,7,3,LIM,.,.,9.5,3.74,DRY 5/24/99,Y,29.78,5.14,17.3,50
00PR00342,K0440,2,06,61,98,1,2.0,7,3,LIM,.,.,8.8,3.46,4TEATS,Y,24.06,4.07,16.9,60
00PR00343,K0444,2,06,60,98,1,2.0,7,3,LIM,.,.,9.5,3.74,4TEATS,Y,24.15,3.48,14.4,60
00PR00344,K0451,2,06,61,98,1,2.0,7,1,GXE,.,.,0.0,0.0,,n,,,,0
00PR00345,K0450,2,06,61,98,1,2.0,7,1,GXE,.,.,8.0,3.15,,Y,26.27,4.72,18.0,58
00PR00346,K0458,2,06,62,98,1,2.0,7,1,GXE,.,.,9.0,3.54,,Y,26.62,4.69,17.6,56
00PR00347,K0462,2,06,62,98,1,2.0,7,1,GXE,.,.,0.0,0.0,4TEATS,n,,,,0
00PR00348,K0423,2,06,60,98,1,2.0,7,3,LIM,.,.,9.2,3.62,4TEATS,Y,27.41,4.95,18.0,56
00PR00349,K0422,2,06,61,98,1,2.0,7,1,GXE,.,.,9.2,3.62,,Y,24.02,4.18,17.4,60
00PR00350,K0429,1,06,60,98,1,2.0,7,M,GXE,1,2-,11.6,4.57,,Y,29.03,6.44,22.2,54
00PR00351,K0495,2,06,60,98,1,2.0,7,3,LIM,.,.,9.9,3.9,SUCK1SIDE,Y,28.56,4.76,16.7,54
00PR00352,K0497,2,06,60,98,1,2.0,7,3,LIM,.,.,9.2,3.62,,Y,25.98,4.21,16.2,58
