UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00238,R2659,1,07,12,01,1,3.0,2,BHV,.,.,0.0,0.0,,3,.,Ctrl,N,62,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00239,R2694,1,07,12,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Sage,N,60,DUD,+JNS+,97,92,W,,0.0,0.0,0.0,0.0,0
04PR00240,R2696,1,43,13,01,1,3.0,2,BHV,.,.,0.0,0.0,,V,.,Sage,N,62,DUD,+JNS+,97,100,W,,0.0,0.0,0.0,0.0,0
04PR00241,R2732,1,43,12,01,1,3.0,2,BHV,.,.,0.0,0.0,H7,3,.,Sage,N,62,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00242,R2746,1,43,13,01,1,3.0,0,.,7,3-,9.8,3.9,H6,1,33R,Sage,Y,62,HETRO,SAVE,104,110,W,,22.1,3.6,16.5,98.0,62
04PR00243,R2780,1,07,13,01,1,3.0,2,OSU,.,.,0.0,0.0,"H3, NICE, 58?",V,.,Sage,N,60,DUD,+JNS+,84,95,W,,0.0,0.0,0.0,0.0,0
04PR00244,R2787,1,07,12,01,1,3.0,2,BHV,.,.,0.0,0.0,,V,.,Ctrl,N,62,DUD,+JNS+,93,102,W,,0.0,0.0,0.0,0.0,0
04PR00245,R2810,1,07,10,01,1,3.0,2,OSU,.,.,0.0,0.0,F4-,V,.,IDX,N,62,HOMO,OREGO,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00246,R2874,1,07,10,01,1,3.0,0,.,3,4+,9.3,3.7,F5+,1,e5a,IDX,Y,58,HETRO,SAVE,104,102,W,,25.8,4.5,17.3,86.1,58
04PR00247,R2900,1,07,11,01,1,3.0,2,OSU,.,.,0.0,0.0,"F3-, 58 ?",V,.,Lww,N,60,DUD,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00248,R2972,1,07,18,02,1,2.0,2,EXP,2,2,8.5,3.3,,1, 2,Ramb,Y,62,EXHET,+JNS+,104,101,W,,21.9,3.3,15.0,98.4,64
04PR00249,R2993,1,07,18,02,1,2.0,2,EXP,1,2-,8.1,3.2,,V,12,Ramb,Y,62,EXHET,+JNS+,92,90,W,,22.6,3.1,13.9,98.8,62
04PR00250,R2997,1,07,18,02,1,2.0,2,CTL,1,2-,7.7,3.0,,V,.,Ramb,Y,64,HOMO,+JNS+,93,89,W,,21.1,3.0,14.1,99.2,64
04PR00251,R3004,1,07,18,02,1,2.0,2,CTL,3,3-,9.0,3.5,NICE,V,.,Ramb,Y,62,DUD,+JNS+,103,109,W,,23.8,3.4,14.1,96.8,60
04PR00252,R3029,1,43,18,02,1,2.0,2,EXP,2,3+,8.9,3.5,,1, 3,Ramb,Y,62,EXHET,+JNS+,107,94,W,,24.1,3.4,14.1,95.6,60
04PR00253,R3035,1,07,18,02,1,2.0,2,CTL,2,2,8.5,3.3,,V,21,Ramb,Y,64,EXHET,+JNS+,107,108,W,,21.3,3.1,14.4,99.2,64
04PR00254,R3054,1,07,18,02,1,2.0,2,EXP,4,3-,9.0,3.5,,3,.,Ramb,Y,60,BISEX,MKT,99,108,W,93,25.2,4.2,16.5,88.5,58
04PR00255,R3077,1,43,18,02,1,2.0,2,CTL,1,3+,8.6,3.4,BIG,V, 7,Ramb,Y,62,EXHET,+JNS+,102,107,W,,21.9,3.8,17.5,97.3,64
04PR00256,R3081,1,43,18,02,1,2.0,2,CTL,3,3,9.4,3.7,NICE,1,28,Ramb,Y,62,HETRO,SAVE,98,114,W,,22.7,4.1,17.9,96.1,62
04PR00257,R3098,1,07,18,02,1,2.0,2,CTL,7,3-,8.8,3.5,H7,V,.,Ramb,Y,62,DUD,+JNS+,93,98,W,,22.8,3.9,17.2,95.8,62
04PR00258,R3102,1,07,18,02,1,2.0,2,EXP,1,3-,8.5,3.3,,T,.,Ramb,Y,62,HETRO,TAYLR,94,94,W,,23.4,4.7,20.0,92.2,62
04PR00259,R3105,1,07,18,02,1,2.0,2,EXP,5,3,9.1,3.6,,1, 4,Ramb,Y,64,EXHET,+JNS+,100,105,W,,22.0,3.5,15.7,98.2,64
04PR00260,R3123,1,07,18,02,1,2.0,2,CTL,1,3-,9.2,3.6,,T, 6,Ramb,Y,62,HETRO,TAYLR,84,93,W,,23.5,4.0,17.1,94.6,60
04PR00261,R3136,1,07,18,02,1,2.0,2,CTL,7,3+,8.8,3.5,H7,3,.,Ramb,Y,64,HETRO,MKT,93,98,W,93,21.8,4.5,20.5,95.6,64
04PR00262,R3149,1,07,18,02,1,2.0,2,EXP,2,3+,8.2,3.2,,V,.,Ramb,Y,60,EXHET,+JNS+,103,100,W,,27.2,5.4,19.9,76.9,56
