UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
98PR00131,S6696,1,07,12,96,1,2.0,0,C,...,1,3+,8.0,3.1,,Y,26.08,4.52,17.3,58
98PR00132,S6692,1,07,12,96,1,2.0,0,C,...,2,3+,9.0,3.5,"SUSPECT,Bovis",Y,22.44,4.52,20.1,62
98PR00133,S6671,2,07,13,96,1,2.0,0,F,...,.,..,10.0,3.9,,Y,20.48,3.69,18.0,70
98PR00134,S6670,2,43,13,96,1,2.0,0,F,...,.,..,8.2,3.2,,Y,23.1,4.35,18.8,62
98PR00135,S6673,2,42,12,96,1,2.0,0,C,...,.,..,9.6,3.8,HAIRY,Y,22.52,3.62,16.1,62
98PR00136,S6679,2,07,11,96,1,2.0,0,R,...,.,..,8.5,3.3,ENTR,Y,22.33,3.41,15.3,62
98PR00137,S6815,2,43,13,96,1,2.0,0,F,...,.,..,10.0,3.9,4TEATS,Y,22.53,3.71,16.5,62
98PR00138,S6831,2,07,11,96,1,2.0,0,R,...,.,..,7.8,3.1,ENTR,Y,25.71,6.84,26.6,58
98PR00139,S6830,2,07,11,96,1,2.0,0,R,...,.,..,8.0,3.1,,Y,22.32,4.53,20.3,62
98PR00140,S6832,2,07,11,96,1,2.0,0,R,...,.,..,9.1,3.6,,Y,22.36,5.46,24.4,62
98PR00141,S6838,2,07,11,96,1,2.0,0,R,...,.,..,7.9,3.1,,Y,21.94,4.11,18.7,64
98PR00142,S6839,2,07,11,96,1,2.0,0,R,...,.,..,8.0,3.1,,Y,22.68,4.37,19.2,62
98PR00143,S6837,1,07,ID,96,1,2.0,I,I,...,7,3+,8.5,3.3,"H7,BIG TAG!",Y,23.27,4.82,20.7,62
98PR00144,S6842,1,07,12,96,1,2.0,0,C,...,3,3+,8.5,3.3,,Y,19.61,4.23,21.5,70
98PR00145,S6856,2,07,12,96,1,2.0,0,C,...,.,..,10.0,3.9,ENTR,Y,25.76,4.63,18.0,58
98PR00146,S6864,2,43,11,96,1,2.0,0,R,...,.,..,6.8,2.7,DYSTOCIA97,Y,23.55,5.36,22.8,60
98PR00147,S6865,2,07,11,96,1,2.0,0,R,...,.,..,8.2,3.2,4TEATS,Y,25.79,4.98,19.3,58
98PR00148,S6866,2,07,11,96,1,2.0,0,R,...,.,..,9.0,3.5,4TEATS,Y,24.62,5.61,22.8,60
98PR00149,S6880,2,07,12,96,1,2.0,0,C,...,.,..,9.1,3.6,4TEATS,Y,24.61,5.06,20.6,60
98PR00150,S6884,2,43,13,96,1,2.0,0,F,...,.,..,9.2,3.6,,Y,22.59,4.23,18.7,62
98PR00151,S6888,1,43,12,96,1,2.0,0,C,...,3,3,8.4,3.3,KEEP+SALE97,Y,21.69,3.84,17.7,64
98PR00152,S6892,2,43,13,96,1,2.0,0,F,...,.,..,9.0,3.5,,Y,23.42,4.29,18.3,62
98PR00153,S6873,2,43,10,96,1,2.0,0,M,...,.,..,8.2,3.2,4TEATS,Y,24.15,4.08,16.9,60
98PR00154,S6874,2,43,10,96,1,2.0,0,M,...,.,..,7.5,3.0,4TEATS,Y,24.68,3.94,16.0,60
98PR00155,S6872,2,07,11,96,1,2.0,0,R,...,.,..,7.8,3.1,,Y,27.74,5.95,21.5,56
98PR00156,S6879,2,42,13,96,1,2.0,0,F,...,.,..,10.0,3.9,,Y,23.06,3.82,16.5,62
98PR00157,S6877,1,07,11,96,1,2.0,0,R,...,2,4+,8.0,3.1,,Y,20.5,4.34,21.2,70
98PR00158,S6916,2,42,13,96,1,2.0,0,F,...,.,..,9.0,3.5,,Y,22.83,4.47,19.6,62
98PR00159,S6901,2,43,12,96,1,2.0,0,C,...,.,..,8.0,3.1,,Y,21.05,4.15,19.7,64
98PR00160,S6907,2,42,10,96,1,2.0,0,M,...,.,..,9.0,3.5,,Y,25.74,4.72,18.3,58
98PR00161,S6931,2,43,13,96,1,2.0,0,F,...,.,..,8.3,3.3,ENTR,Y,20.37,3.56,17.5,70
98PR00162,S6935,2,43,10,96,1,2.0,0,M,...,.,..,7.0,2.8,4TEATS,Y,21.68,3.36,15.5,64
98PR00163,S6938,2,07,13,96,1,2.0,0,F,...,.,..,6.4,2.5,,Y,22.52,3.82,17.0,62
98PR00164,S6944,2,07,11,96,1,2.0,0,R,...,.,..,7.6,3.0,ENTR,Y,23.96,4.27,17.8,60
98PR00165,S6945,1,07,11,96,1,2.0,0,R,...,7,2-,7.7,3.0,H7,Y,25.45,4.64,18.2,58
98PR00166,S6942,2,07,10,96,1,2.0,0,M,...,.,..,9.0,3.5,L.BLOODY MILK,Y,21.03,4.29,20.4,64
98PR00167,S6949,2,43,11,96,1,2.0,0,R,...,.,..,8.2,3.2,,Y,22.73,4.4,19.4,62
98PR00168,S6951,2,07,11,96,1,2.0,0,R,...,.,..,6.4,2.5,,Y,22.92,4.3,18.7,62
98PR00169,S6950,2,07,11,96,1,2.0,0,R,...,.,..,8.0,3.1,,Y,24.47,5.12,20.9,60
98PR00170,S6960,2,07,11,96,1,2.0,0,R,...,.,..,8.0,3.1,,Y,23.01,4.57,19.9,62
98PR00171,S6963,2,43,13,96,1,2.0,0,F,...,.,..,8.8,3.5,,Y,21.63,3.9,18.0,64
98PR00172,S6965,2,07,11,96,1,2.0,0,R,...,.,..,8.6,3.4,,Y,23.22,3.9,16.8,62
98PR00173,S6921,2,43,10,96,1,2.0,0,M,...,.,..,8.0,3.1,4TEATS,Y,25.26,5.26,20.8,58
98PR00174,S6924,2,42,12,96,1,2.0,0,C,...,.,..,8.5,3.3,,Y,24.92,4.71,18.9,60
98PR00175,S6989,2,42,10,96,1,2.0,0,M,...,.,..,8.8,3.5,,Y,21.94,3.42,15.6,64
98PR00176,S6993,2,42,12,96,1,2.0,0,C,...,.,..,10.0,3.9,,Y,24.44,4.95,20.3,60
98PR00177,S6994,2,43,10,96,1,2.0,0,M,...,.,..,8.8,3.5,,Y,21.5,3.48,16.2,64
98PR00178,S6976,1,07,11,96,1,2.0,0,R,...,3,2+,9.0,3.5,H3,Y,25.81,5.13,19.9,58
98PR00179,S6977,2,07,11,96,1,2.0,0,R,...,.,..,8.9,3.5,,Y,25.72,5.29,20.6,58
98PR00180,S6716,2,43,13,96,1,2.0,0,F,...,.,..,9.2,3.6,4TEATS,N,23.96,4.29,18.0,60
98PR00181,S6700,2,43,12,96,1,2.0,0,C,...,.,..,8.2,3.2,,Y,22.25,5.29,23.8,62
98PR00182,S6703,2,07,13,96,1,2.0,0,F,...,.,..,8.0,3.1,HAIRY,Y,20.89,3.96,19.0,64
98PR00183,S6704,2,07,13,96,1,2.0,0,F,...,.,..,8.8,3.5,4TEATS,Y,19.91,3.94,19.8,70
98PR00184,S6702,2,07,10,96,1,2.0,0,M,...,.,..,8.8,3.5,,Y,22.52,3.44,15.3,62
98PR00185,S6739,2,43,12,96,1,2.0,0,C,...,.,..,8.0,3.1,,Y,22.87,4.21,18.4,62
98PR00186,S6737,2,43,12,96,1,2.0,0,C,...,.,..,8.0,3.1,4TEATS,Y,24.95,4.27,17.1,58
98PR00187,S6748,1,43,10,96,1,2.0,0,M,...,3,3,8.2,3.2,2nd SEMEN =Q,Y,21.54,3.65,16.9,64
98PR00188,S6747,2,43,10,96,1,2.0,0,M,...,.,..,7.0,2.8,4TEATS,Y,22.01,4.62,21.0,64
98PR00189,S6751,1,43,12,96,1,2.0,0,C,...,1,2,9.0,3.5,,Y,23.48,4.08,17.4,62
98PR00190,S6756,2,43,10,96,1,2.0,0,M,...,.,..,8.2,3.2,,Y,22.08,3.9,17.7,62
98PR00191,S6758,1,43,12,96,1,2.0,0,C,...,6,3+,9.1,3.6,"H6,NEED CTL",Y,22.07,4.38,19.9,62
98PR00192,S6759,2,43,12,96,1,2.0,0,C,...,.,..,8.6,3.4,ENTR SL.,Y,25.3,4.94,19.5,58
98PR00193,S6721,2,43,13,96,1,2.0,0,F,...,.,..,9.1,3.6,ENTR,Y,22.55,5.05,22.4,62
98PR00194,S6720,2,07,11,96,1,2.0,0,R,...,.,..,9.0,3.5,,Y,21.51,4.12,19.1,64
98PR00195,S6724,2,07,10,96,1,2.0,0,M,...,.,..,8.2,3.2,F4- ok,Y,22.18,4.47,20.2,62
98PR00196,S6729,1,07,12,96,1,2.0,0,C,...,1,3,8.3,3.3,,Y,21.76,4.06,18.7,64
98PR00197,S6781,1,43,13,96,1,2.0,0,F,...,3,2+,10.0,3.9,,Y,20.97,4.37,20.8,64
98PR00198,S6780,2,07,12,96,1,2.0,0,C,...,.,..,9.8,3.9,,Y,25.74,4.94,19.2,58
98PR00199,S6784,2,07,10,96,1,2.0,0,M,...,.,..,8.0,3.1,,Y,22.29,4.1,18.4,62
98PR00200,S6788,2,07,11,96,1,2.0,0,R,...,.,..,8.6,3.4,,Y,21.03,4.33,20.6,64
98PR00201,S6794,2,07,11,96,1,2.0,0,R,...,.,..,7.6,3.0,,Y,20.3,3.89,19.1,70
98PR00202,S6795,2,07,11,96,1,2.0,0,R,...,.,..,8.6,3.4,ENTR,Y,21.44,4.53,21.1,64
98PR00203,S6799,1,43,12,96,1,2.0,0,C,...,2,3-,9.0,3.5,,Y,20.75,3.76,18.1,64
98PR00204,S6772,1,43,13,96,1,2.0,0,F,...,3,4+,8.6,3.4,NICE,Y,21.98,3.96,18.0,64
98PR00205,S6779,2,07,12,96,1,2.0,0,C,...,.,..,9.1,3.6,,Y,25.21,5.31,21.1,58
98PR00206,S7119,2,43,12,96,1,2.0,0,C,...,.,..,8.0,3.1,,Y,21.96,3.33,15.1,64
98PR00207,S7134,2,43,12,96,1,2.0,0,C,...,.,..,7.1,2.8,,Y,19.37,3.42,17.6,70
98PR00208,S7137,2,07,11,96,1,2.0,0,R,...,.,..,7.2,2.8,,Y,20.19,3.81,18.9,70
98PR00209,S7141,2,43,10,96,1,2.0,0,M,...,.,..,8.0,3.1,DYSTOCIA97,Y,24.23,4.65,19.2,60
98PR00210,S7146,1,43,10,96,1,2.0,0,M,...,6,2,7.2,2.8,NICE,Y,24.59,4.75,19.3,60
98PR00211,S7148,2,07,11,96,1,2.0,0,R,...,.,..,9.0,3.5,,Y,23.07,4.3,18.6,62
98PR00212,S7149,1,43,13,96,1,2.0,0,F,...,7,2,8.8,3.5,H7,Y,22.03,4.8,21.8,64
98PR00213,S7151,2,07,10,96,1,2.0,0,M,...,.,..,8.4,3.3,,Y,23.42,3.47,14.8,62
98PR00214,S7154,2,43,13,96,1,2.0,0,F,...,.,..,8.9,3.5,,Y,22.53,3.77,16.7,62
98PR00215,S7155,1,07,12,96,1,2.0,0,C,...,3,3,6.3,2.5,,Y,20.35,5.04,24.8,64
98PR00216,S7157,2,07,11,96,1,2.0,0,R,...,.,..,7.3,2.9,,Y,23.86,4.86,20.3,60
98PR00217,S7168,1,07,12,96,1,2.0,0,C,...,1,3,9.8,3.9,,Y,20.86,3.85,18.5,64
98PR00218,S7120,2,07,11,96,1,2.0,0,R,...,.,..,7.2,2.8,,Y,22.66,5.3,23.4,62
