UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
99PR00493,S8091,2,07,13,97,1,2.0,0,F, .,., .,8.6,3.4,,Y,22.42,4.23,18.9,62
99PR00494,S8092,2,43,13,97,1,2.0,0,F, .,., .,8.4,3.3,4TEATS,Y,20.2,4.39,21.8,70
99PR00495,S8098,1,43,13,97,1,2.0,0,F, .,1,3,10.2,4.0,,Y,20.45,3.7,18.1,70
99PR00496,S8102,2,07,12,97,1,2.0,0,C, .,., .,7.3,2.9,,Y,26.07,4.5,17.3,58
99PR00497,S8103,2,07,11,97,1,2.0,0,R, .,., .,8.2,3.2,,Y,24.61,5.08,20.6,60
99PR00498,S8106,2,43,ID,97,1,2.0,7,I,LIM,., .,7.5,3.0,,Y,23.96,3.79,15.8,60
99PR00499,S8121,2,43,13,97,1,2.0,0,F, .,., .,7.2,2.8,ENTR,Y,23.47,4.0,17.0,62
99PR00500,S8124,1,07,10,97,1,2.0,0,M, .,7,2-,8.0,3.1,H7,Y,24.79,4.93,19.9,60
99PR00501,S8125,2,07,10,97,1,2.0,0,M, .,., .,7.3,2.9,,Y,22.98,4.16,18.1,62
99PR00502,S8129,2,43,10,97,1,2.0,0,M, .,., .,8.6,3.4,,Y,24.69,3.91,15.8,60
99PR00503,S8131,2,43,13,97,1,2.0,0,F, .,., .,8.8,3.5,SCURS,Y,22.0,3.24,14.7,64
99PR00504,S8135,2,07,18,97,1,2.0,7,R,LIM,., .,7.7,3.0,,Y,22.43,3.91,17.4,62
99PR00505,S8140,2,43,12,97,1,2.0,0,C, .,., .,7.9,3.1,,Y,23.06,4.27,18.5,62
99PR00506,S8141,2,07,13,97,1,2.0,0,F, .,., .,7.9,3.1,,Y,23.41,3.45,14.7,62
99PR00507,S8145,2,07,11,97,1,2.0,0,R, .,., .,7.4,2.9,,Y,24.54,4.37,17.8,60
99PR00508,S8148,2,07,11,97,1,2.0,0,R, .,., .,8.0,3.1,,Y,20.93,3.14,15.0,64
99PR00509,S8151,2,43,13,97,1,2.0,0,F, .,., .,8.0,3.1,4TEATS,Y,21.95,3.92,17.8,64
99PR00510,S8152,1,07,10,97,1,2.0,0,M, .,2,3+,8.5,3.3,,Y,24.66,4.91,19.9,60
99PR00511,S8158,2,43,13,97,1,2.0,0,F, .,., .,7.7,3.0,,Y,24.45,4.44,18.2,60
99PR00512,S8161,2,42,13,97,1,2.0,0,F, .,., .,9.8,3.9,NICE,Y,22.57,3.98,17.6,62
99PR00513,S8170,2,07,12,97,1,2.0,0,C, .,., .,7.7,3.0,,Y,27.91,6.49,23.3,54
99PR00514,S8173,2,07,11,97,1,2.0,0,R, .,., .,7.5,3.0,,Y,20.45,3.97,19.4,70
99PR00515,S8177,2,07,ID,97,1,2.0,7,I,LIM,., .,9.0,3.5,,Y,22.32,3.67,16.4,62
99PR00516,S8179,2,07,ID,97,1,2.0,7,I,LIM,., .,7.8,3.1,dup8175?,Y,22.27,4.58,20.6,62
99PR00517,S8180,2,07,11,97,1,2.0,0,R, .,., .,7.5,3.0,ENTR,Y,20.65,4.46,21.6,64
99PR00518,S8182,2,07,18,97,1,2.0,7,F,LIM,., .,6.5,2.6,,Y,22.03,4.8,21.8,64
99PR00519,S8187,2,07,10,97,1,2.0,0,M, .,., .,8.1,3.2,,Y,24.78,4.97,20.1,60
99PR00520,S8188,2,07,10,97,1,2.0,0,M, .,., .,7.0,2.8,4TEATS,Y,24.25,5.18,21.4,60
99PR00521,S8194,2,07,11,97,1,2.0,0,R, .,., .,6.0,2.4,,Y,23.41,3.96,16.9,62
