UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00172,S5239,1,07,,24,1.0,,11.0,,,"1""H",,,,,
25PR00173,S5248,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00174,S5249,1,07,,24,1.0,,,,,Scurs,,,,,
25PR00175,S5250,1,07,,24,1.0,,8.5,,,Scurs,,,,,
25PR00176,S5253,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00177,S5255,2,07,,24,1.0,,6.0,,,BL.ON.KNEES,,,,,
25PR00178,S5257,1,07,,24,1.0,,9.0,,,ScursSlOver,,,,,
25PR00179,S5260,2,43,,24,1.0,,9.0,,,.,,,,,
25PR00180,S5265,2,07,,24,1.0,,10.0,,,.,,,,,
25PR00181,S5267,2,07,,24,1.0,,10.0,,,BR.ON.NECK,,,,,
25PR00182,S5273,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00183,S5276,2,43,,24,1.0,,10.0,,,.,,,,,
25PR00184,S5277,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00185,S5280,2,07,,24,1.0,,9.5,,,.,,,,,
25PR00186,S5281,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00187,S5284,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00188,S5288,2,07,,24,1.0,,10.0,,,.,,,,,
25PR00189,S5289,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00190,S5292,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00191,S5294,2,07,,24,1.0,,9.0,,,1ST,,,,,
25PR00192,S5296,2,07,,24,1.0,,9.0,,,3RD,,,,,
25PR00193,S5298,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00194,S5299,2,07,,24,1.0,,9.0,,,HAIRY,,,,,
25PR00195,S5300,2,43,,24,1.0,,6.0,,,.,,,,,
25PR00196,S5301,2,43,,24,1.0,,9.5,,,.,,,,,
25PR00197,S5302,2,07,,24,1.0,,8.5,,,.,,,,,
25PR00198,S5309,2,07,,24,1.0,,9.5,,,HAIRY,,,,,
25PR00199,S5316,2,07,,24,1.0,,6.0,,,.,,,,,
25PR00200,S5324,1,07,,24,1.0,,6.0,,,SlOver,,,,,
25PR00201,S5325,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00202,S5326,1,07,,24,1.0,,7.0,,,"~3""H",,,,,
25PR00203,S5328,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00204,S5334,1,43,,24,1.0,,7.8,,,Scurs?,,,,,
25PR00205,S5340,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00206,S5341,2,43,,24,1.0,,9.0,,,.,,,,,
25PR00207,S5344,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00208,S5349,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00209,S5352,1,07,,24,1.0,,10.0,,,Scurs,,,,,
25PR00210,S5357,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00211,S5368,2,07,,24,1.0,,7.5,,,.,,,,,
25PR00212,S5373,1,07,,24,1.0,,10.0,,,Heavy scurs,,,,,
25PR00213,S5374,1,07,,24,1.0,,10.0,,,Heavy scurs,,,,,
25PR00214,S5378,2,43,,24,1.0,,9.0,,,.,,,,,
25PR00215,S5384,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00216,S5391,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00217,S5393,2,07,,24,1.0,,7.5,,,.,,,,,
25PR00218,S5394,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00219,S5397,2,43,,24,1.0,,7.0,,,.,,,,,
25PR00220,S5399,1,07,,24,1.0,,11.0,,,Scurs,,,,,
25PR00221,S5400,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00222,S5406,1,07,,24,1.0,,10.0,,,.,,,,,
25PR00223,S5408,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00224,S5411,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00225,S5416,2,07,,24,1.0,,,,,.,,,,,
25PR00226,S5418,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00227,S5420,2,07,,24,1.0,,8.5,,,.,,,,,
25PR00228,S5422,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00229,S5427,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00230,S5432,2,07,,24,1.0,,7.5,,,.,,,,,
25PR00231,S5439,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00232,S5445,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00233,S5449,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00234,S5450,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00235,S5452,2,07,,24,1.0,,9.5,,,.,,,,,
25PR00236,S5462,2,07,,24,1.0,,8.5,,,1ST.BL.EYES,,,,,
25PR00237,S5469,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00238,S5472,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00239,S5476,2,07,,24,1.0,,5.5,,,.,,,,,
25PR00240,S5478,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00241,S5479,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00242,S5482,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00243,S5489,2,07,,24,1.0,,9.5,,,.,,,,,
25PR00244,S5490,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00245,S5491,1,07,,24,1.0,,9.0,,,Scurs,,,,,
25PR00246,S5492,1,07,,24,1.0,,9.0,,,.,,,,,
25PR00247,S5508,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00248,S5509,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00249,S5511,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00250,S5516,2,07,,24,1.0,,11.0,,,2@ONCE,,,,,
25PR00251,S5522,1,07,,24,1.0,,7.4,,,"1""H",,,,,
25PR00252,S5523,2,43,,24,1.0,,8.0,,,.,,,,,
25PR00253,S5529,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00254,S5532,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00255,S5536,2,07,,24,1.0,,7.5,,,.,,,,,
25PR00256,S5538,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00257,S5539,1,07,,24,1.0,,8.0,,,Scurs,,,,,
25PR00258,S5542,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00259,S5547,1,07,,24,1.0,,9.0,,,Nice,,,,,
25PR00260,S5552,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00261,S5560,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00262,S5565,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00263,S5575,2,07,,24,1.0,,6.5,,,.,,,,,
25PR00264,S5583,2,07,,24,1.0,,7.0,,,1ST.BLKSPOT,,,,,
25PR00265,S5585,2,07,,24,1.0,,6.5,,,.,,,,,
25PR00266,S5586,2,07,,24,1.0,,10.0,,,.,,,,,
25PR00267,S5587,2,07,,24,1.0,,6.5,,,.,,,,,
25PR00268,S5588,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00269,S5604,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00270,S5609,1,07,,24,1.0,,9.0,,,Scurs,,,,,
