UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00059,H1889,1,30,82,05,1,1.0,0,R,.,1,2-,6.2,2.4,NICE,1,.,Poly,Y,00,23.3,4.4,18.7,93.8,62
06PR00060,H1914,1,30,88,05,1,1.0,0,R,.,2,2+,6.4,2.5,H2,1,.,Poly,Y,00,24.7,4.1,16.6,90.9,60
06PR00061,H1959,1,30,82,05,1,1.0,0,R,.,2,2,5.0,2.0,,1,.,Poly,Y,00,24.8,3.9,15.5,93.0,60
06PR00062,H1969,1,30,83,05,1,1.0,0,R,.,1,2,6.2,2.4,,1,.,Poly,Y,00,23.0,3.8,16.7,96.5,62
06PR00063,H1926,1,30,83,05,1,1.0,0,R,.,2,3+,6.2,2.4,,1,.,Poly,Y,00,22.2,4.6,20.5,96.0,62
06PR00064,H1971,1,30,83,05,1,1.0,0,R,.,2,2,6.3,2.5,,1,.,Poly,Y,00,24.4,4.2,17.1,92.8,60
06PR00065,H1710,1,30,88,05,1,1.0,0,R,.,2,2,5.5,2.2,H2,1,.,Poly,Y,00,22.3,3.9,17.5,97.1,62
06PR00066,H1718,1,30,82,05,1,1.0,0,R,.,2,2,5.8,2.3,,1,.,Poly,Y,00,22.8,5.2,23.0,91.4,62
06PR00067,H1704,1,30,82,05,1,1.0,0,R,.,2,2,6.7,2.6,,1,.,Poly,Y,00,24.4,4.4,18.1,90.8,60
06PR00068,H1738,1,30,82,05,1,1.0,0,R,.,2,1-,6.5,2.6,,1,.,Poly,Y,00,23.3,4.1,17.6,95.6,62
06PR00069,H1740,1,30,82,05,1,1.0,0,R,.,2,1-,8.2,3.2,F1-,1,.,Poly,Y,00,24.2,5.1,21.0,88.3,60
06PR00070,H1743,1,30,82,05,1,1.0,0,R,.,1,3+,5.0,2.0,,1,.,Poly,Y,00,23.3,3.8,16.1,96.8,62
06PR00071,H1742,1,30,82,05,1,1.0,0,R,.,2,2,5.8,2.3,H2,1,.,Poly,Y,00,22.4,3.3,14.6,98.4,62
06PR00072,H1769,1,30,88,05,1,1.0,0,R,.,1,1-,5.6,2.2,,1,.,Poly,Y,00,21.4,3.1,14.5,99.2,64
06PR00073,H1797,1,30,82,05,1,1.0,0,R,.,2,2,7.0,2.8,,1,.,Poly,Y,00,22.6,4.8,21.4,93.1,62
06PR00074,H1771,1,30,88,05,1,1.0,0,R,.,2,2,7.2,2.8,,1,.,Poly,Y,00,22.5,4.0,17.5,96.7,62
06PR00075,H0471,1,30,88,03,1,3.0,0,.,.,1,1-,8.5,3.3,,1,.,Poly,N,00,,,,,0
06PR00076,H0596,1,30,88,03,1,3.0,0,.,.,1,1-,8.6,3.4,,1,.,Poly,N,00,,,,,0
06PR00077,H0630,1,30,88,03,1,3.0,0,.,.,1,2+,7.9,3.1,,1,.,Poly,N,00,,,,,0
06PR00078,H0900,1,30,82,04,1,2.0,0,.,.,2,1-,8.1,3.2,,1,.,Ctrl,Y,00,28.2,4.0,14.4,74.3,54
06PR00079,H0948,1,30,82,04,1,2.0,0,.,.,2,2,6.8,2.7,,1,.,Ctrl,Y,00,26.1,5.6,21.6,78.6,58
06PR00080,H0994,1,30,82,04,1,2.0,0,.,.,2,2-,8.2,3.2,,1,.,Ctrl,Y,00,26.8,4.1,15.5,83.8,56
06PR00081,H0756,1,30,82,04,1,2.0,0,.,.,2,2-,7.9,3.1,,1,.,Ctrl,Y,00,27.3,5.2,18.9,75.0,56
06PR00082,H0773,1,30,82,04,1,2.0,0,.,.,1,2,8.1,3.2,,1,.,Ctrl,Y,00,26.9,4.9,18.2,78.5,56
06PR00083,H2103,1,30,82,05,1,1.0,0,R,.,2,3+,6.3,2.5,,1,.,Poly,Y,00,25.5,4.5,17.6,87.7,58
06PR00084,H2124,1,30,83,05,1,1.0,0,R,.,2,2+,5.4,2.1,,1,.,Poly,Y,00,22.7,3.6,16.0,97.8,62
06PR00085,H2171,1,30,82,05,1,1.0,0,R,.,2,2+,5.8,2.3,,1,.,Poly,Y,00,21.8,3.7,16.9,98.8,64
06PR00086,H2170,1,30,83,05,1,1.0,0,R,.,2,2-,6.1,2.4,,1,.,Poly,Y,00,23.7,3.9,16.6,94.6,60
06PR00087,H2015,1,30,82,05,1,1.0,0,R,.,1,3+,6.9,2.7,,1,.,Poly,Y,00,22.9,3.9,17.3,96.7,62
06PR00088,H2016,1,30,82,05,1,1.0,0,R,.,1,3,5.4,2.1,,1,.,Poly,Y,00,22.5,3.6,15.9,97.6,62
06PR00089,H2030,1,30,88,05,1,1.0,0,R,.,2,2,5.2,2.0,,1,.,Poly,Y,00,23.3,4.0,17.3,95.9,62
06PR00090,H2040,1,30,82,05,1,1.0,0,R,.,2,2,6.0,2.4,H2,1,.,Poly,Y,00,26.0,4.2,16.2,87.0,58
